# _root_ Gündüz ayrı iş , gece ayrı iş ; can mı dayanır , diye _ söylendi saatine _ bakarken .
#goldHeads=3,3,4,7,7,7,8,0,11,9,12,13,15,15,19,17,18,15,0,
#predictedHeads=3,3,4,0,7,7,8,0,11,9,12,13,14,15,19,17,18,15,0,
(0,4),1.06305 # DEPENDENCYPART_ARC
(0,8),1.14949 # DEPENDENCYPART_ARC
(0,12),0.368038 # DEPENDENCYPART_ARC
(0,19),3.0065 # DEPENDENCYPART_ARC
(1,2),-0.797828 # DEPENDENCYPART_ARC
(2,1),0.149133 # DEPENDENCYPART_ARC
(2,16),-1.29415 # DEPENDENCYPART_ARC
(3,1),0.0419752 # DEPENDENCYPART_ARC
(3,2),1.34506 # DEPENDENCYPART_ARC
(3,4),-0.793112 # DEPENDENCYPART_ARC
(3,5),-1.0547 # DEPENDENCYPART_ARC
(3,6),-1.43381 # DEPENDENCYPART_ARC
(4,1),-1.03761 # DEPENDENCYPART_ARC
(4,2),-0.673048 # DEPENDENCYPART_ARC
(4,3),0.337081 # DEPENDENCYPART_ARC
(4,11),-1.47105 # DEPENDENCYPART_ARC
(4,14),-1.51956 # DEPENDENCYPART_ARC
(4,15),-1.33763 # DEPENDENCYPART_ARC
(4,17),-1.57465 # DEPENDENCYPART_ARC
(5,2),-1.22336 # DEPENDENCYPART_ARC
(5,3),-0.969128 # DEPENDENCYPART_ARC
(5,4),-0.466684 # DEPENDENCYPART_ARC
(5,6),-0.765846 # DEPENDENCYPART_ARC
(5,7),-1.02178 # DEPENDENCYPART_ARC
(5,8),-1.09801 # DEPENDENCYPART_ARC
(6,3),-1.74004 # DEPENDENCYPART_ARC
(6,4),-0.938249 # DEPENDENCYPART_ARC
(6,5),0.0937736 # DEPENDENCYPART_ARC
(6,16),-1.05773 # DEPENDENCYPART_ARC
(7,1),-1.46957 # DEPENDENCYPART_ARC
(7,2),-0.856715 # DEPENDENCYPART_ARC
(7,3),-1.51037 # DEPENDENCYPART_ARC
(7,4),-0.478106 # DEPENDENCYPART_ARC
(7,5),0.0143077 # DEPENDENCYPART_ARC
(7,6),1.34016 # DEPENDENCYPART_ARC
(7,8),-0.551264 # DEPENDENCYPART_ARC
(7,9),-0.752355 # DEPENDENCYPART_ARC
(7,10),-0.427529 # DEPENDENCYPART_ARC
(7,13),-0.973633 # DEPENDENCYPART_ARC
(7,14),-1.37625 # DEPENDENCYPART_ARC
(7,15),-1.7901 # DEPENDENCYPART_ARC
(8,4),-1.18532 # DEPENDENCYPART_ARC
(8,5),-0.93366 # DEPENDENCYPART_ARC
(8,6),-0.698814 # DEPENDENCYPART_ARC
(8,7),0.147973 # DEPENDENCYPART_ARC
(8,9),-0.73662 # DEPENDENCYPART_ARC
(8,11),-1.2534 # DEPENDENCYPART_ARC
(8,14),-1.51033 # DEPENDENCYPART_ARC
(8,15),-1.35459 # DEPENDENCYPART_ARC
(8,16),-1.02989 # DEPENDENCYPART_ARC
(8,17),-1.45605 # DEPENDENCYPART_ARC
(9,1),-1.53822 # DEPENDENCYPART_ARC
(9,2),-1.42333 # DEPENDENCYPART_ARC
(9,3),-1.53633 # DEPENDENCYPART_ARC
(9,4),-1.49663 # DEPENDENCYPART_ARC
(9,5),-1.53658 # DEPENDENCYPART_ARC
(9,6),-1.06468 # DEPENDENCYPART_ARC
(9,7),-0.936088 # DEPENDENCYPART_ARC
(9,8),-0.241976 # DEPENDENCYPART_ARC
(9,10),0.495083 # DEPENDENCYPART_ARC
(9,11),-1.07163 # DEPENDENCYPART_ARC
(9,12),-0.600922 # DEPENDENCYPART_ARC
(9,13),-0.807504 # DEPENDENCYPART_ARC
(9,14),-1.21698 # DEPENDENCYPART_ARC
(9,15),-1.61522 # DEPENDENCYPART_ARC
(9,17),-1.68539 # DEPENDENCYPART_ARC
(10,4),-1.10899 # DEPENDENCYPART_ARC
(10,7),-1.0596 # DEPENDENCYPART_ARC
(10,8),-0.836151 # DEPENDENCYPART_ARC
(10,9),0.240304 # DEPENDENCYPART_ARC
(11,1),0.249058 # DEPENDENCYPART_ARC
(11,2),-1.09947 # DEPENDENCYPART_ARC
(11,3),0.0537863 # DEPENDENCYPART_ARC
(11,4),-1.27848 # DEPENDENCYPART_ARC
(11,5),0.143571 # DEPENDENCYPART_ARC
(11,6),-0.89382 # DEPENDENCYPART_ARC
(11,7),0.167192 # DEPENDENCYPART_ARC
(11,8),-0.440475 # DEPENDENCYPART_ARC
(11,9),1.16333 # DEPENDENCYPART_ARC
(11,10),-0.307564 # DEPENDENCYPART_ARC
(11,12),-1.18363 # DEPENDENCYPART_ARC
(11,13),-0.861074 # DEPENDENCYPART_ARC
(11,14),-1.53354 # DEPENDENCYPART_ARC
(11,15),-1.2896 # DEPENDENCYPART_ARC
(11,16),-1.03283 # DEPENDENCYPART_ARC
(11,17),-1.94691 # DEPENDENCYPART_ARC
(11,18),-0.957464 # DEPENDENCYPART_ARC
(11,19),-1.94772 # DEPENDENCYPART_ARC
(12,2),-1.80324 # DEPENDENCYPART_ARC
(12,6),-1.56396 # DEPENDENCYPART_ARC
(12,8),-1.00049 # DEPENDENCYPART_ARC
(12,9),-0.6208 # DEPENDENCYPART_ARC
(12,11),0.726475 # DEPENDENCYPART_ARC
(12,13),-0.699483 # DEPENDENCYPART_ARC
(12,14),-1.2168 # DEPENDENCYPART_ARC
(12,15),-1.23414 # DEPENDENCYPART_ARC
(12,17),-1.29678 # DEPENDENCYPART_ARC
(13,7),-0.847257 # DEPENDENCYPART_ARC
(13,8),-1.04419 # DEPENDENCYPART_ARC
(13,9),-0.919984 # DEPENDENCYPART_ARC
(13,11),-0.355863 # DEPENDENCYPART_ARC
(13,12),0.79779 # DEPENDENCYPART_ARC
(13,16),-0.852141 # DEPENDENCYPART_ARC
(14,1),-0.860122 # DEPENDENCYPART_ARC
(14,3),-1.17375 # DEPENDENCYPART_ARC
(14,5),-0.961292 # DEPENDENCYPART_ARC
(14,7),-1.1413 # DEPENDENCYPART_ARC
(14,9),-1.14902 # DEPENDENCYPART_ARC
(14,10),-1.77011 # DEPENDENCYPART_ARC
(14,11),-1.05968 # DEPENDENCYPART_ARC
(14,12),-0.432528 # DEPENDENCYPART_ARC
(14,13),0.333596 # DEPENDENCYPART_ARC
(14,15),-0.504241 # DEPENDENCYPART_ARC
(14,16),-0.240209 # DEPENDENCYPART_ARC
(14,17),-1.00368 # DEPENDENCYPART_ARC
(14,18),-0.359052 # DEPENDENCYPART_ARC
(15,1),-0.677862 # DEPENDENCYPART_ARC
(15,2),-1.39132 # DEPENDENCYPART_ARC
(15,3),-1.01044 # DEPENDENCYPART_ARC
(15,4),-1.19436 # DEPENDENCYPART_ARC
(15,5),-0.398702 # DEPENDENCYPART_ARC
(15,6),-1.34377 # DEPENDENCYPART_ARC
(15,7),-0.82068 # DEPENDENCYPART_ARC
(15,8),-1.01217 # DEPENDENCYPART_ARC
(15,9),-0.608498 # DEPENDENCYPART_ARC
(15,10),-1.92547 # DEPENDENCYPART_ARC
(15,11),-0.984714 # DEPENDENCYPART_ARC
(15,12),-0.173439 # DEPENDENCYPART_ARC
(15,13),0.0717756 # DEPENDENCYPART_ARC
(15,14),1.64095 # DEPENDENCYPART_ARC
(15,16),0.188775 # DEPENDENCYPART_ARC
(15,17),-2.07063 # DEPENDENCYPART_ARC
(15,18),-0.427326 # DEPENDENCYPART_ARC
(16,6),-1.64919 # DEPENDENCYPART_ARC
(16,11),-2.24275 # DEPENDENCYPART_ARC
(16,12),-1.44159 # DEPENDENCYPART_ARC
(16,13),-1.09741 # DEPENDENCYPART_ARC
(16,14),-0.852119 # DEPENDENCYPART_ARC
(16,15),-0.814174 # DEPENDENCYPART_ARC
(16,17),-1.24974 # DEPENDENCYPART_ARC
(16,18),-0.639423 # DEPENDENCYPART_ARC
(17,1),-0.573938 # DEPENDENCYPART_ARC
(17,3),-0.948262 # DEPENDENCYPART_ARC
(17,5),-0.473969 # DEPENDENCYPART_ARC
(17,7),-0.952293 # DEPENDENCYPART_ARC
(17,9),-0.883267 # DEPENDENCYPART_ARC
(17,10),-2.16843 # DEPENDENCYPART_ARC
(17,11),-1.62895 # DEPENDENCYPART_ARC
(17,12),-0.556716 # DEPENDENCYPART_ARC
(17,13),-0.637799 # DEPENDENCYPART_ARC
(17,14),-1.29243 # DEPENDENCYPART_ARC
(17,15),-0.26661 # DEPENDENCYPART_ARC
(17,16),1.38187 # DEPENDENCYPART_ARC
(17,18),-0.293267 # DEPENDENCYPART_ARC
(17,19),-1.58475 # DEPENDENCYPART_ARC
(18,3),-1.00264 # DEPENDENCYPART_ARC
(18,5),-0.883779 # DEPENDENCYPART_ARC
(18,7),-0.820612 # DEPENDENCYPART_ARC
(18,9),-0.802133 # DEPENDENCYPART_ARC
