# _root_ Prens , " Rapunzel , Rapunzel ! _ Uzat altın _ sarısı saçlarını ! " diye _ seslenince , cadı Rapunzel'den _ kestiği saç örgüsünü _ uzatmış aşağıya .
#goldHeads=17,0,0,5,6,9,0,9,14,12,12,13,0,16,0,17,18,27,0,27,22,23,25,25,27,27,29,27,0,
#predictedHeads=12,0,0,12,0,12,0,9,12,12,12,13,16,0,0,17,18,27,0,21,22,23,24,25,27,27,29,26,0,
(0,2),1.53837 # DEPENDENCYPART_ARC
(0,3),1.2605 # DEPENDENCYPART_ARC
(0,5),0.710977 # DEPENDENCYPART_ARC
(0,7),1.15537 # DEPENDENCYPART_ARC
(0,14),1.97098 # DEPENDENCYPART_ARC
(0,15),1.14313 # DEPENDENCYPART_ARC
(0,19),0.299406 # DEPENDENCYPART_ARC
(0,29),4.15295 # DEPENDENCYPART_ARC
(1,2),-0.79839 # DEPENDENCYPART_ARC
(1,3),-1.11898 # DEPENDENCYPART_ARC
(2,1),0.0381213 # DEPENDENCYPART_ARC
(2,3),-0.867647 # DEPENDENCYPART_ARC
(2,26),-1.65381 # DEPENDENCYPART_ARC
(3,2),-0.816262 # DEPENDENCYPART_ARC
(3,4),-0.552986 # DEPENDENCYPART_ARC
(3,5),-0.892743 # DEPENDENCYPART_ARC
(3,17),-1.30574 # DEPENDENCYPART_ARC
(3,26),-1.67146 # DEPENDENCYPART_ARC
(3,27),-1.46478 # DEPENDENCYPART_ARC
(4,1),-1.01651 # DEPENDENCYPART_ARC
(4,2),-0.744894 # DEPENDENCYPART_ARC
(4,3),-0.108527 # DEPENDENCYPART_ARC
(4,6),-0.919787 # DEPENDENCYPART_ARC
(5,3),-1.20192 # DEPENDENCYPART_ARC
(5,4),0.688712 # DEPENDENCYPART_ARC
(5,7),-1.05 # DEPENDENCYPART_ARC
(5,26),-1.64039 # DEPENDENCYPART_ARC
(5,27),-1.36414 # DEPENDENCYPART_ARC
(6,2),-1.4008 # DEPENDENCYPART_ARC
(6,4),-1.28135 # DEPENDENCYPART_ARC
(6,5),-0.0536543 # DEPENDENCYPART_ARC
(7,5),-1.20998 # DEPENDENCYPART_ARC
(7,6),0.0653293 # DEPENDENCYPART_ARC
(7,8),-0.907496 # DEPENDENCYPART_ARC
(7,9),-1.09037 # DEPENDENCYPART_ARC
(7,27),-1.62356 # DEPENDENCYPART_ARC
(8,1),-0.998083 # DEPENDENCYPART_ARC
(8,4),-1.24926 # DEPENDENCYPART_ARC
(8,5),-1.52262 # DEPENDENCYPART_ARC
(8,6),-0.90836 # DEPENDENCYPART_ARC
(8,7),-0.236777 # DEPENDENCYPART_ARC
(8,10),-0.332066 # DEPENDENCYPART_ARC
(8,11),-1.09517 # DEPENDENCYPART_ARC
(8,12),-0.650831 # DEPENDENCYPART_ARC
(8,13),-0.573492 # DEPENDENCYPART_ARC
(8,16),-0.488141 # DEPENDENCYPART_ARC
(8,17),-1.25411 # DEPENDENCYPART_ARC
(8,18),-0.789058 # DEPENDENCYPART_ARC
(9,1),-0.731763 # DEPENDENCYPART_ARC
(9,2),-1.0582 # DEPENDENCYPART_ARC
(9,3),-0.834585 # DEPENDENCYPART_ARC
(9,4),-0.649382 # DEPENDENCYPART_ARC
(9,5),-0.951953 # DEPENDENCYPART_ARC
(9,6),-0.564502 # DEPENDENCYPART_ARC
(9,7),-0.0323971 # DEPENDENCYPART_ARC
(9,8),1.76232 # DEPENDENCYPART_ARC
(9,10),-0.849524 # DEPENDENCYPART_ARC
(9,11),-1.07874 # DEPENDENCYPART_ARC
(9,12),-1.04721 # DEPENDENCYPART_ARC
(9,13),-0.306485 # DEPENDENCYPART_ARC
(9,16),-0.856405 # DEPENDENCYPART_ARC
(9,17),-1.94068 # DEPENDENCYPART_ARC
(9,18),-1.03767 # DEPENDENCYPART_ARC
(9,24),-2.61816 # DEPENDENCYPART_ARC
(10,6),-1.60387 # DEPENDENCYPART_ARC
(10,7),-1.1067 # DEPENDENCYPART_ARC
(10,8),-0.852566 # DEPENDENCYPART_ARC
(10,9),0.524473 # DEPENDENCYPART_ARC
(10,11),-0.724209 # DEPENDENCYPART_ARC
(11,7),-0.964953 # DEPENDENCYPART_ARC
(11,8),-1.39259 # DEPENDENCYPART_ARC
(11,9),-0.873455 # DEPENDENCYPART_ARC
(11,10),0.409536 # DEPENDENCYPART_ARC
(12,1),-0.141959 # DEPENDENCYPART_ARC
(12,2),-0.868044 # DEPENDENCYPART_ARC
(12,4),-0.0438429 # DEPENDENCYPART_ARC
(12,5),-0.957784 # DEPENDENCYPART_ARC
(12,6),-0.213559 # DEPENDENCYPART_ARC
(12,7),-0.502049 # DEPENDENCYPART_ARC
(12,8),-1.5187 # DEPENDENCYPART_ARC
(12,9),0.0702546 # DEPENDENCYPART_ARC
(12,10),1.25575 # DEPENDENCYPART_ARC
(12,11),1.71303 # DEPENDENCYPART_ARC
(12,28),-0.968182 # DEPENDENCYPART_ARC
(13,1),-0.898183 # DEPENDENCYPART_ARC
(13,2),-0.562787 # DEPENDENCYPART_ARC
(13,3),-0.742025 # DEPENDENCYPART_ARC
(13,4),-0.785125 # DEPENDENCYPART_ARC
(13,5),-0.59519 # DEPENDENCYPART_ARC
(13,7),-0.175889 # DEPENDENCYPART_ARC
(13,8),-1.86948 # DEPENDENCYPART_ARC
(13,9),-0.0336891 # DEPENDENCYPART_ARC
(13,10),0.088399 # DEPENDENCYPART_ARC
(13,11),0.0229592 # DEPENDENCYPART_ARC
(13,12),1.62746 # DEPENDENCYPART_ARC
(13,14),-0.887385 # DEPENDENCYPART_ARC
(13,15),-1.20149 # DEPENDENCYPART_ARC
(14,2),-1.03913 # DEPENDENCYPART_ARC
(14,3),-0.77471 # DEPENDENCYPART_ARC
(14,7),-0.526748 # DEPENDENCYPART_ARC
(14,8),-1.34312 # DEPENDENCYPART_ARC
(14,9),0.412444 # DEPENDENCYPART_ARC
(14,11),-1.08523 # DEPENDENCYPART_ARC
(14,12),-0.505534 # DEPENDENCYPART_ARC
(14,13),0.163814 # DEPENDENCYPART_ARC
(14,15),-0.868735 # DEPENDENCYPART_ARC
(14,16),-0.95802 # DEPENDENCYPART_ARC
(14,25),-1.18206 # DEPENDENCYPART_ARC
(14,27),-1.44018 # DEPENDENCYPART_ARC
(14,28),-1.18389 # DEPENDENCYPART_ARC
(15,3),-1.24202 # DEPENDENCYPART_ARC
(15,8),-2.42788 # DEPENDENCYPART_ARC
(15,9),-0.868349 # DEPENDENCYPART_ARC
(15,11),-2.17429 # DEPENDENCYPART_ARC
(15,13),-1.43806 # DEPENDENCYPART_ARC
(15,14),-0.522368 # DEPENDENCYPART_ARC
(15,16),-0.864431 # DEPENDENCYPART_ARC
(15,17),-1.34436 # DEPENDENCYPART_ARC
(15,18),-1.19612 # DEPENDENCYPART_ARC
(15,24),-1.44107 # DEPENDENCYPART_ARC
(15,25),-1.39716 # DEPENDENCYPART_ARC
(15,27),-1.72947 # DEPENDENCYPART_ARC
(15,28),-1.51225 # DEPENDENCYPART_ARC
(16,10),-0.562175 # DEPENDENCYPART_ARC
(16,12),-0.222916 # DEPENDENCYPART_ARC
(16,13),-0.182799 # DEPENDENCYPART_ARC
(16,14),-0.115612 # DEPENDENCYPART_ARC
(16,15),0.842751 # DEPENDENCYPART_ARC
(17,1),-1.13201 # DEPENDENCYPART_ARC
(17,4),-1.17661 # DEPENDENCYPART_ARC
(17,6),-1.25983 # DEPENDENCYPART_ARC
(17,10),-1.14594 # DEPENDENCYPART_ARC
(17,12),-1.04174 # DEPENDENCYPART_ARC
(17,13),-0.709533 # DEPENDENCYPART_ARC
(17,14),-1.32749 # DEPENDENCYPART_ARC
(17,15),-0.612469 # DEPENDENCYPART_ARC
(17,16),0.783369 # DEPENDENCYPART_ARC
(17,18),-0.0778732 # DEPENDENCYPART_ARC
(17,19),-1.00663 # DEPENDENCYPART_ARC
(17,20),-1.38442 # DEPENDENCYPART_ARC
(17,21),-1.44454 # DEPENDENCYPART_ARC
(17,22),-1.51958 # DEPENDENCYPART_ARC
(17,24),-1.49228 # DEPENDENCYPART_ARC
(17,25),-1.5565 # DEPENDENCYPART_ARC
(17,26),-1.41109 # DEPENDENCYPART_ARC
(17,27),-1.10802 # DEPENDENCYPART_ARC
(17,28),-1.16158 # DEPENDENCYPART_ARC
(18,4),-0.944981 # DEPENDENCYPART_ARC
(18,6),-0.869689 # DEPENDENCYPART_ARC
(18,10),-0.692336 # DEPENDENCYPART_ARC
(18,12),-0.416571 # DEPENDENCYPART_ARC
(18,13),-0.559079 # DEPENDENCYPART_ARC
