# _root_ Ama , doların _ hızlı _ düşüşü enflasyonu _ _ artırırken , yumuşak inişi _ _ _ sertleştirebilecektir .
#goldHeads=19,0,6,5,7,7,10,10,10,11,18,0,14,18,16,17,18,19,0,
#predictedHeads=19,0,7,5,7,7,11,10,10,11,18,0,14,18,16,17,18,19,0,
(0,1),-0.640143 # DEPENDENCYPART_ARC
(0,2),1.03111 # DEPENDENCYPART_ARC
(0,12),0.63943 # DEPENDENCYPART_ARC
(0,19),2.47034 # DEPENDENCYPART_ARC
(2,1),-0.604605 # DEPENDENCYPART_ARC
(2,6),-1.57132 # DEPENDENCYPART_ARC
(2,10),-1.70046 # DEPENDENCYPART_ARC
(2,16),-1.97872 # DEPENDENCYPART_ARC
(2,17),-2.00089 # DEPENDENCYPART_ARC
(2,18),-1.69841 # DEPENDENCYPART_ARC
(3,2),-0.615149 # DEPENDENCYPART_ARC
(3,4),-1.21476 # DEPENDENCYPART_ARC
(3,5),-1.41806 # DEPENDENCYPART_ARC
(3,6),-1.76374 # DEPENDENCYPART_ARC
(4,2),-0.985407 # DEPENDENCYPART_ARC
(4,3),0.17017 # DEPENDENCYPART_ARC
(4,5),-1.06218 # DEPENDENCYPART_ARC
(4,6),-1.41154 # DEPENDENCYPART_ARC
(5,1),-0.90722 # DEPENDENCYPART_ARC
(5,2),-0.46873 # DEPENDENCYPART_ARC
(5,3),0.123747 # DEPENDENCYPART_ARC
(5,4),1.78256 # DEPENDENCYPART_ARC
(5,14),-1.64708 # DEPENDENCYPART_ARC
(6,2),-0.832854 # DEPENDENCYPART_ARC
(6,3),0.0189347 # DEPENDENCYPART_ARC
(6,4),-0.046178 # DEPENDENCYPART_ARC
(6,5),0.361422 # DEPENDENCYPART_ARC
(6,7),-0.649494 # DEPENDENCYPART_ARC
(6,8),-0.79842 # DEPENDENCYPART_ARC
(6,9),-1.61622 # DEPENDENCYPART_ARC
(6,16),-1.68822 # DEPENDENCYPART_ARC
(6,17),-1.91306 # DEPENDENCYPART_ARC
(6,18),-1.31908 # DEPENDENCYPART_ARC
(7,1),-0.754326 # DEPENDENCYPART_ARC
(7,2),-0.834956 # DEPENDENCYPART_ARC
(7,3),0.941518 # DEPENDENCYPART_ARC
(7,4),0.35427 # DEPENDENCYPART_ARC
(7,5),0.300186 # DEPENDENCYPART_ARC
(7,6),1.89467 # DEPENDENCYPART_ARC
(7,8),-1.06285 # DEPENDENCYPART_ARC
(8,2),-1.15463 # DEPENDENCYPART_ARC
(8,3),-0.973959 # DEPENDENCYPART_ARC
(8,4),-1.67451 # DEPENDENCYPART_ARC
(8,5),-0.149142 # DEPENDENCYPART_ARC
(8,6),-0.475407 # DEPENDENCYPART_ARC
(8,7),0.798929 # DEPENDENCYPART_ARC
(8,9),-1.10362 # DEPENDENCYPART_ARC
(8,16),-1.84478 # DEPENDENCYPART_ARC
(9,3),-0.548757 # DEPENDENCYPART_ARC
(9,4),-1.94428 # DEPENDENCYPART_ARC
(9,5),-1.2863 # DEPENDENCYPART_ARC
(9,6),-1.43849 # DEPENDENCYPART_ARC
(9,7),-0.0864836 # DEPENDENCYPART_ARC
(9,8),0.479324 # DEPENDENCYPART_ARC
(9,11),-0.573779 # DEPENDENCYPART_ARC
(9,12),-1.39408 # DEPENDENCYPART_ARC
(9,14),-1.37161 # DEPENDENCYPART_ARC
(9,16),-1.51004 # DEPENDENCYPART_ARC
(9,17),-1.59217 # DEPENDENCYPART_ARC
(9,18),-1.14842 # DEPENDENCYPART_ARC
(10,1),-0.839121 # DEPENDENCYPART_ARC
(10,2),-0.593758 # DEPENDENCYPART_ARC
(10,3),-0.612411 # DEPENDENCYPART_ARC
(10,4),-2.18104 # DEPENDENCYPART_ARC
(10,5),-0.533378 # DEPENDENCYPART_ARC
(10,6),-1.96568 # DEPENDENCYPART_ARC
(10,7),-0.200222 # DEPENDENCYPART_ARC
(10,8),0.623621 # DEPENDENCYPART_ARC
(10,9),1.98704 # DEPENDENCYPART_ARC
(10,11),-0.0760154 # DEPENDENCYPART_ARC
(10,12),-1.32509 # DEPENDENCYPART_ARC
(10,13),-1.33315 # DEPENDENCYPART_ARC
(10,14),-1.46504 # DEPENDENCYPART_ARC
(10,16),-1.8311 # DEPENDENCYPART_ARC
(10,17),-2.11958 # DEPENDENCYPART_ARC
(10,18),-1.67496 # DEPENDENCYPART_ARC
(11,3),-0.403895 # DEPENDENCYPART_ARC
(11,4),-0.376964 # DEPENDENCYPART_ARC
(11,7),-0.120759 # DEPENDENCYPART_ARC
(11,8),0.30317 # DEPENDENCYPART_ARC
(11,10),1.48233 # DEPENDENCYPART_ARC
(12,1),-0.941236 # DEPENDENCYPART_ARC
(12,2),-0.686191 # DEPENDENCYPART_ARC
(12,5),-1.16188 # DEPENDENCYPART_ARC
(12,6),-1.83484 # DEPENDENCYPART_ARC
(12,7),-0.688078 # DEPENDENCYPART_ARC
(12,8),-0.609959 # DEPENDENCYPART_ARC
(12,9),-0.933049 # DEPENDENCYPART_ARC
(12,10),-0.282542 # DEPENDENCYPART_ARC
(12,11),-0.213829 # DEPENDENCYPART_ARC
(12,14),-1.17692 # DEPENDENCYPART_ARC
