# _root_ Netameli uçaklardan _ sonuncusunun _ _ iade_edilişiyle birlikte , deve _ kurban_eden ve _ kanlı deve parçalarıyla personele fotoğraflar _ _ _ çektirten kişi , başka nasıl biri _ olabilir ?
#goldHeads=2,4,4,6,6,7,8,11,0,11,12,13,23,15,17,17,22,22,22,21,22,23,24,30,0,27,28,30,30,31,0,
#predictedHeads=2,6,4,6,6,7,8,11,0,11,12,13,14,15,16,17,22,19,22,21,22,23,24,30,0,27,28,30,30,31,0,
(0,9),1.0613 # DEPENDENCYPART_ARC
(0,25),1.01309 # DEPENDENCYPART_ARC
(0,31),2.42231 # DEPENDENCYPART_ARC
(2,1),1.20193 # DEPENDENCYPART_ARC
(2,3),-0.904758 # DEPENDENCYPART_ARC
(2,4),-0.953851 # DEPENDENCYPART_ARC
(2,5),-1.45376 # DEPENDENCYPART_ARC
(3,1),-0.680304 # DEPENDENCYPART_ARC
(3,2),0.336327 # DEPENDENCYPART_ARC
(4,1),0.0148078 # DEPENDENCYPART_ARC
(4,2),0.396865 # DEPENDENCYPART_ARC
(4,3),1.71447 # DEPENDENCYPART_ARC
(4,5),-1.21685 # DEPENDENCYPART_ARC
(4,6),-1.72917 # DEPENDENCYPART_ARC
(5,1),-1.15492 # DEPENDENCYPART_ARC
(5,2),-0.0830317 # DEPENDENCYPART_ARC
(5,3),-0.906572 # DEPENDENCYPART_ARC
(5,4),0.506166 # DEPENDENCYPART_ARC
(6,1),-0.886401 # DEPENDENCYPART_ARC
(6,2),0.256014 # DEPENDENCYPART_ARC
(6,3),-1.4737 # DEPENDENCYPART_ARC
(6,4),0.795204 # DEPENDENCYPART_ARC
(6,5),2.2132 # DEPENDENCYPART_ARC
(6,8),-0.793806 # DEPENDENCYPART_ARC
(7,1),-0.791822 # DEPENDENCYPART_ARC
(7,2),-0.525446 # DEPENDENCYPART_ARC
(7,3),-0.986419 # DEPENDENCYPART_ARC
(7,4),0.874225 # DEPENDENCYPART_ARC
(7,5),-0.0092802 # DEPENDENCYPART_ARC
(7,6),1.86368 # DEPENDENCYPART_ARC
(8,2),-1.13912 # DEPENDENCYPART_ARC
(8,4),-0.966824 # DEPENDENCYPART_ARC
(8,7),0.122335 # DEPENDENCYPART_ARC
(9,1),-1.72612 # DEPENDENCYPART_ARC
(9,3),-2.67887 # DEPENDENCYPART_ARC
(9,4),-1.13511 # DEPENDENCYPART_ARC
(9,5),-1.76592 # DEPENDENCYPART_ARC
(9,6),-1.10965 # DEPENDENCYPART_ARC
(9,7),-0.985193 # DEPENDENCYPART_ARC
(9,8),-0.642175 # DEPENDENCYPART_ARC
(9,22),-1.9246 # DEPENDENCYPART_ARC
(9,29),-2.13489 # DEPENDENCYPART_ARC
(9,30),-1.80552 # DEPENDENCYPART_ARC
(10,3),-3.28454 # DEPENDENCYPART_ARC
(10,6),-1.51846 # DEPENDENCYPART_ARC
(10,7),-2.13538 # DEPENDENCYPART_ARC
(10,9),-0.774648 # DEPENDENCYPART_ARC
(11,2),-0.547688 # DEPENDENCYPART_ARC
(11,4),-0.750872 # DEPENDENCYPART_ARC
(11,5),-2.55357 # DEPENDENCYPART_ARC
(11,6),-2.35728 # DEPENDENCYPART_ARC
(11,7),-0.638729 # DEPENDENCYPART_ARC
(11,8),-0.839905 # DEPENDENCYPART_ARC
(11,9),-0.611588 # DEPENDENCYPART_ARC
(11,10),0.977833 # DEPENDENCYPART_ARC
(11,13),-0.492185 # DEPENDENCYPART_ARC
(12,2),-1.00166 # DEPENDENCYPART_ARC
(12,7),-0.726729 # DEPENDENCYPART_ARC
(12,8),-0.560404 # DEPENDENCYPART_ARC
(12,9),-0.371249 # DEPENDENCYPART_ARC
(12,10),0.325118 # DEPENDENCYPART_ARC
(12,11),1.50767 # DEPENDENCYPART_ARC
(12,13),-0.885162 # DEPENDENCYPART_ARC
(13,6),-1.28748 # DEPENDENCYPART_ARC
(13,10),-0.375078 # DEPENDENCYPART_ARC
(13,11),-0.186464 # DEPENDENCYPART_ARC
(13,12),1.02528 # DEPENDENCYPART_ARC
(14,11),-0.828524 # DEPENDENCYPART_ARC
(14,12),-0.845928 # DEPENDENCYPART_ARC
(14,13),-0.14321 # DEPENDENCYPART_ARC
(15,5),-2.02808 # DEPENDENCYPART_ARC
(15,6),-1.79356 # DEPENDENCYPART_ARC
(15,7),-0.870301 # DEPENDENCYPART_ARC
(15,8),-0.684659 # DEPENDENCYPART_ARC
(15,9),-0.556234 # DEPENDENCYPART_ARC
(15,10),0.142151 # DEPENDENCYPART_ARC
(15,11),-0.379307 # DEPENDENCYPART_ARC
(15,12),-0.466023 # DEPENDENCYPART_ARC
(15,13),-0.194511 # DEPENDENCYPART_ARC
(15,14),1.9435 # DEPENDENCYPART_ARC
(16,1),-2.17314 # DEPENDENCYPART_ARC
(16,3),-4.32005 # DEPENDENCYPART_ARC
(16,9),-1.10768 # DEPENDENCYPART_ARC
(16,10),-0.616559 # DEPENDENCYPART_ARC
(16,11),-1.77503 # DEPENDENCYPART_ARC
(16,12),-0.718694 # DEPENDENCYPART_ARC
(16,13),-0.686895 # DEPENDENCYPART_ARC
(16,14),-0.267974 # DEPENDENCYPART_ARC
(16,15),1.15306 # DEPENDENCYPART_ARC
(16,17),-1.41559 # DEPENDENCYPART_ARC
(17,1),-2.21854 # DEPENDENCYPART_ARC
(17,3),-4.74587 # DEPENDENCYPART_ARC
(17,9),-0.821519 # DEPENDENCYPART_ARC
(17,10),-0.136823 # DEPENDENCYPART_ARC
(17,11),-1.97926 # DEPENDENCYPART_ARC
(17,12),-0.733539 # DEPENDENCYPART_ARC
(17,13),-0.649118 # DEPENDENCYPART_ARC
(17,14),-0.434438 # DEPENDENCYPART_ARC
(17,15),0.652789 # DEPENDENCYPART_ARC
(17,16),1.78289 # DEPENDENCYPART_ARC
(17,18),-0.612265 # DEPENDENCYPART_ARC
