# _root_ Bu rolünün uzun bir dönem _ devam_etmesi , döviz kurlarının nerede _ olmasını _ istemenize _ _ bağlı_olarak , enflasyon _ hedeflemesinin rafa _ _ kaldırılması mecburiyetini _ doğurur .
#goldHeads=2,6,5,5,6,7,29,0,10,12,12,13,14,15,17,17,18,25,0,22,22,25,25,25,26,27,29,29,30,0,
#predictedHeads=2,7,5,5,6,7,8,0,10,12,12,13,14,15,17,17,18,29,0,22,22,27,25,25,26,27,29,29,30,0,
(0,8),1.01549 # DEPENDENCYPART_ARC
(0,19),1.0761 # DEPENDENCYPART_ARC
(0,30),3.48571 # DEPENDENCYPART_ARC
(2,1),1.19228 # DEPENDENCYPART_ARC
(2,3),-0.950351 # DEPENDENCYPART_ARC
(2,4),-1.11154 # DEPENDENCYPART_ARC
(3,1),-0.926738 # DEPENDENCYPART_ARC
(3,2),0.0871791 # DEPENDENCYPART_ARC
(3,27),-1.71297 # DEPENDENCYPART_ARC
(4,3),-0.615386 # DEPENDENCYPART_ARC
(5,1),-0.472781 # DEPENDENCYPART_ARC
(5,2),-0.755981 # DEPENDENCYPART_ARC
(5,3),0.500102 # DEPENDENCYPART_ARC
(5,4),1.18247 # DEPENDENCYPART_ARC
(5,6),-1.13213 # DEPENDENCYPART_ARC
(6,1),-1.12759 # DEPENDENCYPART_ARC
(6,2),0.0536141 # DEPENDENCYPART_ARC
(6,3),-1.29432 # DEPENDENCYPART_ARC
(6,4),-0.829755 # DEPENDENCYPART_ARC
(6,5),0.829814 # DEPENDENCYPART_ARC
(6,7),-0.340044 # DEPENDENCYPART_ARC
(6,8),-1.11011 # DEPENDENCYPART_ARC
(6,12),-1.89069 # DEPENDENCYPART_ARC
(6,14),-1.90246 # DEPENDENCYPART_ARC
(7,1),-0.543438 # DEPENDENCYPART_ARC
(7,2),0.670999 # DEPENDENCYPART_ARC
(7,3),-0.123474 # DEPENDENCYPART_ARC
(7,4),-0.0247715 # DEPENDENCYPART_ARC
(7,5),1.30301 # DEPENDENCYPART_ARC
(7,6),2.07648 # DEPENDENCYPART_ARC
(8,1),-1.38277 # DEPENDENCYPART_ARC
(8,3),-1.17743 # DEPENDENCYPART_ARC
(8,4),-1.24388 # DEPENDENCYPART_ARC
(8,5),-0.816662 # DEPENDENCYPART_ARC
(8,6),-0.561352 # DEPENDENCYPART_ARC
(8,7),0.34655 # DEPENDENCYPART_ARC
(8,14),-1.61194 # DEPENDENCYPART_ARC
(8,17),-1.55667 # DEPENDENCYPART_ARC
(8,25),-2.00788 # DEPENDENCYPART_ARC
(8,28),-2.10435 # DEPENDENCYPART_ARC
(8,29),-1.64307 # DEPENDENCYPART_ARC
(9,1),-1.91835 # DEPENDENCYPART_ARC
(9,3),-1.93617 # DEPENDENCYPART_ARC
(9,4),-1.49043 # DEPENDENCYPART_ARC
(9,6),-1.09328 # DEPENDENCYPART_ARC
(9,7),-1.3025 # DEPENDENCYPART_ARC
(9,8),-0.651636 # DEPENDENCYPART_ARC
(9,10),-0.982328 # DEPENDENCYPART_ARC
(9,12),-1.75957 # DEPENDENCYPART_ARC
(10,1),-1.42988 # DEPENDENCYPART_ARC
(10,3),-1.27971 # DEPENDENCYPART_ARC
(10,4),-0.9793 # DEPENDENCYPART_ARC
(10,6),-1.22932 # DEPENDENCYPART_ARC
(10,7),-1.06114 # DEPENDENCYPART_ARC
(10,8),-0.301762 # DEPENDENCYPART_ARC
(10,9),1.80638 # DEPENDENCYPART_ARC
(10,12),-1.39898 # DEPENDENCYPART_ARC
(11,9),-1.06493 # DEPENDENCYPART_ARC
(11,10),0.905076 # DEPENDENCYPART_ARC
(12,1),-1.2831 # DEPENDENCYPART_ARC
(12,2),-0.510533 # DEPENDENCYPART_ARC
(12,5),-0.899712 # DEPENDENCYPART_ARC
(12,6),-2.49657 # DEPENDENCYPART_ARC
(12,7),-1.03389 # DEPENDENCYPART_ARC
(12,8),-0.878401 # DEPENDENCYPART_ARC
(12,9),-0.209471 # DEPENDENCYPART_ARC
(12,10),0.702803 # DEPENDENCYPART_ARC
(12,11),0.920973 # DEPENDENCYPART_ARC
(12,13),-0.456597 # DEPENDENCYPART_ARC
(12,14),-1.36856 # DEPENDENCYPART_ARC
(13,2),0.192376 # DEPENDENCYPART_ARC
(13,3),-1.43429 # DEPENDENCYPART_ARC
(13,5),-0.700592 # DEPENDENCYPART_ARC
(13,7),-0.94961 # DEPENDENCYPART_ARC
(13,8),-0.731139 # DEPENDENCYPART_ARC
(13,9),0.209373 # DEPENDENCYPART_ARC
(13,10),1.24767 # DEPENDENCYPART_ARC
(13,11),0.405498 # DEPENDENCYPART_ARC
(13,12),1.65747 # DEPENDENCYPART_ARC
(14,2),-0.683598 # DEPENDENCYPART_ARC
(14,5),-1.20699 # DEPENDENCYPART_ARC
(14,7),-1.23028 # DEPENDENCYPART_ARC
(14,8),-0.873454 # DEPENDENCYPART_ARC
(14,9),-0.437547 # DEPENDENCYPART_ARC
(14,10),0.0880734 # DEPENDENCYPART_ARC
(14,11),-0.38056 # DEPENDENCYPART_ARC
(14,12),-0.676648 # DEPENDENCYPART_ARC
(14,13),1.17803 # DEPENDENCYPART_ARC
(14,15),-0.733546 # DEPENDENCYPART_ARC
(14,16),-1.33017 # DEPENDENCYPART_ARC
(15,8),-1.01856 # DEPENDENCYPART_ARC
(15,9),-0.646971 # DEPENDENCYPART_ARC
(15,10),-0.442616 # DEPENDENCYPART_ARC
(15,13),-0.870861 # DEPENDENCYPART_ARC
(15,14),1.49086 # DEPENDENCYPART_ARC
(15,16),-1.48642 # DEPENDENCYPART_ARC
(16,9),-0.921808 # DEPENDENCYPART_ARC
(16,10),-1.8334 # DEPENDENCYPART_ARC
(16,12),-1.63223 # DEPENDENCYPART_ARC
(16,13),-1.29647 # DEPENDENCYPART_ARC
(16,14),-0.398033 # DEPENDENCYPART_ARC
(16,15),0.099738 # DEPENDENCYPART_ARC
(16,17),-1.2459 # DEPENDENCYPART_ARC
(17,2),-0.601564 # DEPENDENCYPART_ARC
(17,5),-1.14153 # DEPENDENCYPART_ARC
(17,6),-5.19055 # DEPENDENCYPART_ARC
(17,7),-1.09282 # DEPENDENCYPART_ARC
(17,8),-0.83955 # DEPENDENCYPART_ARC
(17,9),-0.411716 # DEPENDENCYPART_ARC
(17,10),0.104924 # DEPENDENCYPART_ARC
(17,11),-0.543661 # DEPENDENCYPART_ARC
(17,12),-2.54368 # DEPENDENCYPART_ARC
(17,13),-0.0998242 # DEPENDENCYPART_ARC
(17,14),-1.30969 # DEPENDENCYPART_ARC
(17,15),0.680285 # DEPENDENCYPART_ARC
(17,16),1.33408 # DEPENDENCYPART_ARC
(17,19),-1.4893 # DEPENDENCYPART_ARC
(17,26),-1.98034 # DEPENDENCYPART_ARC
(17,29),-1.51875 # DEPENDENCYPART_ARC
(18,2),-1.1925 # DEPENDENCYPART_ARC
(18,5),-0.878548 # DEPENDENCYPART_ARC
(18,7),-1.08501 # DEPENDENCYPART_ARC
(18,9),-0.50085 # DEPENDENCYPART_ARC
(18,10),-0.622921 # DEPENDENCYPART_ARC
(18,13),-0.0740155 # DEPENDENCYPART_ARC
(18,15),-0.164233 # DEPENDENCYPART_ARC
(18,16),0.546161 # DEPENDENCYPART_ARC
(18,17),1.44694 # DEPENDENCYPART_ARC
(19,1),-1.88122 # DEPENDENCYPART_ARC
(19,4),-1.77756 # DEPENDENCYPART_ARC
(19,6),-3.8684 # DEPENDENCYPART_ARC
(19,12),-2.32507 # DEPENDENCYPART_ARC
(19,13),-1.01228 # DEPENDENCYPART_ARC
(19,14),-1.7933 # DEPENDENCYPART_ARC
(19,15),-0.978493 # DEPENDENCYPART_ARC
(19,16),-1.31129 # DEPENDENCYPART_ARC
(19,17),-0.549874 # DEPENDENCYPART_ARC
(19,18),-0.490019 # DEPENDENCYPART_ARC
(19,20),-0.777349 # DEPENDENCYPART_ARC
(19,21),-1.28868 # DEPENDENCYPART_ARC
(19,24),-1.5611 # DEPENDENCYPART_ARC
(19,25),-1.49491 # DEPENDENCYPART_ARC
(19,27),-1.30911 # DEPENDENCYPART_ARC
(19,28),-1.57994 # DEPENDENCYPART_ARC
(19,29),-1.30132 # DEPENDENCYPART_ARC
(20,4),-2.14735 # DEPENDENCYPART_ARC
(20,17),-1.02799 # DEPENDENCYPART_ARC
(20,18),-1.36791 # DEPENDENCYPART_ARC
(20,19),-0.75928 # DEPENDENCYPART_ARC
(20,21),-1.10595 # DEPENDENCYPART_ARC
(20,22),-0.704115 # DEPENDENCYPART_ARC
(20,23),-1.24093 # DEPENDENCYPART_ARC
(20,24),-1.34981 # DEPENDENCYPART_ARC
(21,13),-1.07397 # DEPENDENCYPART_ARC
(21,15),-0.663283 # DEPENDENCYPART_ARC
(21,16),-1.90575 # DEPENDENCYPART_ARC
(21,17),-1.7917 # DEPENDENCYPART_ARC
(21,18),-0.676627 # DEPENDENCYPART_ARC
(21,19),-0.773723 # DEPENDENCYPART_ARC
(21,20),0.823057 # DEPENDENCYPART_ARC
(21,22),-0.942649 # DEPENDENCYPART_ARC
(21,23),-0.787858 # DEPENDENCYPART_ARC
(21,24),-1.6074 # DEPENDENCYPART_ARC
(21,25),-1.72639 # DEPENDENCYPART_ARC
(21,26),-1.30777 # DEPENDENCYPART_ARC
(21,27),-1.29262 # DEPENDENCYPART_ARC
(21,28),-1.62118 # DEPENDENCYPART_ARC
(22,15),-1.32896 # DEPENDENCYPART_ARC
(22,16),-0.943039 # DEPENDENCYPART_ARC
(22,18),-0.740693 # DEPENDENCYPART_ARC
(22,19),-0.571719 # DEPENDENCYPART_ARC
(22,20),1.44033 # DEPENDENCYPART_ARC
(22,21),1.89506 # DEPENDENCYPART_ARC
(22,23),-0.954358 # DEPENDENCYPART_ARC
(22,26),-1.08191 # DEPENDENCYPART_ARC
(23,15),-2.764 # DEPENDENCYPART_ARC
(23,17),-2.17017 # DEPENDENCYPART_ARC
(23,19),-1.26449 # DEPENDENCYPART_ARC
(23,20),-0.856145 # DEPENDENCYPART_ARC
(23,21),-0.717132 # DEPENDENCYPART_ARC
(23,22),0.224479 # DEPENDENCYPART_ARC
(23,24),-1.0947 # DEPENDENCYPART_ARC
(23,25),-1.65126 # DEPENDENCYPART_ARC
(23,26),-1.148 # DEPENDENCYPART_ARC
(23,27),-1.64808 # DEPENDENCYPART_ARC
(24,18),-1.1839 # DEPENDENCYPART_ARC
(24,20),-0.76248 # DEPENDENCYPART_ARC
(24,21),-1.39874 # DEPENDENCYPART_ARC
(24,22),-0.0782302 # DEPENDENCYPART_ARC
(24,23),0.501503 # DEPENDENCYPART_ARC
(24,25),-0.988565 # DEPENDENCYPART_ARC
(24,26),-0.525252 # DEPENDENCYPART_ARC
(24,27),-0.979322 # DEPENDENCYPART_ARC
(24,28),-1.32463 # DEPENDENCYPART_ARC
(25,5),-0.905973 # DEPENDENCYPART_ARC
(25,13),-1.08201 # DEPENDENCYPART_ARC
(25,14),-5.12167 # DEPENDENCYPART_ARC
(25,15),-0.776837 # DEPENDENCYPART_ARC
(25,16),-3.63438 # DEPENDENCYPART_ARC
(25,17),-3.57887 # DEPENDENCYPART_ARC
(25,18),-0.742403 # DEPENDENCYPART_ARC
(25,19),-0.809824 # DEPENDENCYPART_ARC
(25,20),-0.42564 # DEPENDENCYPART_ARC
(25,21),-1.87504 # DEPENDENCYPART_ARC
(25,22),0.196112 # DEPENDENCYPART_ARC
(25,23),0.459224 # DEPENDENCYPART_ARC
(25,24),2.10579 # DEPENDENCYPART_ARC
(25,26),-0.437717 # DEPENDENCYPART_ARC
(25,27),-0.745977 # DEPENDENCYPART_ARC
(25,28),-1.70646 # DEPENDENCYPART_ARC
(26,16),-2.44127 # DEPENDENCYPART_ARC
(26,18),-0.849968 # DEPENDENCYPART_ARC
(26,19),-1.04382 # DEPENDENCYPART_ARC
(26,20),0.284716 # DEPENDENCYPART_ARC
(26,22),0.506199 # DEPENDENCYPART_ARC
(26,23),0.35594 # DEPENDENCYPART_ARC
(26,24),-0.164281 # DEPENDENCYPART_ARC
(26,25),2.01328 # DEPENDENCYPART_ARC
(26,27),-1.11453 # DEPENDENCYPART_ARC
(27,20),-0.507712 # DEPENDENCYPART_ARC
(27,21),-1.93572 # DEPENDENCYPART_ARC
(27,22),0.574331 # DEPENDENCYPART_ARC
(27,23),-0.240348 # DEPENDENCYPART_ARC
(27,24),-1.3466 # DEPENDENCYPART_ARC
(27,25),-0.340636 # DEPENDENCYPART_ARC
(27,26),1.51491 # DEPENDENCYPART_ARC
(27,28),-1.13827 # DEPENDENCYPART_ARC
(28,18),-1.37963 # DEPENDENCYPART_ARC
(28,20),-1.10633 # DEPENDENCYPART_ARC
(28,21),-3.83863 # DEPENDENCYPART_ARC
(28,22),-0.909869 # DEPENDENCYPART_ARC
(28,23),-0.952976 # DEPENDENCYPART_ARC
(28,24),-1.97392 # DEPENDENCYPART_ARC
(28,25),-1.52238 # DEPENDENCYPART_ARC
(28,26),-0.166575 # DEPENDENCYPART_ARC
(28,27),0.413247 # DEPENDENCYPART_ARC
(28,29),-0.672659 # DEPENDENCYPART_ARC
(29,2),-1.75844 # DEPENDENCYPART_ARC
(29,5),-0.808017 # DEPENDENCYPART_ARC
(29,6),-7.48894 # DEPENDENCYPART_ARC
(29,7),-0.902627 # DEPENDENCYPART_ARC
(29,8),-1.49449 # DEPENDENCYPART_ARC
(29,9),-0.851789 # DEPENDENCYPART_ARC
(29,10),-1.67972 # DEPENDENCYPART_ARC
(29,12),-6.0381 # DEPENDENCYPART_ARC
(29,13),-0.70388 # DEPENDENCYPART_ARC
(29,14),-5.42315 # DEPENDENCYPART_ARC
(29,15),-0.986873 # DEPENDENCYPART_ARC
(29,16),-3.76192 # DEPENDENCYPART_ARC
(29,17),-4.26449 # DEPENDENCYPART_ARC
(29,18),-0.051351 # DEPENDENCYPART_ARC
(29,19),-0.641999 # DEPENDENCYPART_ARC
(29,20),0.0572195 # DEPENDENCYPART_ARC
(29,21),-2.952 # DEPENDENCYPART_ARC
(29,22),-1.01858 # DEPENDENCYPART_ARC
(29,23),-0.104772 # DEPENDENCYPART_ARC
(29,24),-0.955309 # DEPENDENCYPART_ARC
(29,25),-1.60315 # DEPENDENCYPART_ARC
(29,26),0.508301 # DEPENDENCYPART_ARC
(29,27),1.02767 # DEPENDENCYPART_ARC
(29,28),2.00765 # DEPENDENCYPART_ARC
(30,3),-1.76766 # DEPENDENCYPART_ARC
