# _root_ " O zaman , " demiş cadı sesini biraz daha _ _ alçaltarak , " _ alabilirsin , canı ne kadar çekiyorsa _ alabilirsin .
#goldHeads=0,3,4,6,0,14,6,12,10,12,12,13,6,17,0,17,18,24,22,21,22,24,24,25,0,
#predictedHeads=0,3,12,0,0,17,8,12,10,12,12,13,6,0,0,17,18,24,22,21,22,24,24,25,0,
(0,1),1.97444 # DEPENDENCYPART_ARC
(0,4),1.0103 # DEPENDENCYPART_ARC
(0,5),1.0857 # DEPENDENCYPART_ARC
(0,14),0.532325 # DEPENDENCYPART_ARC
(0,15),0.380943 # DEPENDENCYPART_ARC
(0,18),-0.281584 # DEPENDENCYPART_ARC
(0,25),2.23061 # DEPENDENCYPART_ARC
(1,3),-1.07967 # DEPENDENCYPART_ARC
(1,4),-1.17033 # DEPENDENCYPART_ARC
(1,17),-1.2668 # DEPENDENCYPART_ARC
(1,22),-1.41001 # DEPENDENCYPART_ARC
(1,23),-1.61321 # DEPENDENCYPART_ARC
(1,24),-1.42639 # DEPENDENCYPART_ARC
(2,1),-0.256795 # DEPENDENCYPART_ARC
(3,1),-0.799295 # DEPENDENCYPART_ARC
(3,2),1.04674 # DEPENDENCYPART_ARC
(3,4),-1.01786 # DEPENDENCYPART_ARC
(4,1),-1.07501 # DEPENDENCYPART_ARC
(4,2),-1.10329 # DEPENDENCYPART_ARC
(4,3),-0.113703 # DEPENDENCYPART_ARC
(4,5),-0.894979 # DEPENDENCYPART_ARC
(4,22),-1.09996 # DEPENDENCYPART_ARC
(4,23),-1.32623 # DEPENDENCYPART_ARC
(4,24),-1.03754 # DEPENDENCYPART_ARC
(5,2),-1.87325 # DEPENDENCYPART_ARC
(5,4),-0.957279 # DEPENDENCYPART_ARC
(5,6),-0.503003 # DEPENDENCYPART_ARC
(5,7),-0.622483 # DEPENDENCYPART_ARC
(5,11),-1.01049 # DEPENDENCYPART_ARC
(5,12),-0.858824 # DEPENDENCYPART_ARC
(5,16),-1.02522 # DEPENDENCYPART_ARC
(5,17),-0.872913 # DEPENDENCYPART_ARC
(5,22),-1.01059 # DEPENDENCYPART_ARC
(5,23),-1.16706 # DEPENDENCYPART_ARC
(5,24),-0.958149 # DEPENDENCYPART_ARC
(6,1),-1.07144 # DEPENDENCYPART_ARC
(6,2),-0.987421 # DEPENDENCYPART_ARC
(6,3),-0.225213 # DEPENDENCYPART_ARC
(6,4),-0.813195 # DEPENDENCYPART_ARC
(6,5),0.568323 # DEPENDENCYPART_ARC
(6,7),0.334533 # DEPENDENCYPART_ARC
(6,8),0.332996 # DEPENDENCYPART_ARC
(6,9),-0.771582 # DEPENDENCYPART_ARC
(6,10),-0.802433 # DEPENDENCYPART_ARC
(6,11),-1.28978 # DEPENDENCYPART_ARC
(6,12),-1.75615 # DEPENDENCYPART_ARC
(6,13),-0.0814592 # DEPENDENCYPART_ARC
(6,14),-1.1984 # DEPENDENCYPART_ARC
(6,15),-1.26493 # DEPENDENCYPART_ARC
(6,16),-1.54849 # DEPENDENCYPART_ARC
(6,17),-1.2954 # DEPENDENCYPART_ARC
(6,19),-1.07879 # DEPENDENCYPART_ARC
(6,20),-1.01498 # DEPENDENCYPART_ARC
(7,2),-1.27258 # DEPENDENCYPART_ARC
(7,5),-1.2986 # DEPENDENCYPART_ARC
(7,6),-0.0726362 # DEPENDENCYPART_ARC
(7,9),-0.644522 # DEPENDENCYPART_ARC
(8,2),-1.25875 # DEPENDENCYPART_ARC
(8,3),-0.887182 # DEPENDENCYPART_ARC
(8,4),-1.11129 # DEPENDENCYPART_ARC
(8,5),-0.932486 # DEPENDENCYPART_ARC
(8,6),-1.28005 # DEPENDENCYPART_ARC
(8,7),1.1279 # DEPENDENCYPART_ARC
(8,9),-0.617262 # DEPENDENCYPART_ARC
(8,10),-0.795491 # DEPENDENCYPART_ARC
(9,7),-1.17831 # DEPENDENCYPART_ARC
(9,8),-0.459193 # DEPENDENCYPART_ARC
(9,10),-0.585032 # DEPENDENCYPART_ARC
(10,7),-1.30813 # DEPENDENCYPART_ARC
(10,8),-0.973612 # DEPENDENCYPART_ARC
(10,9),0.713779 # DEPENDENCYPART_ARC
(11,1),-1.01275 # DEPENDENCYPART_ARC
(11,3),-0.43783 # DEPENDENCYPART_ARC
(11,5),-0.482695 # DEPENDENCYPART_ARC
(11,6),-0.620979 # DEPENDENCYPART_ARC
(11,7),-0.195201 # DEPENDENCYPART_ARC
(11,8),0.100991 # DEPENDENCYPART_ARC
(11,9),-0.220053 # DEPENDENCYPART_ARC
(11,10),0.379043 # DEPENDENCYPART_ARC
