# _root_ İş Güvencesi , İş Kanunu ile birlikte _ ele_alınsın , SSK primleri _ _ düşürülsün .
#goldHeads=2,9,0,5,6,7,9,9,10,15,12,15,14,15,16,0,
#predictedHeads=2,9,0,5,6,9,9,9,10,15,12,15,14,15,16,0,
(0,3),1.04682 # DEPENDENCYPART_ARC
(0,10),0.338837 # DEPENDENCYPART_ARC
(0,12),-1.15965 # DEPENDENCYPART_ARC
(0,16),2.53387 # DEPENDENCYPART_ARC
(1,2),-0.836513 # DEPENDENCYPART_ARC
(1,3),-0.83165 # DEPENDENCYPART_ARC
(1,9),-2.05345 # DEPENDENCYPART_ARC
(1,15),-1.97651 # DEPENDENCYPART_ARC
(2,1),1.63757 # DEPENDENCYPART_ARC
(2,3),-0.885128 # DEPENDENCYPART_ARC
(2,4),-0.830632 # DEPENDENCYPART_ARC
(3,1),-0.907539 # DEPENDENCYPART_ARC
(3,2),0.277977 # DEPENDENCYPART_ARC
(3,4),-0.876014 # DEPENDENCYPART_ARC
(3,9),-1.50494 # DEPENDENCYPART_ARC
(3,10),-1.53883 # DEPENDENCYPART_ARC
(3,12),-1.28886 # DEPENDENCYPART_ARC
(3,13),-1.57943 # DEPENDENCYPART_ARC
(3,14),-1.75236 # DEPENDENCYPART_ARC
(3,15),-1.50063 # DEPENDENCYPART_ARC
(4,1),-1.68144 # DEPENDENCYPART_ARC
(4,2),-1.20908 # DEPENDENCYPART_ARC
(4,3),-0.675252 # DEPENDENCYPART_ARC
(4,5),-0.937182 # DEPENDENCYPART_ARC
(4,6),-1.15135 # DEPENDENCYPART_ARC
(4,7),-1.20873 # DEPENDENCYPART_ARC
(4,8),-1.50509 # DEPENDENCYPART_ARC
(4,15),-2.06231 # DEPENDENCYPART_ARC
(5,1),-0.824513 # DEPENDENCYPART_ARC
(5,2),-0.740967 # DEPENDENCYPART_ARC
(5,3),-0.561593 # DEPENDENCYPART_ARC
(5,4),1.63479 # DEPENDENCYPART_ARC
(5,6),-1.25094 # DEPENDENCYPART_ARC
(5,7),-1.3473 # DEPENDENCYPART_ARC
(5,8),-1.77815 # DEPENDENCYPART_ARC
(5,11),-1.11914 # DEPENDENCYPART_ARC
(5,15),-2.30629 # DEPENDENCYPART_ARC
(6,1),-1.0587 # DEPENDENCYPART_ARC
(6,2),-0.416654 # DEPENDENCYPART_ARC
(6,3),-0.448443 # DEPENDENCYPART_ARC
(6,4),0.372456 # DEPENDENCYPART_ARC
(6,5),2.32318 # DEPENDENCYPART_ARC
(6,7),-0.365157 # DEPENDENCYPART_ARC
(7,1),-1.91338 # DEPENDENCYPART_ARC
(7,2),-1.59384 # DEPENDENCYPART_ARC
(7,3),-0.886558 # DEPENDENCYPART_ARC
(7,4),-1.07905 # DEPENDENCYPART_ARC
(7,5),-0.00602998 # DEPENDENCYPART_ARC
(7,6),0.45165 # DEPENDENCYPART_ARC
(7,11),-0.774303 # DEPENDENCYPART_ARC
(8,1),-1.21044 # DEPENDENCYPART_ARC
(8,2),-1.38395 # DEPENDENCYPART_ARC
(8,3),-0.9759 # DEPENDENCYPART_ARC
(8,4),-0.732363 # DEPENDENCYPART_ARC
(8,5),-0.863183 # DEPENDENCYPART_ARC
(8,6),-0.418064 # DEPENDENCYPART_ARC
(8,7),0.247814 # DEPENDENCYPART_ARC
(8,9),-0.489207 # DEPENDENCYPART_ARC
(8,10),-0.796683 # DEPENDENCYPART_ARC
(8,11),-1.00554 # DEPENDENCYPART_ARC
(8,12),-1.0696 # DEPENDENCYPART_ARC
(8,13),-1.22156 # DEPENDENCYPART_ARC
(8,14),-1.27242 # DEPENDENCYPART_ARC
(8,15),-0.849534 # DEPENDENCYPART_ARC
(8,16),-1.52506 # DEPENDENCYPART_ARC
(9,1),-0.146925 # DEPENDENCYPART_ARC
(9,2),0.0356293 # DEPENDENCYPART_ARC
(9,3),-0.46006 # DEPENDENCYPART_ARC
(9,4),0.443063 # DEPENDENCYPART_ARC
(9,5),0.546942 # DEPENDENCYPART_ARC
(9,6),0.495938 # DEPENDENCYPART_ARC
(9,7),0.557484 # DEPENDENCYPART_ARC
(9,8),1.88781 # DEPENDENCYPART_ARC
(9,10),-1.49608 # DEPENDENCYPART_ARC
(9,11),-1.36877 # DEPENDENCYPART_ARC
(9,12),-1.20417 # DEPENDENCYPART_ARC
(9,13),-1.78043 # DEPENDENCYPART_ARC
(9,14),-2.09743 # DEPENDENCYPART_ARC
(9,15),-2.06425 # DEPENDENCYPART_ARC
(9,16),-2.3054 # DEPENDENCYPART_ARC
(10,4),-0.657778 # DEPENDENCYPART_ARC
(10,5),-0.721639 # DEPENDENCYPART_ARC
(10,6),-1.06522 # DEPENDENCYPART_ARC
(10,7),-0.863446 # DEPENDENCYPART_ARC
(10,8),-0.898372 # DEPENDENCYPART_ARC
(10,9),1.12262 # DEPENDENCYPART_ARC
(10,11),-0.759532 # DEPENDENCYPART_ARC
(10,12),-0.95962 # DEPENDENCYPART_ARC
(10,13),-1.40049 # DEPENDENCYPART_ARC
(10,14),-1.34033 # DEPENDENCYPART_ARC
(10,15),-1.13583 # DEPENDENCYPART_ARC
(10,16),-1.49203 # DEPENDENCYPART_ARC
(11,8),-1.71891 # DEPENDENCYPART_ARC
(11,9),-1.70151 # DEPENDENCYPART_ARC
(11,10),-0.89352 # DEPENDENCYPART_ARC
(11,12),-1.02972 # DEPENDENCYPART_ARC
(11,13),-1.26114 # DEPENDENCYPART_ARC
(11,14),-1.57687 # DEPENDENCYPART_ARC
(12,5),-0.930004 # DEPENDENCYPART_ARC
(12,6),-1.11286 # DEPENDENCYPART_ARC
(12,7),-1.03244 # DEPENDENCYPART_ARC
(12,8),-1.69121 # DEPENDENCYPART_ARC
(12,9),-0.42914 # DEPENDENCYPART_ARC
(12,10),-0.804072 # DEPENDENCYPART_ARC
(12,11),1.79026 # DEPENDENCYPART_ARC
(12,13),-0.952853 # DEPENDENCYPART_ARC
(12,14),-1.30647 # DEPENDENCYPART_ARC
(13,5),-1.51077 # DEPENDENCYPART_ARC
(13,6),-1.28413 # DEPENDENCYPART_ARC
(13,7),-1.25977 # DEPENDENCYPART_ARC
(13,8),-2.25384 # DEPENDENCYPART_ARC
(13,9),-1.18807 # DEPENDENCYPART_ARC
(13,10),-0.441941 # DEPENDENCYPART_ARC
(13,11),0.0835591 # DEPENDENCYPART_ARC
(13,12),0.532037 # DEPENDENCYPART_ARC
(13,14),-0.958561 # DEPENDENCYPART_ARC
(13,15),-0.953018 # DEPENDENCYPART_ARC
(14,1),-1.02353 # DEPENDENCYPART_ARC
(14,2),-1.17308 # DEPENDENCYPART_ARC
(14,4),-1.18431 # DEPENDENCYPART_ARC
(14,5),-1.41158 # DEPENDENCYPART_ARC
(14,6),-1.09721 # DEPENDENCYPART_ARC
(14,7),-0.966694 # DEPENDENCYPART_ARC
(14,8),-2.07145 # DEPENDENCYPART_ARC
(14,9),-1.00464 # DEPENDENCYPART_ARC
(14,10),-0.203692 # DEPENDENCYPART_ARC
(14,11),-0.115611 # DEPENDENCYPART_ARC
(14,12),0.0222688 # DEPENDENCYPART_ARC
(14,13),2.11522 # DEPENDENCYPART_ARC
(14,15),-0.919306 # DEPENDENCYPART_ARC
(15,1),-0.371509 # DEPENDENCYPART_ARC
(15,2),-0.158309 # DEPENDENCYPART_ARC
(15,3),-0.9753 # DEPENDENCYPART_ARC
(15,4),-0.498571 # DEPENDENCYPART_ARC
(15,5),-0.36159 # DEPENDENCYPART_ARC
(15,6),-0.538056 # DEPENDENCYPART_ARC
(15,7),-0.474942 # DEPENDENCYPART_ARC
(15,8),-1.74864 # DEPENDENCYPART_ARC
(15,9),-1.09908 # DEPENDENCYPART_ARC
(15,10),0.093534 # DEPENDENCYPART_ARC
(15,11),0.563484 # DEPENDENCYPART_ARC
(15,12),1.12841 # DEPENDENCYPART_ARC
(15,13),0.673686 # DEPENDENCYPART_ARC
(15,14),2.5034 # DEPENDENCYPART_ARC
(15,16),-1.54623 # DEPENDENCYPART_ARC
(16,8),-1.94019 # DEPENDENCYPART_ARC
(16,9),-0.39505 # DEPENDENCYPART_ARC
(16,10),-0.746577 # DEPENDENCYPART_ARC
(16,11),-0.369369 # DEPENDENCYPART_ARC
(16,12),-0.547099 # DEPENDENCYPART_ARC
(16,13),-0.603171 # DEPENDENCYPART_ARC
(16,14),-0.0675016 # DEPENDENCYPART_ARC
(16,15),1.6035 # DEPENDENCYPART_ARC
