# _root_ Bütün delilleri , dosyayı _ inceleme hakkına _ sahibiz hukuki _ olarak , fakat bu haktan _ mahrum_edildik .
#goldHeads=2,3,4,5,6,7,9,9,14,11,12,9,0,18,16,18,18,19,0,
#predictedHeads=2,5,0,5,6,7,9,9,10,11,12,18,0,19,16,18,18,19,0,
(0,3),0.898609 # DEPENDENCYPART_ARC
(0,13),0.848792 # DEPENDENCYPART_ARC
(0,14),-0.759029 # DEPENDENCYPART_ARC
(0,19),2.71593 # DEPENDENCYPART_ARC
(1,16),-1.4214 # DEPENDENCYPART_ARC
(2,1),1.19462 # DEPENDENCYPART_ARC
(2,3),-0.748058 # DEPENDENCYPART_ARC
(2,4),-1.01711 # DEPENDENCYPART_ARC
(2,15),-1.26207 # DEPENDENCYPART_ARC
(2,18),-2.22688 # DEPENDENCYPART_ARC
(3,1),-0.781171 # DEPENDENCYPART_ARC
(3,2),0.201788 # DEPENDENCYPART_ARC
(3,9),-1.39718 # DEPENDENCYPART_ARC
(3,11),-1.64836 # DEPENDENCYPART_ARC
(3,18),-1.53858 # DEPENDENCYPART_ARC
(4,1),-1.46365 # DEPENDENCYPART_ARC
(4,2),-1.60083 # DEPENDENCYPART_ARC
(4,3),-0.605594 # DEPENDENCYPART_ARC
(4,5),-1.20018 # DEPENDENCYPART_ARC
(4,8),-1.13618 # DEPENDENCYPART_ARC
(4,15),-1.17847 # DEPENDENCYPART_ARC
(4,18),-2.18633 # DEPENDENCYPART_ARC
(5,1),-1.59791 # DEPENDENCYPART_ARC
(5,2),-0.515963 # DEPENDENCYPART_ARC
(5,3),-0.702649 # DEPENDENCYPART_ARC
(5,4),1.04326 # DEPENDENCYPART_ARC
(5,6),-0.674451 # DEPENDENCYPART_ARC
(5,7),-0.772814 # DEPENDENCYPART_ARC
(5,8),-1.60552 # DEPENDENCYPART_ARC
(5,9),-1.41009 # DEPENDENCYPART_ARC
(5,11),-1.81129 # DEPENDENCYPART_ARC
(5,12),-0.878436 # DEPENDENCYPART_ARC
(5,13),-1.40818 # DEPENDENCYPART_ARC
(5,16),-2.15891 # DEPENDENCYPART_ARC
(5,18),-1.72383 # DEPENDENCYPART_ARC
(6,1),-1.02437 # DEPENDENCYPART_ARC
(6,2),-2.1766 # DEPENDENCYPART_ARC
(6,3),-0.752797 # DEPENDENCYPART_ARC
(6,4),-0.112361 # DEPENDENCYPART_ARC
(6,5),1.80743 # DEPENDENCYPART_ARC
(6,7),-1.20036 # DEPENDENCYPART_ARC
(7,1),-1.5819 # DEPENDENCYPART_ARC
(7,2),-2.31898 # DEPENDENCYPART_ARC
(7,3),-1.00026 # DEPENDENCYPART_ARC
(7,4),-1.31163 # DEPENDENCYPART_ARC
(7,5),-0.666456 # DEPENDENCYPART_ARC
(7,6),1.47306 # DEPENDENCYPART_ARC
(7,8),-1.26502 # DEPENDENCYPART_ARC
(7,10),-1.53575 # DEPENDENCYPART_ARC
(7,15),-1.58496 # DEPENDENCYPART_ARC
(8,3),-1.26297 # DEPENDENCYPART_ARC
(8,4),-1.52419 # DEPENDENCYPART_ARC
(8,5),-1.38273 # DEPENDENCYPART_ARC
(8,6),-0.470593 # DEPENDENCYPART_ARC
(8,7),0.358013 # DEPENDENCYPART_ARC
(8,9),-0.812202 # DEPENDENCYPART_ARC
(8,10),-0.761606 # DEPENDENCYPART_ARC
(8,15),-1.04025 # DEPENDENCYPART_ARC
(8,18),-1.80059 # DEPENDENCYPART_ARC
(9,2),-0.848985 # DEPENDENCYPART_ARC
(9,3),-0.57764 # DEPENDENCYPART_ARC
(9,4),-0.121024 # DEPENDENCYPART_ARC
(9,5),-1.42786 # DEPENDENCYPART_ARC
(9,6),0.14241 # DEPENDENCYPART_ARC
(9,7),0.690456 # DEPENDENCYPART_ARC
