# _root_ Sayın Bila bana , bu _ konuşmayla ilgili izlenimlerini köşesinde _ yazacağını ifade_etti , _ dediği gibi de yaptı .
#goldHeads=2,19,13,0,7,7,8,9,12,12,12,13,14,19,16,17,19,17,20,0,
#predictedHeads=2,13,13,0,7,7,8,9,11,11,12,13,14,19,16,17,19,17,20,0,
(0,4),1.04936 # DEPENDENCYPART_ARC
(0,13),-1.31429 # DEPENDENCYPART_ARC
(0,14),0.66511 # DEPENDENCYPART_ARC
(0,18),-1.05598 # DEPENDENCYPART_ARC
(0,20),2.64449 # DEPENDENCYPART_ARC
(1,3),-0.469082 # DEPENDENCYPART_ARC
(2,1),0.841523 # DEPENDENCYPART_ARC
(4,1),-1.11418 # DEPENDENCYPART_ARC
(4,2),-0.926339 # DEPENDENCYPART_ARC
(4,3),-0.408716 # DEPENDENCYPART_ARC
(4,6),-1.12521 # DEPENDENCYPART_ARC
(4,11),-1.55726 # DEPENDENCYPART_ARC
(4,12),-1.20848 # DEPENDENCYPART_ARC
(4,13),-1.23384 # DEPENDENCYPART_ARC
(4,15),-1.61716 # DEPENDENCYPART_ARC
(4,19),-1.43972 # DEPENDENCYPART_ARC
(5,4),-0.691967 # DEPENDENCYPART_ARC
(6,1),-1.64077 # DEPENDENCYPART_ARC
(6,2),-1.06828 # DEPENDENCYPART_ARC
(6,3),-0.624205 # DEPENDENCYPART_ARC
(6,4),-0.918695 # DEPENDENCYPART_ARC
(6,5),-0.0820487 # DEPENDENCYPART_ARC
(6,7),-0.542413 # DEPENDENCYPART_ARC
(6,8),-0.97783 # DEPENDENCYPART_ARC
(6,9),-1.14342 # DEPENDENCYPART_ARC
(6,11),-1.82712 # DEPENDENCYPART_ARC
(6,12),-1.40338 # DEPENDENCYPART_ARC
(6,13),-1.6011 # DEPENDENCYPART_ARC
(6,14),-1.26862 # DEPENDENCYPART_ARC
(6,15),-1.79204 # DEPENDENCYPART_ARC
(6,17),-0.99613 # DEPENDENCYPART_ARC
(6,19),-1.71896 # DEPENDENCYPART_ARC
(7,1),-1.15406 # DEPENDENCYPART_ARC
(7,2),-1.24453 # DEPENDENCYPART_ARC
(7,3),-1.71577 # DEPENDENCYPART_ARC
(7,4),-0.565234 # DEPENDENCYPART_ARC
(7,5),0.478689 # DEPENDENCYPART_ARC
(7,6),1.61008 # DEPENDENCYPART_ARC
(8,1),-1.33261 # DEPENDENCYPART_ARC
(8,2),-1.37606 # DEPENDENCYPART_ARC
(8,3),-1.38079 # DEPENDENCYPART_ARC
(8,4),-0.805241 # DEPENDENCYPART_ARC
(8,5),-0.235259 # DEPENDENCYPART_ARC
(8,6),-0.0856541 # DEPENDENCYPART_ARC
(8,7),0.839656 # DEPENDENCYPART_ARC
(8,9),-1.82956 # DEPENDENCYPART_ARC
(8,10),-2.11286 # DEPENDENCYPART_ARC
(9,1),-1.85805 # DEPENDENCYPART_ARC
(9,3),-2.07794 # DEPENDENCYPART_ARC
(9,5),-0.952548 # DEPENDENCYPART_ARC
(9,6),-1.22805 # DEPENDENCYPART_ARC
(9,7),-0.297436 # DEPENDENCYPART_ARC
(9,8),1.51542 # DEPENDENCYPART_ARC
(9,10),-0.938369 # DEPENDENCYPART_ARC
