# _root_ " Bankalar öyle bir izlenim yarattı ki sanki _ _ verilen hizmetler hava , su gibi _ _ ücretsiz _ olabilir " _ diyen Demiray , bundan_sonra _ _ verilen hizmetlerden ücret _ alınacağını _ bildirdi .
#goldHeads=0,6,5,5,6,7,8,20,10,11,12,20,16,0,16,18,18,19,20,21,22,23,24,25,35,0,30,29,30,31,33,33,34,35,36,37,0,
#predictedHeads=0,6,5,5,6,10,6,10,10,11,12,13,21,0,16,20,18,19,21,21,22,23,24,25,36,0,28,29,30,31,33,34,34,36,36,37,0,
(0,1),1.88463 # DEPENDENCYPART_ARC
(0,14),1.09239 # DEPENDENCYPART_ARC
(0,22),0.587927 # DEPENDENCYPART_ARC
(0,26),0.9145 # DEPENDENCYPART_ARC
(0,37),4.01273 # DEPENDENCYPART_ARC
(1,6),-1.33957 # DEPENDENCYPART_ARC
(1,21),-1.72903 # DEPENDENCYPART_ARC
(2,1),-0.0393724 # DEPENDENCYPART_ARC
(2,3),-0.727376 # DEPENDENCYPART_ARC
(2,4),-1.10488 # DEPENDENCYPART_ARC
(3,2),-0.40559 # DEPENDENCYPART_ARC
(4,3),-0.506315 # DEPENDENCYPART_ARC
(5,1),-0.99906 # DEPENDENCYPART_ARC
(5,2),-0.561545 # DEPENDENCYPART_ARC
(5,3),-0.236023 # DEPENDENCYPART_ARC
(5,4),1.19929 # DEPENDENCYPART_ARC
(5,36),-2.34384 # DEPENDENCYPART_ARC
(6,1),-0.585962 # DEPENDENCYPART_ARC
(6,2),0.523145 # DEPENDENCYPART_ARC
(6,3),0.0154636 # DEPENDENCYPART_ARC
(6,4),-0.32831 # DEPENDENCYPART_ARC
(6,5),1.85157 # DEPENDENCYPART_ARC
(6,7),0.712366 # DEPENDENCYPART_ARC
(6,8),-0.336973 # DEPENDENCYPART_ARC
(6,9),-1.06762 # DEPENDENCYPART_ARC
(6,10),-1.0887 # DEPENDENCYPART_ARC
(6,12),-0.0858921 # DEPENDENCYPART_ARC
(6,13),0.0292545 # DEPENDENCYPART_ARC
(6,15),-0.727574 # DEPENDENCYPART_ARC
(6,16),-0.220341 # DEPENDENCYPART_ARC
(6,20),-1.33307 # DEPENDENCYPART_ARC
(7,5),-1.12556 # DEPENDENCYPART_ARC
(7,6),-0.156894 # DEPENDENCYPART_ARC
(7,8),-0.509648 # DEPENDENCYPART_ARC
(8,4),-1.54674 # DEPENDENCYPART_ARC
(8,7),-0.669788 # DEPENDENCYPART_ARC
(9,1),-0.765689 # DEPENDENCYPART_ARC
(9,2),-0.554285 # DEPENDENCYPART_ARC
(9,3),-0.969624 # DEPENDENCYPART_ARC
(9,4),-1.47508 # DEPENDENCYPART_ARC
(9,5),-0.659969 # DEPENDENCYPART_ARC
(9,6),-0.602449 # DEPENDENCYPART_ARC
(9,7),-0.911376 # DEPENDENCYPART_ARC
(9,8),0.301245 # DEPENDENCYPART_ARC
(9,21),-1.05897 # DEPENDENCYPART_ARC
(10,1),-0.552009 # DEPENDENCYPART_ARC
(10,2),-0.353721 # DEPENDENCYPART_ARC
(10,3),-0.447667 # DEPENDENCYPART_ARC
(10,4),-1.25944 # DEPENDENCYPART_ARC
(10,5),-0.225098 # DEPENDENCYPART_ARC
(10,6),-1.04055 # DEPENDENCYPART_ARC
(10,7),-0.632044 # DEPENDENCYPART_ARC
(10,8),0.236805 # DEPENDENCYPART_ARC
(10,9),1.87292 # DEPENDENCYPART_ARC
(11,1),-0.298506 # DEPENDENCYPART_ARC
(11,2),-0.280113 # DEPENDENCYPART_ARC
(11,5),-0.0882471 # DEPENDENCYPART_ARC
(11,7),-0.312866 # DEPENDENCYPART_ARC
(11,8),0.119956 # DEPENDENCYPART_ARC
(11,9),0.0607682 # DEPENDENCYPART_ARC
(11,10),1.66833 # DEPENDENCYPART_ARC
(12,2),-1.38046 # DEPENDENCYPART_ARC
(12,4),-0.944996 # DEPENDENCYPART_ARC
(12,5),-0.649508 # DEPENDENCYPART_ARC
(12,6),-1.0461 # DEPENDENCYPART_ARC
(12,8),-0.729034 # DEPENDENCYPART_ARC
(12,9),-1.31698 # DEPENDENCYPART_ARC
(12,10),-0.485665 # DEPENDENCYPART_ARC
(12,11),1.30639 # DEPENDENCYPART_ARC
(12,36),-2.27692 # DEPENDENCYPART_ARC
(13,1),-0.669114 # DEPENDENCYPART_ARC
(13,2),-1.54151 # DEPENDENCYPART_ARC
(13,3),-0.847194 # DEPENDENCYPART_ARC
(13,4),-1.41411 # DEPENDENCYPART_ARC
(13,5),-1.22143 # DEPENDENCYPART_ARC
(13,6),-1.60394 # DEPENDENCYPART_ARC
(13,7),-1.16563 # DEPENDENCYPART_ARC
(13,8),-1.04025 # DEPENDENCYPART_ARC
(13,9),-1.99067 # DEPENDENCYPART_ARC
(13,10),-1.46451 # DEPENDENCYPART_ARC
(13,11),0.0534686 # DEPENDENCYPART_ARC
(13,12),0.5268 # DEPENDENCYPART_ARC
(13,36),-2.45615 # DEPENDENCYPART_ARC
(14,4),-1.22923 # DEPENDENCYPART_ARC
(14,6),-1.01323 # DEPENDENCYPART_ARC
(14,7),-0.850882 # DEPENDENCYPART_ARC
(14,9),-1.70686 # DEPENDENCYPART_ARC
(14,10),-1.24738 # DEPENDENCYPART_ARC
(14,11),-0.9458 # DEPENDENCYPART_ARC
(14,12),-0.78986 # DEPENDENCYPART_ARC
(14,13),0.36631 # DEPENDENCYPART_ARC
(14,21),-1.5059 # DEPENDENCYPART_ARC
(14,35),-1.94324 # DEPENDENCYPART_ARC
(14,36),-1.57345 # DEPENDENCYPART_ARC
(15,11),-1.51903 # DEPENDENCYPART_ARC
(15,13),-1.07662 # DEPENDENCYPART_ARC
(15,14),-0.451718 # DEPENDENCYPART_ARC
(15,17),-1.27272 # DEPENDENCYPART_ARC
(15,18),-1.60008 # DEPENDENCYPART_ARC
(15,20),-1.93615 # DEPENDENCYPART_ARC
(15,36),-2.2656 # DEPENDENCYPART_ARC
(16,12),-0.86047 # DEPENDENCYPART_ARC
(16,13),-0.313215 # DEPENDENCYPART_ARC
(16,14),-0.348419 # DEPENDENCYPART_ARC
(16,15),2.11995 # DEPENDENCYPART_ARC
(16,17),-0.824728 # DEPENDENCYPART_ARC
(17,11),-1.96671 # DEPENDENCYPART_ARC
(17,14),-0.953758 # DEPENDENCYPART_ARC
(17,15),-0.101001 # DEPENDENCYPART_ARC
(17,16),0.0443983 # DEPENDENCYPART_ARC
(18,10),-2.337 # DEPENDENCYPART_ARC
(18,14),-0.553878 # DEPENDENCYPART_ARC
(18,15),0.122318 # DEPENDENCYPART_ARC
(18,16),-0.273095 # DEPENDENCYPART_ARC
(18,17),2.10911 # DEPENDENCYPART_ARC
(19,4),-1.55289 # DEPENDENCYPART_ARC
(19,11),-1.16355 # DEPENDENCYPART_ARC
(19,14),-0.72496 # DEPENDENCYPART_ARC
(19,15),-0.368795 # DEPENDENCYPART_ARC
(19,16),-0.287646 # DEPENDENCYPART_ARC
(19,17),0.0537355 # DEPENDENCYPART_ARC
(19,18),1.0771 # DEPENDENCYPART_ARC
(19,20),-1.54948 # DEPENDENCYPART_ARC
(20,11),-1.6438 # DEPENDENCYPART_ARC
(20,12),-0.664905 # DEPENDENCYPART_ARC
(20,13),-0.813107 # DEPENDENCYPART_ARC
(20,14),-0.825665 # DEPENDENCYPART_ARC
(20,15),-0.56634 # DEPENDENCYPART_ARC
(20,16),-0.0250915 # DEPENDENCYPART_ARC
(20,17),-0.713224 # DEPENDENCYPART_ARC
(20,18),-1.02126 # DEPENDENCYPART_ARC
(20,19),0.604714 # DEPENDENCYPART_ARC
(20,23),-1.6372 # DEPENDENCYPART_ARC
(20,25),-1.16308 # DEPENDENCYPART_ARC
(20,27),-0.696388 # DEPENDENCYPART_ARC
(20,29),-1.69578 # DEPENDENCYPART_ARC
(20,32),-1.68452 # DEPENDENCYPART_ARC
(20,33),-1.74211 # DEPENDENCYPART_ARC
(21,1),-0.938393 # DEPENDENCYPART_ARC
(21,2),-0.72344 # DEPENDENCYPART_ARC
(21,3),-0.888327 # DEPENDENCYPART_ARC
(21,5),-0.31302 # DEPENDENCYPART_ARC
(21,6),-1.31345 # DEPENDENCYPART_ARC
(21,7),-0.740958 # DEPENDENCYPART_ARC
(21,8),-0.638267 # DEPENDENCYPART_ARC
(21,9),-3.42658 # DEPENDENCYPART_ARC
(21,10),-3.77177 # DEPENDENCYPART_ARC
(21,12),-0.305426 # DEPENDENCYPART_ARC
(21,13),-0.25049 # DEPENDENCYPART_ARC
(21,14),-0.503414 # DEPENDENCYPART_ARC
(21,15),0.117665 # DEPENDENCYPART_ARC
(21,16),-0.0379035 # DEPENDENCYPART_ARC
(21,17),-0.124674 # DEPENDENCYPART_ARC
(21,18),-1.06962 # DEPENDENCYPART_ARC
(21,19),1.20876 # DEPENDENCYPART_ARC
(21,20),1.86788 # DEPENDENCYPART_ARC
(21,22),-1.27316 # DEPENDENCYPART_ARC
(21,23),-1.57418 # DEPENDENCYPART_ARC
(21,25),-0.941237 # DEPENDENCYPART_ARC
(21,27),-0.99738 # DEPENDENCYPART_ARC
(21,28),-1.60588 # DEPENDENCYPART_ARC
(21,29),-1.77219 # DEPENDENCYPART_ARC
(21,31),-1.58046 # DEPENDENCYPART_ARC
(21,32),-1.69975 # DEPENDENCYPART_ARC
(21,33),-1.83656 # DEPENDENCYPART_ARC
(21,35),-1.61306 # DEPENDENCYPART_ARC
(22,9),-3.33911 # DEPENDENCYPART_ARC
(22,11),-1.85408 # DEPENDENCYPART_ARC
(22,18),-1.89009 # DEPENDENCYPART_ARC
(22,19),-1.24914 # DEPENDENCYPART_ARC
(22,20),-0.836746 # DEPENDENCYPART_ARC
(22,21),0.878829 # DEPENDENCYPART_ARC
(22,23),-0.649182 # DEPENDENCYPART_ARC
(22,35),-1.39114 # DEPENDENCYPART_ARC
(22,36),-1.16481 # DEPENDENCYPART_ARC
(23,12),-0.83231 # DEPENDENCYPART_ARC
(23,13),-1.28198 # DEPENDENCYPART_ARC
(23,18),-2.63381 # DEPENDENCYPART_ARC
(23,19),-1.05097 # DEPENDENCYPART_ARC
(23,20),-1.06403 # DEPENDENCYPART_ARC
(23,21),-0.506245 # DEPENDENCYPART_ARC
(23,22),0.509923 # DEPENDENCYPART_ARC
(23,33),-1.68762 # DEPENDENCYPART_ARC
(23,35),-1.64176 # DEPENDENCYPART_ARC
(23,36),-1.2851 # DEPENDENCYPART_ARC
(24,12),-0.771453 # DEPENDENCYPART_ARC
(24,13),-0.963117 # DEPENDENCYPART_ARC
(24,14),-0.874849 # DEPENDENCYPART_ARC
(24,15),-1.07628 # DEPENDENCYPART_ARC
(24,16),-0.72575 # DEPENDENCYPART_ARC
(24,17),-1.29756 # DEPENDENCYPART_ARC
(24,22),-0.422596 # DEPENDENCYPART_ARC
(24,23),1.44324 # DEPENDENCYPART_ARC
(25,11),-1.47284 # DEPENDENCYPART_ARC
(25,21),-1.9772 # DEPENDENCYPART_ARC
(25,22),-0.921276 # DEPENDENCYPART_ARC
(25,23),-0.602375 # DEPENDENCYPART_ARC
(25,24),1.09755 # DEPENDENCYPART_ARC
(26,6),-2.3731 # DEPENDENCYPART_ARC
(26,9),-4.58951 # DEPENDENCYPART_ARC
(26,10),-4.32789 # DEPENDENCYPART_ARC
(26,11),-2.30246 # DEPENDENCYPART_ARC
