# _root_ Bilimsel_Devrim boyunca alanını din aleyhine gittikçe _ _ genişleterek , dinin _ eskisine göre çok daha dar bir alana _ _ hapsedilmesine _ yol_açan bilimin kendisi de , bugün kendi alanına _ hapsedilmiştir .
#goldHeads=2,8,8,5,8,8,8,9,21,0,21,13,14,21,16,17,19,19,21,21,22,23,24,25,26,33,26,0,32,31,33,33,34,0,
#predictedHeads=2,8,8,5,8,8,8,9,23,0,13,13,14,19,16,17,19,19,21,21,22,23,24,25,26,28,26,0,33,31,33,33,34,0,
(0,10),1.09822 # DEPENDENCYPART_ARC
(0,28),0.999016 # DEPENDENCYPART_ARC
(0,34),3.23847 # DEPENDENCYPART_ARC
(1,3),-1.63955 # DEPENDENCYPART_ARC
(2,1),1.83545 # DEPENDENCYPART_ARC
(2,3),-0.612012 # DEPENDENCYPART_ARC
(2,4),-0.899569 # DEPENDENCYPART_ARC
(3,1),0.138853 # DEPENDENCYPART_ARC
(3,2),-0.101966 # DEPENDENCYPART_ARC
(3,18),-1.08246 # DEPENDENCYPART_ARC
(4,1),-1.04809 # DEPENDENCYPART_ARC
(4,2),-0.80236 # DEPENDENCYPART_ARC
(4,3),0.363438 # DEPENDENCYPART_ARC
(4,6),-0.868782 # DEPENDENCYPART_ARC
(5,1),-0.792711 # DEPENDENCYPART_ARC
(5,2),-1.11833 # DEPENDENCYPART_ARC
(5,3),-1.3087 # DEPENDENCYPART_ARC
(5,4),1.36011 # DEPENDENCYPART_ARC
(5,6),-0.568984 # DEPENDENCYPART_ARC
(5,7),-1.33093 # DEPENDENCYPART_ARC
(5,18),-1.22868 # DEPENDENCYPART_ARC
(6,3),-1.36039 # DEPENDENCYPART_ARC
(6,4),-1.03981 # DEPENDENCYPART_ARC
(6,5),-0.216713 # DEPENDENCYPART_ARC
(7,1),-0.647147 # DEPENDENCYPART_ARC
(7,2),-0.289693 # DEPENDENCYPART_ARC
(7,3),-0.470845 # DEPENDENCYPART_ARC
(7,4),-0.231232 # DEPENDENCYPART_ARC
(7,5),0.0978498 # DEPENDENCYPART_ARC
(7,6),0.11532 # DEPENDENCYPART_ARC
(7,20),-1.54007 # DEPENDENCYPART_ARC
(7,21),-1.55577 # DEPENDENCYPART_ARC
(7,26),-0.710543 # DEPENDENCYPART_ARC
(7,30),-0.874675 # DEPENDENCYPART_ARC
(8,1),-0.450727 # DEPENDENCYPART_ARC
(8,2),-0.0778205 # DEPENDENCYPART_ARC
(8,3),0.254081 # DEPENDENCYPART_ARC
(8,4),-0.0698144 # DEPENDENCYPART_ARC
(8,5),0.130366 # DEPENDENCYPART_ARC
(8,6),0.246574 # DEPENDENCYPART_ARC
(8,7),1.92872 # DEPENDENCYPART_ARC
(8,26),-0.834116 # DEPENDENCYPART_ARC
(8,30),-0.948127 # DEPENDENCYPART_ARC
(9,1),-0.351652 # DEPENDENCYPART_ARC
(9,3),-0.0458783 # DEPENDENCYPART_ARC
(9,4),-0.130268 # DEPENDENCYPART_ARC
(9,5),-0.193299 # DEPENDENCYPART_ARC
(9,6),-0.105884 # DEPENDENCYPART_ARC
(9,8),1.43543 # DEPENDENCYPART_ARC
(10,5),-0.564713 # DEPENDENCYPART_ARC
(10,7),-0.965341 # DEPENDENCYPART_ARC
(10,8),-0.3166 # DEPENDENCYPART_ARC
(10,9),-0.39228 # DEPENDENCYPART_ARC
(10,21),-1.8608 # DEPENDENCYPART_ARC
(10,33),-1.79837 # DEPENDENCYPART_ARC
(11,8),-1.39751 # DEPENDENCYPART_ARC
(11,10),-0.491254 # DEPENDENCYPART_ARC
(11,12),-0.861345 # DEPENDENCYPART_ARC
(11,18),-1.15719 # DEPENDENCYPART_ARC
