# _root_ Böyle _ önemli bir görevin başına _ _ getirilen kişi , eski _ sakallı fotoğrafından da _ anlaşılıyor ki , bir bütün bürokrasiye _ _ yayılan zihniyetin bir örneği _ olabilir .
#goldHeads=3,3,5,5,6,8,8,9,10,31,0,15,14,15,18,15,18,31,18,0,22,23,25,25,26,27,29,29,31,31,32,0,
#predictedHeads=3,3,5,5,6,8,8,9,10,18,0,13,14,15,18,15,18,20,18,31,22,23,25,25,26,27,29,29,31,31,32,0,
(0,11),0.940692 # DEPENDENCYPART_ARC
(0,20),1.28556 # DEPENDENCYPART_ARC
(0,32),3.33807 # DEPENDENCYPART_ARC
(2,1),-0.508416 # DEPENDENCYPART_ARC
(2,4),-0.83939 # DEPENDENCYPART_ARC
(3,1),-0.0468301 # DEPENDENCYPART_ARC
(3,2),1.6531 # DEPENDENCYPART_ARC
(4,3),-0.523173 # DEPENDENCYPART_ARC
(5,1),-0.677398 # DEPENDENCYPART_ARC
(5,2),-0.565094 # DEPENDENCYPART_ARC
(5,3),1.02754 # DEPENDENCYPART_ARC
(5,4),1.29753 # DEPENDENCYPART_ARC
(5,6),-1.26478 # DEPENDENCYPART_ARC
(5,7),-1.31843 # DEPENDENCYPART_ARC
(6,1),-1.13018 # DEPENDENCYPART_ARC
(6,2),-0.969545 # DEPENDENCYPART_ARC
(6,3),-0.168533 # DEPENDENCYPART_ARC
(6,4),-0.242082 # DEPENDENCYPART_ARC
(6,5),2.14093 # DEPENDENCYPART_ARC
(6,7),-0.961911 # DEPENDENCYPART_ARC
(6,31),-1.9759 # DEPENDENCYPART_ARC
(7,1),-0.787852 # DEPENDENCYPART_ARC
(7,2),-1.53264 # DEPENDENCYPART_ARC
(7,3),-1.343 # DEPENDENCYPART_ARC
(7,4),-1.00431 # DEPENDENCYPART_ARC
(7,5),0.178998 # DEPENDENCYPART_ARC
(7,6),0.605745 # DEPENDENCYPART_ARC
(8,1),-0.856631 # DEPENDENCYPART_ARC
(8,2),-1.84582 # DEPENDENCYPART_ARC
(8,3),-1.03217 # DEPENDENCYPART_ARC
(8,4),-1.08817 # DEPENDENCYPART_ARC
(8,5),0.239764 # DEPENDENCYPART_ARC
(8,6),0.419634 # DEPENDENCYPART_ARC
(8,7),1.96556 # DEPENDENCYPART_ARC
(9,2),-0.7346 # DEPENDENCYPART_ARC
(9,5),-0.132178 # DEPENDENCYPART_ARC
(9,6),0.212966 # DEPENDENCYPART_ARC
(9,7),-0.00605923 # DEPENDENCYPART_ARC
(9,8),1.57999 # DEPENDENCYPART_ARC
(10,1),-0.861879 # DEPENDENCYPART_ARC
(10,2),-2.53559 # DEPENDENCYPART_ARC
(10,3),-0.955533 # DEPENDENCYPART_ARC
(10,4),-0.85841 # DEPENDENCYPART_ARC
(10,5),-1.03124 # DEPENDENCYPART_ARC
(10,6),-1.05501 # DEPENDENCYPART_ARC
(10,7),-1.39744 # DEPENDENCYPART_ARC
(10,8),-0.737844 # DEPENDENCYPART_ARC
(10,9),1.21809 # DEPENDENCYPART_ARC
(10,11),-0.958575 # DEPENDENCYPART_ARC
(10,12),-1.3222 # DEPENDENCYPART_ARC
(10,14),-1.79087 # DEPENDENCYPART_ARC
(10,31),-2.07741 # DEPENDENCYPART_ARC
(11,3),-1.48625 # DEPENDENCYPART_ARC
(11,4),-1.35488 # DEPENDENCYPART_ARC
(11,5),-1.00126 # DEPENDENCYPART_ARC
(11,6),-0.940985 # DEPENDENCYPART_ARC
(11,7),-1.53903 # DEPENDENCYPART_ARC
(11,8),-0.928993 # DEPENDENCYPART_ARC
(11,9),-0.686976 # DEPENDENCYPART_ARC
(11,10),0.243926 # DEPENDENCYPART_ARC
(11,18),-1.56696 # DEPENDENCYPART_ARC
(11,31),-1.70036 # DEPENDENCYPART_ARC
(12,8),-1.93703 # DEPENDENCYPART_ARC
(12,9),-1.92726 # DEPENDENCYPART_ARC
(12,11),-0.642574 # DEPENDENCYPART_ARC
(12,13),-0.767576 # DEPENDENCYPART_ARC
(12,29),-1.44727 # DEPENDENCYPART_ARC
(13,4),-1.46096 # DEPENDENCYPART_ARC
(13,9),-1.23111 # DEPENDENCYPART_ARC
(13,10),-1.21142 # DEPENDENCYPART_ARC
(13,11),-0.600976 # DEPENDENCYPART_ARC
(13,12),0.70294 # DEPENDENCYPART_ARC
(13,14),-0.90922 # DEPENDENCYPART_ARC
(13,16),-0.264329 # DEPENDENCYPART_ARC
(13,28),-0.997992 # DEPENDENCYPART_ARC
(14,2),-1.71548 # DEPENDENCYPART_ARC
(14,4),-1.12849 # DEPENDENCYPART_ARC
(14,7),-1.89277 # DEPENDENCYPART_ARC
(14,8),-1.39639 # DEPENDENCYPART_ARC
(14,10),-0.780183 # DEPENDENCYPART_ARC
(14,11),-0.442934 # DEPENDENCYPART_ARC
(14,12),-0.216776 # DEPENDENCYPART_ARC
(14,13),1.74279 # DEPENDENCYPART_ARC
(14,16),-0.855874 # DEPENDENCYPART_ARC
(15,3),-0.989361 # DEPENDENCYPART_ARC
(15,4),-1.16343 # DEPENDENCYPART_ARC
(15,5),0.0660933 # DEPENDENCYPART_ARC
(15,6),-1.09325 # DEPENDENCYPART_ARC
(15,8),-2.55374 # DEPENDENCYPART_ARC
(15,9),-0.875573 # DEPENDENCYPART_ARC
(15,10),-0.516625 # DEPENDENCYPART_ARC
(15,11),-0.481887 # DEPENDENCYPART_ARC
(15,12),0.0196692 # DEPENDENCYPART_ARC
(15,13),0.6434 # DEPENDENCYPART_ARC
(15,14),1.85409 # DEPENDENCYPART_ARC
(15,16),0.791498 # DEPENDENCYPART_ARC
(15,17),-0.70406 # DEPENDENCYPART_ARC
(15,18),-1.23672 # DEPENDENCYPART_ARC
(15,19),-0.34187 # DEPENDENCYPART_ARC
(15,24),-0.992818 # DEPENDENCYPART_ARC
(15,25),-1.27941 # DEPENDENCYPART_ARC
(15,28),-0.532324 # DEPENDENCYPART_ARC
(15,30),-1.43838 # DEPENDENCYPART_ARC
(15,31),-1.18428 # DEPENDENCYPART_ARC
(16,13),-2.08047 # DEPENDENCYPART_ARC
(16,14),-1.39579 # DEPENDENCYPART_ARC
(16,15),-0.152623 # DEPENDENCYPART_ARC
(17,10),-0.787968 # DEPENDENCYPART_ARC
(17,11),-0.697507 # DEPENDENCYPART_ARC
(17,12),-1.02373 # DEPENDENCYPART_ARC
(17,13),-0.950358 # DEPENDENCYPART_ARC
(17,14),-0.899881 # DEPENDENCYPART_ARC
(17,15),0.0692108 # DEPENDENCYPART_ARC
(17,16),-0.355152 # DEPENDENCYPART_ARC
(17,19),0.120014 # DEPENDENCYPART_ARC
(17,23),-1.59352 # DEPENDENCYPART_ARC
(17,27),-1.47902 # DEPENDENCYPART_ARC
(17,30),-1.53433 # DEPENDENCYPART_ARC
(17,31),-1.01042 # DEPENDENCYPART_ARC
(18,1),-0.996458 # DEPENDENCYPART_ARC
(18,2),-3.94557 # DEPENDENCYPART_ARC
(18,3),-1.09614 # DEPENDENCYPART_ARC
(18,5),-1.24603 # DEPENDENCYPART_ARC
(18,6),-0.370956 # DEPENDENCYPART_ARC
(18,7),-2.75537 # DEPENDENCYPART_ARC
(18,8),-3.44816 # DEPENDENCYPART_ARC
(18,9),-1.13513 # DEPENDENCYPART_ARC
(18,10),-0.371105 # DEPENDENCYPART_ARC
(18,11),-0.434771 # DEPENDENCYPART_ARC
(18,12),-0.707561 # DEPENDENCYPART_ARC
(18,13),-0.452955 # DEPENDENCYPART_ARC
(18,14),-0.116627 # DEPENDENCYPART_ARC
(18,15),0.517501 # DEPENDENCYPART_ARC
(18,16),-0.371338 # DEPENDENCYPART_ARC
(18,17),1.67097 # DEPENDENCYPART_ARC
(18,19),0.39477 # DEPENDENCYPART_ARC
(18,20),-1.19091 # DEPENDENCYPART_ARC
(18,21),-1.13228 # DEPENDENCYPART_ARC
(18,23),-1.30018 # DEPENDENCYPART_ARC
(18,24),-1.53959 # DEPENDENCYPART_ARC
(18,25),-2.01994 # DEPENDENCYPART_ARC
(18,27),-2.34558 # DEPENDENCYPART_ARC
(18,29),-1.21936 # DEPENDENCYPART_ARC
(18,30),-1.94321 # DEPENDENCYPART_ARC
(18,31),-2.05553 # DEPENDENCYPART_ARC
(19,13),-1.85607 # DEPENDENCYPART_ARC
(19,15),-1.41263 # DEPENDENCYPART_ARC
(19,16),-1.16728 # DEPENDENCYPART_ARC
(19,17),-1.18719 # DEPENDENCYPART_ARC
(19,18),-0.311937 # DEPENDENCYPART_ARC
(20,8),-3.70769 # DEPENDENCYPART_ARC
(20,9),-1.9016 # DEPENDENCYPART_ARC
(20,12),-1.52902 # DEPENDENCYPART_ARC
(20,14),-1.26741 # DEPENDENCYPART_ARC
(20,15),-0.776017 # DEPENDENCYPART_ARC
(20,16),-1.46155 # DEPENDENCYPART_ARC
(20,17),-1.35387 # DEPENDENCYPART_ARC
(20,18),-0.0954624 # DEPENDENCYPART_ARC
(20,19),-0.78151 # DEPENDENCYPART_ARC
(20,25),-1.64886 # DEPENDENCYPART_ARC
(20,30),-1.71122 # DEPENDENCYPART_ARC
(20,31),-1.62692 # DEPENDENCYPART_ARC
(21,20),-0.859977 # DEPENDENCYPART_ARC
(22,13),-1.7238 # DEPENDENCYPART_ARC
(22,17),-1.52094 # DEPENDENCYPART_ARC
(22,18),-1.44789 # DEPENDENCYPART_ARC
(22,19),-1.29407 # DEPENDENCYPART_ARC
(22,20),-0.827021 # DEPENDENCYPART_ARC
(22,21),0.220129 # DEPENDENCYPART_ARC
(22,27),-1.04739 # DEPENDENCYPART_ARC
(22,29),-1.0541 # DEPENDENCYPART_ARC
(23,3),-1.58823 # DEPENDENCYPART_ARC
(23,9),-1.55278 # DEPENDENCYPART_ARC
(23,11),-0.899377 # DEPENDENCYPART_ARC
(23,12),-1.73793 # DEPENDENCYPART_ARC
(23,14),-1.43064 # DEPENDENCYPART_ARC
(23,16),-1.23786 # DEPENDENCYPART_ARC
(23,17),-1.88146 # DEPENDENCYPART_ARC
(23,18),-2.32705 # DEPENDENCYPART_ARC
(23,19),-1.23174 # DEPENDENCYPART_ARC
(23,20),-0.79921 # DEPENDENCYPART_ARC
(23,21),-0.683346 # DEPENDENCYPART_ARC
(23,22),1.17053 # DEPENDENCYPART_ARC
(23,24),-0.884606 # DEPENDENCYPART_ARC
(23,25),-1.46754 # DEPENDENCYPART_ARC
(23,28),-1.0712 # DEPENDENCYPART_ARC
(23,29),-1.06639 # DEPENDENCYPART_ARC
(24,10),-0.695267 # DEPENDENCYPART_ARC
(24,15),-1.15069 # DEPENDENCYPART_ARC
