# _root_ Bir gün düşünmüş , iki gün düşünmüş , işin içinden _ _ çıkamayacağını _ _ kestirince doğru kıza gitmiş .
#goldHeads=2,3,4,7,6,7,8,19,10,12,12,13,15,15,16,19,19,19,20,0,
#predictedHeads=2,3,4,7,6,7,8,19,10,12,12,13,15,15,16,19,19,19,20,0,
(0,1),-0.427193 # DEPENDENCYPART_ARC
(0,3),-1.34934 # DEPENDENCYPART_ARC
(0,4),0.412334 # DEPENDENCYPART_ARC
(0,5),-0.890001 # DEPENDENCYPART_ARC
(0,8),0.0791733 # DEPENDENCYPART_ARC
(0,20),2.38869 # DEPENDENCYPART_ARC
(2,1),1.12976 # DEPENDENCYPART_ARC
(2,5),-0.962832 # DEPENDENCYPART_ARC
(2,19),-1.63037 # DEPENDENCYPART_ARC
(3,1),-0.114608 # DEPENDENCYPART_ARC
(3,2),1.75116 # DEPENDENCYPART_ARC
(3,4),-1.29417 # DEPENDENCYPART_ARC
(3,6),-1.12952 # DEPENDENCYPART_ARC
(3,7),-2.1274 # DEPENDENCYPART_ARC
(3,11),-1.63702 # DEPENDENCYPART_ARC
(3,12),-1.87564 # DEPENDENCYPART_ARC
(3,14),-1.58127 # DEPENDENCYPART_ARC
(3,15),-2.04518 # DEPENDENCYPART_ARC
(3,16),-1.39537 # DEPENDENCYPART_ARC
(3,18),-1.69801 # DEPENDENCYPART_ARC
(4,1),-0.741311 # DEPENDENCYPART_ARC
(4,2),-0.504803 # DEPENDENCYPART_ARC
(4,3),0.776503 # DEPENDENCYPART_ARC
(4,7),-1.1091 # DEPENDENCYPART_ARC
(4,14),-1.37449 # DEPENDENCYPART_ARC
(4,15),-1.37113 # DEPENDENCYPART_ARC
(4,19),-1.31217 # DEPENDENCYPART_ARC
(5,4),-0.433691 # DEPENDENCYPART_ARC
(6,1),-1.03956 # DEPENDENCYPART_ARC
(6,2),-1.15454 # DEPENDENCYPART_ARC
(6,3),-1.4428 # DEPENDENCYPART_ARC
(6,4),-0.8225 # DEPENDENCYPART_ARC
(6,5),1.04786 # DEPENDENCYPART_ARC
(6,19),-1.79044 # DEPENDENCYPART_ARC
(7,1),-1.12507 # DEPENDENCYPART_ARC
(7,2),-0.271628 # DEPENDENCYPART_ARC
(7,3),-0.872642 # DEPENDENCYPART_ARC
(7,4),-0.0745675 # DEPENDENCYPART_ARC
(7,5),-0.074259 # DEPENDENCYPART_ARC
(7,6),1.79972 # DEPENDENCYPART_ARC
(7,9),-1.69313 # DEPENDENCYPART_ARC
(7,10),-1.31803 # DEPENDENCYPART_ARC
(7,11),-1.57361 # DEPENDENCYPART_ARC
(7,12),-1.97235 # DEPENDENCYPART_ARC
(7,13),-1.16469 # DEPENDENCYPART_ARC
(7,14),-1.60881 # DEPENDENCYPART_ARC
(7,15),-2.10359 # DEPENDENCYPART_ARC
(7,16),-1.27107 # DEPENDENCYPART_ARC
(7,17),-0.521671 # DEPENDENCYPART_ARC
(7,18),-1.50174 # DEPENDENCYPART_ARC
(7,19),-2.01953 # DEPENDENCYPART_ARC
(8,3),-1.30864 # DEPENDENCYPART_ARC
(8,4),-0.907523 # DEPENDENCYPART_ARC
(8,5),-1.00982 # DEPENDENCYPART_ARC
(8,6),-0.62669 # DEPENDENCYPART_ARC
(8,7),0.784448 # DEPENDENCYPART_ARC
(8,12),-1.3233 # DEPENDENCYPART_ARC
(8,13),-1.0292 # DEPENDENCYPART_ARC
(8,15),-1.33008 # DEPENDENCYPART_ARC
(8,18),-1.03317 # DEPENDENCYPART_ARC
(8,19),-1.28596 # DEPENDENCYPART_ARC
(9,1),-1.72637 # DEPENDENCYPART_ARC
(9,5),-1.44193 # DEPENDENCYPART_ARC
(9,7),-1.90787 # DEPENDENCYPART_ARC
(9,8),-0.753185 # DEPENDENCYPART_ARC
(9,11),-1.27453 # DEPENDENCYPART_ARC
(10,2),-0.576336 # DEPENDENCYPART_ARC
(10,3),-2.05221 # DEPENDENCYPART_ARC
(10,5),-1.2949 # DEPENDENCYPART_ARC
(10,6),-0.685267 # DEPENDENCYPART_ARC
(10,7),-1.88674 # DEPENDENCYPART_ARC
(10,8),-0.875029 # DEPENDENCYPART_ARC
(10,9),2.14901 # DEPENDENCYPART_ARC
(10,11),-1.04415 # DEPENDENCYPART_ARC
(10,12),-1.46606 # DEPENDENCYPART_ARC
(11,1),-2.01694 # DEPENDENCYPART_ARC
(11,5),-1.87091 # DEPENDENCYPART_ARC
(11,6),-1.22156 # DEPENDENCYPART_ARC
(11,7),-1.24725 # DEPENDENCYPART_ARC
(11,8),-0.529206 # DEPENDENCYPART_ARC
(11,9),0.00240669 # DEPENDENCYPART_ARC
(11,10),0.469133 # DEPENDENCYPART_ARC
(11,13),-0.64559 # DEPENDENCYPART_ARC
(11,14),-1.34442 # DEPENDENCYPART_ARC
(11,15),-1.34714 # DEPENDENCYPART_ARC
(11,16),-0.879386 # DEPENDENCYPART_ARC
(11,17),-0.768787 # DEPENDENCYPART_ARC
(11,18),-0.992901 # DEPENDENCYPART_ARC
(11,19),-1.04883 # DEPENDENCYPART_ARC
