# _root_ _ DYP_Genel_Başkanlığı için Türkiye turuna _ çıkan Elazığ_Milletvekili_Mehmet Ağar , hakkında _ _ _ çıkarılan şaibe söylentilerinin arkasında başka hesaplar _ olduğunu _ savunarak , " _ Benim için şu anda hukuki problem _ yok .
#goldHeads=2,3,7,5,7,7,8,9,24,0,15,13,14,15,17,17,18,22,20,22,22,24,24,35,0,0,28,35,35,31,35,33,35,35,36,0,
#predictedHeads=2,3,6,5,6,7,8,9,11,0,14,13,14,15,17,17,18,21,20,21,22,23,24,27,0,0,28,29,35,31,35,33,35,35,36,0,
(0,10),1.15322 # DEPENDENCYPART_ARC
(0,25),1.35006 # DEPENDENCYPART_ARC
(0,26),1.28782 # DEPENDENCYPART_ARC
(0,36),4.04916 # DEPENDENCYPART_ARC
(2,1),1.63578 # DEPENDENCYPART_ARC
(2,4),-1.53539 # DEPENDENCYPART_ARC
(3,1),0.144421 # DEPENDENCYPART_ARC
(3,2),2.41843 # DEPENDENCYPART_ARC
(3,5),-0.823962 # DEPENDENCYPART_ARC
(4,1),-1.58845 # DEPENDENCYPART_ARC
(4,2),-1.04478 # DEPENDENCYPART_ARC
(4,3),-0.462509 # DEPENDENCYPART_ARC
(5,1),-1.50988 # DEPENDENCYPART_ARC
(5,2),-0.651391 # DEPENDENCYPART_ARC
(5,3),-0.95262 # DEPENDENCYPART_ARC
(5,4),1.36998 # DEPENDENCYPART_ARC
(5,6),-1.3103 # DEPENDENCYPART_ARC
(6,1),-1.97123 # DEPENDENCYPART_ARC
(6,2),-0.493766 # DEPENDENCYPART_ARC
(6,3),-0.193014 # DEPENDENCYPART_ARC
(6,4),0.0050714 # DEPENDENCYPART_ARC
(6,5),1.141 # DEPENDENCYPART_ARC
(6,8),-0.910468 # DEPENDENCYPART_ARC
(7,1),-0.392472 # DEPENDENCYPART_ARC
(7,2),-0.232222 # DEPENDENCYPART_ARC
(7,3),0.0133041 # DEPENDENCYPART_ARC
(7,4),0.05205 # DEPENDENCYPART_ARC
(7,5),0.530928 # DEPENDENCYPART_ARC
(7,6),1.6381 # DEPENDENCYPART_ARC
(8,1),-2.39135 # DEPENDENCYPART_ARC
(8,2),-1.41068 # DEPENDENCYPART_ARC
(8,5),-1.04737 # DEPENDENCYPART_ARC
(8,6),-0.819354 # DEPENDENCYPART_ARC
(8,7),1.07026 # DEPENDENCYPART_ARC
(9,2),-1.91359 # DEPENDENCYPART_ARC
(9,5),-1.80081 # DEPENDENCYPART_ARC
(9,6),-1.5287 # DEPENDENCYPART_ARC
(9,7),-0.181294 # DEPENDENCYPART_ARC
(9,8),0.584499 # DEPENDENCYPART_ARC
(10,6),-1.66433 # DEPENDENCYPART_ARC
(10,7),-1.22765 # DEPENDENCYPART_ARC
(10,8),-1.07169 # DEPENDENCYPART_ARC
(10,9),0.065224 # DEPENDENCYPART_ARC
(10,21),-1.76188 # DEPENDENCYPART_ARC
(10,23),-1.8132 # DEPENDENCYPART_ARC
(10,35),-1.63649 # DEPENDENCYPART_ARC
(11,7),-1.58428 # DEPENDENCYPART_ARC
(11,9),-0.229944 # DEPENDENCYPART_ARC
(11,10),-0.567102 # DEPENDENCYPART_ARC
