# _root_ Her _ iki olgu da , bilim için yeni bir başlangıçtan çok , bir dönemin _ _ kapanışına işaret_etmektedir .
#goldHeads=3,3,4,19,4,0,8,19,10,11,12,19,0,15,18,17,18,19,20,0,
#predictedHeads=3,3,4,19,4,0,8,19,11,11,12,19,0,15,17,17,18,19,20,0,
(0,2),-0.567401 # DEPENDENCYPART_ARC
(0,6),1.06711 # DEPENDENCYPART_ARC
(0,13),0.979414 # DEPENDENCYPART_ARC
(0,19),-1.38203 # DEPENDENCYPART_ARC
(0,20),2.21642 # DEPENDENCYPART_ARC
(2,1),-0.306561 # DEPENDENCYPART_ARC
(3,1),0.258406 # DEPENDENCYPART_ARC
(3,2),1.15027 # DEPENDENCYPART_ARC
(3,15),-1.8106 # DEPENDENCYPART_ARC
(4,1),-0.401691 # DEPENDENCYPART_ARC
(4,2),-0.304285 # DEPENDENCYPART_ARC
(4,3),1.13839 # DEPENDENCYPART_ARC
(4,5),0.808278 # DEPENDENCYPART_ARC
(4,6),-0.488805 # DEPENDENCYPART_ARC
(4,7),-0.82909 # DEPENDENCYPART_ARC
(4,8),-0.738457 # DEPENDENCYPART_ARC
(4,10),-0.720918 # DEPENDENCYPART_ARC
(4,14),-0.555255 # DEPENDENCYPART_ARC
(4,16),-1.26471 # DEPENDENCYPART_ARC
(4,17),-1.55815 # DEPENDENCYPART_ARC
(4,19),-1.58555 # DEPENDENCYPART_ARC
(5,3),-1.72118 # DEPENDENCYPART_ARC
(5,4),-0.370547 # DEPENDENCYPART_ARC
(6,1),-1.33704 # DEPENDENCYPART_ARC
(6,2),-2.02488 # DEPENDENCYPART_ARC
(6,3),-0.957823 # DEPENDENCYPART_ARC
(6,4),-0.590195 # DEPENDENCYPART_ARC
(6,5),-0.749764 # DEPENDENCYPART_ARC
(6,7),-0.802137 # DEPENDENCYPART_ARC
(6,8),-0.889138 # DEPENDENCYPART_ARC
(6,13),-1.43337 # DEPENDENCYPART_ARC
(6,19),-1.52455 # DEPENDENCYPART_ARC
(7,1),-2.02289 # DEPENDENCYPART_ARC
