# _root_ Hem _ eminim ki , benim de benden daha büyük bir kardeşim olsaydı , o da _ aynılarını yapardı .
#goldHeads=20,3,13,2,19,13,6,10,10,12,12,13,19,0,19,15,18,19,20,0,
#predictedHeads=3,3,4,19,0,12,6,13,10,12,12,13,14,19,19,15,18,19,20,0,
(0,1),-0.608 # DEPENDENCYPART_ARC
(0,5),0.83859 # DEPENDENCYPART_ARC
(0,13),-1.55082 # DEPENDENCYPART_ARC
(0,14),0.420983 # DEPENDENCYPART_ARC
(0,16),-1.04137 # DEPENDENCYPART_ARC
(0,19),-1.41425 # DEPENDENCYPART_ARC
(0,20),1.82455 # DEPENDENCYPART_ARC
(2,1),-0.128592 # DEPENDENCYPART_ARC
(2,4),-0.146276 # DEPENDENCYPART_ARC
(2,6),-0.772737 # DEPENDENCYPART_ARC
(2,8),-0.784218 # DEPENDENCYPART_ARC
(2,12),-1.02169 # DEPENDENCYPART_ARC
(3,1),-0.128731 # DEPENDENCYPART_ARC
(3,2),1.30659 # DEPENDENCYPART_ARC
(3,4),0.251856 # DEPENDENCYPART_ARC
(3,9),-1.34229 # DEPENDENCYPART_ARC
(3,12),-1.29313 # DEPENDENCYPART_ARC
(3,13),-1.53404 # DEPENDENCYPART_ARC
(4,1),-1.08065 # DEPENDENCYPART_ARC
(4,2),-1.12721 # DEPENDENCYPART_ARC
(4,3),-0.217384 # DEPENDENCYPART_ARC
(5,1),-1.06253 # DEPENDENCYPART_ARC
(5,2),-1.42449 # DEPENDENCYPART_ARC
(5,3),-0.12673 # DEPENDENCYPART_ARC
(5,4),-0.71727 # DEPENDENCYPART_ARC
(5,13),-1.38137 # DEPENDENCYPART_ARC
(5,19),-1.41625 # DEPENDENCYPART_ARC
(6,5),-0.393322 # DEPENDENCYPART_ARC
(6,7),0.992407 # DEPENDENCYPART_ARC
(7,3),-1.60083 # DEPENDENCYPART_ARC
(7,4),-1.70833 # DEPENDENCYPART_ARC
(7,6),-0.498199 # DEPENDENCYPART_ARC
(8,5),-0.670697 # DEPENDENCYPART_ARC
(8,6),-1.20769 # DEPENDENCYPART_ARC
(8,7),-0.206876 # DEPENDENCYPART_ARC
(8,9),-0.424467 # DEPENDENCYPART_ARC
(9,3),-1.83913 # DEPENDENCYPART_ARC
(9,5),-1.48416 # DEPENDENCYPART_ARC
(9,6),-1.41763 # DEPENDENCYPART_ARC
(9,7),-1.46155 # DEPENDENCYPART_ARC
(9,8),-0.535559 # DEPENDENCYPART_ARC
(9,15),-0.885524 # DEPENDENCYPART_ARC
(10,3),-1.43677 # DEPENDENCYPART_ARC
(10,5),-0.986209 # DEPENDENCYPART_ARC
(10,6),-0.967469 # DEPENDENCYPART_ARC
(10,7),-0.993723 # DEPENDENCYPART_ARC
(10,8),-0.659825 # DEPENDENCYPART_ARC
(10,9),0.592963 # DEPENDENCYPART_ARC
(10,12),-0.967264 # DEPENDENCYPART_ARC
(10,15),-1.05557 # DEPENDENCYPART_ARC
(11,10),-0.52253 # DEPENDENCYPART_ARC
(12,1),-0.899055 # DEPENDENCYPART_ARC
(12,2),-2.18179 # DEPENDENCYPART_ARC
(12,4),-0.988946 # DEPENDENCYPART_ARC
(12,5),-0.423816 # DEPENDENCYPART_ARC
(12,6),0.326203 # DEPENDENCYPART_ARC
(12,7),-1.06345 # DEPENDENCYPART_ARC
(12,8),-0.461587 # DEPENDENCYPART_ARC
(12,9),-0.708479 # DEPENDENCYPART_ARC
(12,10),0.469689 # DEPENDENCYPART_ARC
(12,11),1.18655 # DEPENDENCYPART_ARC
(12,13),-0.684347 # DEPENDENCYPART_ARC
(12,14),-0.665388 # DEPENDENCYPART_ARC
(12,15),-0.909266 # DEPENDENCYPART_ARC
(12,16),-0.851806 # DEPENDENCYPART_ARC
(12,18),-1.98879 # DEPENDENCYPART_ARC
(12,19),-2.08612 # DEPENDENCYPART_ARC
(13,1),-0.683282 # DEPENDENCYPART_ARC
(13,2),-1.90636 # DEPENDENCYPART_ARC
(13,3),-1.11794 # DEPENDENCYPART_ARC
(13,4),-0.435708 # DEPENDENCYPART_ARC
(13,5),-0.443537 # DEPENDENCYPART_ARC
(13,6),-0.478124 # DEPENDENCYPART_ARC
