# _root_ Kendi yaşam alanını güvence altında _ gören _ Papalık , bunun _ verdiği _ rahatlıkla , yakın geçmişte Darwin'le bile _ barışmakta bir beis görmemiştir .
#goldHeads=3,3,6,5,6,7,8,9,25,0,12,13,14,15,25,0,18,21,21,19,22,25,24,25,26,0,
#predictedHeads=3,3,6,5,6,7,9,9,12,0,12,13,15,15,25,0,18,21,21,21,22,25,24,25,26,0,
(0,10),0.870276 # DEPENDENCYPART_ARC
(0,16),0.834182 # DEPENDENCYPART_ARC
(0,26),3.31783 # DEPENDENCYPART_ARC
(2,1),0.492406 # DEPENDENCYPART_ARC
(3,1),-0.057989 # DEPENDENCYPART_ARC
(3,2),1.47466 # DEPENDENCYPART_ARC
(4,1),-1.02198 # DEPENDENCYPART_ARC
(4,2),-0.435568 # DEPENDENCYPART_ARC
(4,3),0.209177 # DEPENDENCYPART_ARC
(4,6),-1.65828 # DEPENDENCYPART_ARC
(5,2),-0.103727 # DEPENDENCYPART_ARC
(5,3),-0.774569 # DEPENDENCYPART_ARC
(5,4),1.86684 # DEPENDENCYPART_ARC
(5,6),-1.18546 # DEPENDENCYPART_ARC
(5,25),-1.78721 # DEPENDENCYPART_ARC
(6,1),-1.16984 # DEPENDENCYPART_ARC
(6,2),-0.478676 # DEPENDENCYPART_ARC
(6,3),-0.0246288 # DEPENDENCYPART_ARC
(6,4),0.0572241 # DEPENDENCYPART_ARC
(6,5),1.12438 # DEPENDENCYPART_ARC
(6,8),-1.059 # DEPENDENCYPART_ARC
(6,20),-1.27065 # DEPENDENCYPART_ARC
(6,22),-2.09075 # DEPENDENCYPART_ARC
(7,2),-0.246697 # DEPENDENCYPART_ARC
(7,3),-0.119906 # DEPENDENCYPART_ARC
(7,4),0.0617619 # DEPENDENCYPART_ARC
(7,5),0.512477 # DEPENDENCYPART_ARC
(7,6),1.60424 # DEPENDENCYPART_ARC
(8,2),-0.81951 # DEPENDENCYPART_ARC
(8,3),-1.20882 # DEPENDENCYPART_ARC
(8,4),-0.51074 # DEPENDENCYPART_ARC
(8,5),-1.17095 # DEPENDENCYPART_ARC
(8,6),-0.79609 # DEPENDENCYPART_ARC
(8,7),0.684049 # DEPENDENCYPART_ARC
(8,23),-1.03162 # DEPENDENCYPART_ARC
(9,2),-0.397734 # DEPENDENCYPART_ARC
(9,3),-1.66193 # DEPENDENCYPART_ARC
(9,4),0.0270928 # DEPENDENCYPART_ARC
(9,5),-1.25653 # DEPENDENCYPART_ARC
(9,6),-1.11396 # DEPENDENCYPART_ARC
(9,7),0.548661 # DEPENDENCYPART_ARC
(9,8),1.61179 # DEPENDENCYPART_ARC
(9,11),-1.65235 # DEPENDENCYPART_ARC
(9,13),-1.92172 # DEPENDENCYPART_ARC
(9,23),-1.60525 # DEPENDENCYPART_ARC
(9,25),-1.79195 # DEPENDENCYPART_ARC
(10,6),-1.18039 # DEPENDENCYPART_ARC
(10,7),-0.829939 # DEPENDENCYPART_ARC
(10,8),-1.31992 # DEPENDENCYPART_ARC
(10,9),0.257797 # DEPENDENCYPART_ARC
(10,12),-0.961803 # DEPENDENCYPART_ARC
(10,21),-1.62406 # DEPENDENCYPART_ARC
(10,25),-1.37925 # DEPENDENCYPART_ARC
(11,7),-1.47091 # DEPENDENCYPART_ARC
(11,9),-0.84136 # DEPENDENCYPART_ARC
(11,10),-0.584627 # DEPENDENCYPART_ARC
(11,15),-0.865142 # DEPENDENCYPART_ARC
(12,1),-1.7384 # DEPENDENCYPART_ARC
(12,2),-0.874986 # DEPENDENCYPART_ARC
(12,3),-0.593849 # DEPENDENCYPART_ARC
(12,4),-0.8569 # DEPENDENCYPART_ARC
(12,5),-0.653163 # DEPENDENCYPART_ARC
(12,6),-2.35544 # DEPENDENCYPART_ARC
(12,7),-1.39683 # DEPENDENCYPART_ARC
(12,8),-1.1476 # DEPENDENCYPART_ARC
(12,9),-0.62794 # DEPENDENCYPART_ARC
(12,10),-0.473788 # DEPENDENCYPART_ARC
(12,11),0.923899 # DEPENDENCYPART_ARC
(12,14),-0.986966 # DEPENDENCYPART_ARC
(12,18),-1.65802 # DEPENDENCYPART_ARC
(12,19),-1.73049 # DEPENDENCYPART_ARC
(12,20),-1.27226 # DEPENDENCYPART_ARC
(12,21),-1.76036 # DEPENDENCYPART_ARC
(12,22),-1.66598 # DEPENDENCYPART_ARC
(12,25),-1.37521 # DEPENDENCYPART_ARC
(13,5),-0.821848 # DEPENDENCYPART_ARC
(13,8),-0.793968 # DEPENDENCYPART_ARC
(13,9),-1.03081 # DEPENDENCYPART_ARC
(13,10),-0.546505 # DEPENDENCYPART_ARC
(13,12),1.55333 # DEPENDENCYPART_ARC
(14,8),-1.56253 # DEPENDENCYPART_ARC
(14,11),-0.810242 # DEPENDENCYPART_ARC
(14,12),-0.521109 # DEPENDENCYPART_ARC
(14,13),-0.120481 # DEPENDENCYPART_ARC
(15,4),-0.5954 # DEPENDENCYPART_ARC
(15,5),-1.97384 # DEPENDENCYPART_ARC
(15,7),-0.991303 # DEPENDENCYPART_ARC
(15,8),-1.83348 # DEPENDENCYPART_ARC
(15,9),-0.948323 # DEPENDENCYPART_ARC
(15,10),-0.219049 # DEPENDENCYPART_ARC
(15,11),0.0220905 # DEPENDENCYPART_ARC
(15,12),-1.10817 # DEPENDENCYPART_ARC
(15,13),0.429963 # DEPENDENCYPART_ARC
(15,14),1.58394 # DEPENDENCYPART_ARC
(15,16),-1.20962 # DEPENDENCYPART_ARC
(15,17),-1.57332 # DEPENDENCYPART_ARC
(15,19),-1.8992 # DEPENDENCYPART_ARC
(15,21),-2.28794 # DEPENDENCYPART_ARC
(15,23),-1.66655 # DEPENDENCYPART_ARC
(15,25),-1.6205 # DEPENDENCYPART_ARC
(16,6),-3.00771 # DEPENDENCYPART_ARC
(16,7),-1.69315 # DEPENDENCYPART_ARC
(16,10),-0.689473 # DEPENDENCYPART_ARC
(16,12),-1.21764 # DEPENDENCYPART_ARC
(16,14),-1.12667 # DEPENDENCYPART_ARC
(16,15),0.413387 # DEPENDENCYPART_ARC
(16,18),-1.15979 # DEPENDENCYPART_ARC
(16,19),-1.25042 # DEPENDENCYPART_ARC
(16,21),-1.54053 # DEPENDENCYPART_ARC
(16,25),-1.47097 # DEPENDENCYPART_ARC
(17,11),-1.521 # DEPENDENCYPART_ARC
(17,12),-1.75588 # DEPENDENCYPART_ARC
(17,14),-1.57235 # DEPENDENCYPART_ARC
(17,15),-1.38493 # DEPENDENCYPART_ARC
(17,16),-0.328439 # DEPENDENCYPART_ARC
(17,18),-0.719117 # DEPENDENCYPART_ARC
(17,24),-1.16011 # DEPENDENCYPART_ARC
(18,7),-1.14201 # DEPENDENCYPART_ARC
(18,9),-1.02698 # DEPENDENCYPART_ARC
(18,10),-1.00034 # DEPENDENCYPART_ARC
(18,11),-1.11985 # DEPENDENCYPART_ARC
(18,12),-2.50491 # DEPENDENCYPART_ARC
