# _root_ Cadı onu _ ziyarete_geldiğinde , aşağıdan " Rapunzel , Rapunzel ! _ Uzat altın _ sarısı saçlarını ! " diye seslenirmiş .
#goldHeads=3,3,4,21,0,21,0,9,10,13,0,13,18,16,16,17,13,20,0,21,22,0,
#predictedHeads=3,3,4,5,0,7,0,16,0,16,0,13,16,16,16,17,21,0,0,21,22,0,
(0,5),0.821275 # DEPENDENCYPART_ARC
(0,7),1.17176 # DEPENDENCYPART_ARC
(0,9),0.53988 # DEPENDENCYPART_ARC
(0,11),1.16787 # DEPENDENCYPART_ARC
(0,18),2.11241 # DEPENDENCYPART_ARC
(0,19),1.19481 # DEPENDENCYPART_ARC
(0,22),2.96329 # DEPENDENCYPART_ARC
(1,2),-0.77459 # DEPENDENCYPART_ARC
(1,4),-1.57512 # DEPENDENCYPART_ARC
(1,6),-1.62753 # DEPENDENCYPART_ARC
(2,1),-1.10604 # DEPENDENCYPART_ARC
(3,1),0.200976 # DEPENDENCYPART_ARC
(3,2),1.13315 # DEPENDENCYPART_ARC
(3,4),-0.125521 # DEPENDENCYPART_ARC
(3,5),-1.03664 # DEPENDENCYPART_ARC
(3,6),-1.31056 # DEPENDENCYPART_ARC
(3,8),-1.43615 # DEPENDENCYPART_ARC
(4,1),0.48489 # DEPENDENCYPART_ARC
(4,2),0.173492 # DEPENDENCYPART_ARC
(4,3),1.76323 # DEPENDENCYPART_ARC
(5,1),-0.744111 # DEPENDENCYPART_ARC
(5,2),-0.879832 # DEPENDENCYPART_ARC
(5,3),-0.449191 # DEPENDENCYPART_ARC
(5,4),0.390731 # DEPENDENCYPART_ARC
(5,21),-1.24457 # DEPENDENCYPART_ARC
(6,3),-1.0573 # DEPENDENCYPART_ARC
(6,4),-1.82924 # DEPENDENCYPART_ARC
(6,5),0.268063 # DEPENDENCYPART_ARC
(6,7),-0.438837 # DEPENDENCYPART_ARC
(6,8),-0.996423 # DEPENDENCYPART_ARC
(6,9),-0.953443 # DEPENDENCYPART_ARC
(6,10),-1.1402 # DEPENDENCYPART_ARC
(7,3),-1.27598 # DEPENDENCYPART_ARC
(7,5),-1.2329 # DEPENDENCYPART_ARC
(7,6),0.417987 # DEPENDENCYPART_ARC
(7,8),-0.506529 # DEPENDENCYPART_ARC
(7,9),-0.983527 # DEPENDENCYPART_ARC
(7,17),-0.918764 # DEPENDENCYPART_ARC
(7,21),-1.22931 # DEPENDENCYPART_ARC
(8,1),-1.34472 # DEPENDENCYPART_ARC
(8,5),-0.834078 # DEPENDENCYPART_ARC
(8,6),-1.33208 # DEPENDENCYPART_ARC
(8,7),0.336818 # DEPENDENCYPART_ARC
(8,10),-0.98344 # DEPENDENCYPART_ARC
(9,3),-2.11121 # DEPENDENCYPART_ARC
(9,6),-1.07466 # DEPENDENCYPART_ARC
(9,7),-1.1471 # DEPENDENCYPART_ARC
(9,8),0.688712 # DEPENDENCYPART_ARC
(9,11),-1.05 # DEPENDENCYPART_ARC
(9,21),-1.12159 # DEPENDENCYPART_ARC
(10,5),-1.4594 # DEPENDENCYPART_ARC
(10,7),-1.37529 # DEPENDENCYPART_ARC
(10,8),-1.28135 # DEPENDENCYPART_ARC
(10,9),-0.0536543 # DEPENDENCYPART_ARC
(11,3),-1.62219 # DEPENDENCYPART_ARC
(11,9),-1.20998 # DEPENDENCYPART_ARC
(11,10),0.0653293 # DEPENDENCYPART_ARC
(11,12),-0.907496 # DEPENDENCYPART_ARC
(11,13),-1.09037 # DEPENDENCYPART_ARC
(11,16),-1.20599 # DEPENDENCYPART_ARC
(11,18),-1.2258 # DEPENDENCYPART_ARC
(11,21),-1.16284 # DEPENDENCYPART_ARC
(12,1),-1.04561 # DEPENDENCYPART_ARC
(12,2),-1.5665 # DEPENDENCYPART_ARC
(12,4),-1.26092 # DEPENDENCYPART_ARC
(12,6),-1.26713 # DEPENDENCYPART_ARC
(12,8),-1.24926 # DEPENDENCYPART_ARC
(12,9),-1.52262 # DEPENDENCYPART_ARC
(12,10),-0.90836 # DEPENDENCYPART_ARC
(12,11),-0.236777 # DEPENDENCYPART_ARC
(12,13),-0.680456 # DEPENDENCYPART_ARC
(12,14),-0.332066 # DEPENDENCYPART_ARC
