# _root_ Ertesi gün hava _ kararırken , alçak bir sesle " Rapunzel , Rapunzel ! _ Uzat altın _ sarısı saçlarını ! " diye seslenirmiş .
#goldHeads=2,4,4,5,24,0,9,9,24,0,12,13,16,0,16,23,19,19,20,16,0,0,24,25,0,
#predictedHeads=2,4,4,5,24,0,9,9,16,0,19,0,19,0,16,21,19,19,20,24,0,0,24,25,0,
(0,6),0.728928 # DEPENDENCYPART_ARC
(0,10),0.749539 # DEPENDENCYPART_ARC
(0,12),0.567104 # DEPENDENCYPART_ARC
(0,14),1.39645 # DEPENDENCYPART_ARC
(0,21),1.96852 # DEPENDENCYPART_ARC
(0,22),0.775904 # DEPENDENCYPART_ARC
(0,25),3.08598 # DEPENDENCYPART_ARC
(1,2),-0.605061 # DEPENDENCYPART_ARC
(1,3),-0.87565 # DEPENDENCYPART_ARC
(2,1),1.20573 # DEPENDENCYPART_ARC
(2,3),-0.918112 # DEPENDENCYPART_ARC
(2,8),-1.23263 # DEPENDENCYPART_ARC
(3,1),-0.511841 # DEPENDENCYPART_ARC
(3,2),0.755358 # DEPENDENCYPART_ARC
(3,7),-1.19028 # DEPENDENCYPART_ARC
(3,8),-1.21194 # DEPENDENCYPART_ARC
(4,1),-1.0201 # DEPENDENCYPART_ARC
(4,2),0.454899 # DEPENDENCYPART_ARC
(4,3),1.15037 # DEPENDENCYPART_ARC
(4,5),-0.247346 # DEPENDENCYPART_ARC
(4,6),-1.32662 # DEPENDENCYPART_ARC
(4,7),-1.31573 # DEPENDENCYPART_ARC
(4,9),-1.05216 # DEPENDENCYPART_ARC
(5,2),-0.127039 # DEPENDENCYPART_ARC
(5,3),0.321951 # DEPENDENCYPART_ARC
(5,4),1.54679 # DEPENDENCYPART_ARC
(6,1),-0.934357 # DEPENDENCYPART_ARC
(6,2),-0.748515 # DEPENDENCYPART_ARC
(6,3),-0.55856 # DEPENDENCYPART_ARC
(6,4),-0.337651 # DEPENDENCYPART_ARC
(6,5),-0.197422 # DEPENDENCYPART_ARC
(6,24),-1.33087 # DEPENDENCYPART_ARC
(7,5),-1.39569 # DEPENDENCYPART_ARC
(7,6),-0.552719 # DEPENDENCYPART_ARC
(7,20),-1.43523 # DEPENDENCYPART_ARC
(8,7),-0.756045 # DEPENDENCYPART_ARC
(9,1),-1.52965 # DEPENDENCYPART_ARC
(9,2),-1.26086 # DEPENDENCYPART_ARC
(9,3),-1.09923 # DEPENDENCYPART_ARC
(9,4),-1.52145 # DEPENDENCYPART_ARC
(9,5),-1.10836 # DEPENDENCYPART_ARC
(9,6),-0.458816 # DEPENDENCYPART_ARC
(9,7),0.509972 # DEPENDENCYPART_ARC
(9,8),1.25243 # DEPENDENCYPART_ARC
(9,10),-0.577939 # DEPENDENCYPART_ARC
(9,11),-0.894321 # DEPENDENCYPART_ARC
(9,12),-1.05616 # DEPENDENCYPART_ARC
(9,13),-1.0381 # DEPENDENCYPART_ARC
(10,4),-1.68798 # DEPENDENCYPART_ARC
(10,6),-1.44144 # DEPENDENCYPART_ARC
(10,7),-1.24087 # DEPENDENCYPART_ARC
(10,8),-1.21078 # DEPENDENCYPART_ARC
(10,9),-0.282221 # DEPENDENCYPART_ARC
(10,11),-0.498437 # DEPENDENCYPART_ARC
(10,12),-0.975435 # DEPENDENCYPART_ARC
(10,24),-1.22122 # DEPENDENCYPART_ARC
(11,3),-1.18296 # DEPENDENCYPART_ARC
(11,6),-1.22794 # DEPENDENCYPART_ARC
(11,7),-1.04745 # DEPENDENCYPART_ARC
(11,9),-1.16591 # DEPENDENCYPART_ARC
(11,10),0.336818 # DEPENDENCYPART_ARC
(11,13),-0.98344 # DEPENDENCYPART_ARC
(12,4),-2.48002 # DEPENDENCYPART_ARC
(12,9),-1.41641 # DEPENDENCYPART_ARC
(12,10),-1.1471 # DEPENDENCYPART_ARC
(12,11),0.688712 # DEPENDENCYPART_ARC
(12,13),-0.457185 # DEPENDENCYPART_ARC
(12,14),-1.05 # DEPENDENCYPART_ARC
(12,24),-1.12159 # DEPENDENCYPART_ARC
(13,10),-1.37529 # DEPENDENCYPART_ARC
(13,11),-1.28135 # DEPENDENCYPART_ARC
(13,12),-0.0536543 # DEPENDENCYPART_ARC
(14,1),-1.1863 # DEPENDENCYPART_ARC
(14,4),-1.79644 # DEPENDENCYPART_ARC
(14,7),-1.41309 # DEPENDENCYPART_ARC
(14,8),-1.40057 # DEPENDENCYPART_ARC
(14,12),-1.20998 # DEPENDENCYPART_ARC
(14,13),0.0653293 # DEPENDENCYPART_ARC
(14,15),-0.907496 # DEPENDENCYPART_ARC
(14,16),-1.09037 # DEPENDENCYPART_ARC
(14,19),-1.20599 # DEPENDENCYPART_ARC
(14,21),-1.2258 # DEPENDENCYPART_ARC
(14,24),-1.16284 # DEPENDENCYPART_ARC
(15,2),-0.86154 # DEPENDENCYPART_ARC
(15,5),-1.4737 # DEPENDENCYPART_ARC
(15,9),-1.08973 # DEPENDENCYPART_ARC
(15,11),-1.24926 # DEPENDENCYPART_ARC
(15,12),-1.52262 # DEPENDENCYPART_ARC
(15,13),-0.90836 # DEPENDENCYPART_ARC
(15,14),-0.236777 # DEPENDENCYPART_ARC
(15,16),-0.680456 # DEPENDENCYPART_ARC
(15,17),-0.332066 # DEPENDENCYPART_ARC
(15,18),-1.09517 # DEPENDENCYPART_ARC
(15,19),-0.650831 # DEPENDENCYPART_ARC
(15,20),-0.573492 # DEPENDENCYPART_ARC
(15,21),-1.12865 # DEPENDENCYPART_ARC
(15,22),-1.18166 # DEPENDENCYPART_ARC
(15,23),-0.488141 # DEPENDENCYPART_ARC
(15,24),-0.81247 # DEPENDENCYPART_ARC
(15,25),-1.41571 # DEPENDENCYPART_ARC
(16,1),-1.22474 # DEPENDENCYPART_ARC
(16,2),-0.63515 # DEPENDENCYPART_ARC
(16,3),-0.713304 # DEPENDENCYPART_ARC
(16,4),-2.88955 # DEPENDENCYPART_ARC
(16,5),0.17428 # DEPENDENCYPART_ARC
(16,6),-1.1597 # DEPENDENCYPART_ARC
(16,7),-1.1866 # DEPENDENCYPART_ARC
