# _root_ Bu _ gerçeklik içinde bir nesne gibi _ bakabiliriz ona , öznel bir nesne , bir _ gerçeklik _ görünüşü var .
#goldHeads=2,3,4,8,6,7,8,9,11,8,0,14,14,19,0,17,18,19,20,21,22,0,
#predictedHeads=3,3,4,8,6,7,8,9,11,9,0,14,14,20,0,17,18,20,20,21,22,0,
(0,9),-0.998214 # DEPENDENCYPART_ARC
(0,11),1.02494 # DEPENDENCYPART_ARC
(0,15),0.956467 # DEPENDENCYPART_ARC
(0,22),2.43025 # DEPENDENCYPART_ARC
(2,1),-0.428966 # DEPENDENCYPART_ARC
(2,10),-0.835633 # DEPENDENCYPART_ARC
(3,1),0.545313 # DEPENDENCYPART_ARC
(3,2),1.44675 # DEPENDENCYPART_ARC
(3,5),-1.36932 # DEPENDENCYPART_ARC
(3,16),-1.38767 # DEPENDENCYPART_ARC
(3,21),-2.02508 # DEPENDENCYPART_ARC
(4,1),-0.504271 # DEPENDENCYPART_ARC
(4,2),-0.339409 # DEPENDENCYPART_ARC
(4,3),1.89438 # DEPENDENCYPART_ARC
(4,5),-0.915411 # DEPENDENCYPART_ARC
(4,6),-1.0031 # DEPENDENCYPART_ARC
(4,7),-1.51413 # DEPENDENCYPART_ARC
(4,8),-1.85984 # DEPENDENCYPART_ARC
(4,9),-1.87979 # DEPENDENCYPART_ARC
(4,13),-1.33051 # DEPENDENCYPART_ARC
(4,16),-1.26089 # DEPENDENCYPART_ARC
(4,21),-2.10787 # DEPENDENCYPART_ARC
(5,4),-0.65189 # DEPENDENCYPART_ARC
(6,1),-0.62453 # DEPENDENCYPART_ARC
(6,2),-1.18149 # DEPENDENCYPART_ARC
(6,3),-0.346757 # DEPENDENCYPART_ARC
(6,4),-0.548451 # DEPENDENCYPART_ARC
(6,5),1.1623 # DEPENDENCYPART_ARC
(6,8),-1.61046 # DEPENDENCYPART_ARC
(6,13),-1.28313 # DEPENDENCYPART_ARC
(6,16),-1.1364 # DEPENDENCYPART_ARC
(6,21),-2.20684 # DEPENDENCYPART_ARC
(7,3),-0.366284 # DEPENDENCYPART_ARC
(7,4),-0.166675 # DEPENDENCYPART_ARC
(7,6),2.08834 # DEPENDENCYPART_ARC
(8,1),-1.12412 # DEPENDENCYPART_ARC
(8,2),-2.67655 # DEPENDENCYPART_ARC
(8,3),-0.209145 # DEPENDENCYPART_ARC
(8,4),-0.0571563 # DEPENDENCYPART_ARC
(8,5),-1.05139 # DEPENDENCYPART_ARC
(8,6),-0.0154935 # DEPENDENCYPART_ARC
(8,7),0.909209 # DEPENDENCYPART_ARC
(8,9),-1.07753 # DEPENDENCYPART_ARC
(8,10),-0.0777989 # DEPENDENCYPART_ARC
(8,14),-1.17175 # DEPENDENCYPART_ARC
(8,17),-1.69424 # DEPENDENCYPART_ARC
(8,18),-1.25379 # DEPENDENCYPART_ARC
(8,19),-1.64166 # DEPENDENCYPART_ARC
(8,20),-1.78726 # DEPENDENCYPART_ARC
(8,21),-1.17063 # DEPENDENCYPART_ARC
(9,1),-0.820667 # DEPENDENCYPART_ARC
(9,2),-2.2564 # DEPENDENCYPART_ARC
(9,3),-0.0902817 # DEPENDENCYPART_ARC
(9,4),0.0992722 # DEPENDENCYPART_ARC
(9,5),-0.852108 # DEPENDENCYPART_ARC
(9,6),-0.0419828 # DEPENDENCYPART_ARC
(9,7),0.0655429 # DEPENDENCYPART_ARC
(9,8),1.51339 # DEPENDENCYPART_ARC
(9,10),0.536928 # DEPENDENCYPART_ARC
(9,11),-1.11877 # DEPENDENCYPART_ARC
(9,12),-1.0125 # DEPENDENCYPART_ARC
(9,14),-0.711604 # DEPENDENCYPART_ARC
(9,15),-1.44265 # DEPENDENCYPART_ARC
(9,17),-1.25906 # DEPENDENCYPART_ARC
(9,18),-0.771253 # DEPENDENCYPART_ARC
(9,19),-1.5295 # DEPENDENCYPART_ARC
(9,20),-1.11681 # DEPENDENCYPART_ARC
(9,21),-0.779572 # DEPENDENCYPART_ARC
(11,1),-1.36796 # DEPENDENCYPART_ARC
(11,2),-2.74129 # DEPENDENCYPART_ARC
(11,3),-0.755456 # DEPENDENCYPART_ARC
(11,4),-0.723717 # DEPENDENCYPART_ARC
(11,5),-1.19604 # DEPENDENCYPART_ARC
(11,6),-0.626896 # DEPENDENCYPART_ARC
(11,7),-0.778648 # DEPENDENCYPART_ARC
(11,8),-0.93904 # DEPENDENCYPART_ARC
(11,9),0.352205 # DEPENDENCYPART_ARC
(11,10),-0.378923 # DEPENDENCYPART_ARC
(11,19),-1.64029 # DEPENDENCYPART_ARC
(11,21),-1.43769 # DEPENDENCYPART_ARC
(12,8),-2.01279 # DEPENDENCYPART_ARC
(12,9),-1.86869 # DEPENDENCYPART_ARC
(12,10),-1.59368 # DEPENDENCYPART_ARC
(12,11),-0.493945 # DEPENDENCYPART_ARC
(12,14),-0.943193 # DEPENDENCYPART_ARC
(12,17),-1.35602 # DEPENDENCYPART_ARC
(12,18),-1.35851 # DEPENDENCYPART_ARC
(13,12),-0.710487 # DEPENDENCYPART_ARC
(14,1),-1.04206 # DEPENDENCYPART_ARC
(14,2),-3.35773 # DEPENDENCYPART_ARC
(14,5),-0.9923 # DEPENDENCYPART_ARC
(14,6),-1.13444 # DEPENDENCYPART_ARC
(14,7),-1.00494 # DEPENDENCYPART_ARC
(14,8),-1.17815 # DEPENDENCYPART_ARC
(14,9),-1.1078 # DEPENDENCYPART_ARC
(14,10),-1.25169 # DEPENDENCYPART_ARC
(14,11),-0.51361 # DEPENDENCYPART_ARC
(14,12),0.431576 # DEPENDENCYPART_ARC
(14,13),1.15396 # DEPENDENCYPART_ARC
(14,15),-0.90092 # DEPENDENCYPART_ARC
(14,16),-1.20901 # DEPENDENCYPART_ARC
(14,17),-1.41126 # DEPENDENCYPART_ARC
(14,18),-1.45969 # DEPENDENCYPART_ARC
(14,21),-2.2313 # DEPENDENCYPART_ARC
(15,2),-3.80183 # DEPENDENCYPART_ARC
(15,8),-2.45979 # DEPENDENCYPART_ARC
(15,9),-1.03596 # DEPENDENCYPART_ARC
(15,11),-1.28781 # DEPENDENCYPART_ARC
(15,12),-1.16615 # DEPENDENCYPART_ARC
(15,13),-1.19613 # DEPENDENCYPART_ARC
(15,14),-0.184109 # DEPENDENCYPART_ARC
(15,17),-1.32954 # DEPENDENCYPART_ARC
(15,18),-1.33784 # DEPENDENCYPART_ARC
(15,19),-1.56067 # DEPENDENCYPART_ARC
(15,21),-1.56063 # DEPENDENCYPART_ARC
(15,22),-1.6633 # DEPENDENCYPART_ARC
(16,15),-1.00478 # DEPENDENCYPART_ARC
(17,1),-1.24188 # DEPENDENCYPART_ARC
(17,5),-1.36138 # DEPENDENCYPART_ARC
(17,7),-1.15867 # DEPENDENCYPART_ARC
(17,10),-1.50074 # DEPENDENCYPART_ARC
(17,12),-1.33103 # DEPENDENCYPART_ARC
(17,13),-1.0773 # DEPENDENCYPART_ARC
(17,14),-1.12228 # DEPENDENCYPART_ARC
(17,15),-0.718152 # DEPENDENCYPART_ARC
(17,16),0.881318 # DEPENDENCYPART_ARC
(17,18),-0.944655 # DEPENDENCYPART_ARC
(17,19),-1.49556 # DEPENDENCYPART_ARC
(18,1),-1.50713 # DEPENDENCYPART_ARC
(18,2),-3.86388 # DEPENDENCYPART_ARC
(18,3),-1.15819 # DEPENDENCYPART_ARC
(18,4),-1.71173 # DEPENDENCYPART_ARC
(18,5),-1.14839 # DEPENDENCYPART_ARC
(18,6),-0.554535 # DEPENDENCYPART_ARC
(18,7),-0.818548 # DEPENDENCYPART_ARC
(18,10),-1.34698 # DEPENDENCYPART_ARC
(18,11),-0.800106 # DEPENDENCYPART_ARC
(18,12),-0.96539 # DEPENDENCYPART_ARC
(18,13),-0.810231 # DEPENDENCYPART_ARC
(18,14),-0.76375 # DEPENDENCYPART_ARC
(18,15),-0.415201 # DEPENDENCYPART_ARC
(18,16),0.166734 # DEPENDENCYPART_ARC
(18,17),1.69875 # DEPENDENCYPART_ARC
(18,19),-1.45611 # DEPENDENCYPART_ARC
(18,20),-1.42044 # DEPENDENCYPART_ARC
(19,3),-0.846339 # DEPENDENCYPART_ARC
(19,4),-0.621492 # DEPENDENCYPART_ARC
(19,6),-1.1561 # DEPENDENCYPART_ARC
(19,7),-0.669278 # DEPENDENCYPART_ARC
(19,8),-3.34767 # DEPENDENCYPART_ARC
(19,9),-0.882559 # DEPENDENCYPART_ARC
(19,10),-0.42925 # DEPENDENCYPART_ARC
(19,11),-1.64427 # DEPENDENCYPART_ARC
(19,12),-1.69596 # DEPENDENCYPART_ARC
(19,13),-1.3954 # DEPENDENCYPART_ARC
(19,14),-0.861938 # DEPENDENCYPART_ARC
(19,15),-1.04837 # DEPENDENCYPART_ARC
(19,16),-0.919604 # DEPENDENCYPART_ARC
(19,17),-0.112781 # DEPENDENCYPART_ARC
(19,18),1.14108 # DEPENDENCYPART_ARC
(19,20),-0.925493 # DEPENDENCYPART_ARC
(19,21),-1.40901 # DEPENDENCYPART_ARC
(20,3),-0.206871 # DEPENDENCYPART_ARC
(20,4),-1.16882 # DEPENDENCYPART_ARC
(20,6),-0.100321 # DEPENDENCYPART_ARC
(20,11),-0.719159 # DEPENDENCYPART_ARC
(20,12),-0.971133 # DEPENDENCYPART_ARC
(20,13),-0.806615 # DEPENDENCYPART_ARC
(20,14),-0.267487 # DEPENDENCYPART_ARC
(20,15),-0.500139 # DEPENDENCYPART_ARC
(20,16),-0.23458 # DEPENDENCYPART_ARC
(20,17),0.21169 # DEPENDENCYPART_ARC
(20,18),1.69137 # DEPENDENCYPART_ARC
(20,19),2.23134 # DEPENDENCYPART_ARC
(21,3),-1.78635 # DEPENDENCYPART_ARC
(21,4),-1.26665 # DEPENDENCYPART_ARC
(21,6),-1.43852 # DEPENDENCYPART_ARC
(21,7),-0.292509 # DEPENDENCYPART_ARC
(21,8),-3.27696 # DEPENDENCYPART_ARC
(21,9),-0.818428 # DEPENDENCYPART_ARC
(21,10),-0.427894 # DEPENDENCYPART_ARC
(21,11),-0.90374 # DEPENDENCYPART_ARC
(21,12),-1.35333 # DEPENDENCYPART_ARC
(21,13),-1.11439 # DEPENDENCYPART_ARC
(21,14),-0.740849 # DEPENDENCYPART_ARC
(21,15),-0.546837 # DEPENDENCYPART_ARC
(21,16),-0.714689 # DEPENDENCYPART_ARC
(21,17),-1.03478 # DEPENDENCYPART_ARC
(21,18),-0.276463 # DEPENDENCYPART_ARC
(21,19),-0.359399 # DEPENDENCYPART_ARC
(21,20),1.64907 # DEPENDENCYPART_ARC
(21,22),-1.3641 # DEPENDENCYPART_ARC
(22,2),-4.00297 # DEPENDENCYPART_ARC
(22,5),-0.843474 # DEPENDENCYPART_ARC
(22,7),-0.0841961 # DEPENDENCYPART_ARC
(22,8),-2.87496 # DEPENDENCYPART_ARC
(22,9),-0.799475 # DEPENDENCYPART_ARC
(22,11),-1.41512 # DEPENDENCYPART_ARC
(22,12),-1.37504 # DEPENDENCYPART_ARC
(22,13),-1.11779 # DEPENDENCYPART_ARC
(22,14),-0.953437 # DEPENDENCYPART_ARC
(22,15),-1.12475 # DEPENDENCYPART_ARC
(22,16),-0.888112 # DEPENDENCYPART_ARC
(22,17),-1.77729 # DEPENDENCYPART_ARC
(22,18),-0.842676 # DEPENDENCYPART_ARC
(22,19),-0.773505 # DEPENDENCYPART_ARC
(22,20),-0.609986 # DEPENDENCYPART_ARC
(22,21),1.33754 # DEPENDENCYPART_ARC
(0,9),(0,11),-0.185371 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.185371 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.22556 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0509876 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.0126125 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.0126125 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.00516114 # DEPENDENCYPART_SIBL
