# _root_ Ormanda atını oradan oraya sürmüş ve kuleye varmış sonunda . Fakat sağa bakmış , sola bakmış , ne merdiven görmüş ne de yukarıya _ _ çıkılacak başka bir şey .
#goldHeads=5,5,5,5,6,8,8,10,8,13,13,13,14,16,16,17,20,19,20,30,29,21,24,25,26,29,29,29,18,0,
#predictedHeads=2,5,5,5,6,8,8,10,8,0,30,13,14,16,16,17,20,29,20,21,26,21,25,25,26,29,29,29,30,0,
(0,10),2.17724 # DEPENDENCYPART_ARC
(0,14),0.551907 # DEPENDENCYPART_ARC
(0,17),0.659699 # DEPENDENCYPART_ARC
(0,29),-1.38383 # DEPENDENCYPART_ARC
(0,30),3.8774 # DEPENDENCYPART_ARC
(2,1),1.0102 # DEPENDENCYPART_ARC
(3,1),-1.11126 # DEPENDENCYPART_ARC
(3,2),-0.0747444 # DEPENDENCYPART_ARC
(3,4),-1.44504 # DEPENDENCYPART_ARC
(4,1),-2.14841 # DEPENDENCYPART_ARC
(4,2),-1.69918 # DEPENDENCYPART_ARC
(4,3),0.00172059 # DEPENDENCYPART_ARC
(4,6),-0.758842 # DEPENDENCYPART_ARC
(5,1),0.663276 # DEPENDENCYPART_ARC
(5,2),0.94739 # DEPENDENCYPART_ARC
(5,3),0.927748 # DEPENDENCYPART_ARC
(5,4),2.01292 # DEPENDENCYPART_ARC
(5,6),-0.334554 # DEPENDENCYPART_ARC
(5,7),-0.721902 # DEPENDENCYPART_ARC
(5,8),-2.48883 # DEPENDENCYPART_ARC
(5,9),-1.30374 # DEPENDENCYPART_ARC
(5,10),-2.07128 # DEPENDENCYPART_ARC
(5,12),-1.55288 # DEPENDENCYPART_ARC
(5,13),-2.49025 # DEPENDENCYPART_ARC
(5,16),-2.32073 # DEPENDENCYPART_ARC
(6,1),-1.02762 # DEPENDENCYPART_ARC
(6,2),-0.878696 # DEPENDENCYPART_ARC
(6,3),-0.557079 # DEPENDENCYPART_ARC
(6,4),0.155038 # DEPENDENCYPART_ARC
(6,5),1.07065 # DEPENDENCYPART_ARC
(6,7),-0.77913 # DEPENDENCYPART_ARC
(7,2),-1.94008 # DEPENDENCYPART_ARC
(7,3),-1.42152 # DEPENDENCYPART_ARC
(7,4),-0.94696 # DEPENDENCYPART_ARC
(7,5),-1.41096 # DEPENDENCYPART_ARC
(7,6),-0.0769584 # DEPENDENCYPART_ARC
(7,11),-1.11585 # DEPENDENCYPART_ARC
(8,1),0.0834759 # DEPENDENCYPART_ARC
(8,2),0.314199 # DEPENDENCYPART_ARC
(8,3),0.0335364 # DEPENDENCYPART_ARC
(8,4),0.139615 # DEPENDENCYPART_ARC
(8,5),-0.222931 # DEPENDENCYPART_ARC
(8,6),-0.0720896 # DEPENDENCYPART_ARC
(8,7),1.64311 # DEPENDENCYPART_ARC
(8,9),0.118837 # DEPENDENCYPART_ARC
(8,10),-1.11701 # DEPENDENCYPART_ARC
(8,11),-0.88809 # DEPENDENCYPART_ARC
(8,12),-0.747365 # DEPENDENCYPART_ARC
(8,13),-2.01212 # DEPENDENCYPART_ARC
(8,15),-1.01474 # DEPENDENCYPART_ARC
(8,16),-1.92373 # DEPENDENCYPART_ARC
(8,20),-1.82165 # DEPENDENCYPART_ARC
(8,23),-1.38332 # DEPENDENCYPART_ARC
(9,1),-1.62222 # DEPENDENCYPART_ARC
(9,2),-1.52589 # DEPENDENCYPART_ARC
(9,3),-1.46515 # DEPENDENCYPART_ARC
(9,4),-1.30411 # DEPENDENCYPART_ARC
(9,6),-1.16909 # DEPENDENCYPART_ARC
(9,7),-0.723649 # DEPENDENCYPART_ARC
(9,8),-0.185192 # DEPENDENCYPART_ARC
(10,5),-0.349067 # DEPENDENCYPART_ARC
(10,6),-0.842558 # DEPENDENCYPART_ARC
(10,7),-1.05561 # DEPENDENCYPART_ARC
(10,8),0.511752 # DEPENDENCYPART_ARC
(10,9),-0.349768 # DEPENDENCYPART_ARC
(10,11),-0.753396 # DEPENDENCYPART_ARC
(10,12),-1.12624 # DEPENDENCYPART_ARC
(10,13),-1.14327 # DEPENDENCYPART_ARC
(10,16),-1.30493 # DEPENDENCYPART_ARC
(10,20),-1.04287 # DEPENDENCYPART_ARC
(10,24),-1.30452 # DEPENDENCYPART_ARC
(10,25),-1.35799 # DEPENDENCYPART_ARC
(11,5),-0.896055 # DEPENDENCYPART_ARC
(11,7),-1.22535 # DEPENDENCYPART_ARC
(11,8),-0.68686 # DEPENDENCYPART_ARC
(11,9),-0.945658 # DEPENDENCYPART_ARC
(11,10),-0.170171 # DEPENDENCYPART_ARC
(11,12),-0.881029 # DEPENDENCYPART_ARC
(12,10),-1.01524 # DEPENDENCYPART_ARC
(12,11),-0.5216 # DEPENDENCYPART_ARC
(12,14),-0.645111 # DEPENDENCYPART_ARC
(12,28),-0.965446 # DEPENDENCYPART_ARC
(13,1),-0.258147 # DEPENDENCYPART_ARC
(13,2),-0.289091 # DEPENDENCYPART_ARC
(13,3),-0.599915 # DEPENDENCYPART_ARC
(13,4),-0.508981 # DEPENDENCYPART_ARC
(13,5),-1.03013 # DEPENDENCYPART_ARC
(13,6),-0.278952 # DEPENDENCYPART_ARC
(13,7),-0.25665 # DEPENDENCYPART_ARC
(13,8),-0.76911 # DEPENDENCYPART_ARC
(13,9),-0.293173 # DEPENDENCYPART_ARC
(13,10),-0.102422 # DEPENDENCYPART_ARC
(13,11),0.00473488 # DEPENDENCYPART_ARC
(13,12),1.92155 # DEPENDENCYPART_ARC
(13,14),-1.38409 # DEPENDENCYPART_ARC
(13,15),-0.825775 # DEPENDENCYPART_ARC
(13,20),-2.35056 # DEPENDENCYPART_ARC
(13,24),-1.73194 # DEPENDENCYPART_ARC
(13,25),-2.10091 # DEPENDENCYPART_ARC
(14,8),-1.48204 # DEPENDENCYPART_ARC
(14,11),-0.575259 # DEPENDENCYPART_ARC
(14,12),-0.551615 # DEPENDENCYPART_ARC
(14,13),0.769286 # DEPENDENCYPART_ARC
(14,15),-0.527563 # DEPENDENCYPART_ARC
(14,29),-1.3394 # DEPENDENCYPART_ARC
(15,13),-1.98257 # DEPENDENCYPART_ARC
(15,14),-0.731505 # DEPENDENCYPART_ARC
(15,18),-1.01009 # DEPENDENCYPART_ARC
(15,28),-0.950079 # DEPENDENCYPART_ARC
(16,1),-0.330436 # DEPENDENCYPART_ARC
(16,2),-0.319795 # DEPENDENCYPART_ARC
(16,3),-0.656573 # DEPENDENCYPART_ARC
(16,4),-0.531757 # DEPENDENCYPART_ARC
(16,5),-1.05247 # DEPENDENCYPART_ARC
(16,6),-0.326036 # DEPENDENCYPART_ARC
(16,7),-0.400837 # DEPENDENCYPART_ARC
(16,8),-1.08129 # DEPENDENCYPART_ARC
(16,9),-0.318715 # DEPENDENCYPART_ARC
(16,10),-0.658567 # DEPENDENCYPART_ARC
(16,11),-0.51194 # DEPENDENCYPART_ARC
(16,12),-0.147903 # DEPENDENCYPART_ARC
(16,13),-0.686143 # DEPENDENCYPART_ARC
(16,14),0.144425 # DEPENDENCYPART_ARC
(16,15),1.88583 # DEPENDENCYPART_ARC
(16,17),-1.38738 # DEPENDENCYPART_ARC
(16,18),-0.971569 # DEPENDENCYPART_ARC
(16,19),-1.39613 # DEPENDENCYPART_ARC
(16,20),-2.40534 # DEPENDENCYPART_ARC
(16,25),-2.0952 # DEPENDENCYPART_ARC
(16,29),-1.48869 # DEPENDENCYPART_ARC
(17,5),-1.80165 # DEPENDENCYPART_ARC
(17,8),-1.58438 # DEPENDENCYPART_ARC
(17,11),-0.803155 # DEPENDENCYPART_ARC
(17,13),-1.19351 # DEPENDENCYPART_ARC
(17,14),-0.698536 # DEPENDENCYPART_ARC
(17,15),-0.518287 # DEPENDENCYPART_ARC
