# _root_ On_altı yaşında av tezkeresi _ _ alabilen _ gençler , tüm yıl boyunca _ _ avlanabiliyor , askere gitmiyor ve vergi vermiyorlar .
#goldHeads=2,6,4,6,6,7,9,9,16,0,12,13,16,15,16,17,19,19,20,22,22,23,0,
#predictedHeads=2,22,4,6,6,7,9,9,16,0,12,13,16,15,16,17,19,19,20,22,22,23,0,
(0,1),-0.312501 # DEPENDENCYPART_ARC
(0,10),1.17423 # DEPENDENCYPART_ARC
(0,17),0.774778 # DEPENDENCYPART_ARC
(0,20),-1.17458 # DEPENDENCYPART_ARC
(0,23),2.86311 # DEPENDENCYPART_ARC
(2,1),0.957869 # DEPENDENCYPART_ARC
(2,11),-1.01269 # DEPENDENCYPART_ARC
(3,1),-0.351712 # DEPENDENCYPART_ARC
(3,2),0.156162 # DEPENDENCYPART_ARC
(3,4),-1.10899 # DEPENDENCYPART_ARC
(4,1),-0.921562 # DEPENDENCYPART_ARC
(4,2),-0.590896 # DEPENDENCYPART_ARC
(4,3),1.91224 # DEPENDENCYPART_ARC
(4,5),-1.31054 # DEPENDENCYPART_ARC
(4,8),-1.21321 # DEPENDENCYPART_ARC
(4,22),-2.08063 # DEPENDENCYPART_ARC
(5,1),-1.31877 # DEPENDENCYPART_ARC
(5,2),-0.0174344 # DEPENDENCYPART_ARC
(5,3),0.0814519 # DEPENDENCYPART_ARC
(5,4),0.5239 # DEPENDENCYPART_ARC
(5,8),-1.3308 # DEPENDENCYPART_ARC
(5,13),-0.898603 # DEPENDENCYPART_ARC
(5,16),-1.36798 # DEPENDENCYPART_ARC
(5,19),-1.29009 # DEPENDENCYPART_ARC
(6,1),-1.03096 # DEPENDENCYPART_ARC
(6,2),0.0137914 # DEPENDENCYPART_ARC
(6,3),-0.0644308 # DEPENDENCYPART_ARC
(6,4),0.278171 # DEPENDENCYPART_ARC
(6,5),2.10277 # DEPENDENCYPART_ARC
(6,8),-1.18949 # DEPENDENCYPART_ARC
(6,13),-1.19212 # DEPENDENCYPART_ARC
(6,16),-1.55648 # DEPENDENCYPART_ARC
(7,2),-0.202068 # DEPENDENCYPART_ARC
(7,3),-0.117249 # DEPENDENCYPART_ARC
(7,4),0.0362449 # DEPENDENCYPART_ARC
(7,5),0.00826805 # DEPENDENCYPART_ARC
(7,6),1.53667 # DEPENDENCYPART_ARC
(8,3),-0.789071 # DEPENDENCYPART_ARC
(8,4),-0.713456 # DEPENDENCYPART_ARC
(8,5),-1.33651 # DEPENDENCYPART_ARC
(8,6),-0.466724 # DEPENDENCYPART_ARC
(8,7),-0.0490435 # DEPENDENCYPART_ARC
