# _root_ Annem , telefonda dedeme bir doğum günü partisi _ düzenlediklerini söyledi , yarın dönsem iyi olurmuş ...
#goldHeads=11,0,11,9,8,7,8,9,10,11,12,16,14,16,16,17,0,
#predictedHeads=11,0,11,11,6,7,8,9,10,11,12,16,14,16,16,17,0,
(0,1),-1.17388 # DEPENDENCYPART_ARC
(0,2),1.31978 # DEPENDENCYPART_ARC
(0,12),0.459759 # DEPENDENCYPART_ARC
(0,17),3.48755 # DEPENDENCYPART_ARC
(1,2),-0.694967 # DEPENDENCYPART_ARC
(1,3),-1.80215 # DEPENDENCYPART_ARC
(1,5),-1.24514 # DEPENDENCYPART_ARC
(1,11),-1.98058 # DEPENDENCYPART_ARC
(2,1),0.0497698 # DEPENDENCYPART_ARC
(2,11),-1.4776 # DEPENDENCYPART_ARC
(2,14),-1.51137 # DEPENDENCYPART_ARC
(2,16),-1.55347 # DEPENDENCYPART_ARC
(3,1),-1.46677 # DEPENDENCYPART_ARC
(3,2),-0.640073 # DEPENDENCYPART_ARC
(3,4),-0.354708 # DEPENDENCYPART_ARC
(3,5),-1.00507 # DEPENDENCYPART_ARC
(3,6),-1.26418 # DEPENDENCYPART_ARC
(3,7),-1.22167 # DEPENDENCYPART_ARC
(4,1),-2.28302 # DEPENDENCYPART_ARC
(4,2),-0.996311 # DEPENDENCYPART_ARC
(4,3),-0.201859 # DEPENDENCYPART_ARC
(4,5),-0.778162 # DEPENDENCYPART_ARC
(4,6),-1.58923 # DEPENDENCYPART_ARC
(4,7),-1.79214 # DEPENDENCYPART_ARC
(4,14),-1.37819 # DEPENDENCYPART_ARC
(5,4),-0.603634 # DEPENDENCYPART_ARC
(6,1),-1.92754 # DEPENDENCYPART_ARC
(6,2),-1.22258 # DEPENDENCYPART_ARC
(6,3),-1.46916 # DEPENDENCYPART_ARC
(6,4),-0.701092 # DEPENDENCYPART_ARC
(6,5),0.769118 # DEPENDENCYPART_ARC
(6,7),-0.996315 # DEPENDENCYPART_ARC
(6,8),-1.26241 # DEPENDENCYPART_ARC
(6,16),-2.16264 # DEPENDENCYPART_ARC
(7,2),-0.990969 # DEPENDENCYPART_ARC
(7,3),-1.12714 # DEPENDENCYPART_ARC
(7,4),-0.719119 # DEPENDENCYPART_ARC
(7,5),-0.185877 # DEPENDENCYPART_ARC
(7,6),1.81531 # DEPENDENCYPART_ARC
(7,8),-0.849093 # DEPENDENCYPART_ARC
(7,9),-1.63743 # DEPENDENCYPART_ARC
(7,13),-0.923734 # DEPENDENCYPART_ARC
(7,16),-2.21983 # DEPENDENCYPART_ARC
(8,2),-1.05427 # DEPENDENCYPART_ARC
(8,3),-1.1737 # DEPENDENCYPART_ARC
(8,4),-0.880688 # DEPENDENCYPART_ARC
(8,5),-0.486518 # DEPENDENCYPART_ARC
(8,6),0.716971 # DEPENDENCYPART_ARC
(8,7),1.77892 # DEPENDENCYPART_ARC
(8,9),-1.2826 # DEPENDENCYPART_ARC
(8,10),-0.932233 # DEPENDENCYPART_ARC
(8,13),-0.86428 # DEPENDENCYPART_ARC
(8,14),-1.1736 # DEPENDENCYPART_ARC
(8,16),-2.18896 # DEPENDENCYPART_ARC
(9,1),-0.763898 # DEPENDENCYPART_ARC
(9,2),-1.28495 # DEPENDENCYPART_ARC
(9,3),-0.276568 # DEPENDENCYPART_ARC
(9,4),-0.00777223 # DEPENDENCYPART_ARC
(9,5),-1.14545 # DEPENDENCYPART_ARC
(9,6),-0.320878 # DEPENDENCYPART_ARC
(9,7),0.112494 # DEPENDENCYPART_ARC
(9,8),0.946417 # DEPENDENCYPART_ARC
(9,10),-0.658499 # DEPENDENCYPART_ARC
(9,11),-1.49744 # DEPENDENCYPART_ARC
(9,12),-1.44628 # DEPENDENCYPART_ARC
(9,13),-1.70604 # DEPENDENCYPART_ARC
(9,14),-1.57489 # DEPENDENCYPART_ARC
(9,16),-1.47629 # DEPENDENCYPART_ARC
(9,17),-1.84477 # DEPENDENCYPART_ARC
(10,1),-1.9995 # DEPENDENCYPART_ARC
(10,2),-0.846787 # DEPENDENCYPART_ARC
(10,3),-0.564878 # DEPENDENCYPART_ARC
(10,4),-1.01273 # DEPENDENCYPART_ARC
(10,6),0.0123547 # DEPENDENCYPART_ARC
(10,7),0.228006 # DEPENDENCYPART_ARC
(10,8),0.912036 # DEPENDENCYPART_ARC
(10,9),1.85704 # DEPENDENCYPART_ARC
(10,11),-1.30717 # DEPENDENCYPART_ARC
(11,1),0.80764 # DEPENDENCYPART_ARC
(11,2),-1.11867 # DEPENDENCYPART_ARC
(11,3),0.740551 # DEPENDENCYPART_ARC
(11,4),0.548467 # DEPENDENCYPART_ARC
(11,5),-0.832052 # DEPENDENCYPART_ARC
(11,6),0.532195 # DEPENDENCYPART_ARC
(11,7),0.635917 # DEPENDENCYPART_ARC
(11,8),0.597237 # DEPENDENCYPART_ARC
(11,9),-0.511515 # DEPENDENCYPART_ARC
(11,10),1.99326 # DEPENDENCYPART_ARC
(11,12),-1.38628 # DEPENDENCYPART_ARC
(11,13),-0.645128 # DEPENDENCYPART_ARC
(11,14),-1.45051 # DEPENDENCYPART_ARC
(11,16),-1.43465 # DEPENDENCYPART_ARC
(11,17),-2.07554 # DEPENDENCYPART_ARC
(12,5),-1.41421 # DEPENDENCYPART_ARC
(12,6),-1.07519 # DEPENDENCYPART_ARC
(12,7),-0.937316 # DEPENDENCYPART_ARC
(12,8),-0.910883 # DEPENDENCYPART_ARC
(12,9),-1.51289 # DEPENDENCYPART_ARC
(12,10),-0.62537 # DEPENDENCYPART_ARC
(12,11),0.856184 # DEPENDENCYPART_ARC
(12,13),-0.47208 # DEPENDENCYPART_ARC
(12,14),-0.975201 # DEPENDENCYPART_ARC
(12,16),-1.0141 # DEPENDENCYPART_ARC
(12,17),-1.26598 # DEPENDENCYPART_ARC
(13,5),-1.84547 # DEPENDENCYPART_ARC
(13,8),-1.69189 # DEPENDENCYPART_ARC
(13,9),-1.47774 # DEPENDENCYPART_ARC
(13,10),-1.97059 # DEPENDENCYPART_ARC
(13,11),-1.46694 # DEPENDENCYPART_ARC
(13,12),-0.7417 # DEPENDENCYPART_ARC
(13,14),-0.270459 # DEPENDENCYPART_ARC
(13,15),-0.757418 # DEPENDENCYPART_ARC
(13,16),-1.75542 # DEPENDENCYPART_ARC
(14,1),-0.756265 # DEPENDENCYPART_ARC
(14,3),-1.0639 # DEPENDENCYPART_ARC
(14,4),-0.734392 # DEPENDENCYPART_ARC
(14,6),-1.14208 # DEPENDENCYPART_ARC
(14,7),-0.93191 # DEPENDENCYPART_ARC
(14,8),-1.0182 # DEPENDENCYPART_ARC
(14,9),-2.51264 # DEPENDENCYPART_ARC
(14,10),-0.70221 # DEPENDENCYPART_ARC
(14,11),-1.26901 # DEPENDENCYPART_ARC
