# _root_ Ancak özellikle evrenbilim ve parçacık fiziğinde bugün bu ilke ne yazık ki _ çiğnenmiş , bu iki bilim dalı metafizik öğelerle , hayaletlerle dolmuştur .
#goldHeads=15,14,4,6,6,13,14,9,14,11,12,14,14,15,24,19,19,19,24,21,22,23,24,25,0,
#predictedHeads=25,3,4,5,6,14,14,9,10,11,14,11,14,15,24,19,18,19,24,21,24,0,24,25,0,
(0,1),-0.373382 # DEPENDENCYPART_ARC
(0,15),1.21576 # DEPENDENCYPART_ARC
(0,17),-0.762964 # DEPENDENCYPART_ARC
(0,22),1.00703 # DEPENDENCYPART_ARC
(0,25),2.90042 # DEPENDENCYPART_ARC
(1,2),-0.53551 # DEPENDENCYPART_ARC
(1,3),-0.967221 # DEPENDENCYPART_ARC
(2,1),-0.495137 # DEPENDENCYPART_ARC
(3,1),-0.965844 # DEPENDENCYPART_ARC
(3,2),-0.300124 # DEPENDENCYPART_ARC
(3,4),-0.442309 # DEPENDENCYPART_ARC
(3,5),-1.4881 # DEPENDENCYPART_ARC
(3,8),-1.5604 # DEPENDENCYPART_ARC
(3,9),-1.70722 # DEPENDENCYPART_ARC
(3,13),-1.96814 # DEPENDENCYPART_ARC
(3,16),-1.43312 # DEPENDENCYPART_ARC
(3,24),-2.58227 # DEPENDENCYPART_ARC
(4,1),-0.34185 # DEPENDENCYPART_ARC
(4,2),-0.326337 # DEPENDENCYPART_ARC
(4,3),1.71352 # DEPENDENCYPART_ARC
(4,5),-1.01089 # DEPENDENCYPART_ARC
(5,3),-0.340188 # DEPENDENCYPART_ARC
(5,4),0.200121 # DEPENDENCYPART_ARC
(5,6),-1.78638 # DEPENDENCYPART_ARC
(5,8),-1.32023 # DEPENDENCYPART_ARC
(6,2),-0.938354 # DEPENDENCYPART_ARC
(6,3),-0.22412 # DEPENDENCYPART_ARC
(6,4),-0.343286 # DEPENDENCYPART_ARC
(6,5),1.72655 # DEPENDENCYPART_ARC
(6,7),-0.798935 # DEPENDENCYPART_ARC
(6,8),-1.05013 # DEPENDENCYPART_ARC
(6,9),-1.10394 # DEPENDENCYPART_ARC
(6,10),-1.20011 # DEPENDENCYPART_ARC
(7,3),-1.51524 # DEPENDENCYPART_ARC
(7,4),-0.887617 # DEPENDENCYPART_ARC
(7,5),-0.555913 # DEPENDENCYPART_ARC
(7,6),-0.177977 # DEPENDENCYPART_ARC
(7,8),-0.587256 # DEPENDENCYPART_ARC
(7,9),-0.973868 # DEPENDENCYPART_ARC
(7,10),-0.936137 # DEPENDENCYPART_ARC
(7,13),-1.58418 # DEPENDENCYPART_ARC
(7,16),-1.12123 # DEPENDENCYPART_ARC
(7,24),-2.22345 # DEPENDENCYPART_ARC
(8,6),-1.46268 # DEPENDENCYPART_ARC
(8,7),-0.687666 # DEPENDENCYPART_ARC
(9,2),-1.11068 # DEPENDENCYPART_ARC
(9,3),-1.34534 # DEPENDENCYPART_ARC
(9,4),-0.884806 # DEPENDENCYPART_ARC
(9,5),-1.03888 # DEPENDENCYPART_ARC
(9,6),-1.50895 # DEPENDENCYPART_ARC
(9,7),-0.0458978 # DEPENDENCYPART_ARC
(9,8),0.876389 # DEPENDENCYPART_ARC
(9,10),-0.261991 # DEPENDENCYPART_ARC
(9,12),-1.12099 # DEPENDENCYPART_ARC
(9,13),-1.57826 # DEPENDENCYPART_ARC
(9,14),-2.02644 # DEPENDENCYPART_ARC
(9,16),-1.29546 # DEPENDENCYPART_ARC
(9,24),-2.32099 # DEPENDENCYPART_ARC
(10,1),-0.805699 # DEPENDENCYPART_ARC
(10,3),-1.02564 # DEPENDENCYPART_ARC
(10,4),-0.84506 # DEPENDENCYPART_ARC
(10,5),-1.44902 # DEPENDENCYPART_ARC
(10,6),-1.29825 # DEPENDENCYPART_ARC
(10,7),-0.94506 # DEPENDENCYPART_ARC
(10,9),0.647915 # DEPENDENCYPART_ARC
(11,10),0.0417443 # DEPENDENCYPART_ARC
(11,12),0.241881 # DEPENDENCYPART_ARC
(12,4),-1.18722 # DEPENDENCYPART_ARC
(12,6),-1.82071 # DEPENDENCYPART_ARC
(12,7),-1.68366 # DEPENDENCYPART_ARC
(12,9),-1.28584 # DEPENDENCYPART_ARC
(12,10),-1.27475 # DEPENDENCYPART_ARC
(13,2),-1.10527 # DEPENDENCYPART_ARC
(13,3),-0.886076 # DEPENDENCYPART_ARC
(13,5),-0.812664 # DEPENDENCYPART_ARC
(13,6),-0.853649 # DEPENDENCYPART_ARC
(13,7),-0.670326 # DEPENDENCYPART_ARC
(13,8),-1.52889 # DEPENDENCYPART_ARC
(13,9),-0.777157 # DEPENDENCYPART_ARC
(13,10),-1.45768 # DEPENDENCYPART_ARC
(13,11),-1.08625 # DEPENDENCYPART_ARC
(13,12),-0.558206 # DEPENDENCYPART_ARC
(13,14),-0.524188 # DEPENDENCYPART_ARC
(13,18),-1.17107 # DEPENDENCYPART_ARC
(13,19),-1.2767 # DEPENDENCYPART_ARC
(13,20),-1.32623 # DEPENDENCYPART_ARC
(13,21),-1.2451 # DEPENDENCYPART_ARC
(13,22),-0.96415 # DEPENDENCYPART_ARC
(13,23),-1.59463 # DEPENDENCYPART_ARC
(13,24),-0.839338 # DEPENDENCYPART_ARC
(14,1),-0.327836 # DEPENDENCYPART_ARC
(14,2),-0.0462725 # DEPENDENCYPART_ARC
(14,3),0.0997045 # DEPENDENCYPART_ARC
(14,4),-0.503622 # DEPENDENCYPART_ARC
(14,5),0.154442 # DEPENDENCYPART_ARC
(14,6),0.33042 # DEPENDENCYPART_ARC
(14,7),0.391059 # DEPENDENCYPART_ARC
(14,8),-0.520045 # DEPENDENCYPART_ARC
(14,9),0.413368 # DEPENDENCYPART_ARC
(14,10),-0.484212 # DEPENDENCYPART_ARC
(14,11),-0.0654228 # DEPENDENCYPART_ARC
(14,12),-0.188408 # DEPENDENCYPART_ARC
(14,13),1.80062 # DEPENDENCYPART_ARC
(14,18),-1.705 # DEPENDENCYPART_ARC
(14,19),-1.49437 # DEPENDENCYPART_ARC
(14,20),-2.05723 # DEPENDENCYPART_ARC
(14,21),-1.6425 # DEPENDENCYPART_ARC
(14,22),-1.87195 # DEPENDENCYPART_ARC
(14,23),-2.0123 # DEPENDENCYPART_ARC
(14,24),-2.39051 # DEPENDENCYPART_ARC
(14,25),-2.24395 # DEPENDENCYPART_ARC
(15,1),-0.12522 # DEPENDENCYPART_ARC
(15,2),-0.527827 # DEPENDENCYPART_ARC
(15,4),-0.810911 # DEPENDENCYPART_ARC
(15,6),-0.89518 # DEPENDENCYPART_ARC
(15,7),-0.796836 # DEPENDENCYPART_ARC
(15,8),-1.1841 # DEPENDENCYPART_ARC
(15,9),-0.686903 # DEPENDENCYPART_ARC
(15,10),-0.952457 # DEPENDENCYPART_ARC
(15,11),-0.603892 # DEPENDENCYPART_ARC
(15,12),-0.706204 # DEPENDENCYPART_ARC
(15,13),-0.942272 # DEPENDENCYPART_ARC
(15,14),0.897585 # DEPENDENCYPART_ARC
(15,18),-0.971308 # DEPENDENCYPART_ARC
(15,19),-0.969582 # DEPENDENCYPART_ARC
