# _root_ Sen donunu taşı , dedi Recep oğlana , kayığın üstünde _ unuttuğu donu _ gösterip .
#goldHeads=3,3,4,5,16,5,5,0,10,11,12,13,14,15,5,0,
#predictedHeads=3,3,4,5,16,5,5,0,10,11,12,13,14,15,5,0,
(0,3),-1.1543 # DEPENDENCYPART_ARC
(0,4),0.498068 # DEPENDENCYPART_ARC
(0,5),-1.26663 # DEPENDENCYPART_ARC
(0,8),0.547629 # DEPENDENCYPART_ARC
(0,16),2.83789 # DEPENDENCYPART_ARC
(2,1),0.336556 # DEPENDENCYPART_ARC
(2,14),-1.84982 # DEPENDENCYPART_ARC
(3,1),0.814946 # DEPENDENCYPART_ARC
(3,2),2.06184 # DEPENDENCYPART_ARC
(3,4),-1.25942 # DEPENDENCYPART_ARC
(3,5),-1.83072 # DEPENDENCYPART_ARC
(3,6),-1.08054 # DEPENDENCYPART_ARC
(3,7),-0.365308 # DEPENDENCYPART_ARC
(3,9),-1.97897 # DEPENDENCYPART_ARC
(3,10),-0.973055 # DEPENDENCYPART_ARC
(3,11),-1.8134 # DEPENDENCYPART_ARC
(3,13),-1.20007 # DEPENDENCYPART_ARC
(3,14),-1.76554 # DEPENDENCYPART_ARC
(3,15),-1.51329 # DEPENDENCYPART_ARC
(4,1),-0.890514 # DEPENDENCYPART_ARC
(4,2),-0.534288 # DEPENDENCYPART_ARC
(4,3),1.08012 # DEPENDENCYPART_ARC
(4,5),-0.545269 # DEPENDENCYPART_ARC
(4,6),-0.517686 # DEPENDENCYPART_ARC
(4,11),-1.16783 # DEPENDENCYPART_ARC
(4,13),-0.89063 # DEPENDENCYPART_ARC
(4,14),-1.08089 # DEPENDENCYPART_ARC
(5,1),-0.687819 # DEPENDENCYPART_ARC
(5,2),-0.612377 # DEPENDENCYPART_ARC
(5,3),-0.133708 # DEPENDENCYPART_ARC
(5,4),0.743301 # DEPENDENCYPART_ARC
(5,6),1.14265 # DEPENDENCYPART_ARC
(5,7),1.2199 # DEPENDENCYPART_ARC
(5,8),-0.501878 # DEPENDENCYPART_ARC
(5,9),-1.15201 # DEPENDENCYPART_ARC
(5,10),-0.303715 # DEPENDENCYPART_ARC
(5,11),-1.05431 # DEPENDENCYPART_ARC
(5,13),-0.36715 # DEPENDENCYPART_ARC
(5,14),-0.971472 # DEPENDENCYPART_ARC
(5,15),-0.510321 # DEPENDENCYPART_ARC
(5,16),-1.08965 # DEPENDENCYPART_ARC
(6,3),-2.37251 # DEPENDENCYPART_ARC
(6,4),-1.68915 # DEPENDENCYPART_ARC
(6,5),-0.353247 # DEPENDENCYPART_ARC
(6,7),-0.659319 # DEPENDENCYPART_ARC
(7,1),-1.46868 # DEPENDENCYPART_ARC
(7,2),-2.78002 # DEPENDENCYPART_ARC
(7,3),-2.89761 # DEPENDENCYPART_ARC
(7,4),-1.00541 # DEPENDENCYPART_ARC
(7,5),-1.76861 # DEPENDENCYPART_ARC
(7,6),0.448727 # DEPENDENCYPART_ARC
(7,8),-0.839381 # DEPENDENCYPART_ARC
(7,9),-1.06004 # DEPENDENCYPART_ARC
(7,13),-1.9594 # DEPENDENCYPART_ARC
(7,14),-2.16725 # DEPENDENCYPART_ARC
(8,3),-0.959359 # DEPENDENCYPART_ARC
(8,4),-1.17384 # DEPENDENCYPART_ARC
(8,5),-0.223772 # DEPENDENCYPART_ARC
(8,6),-1.01282 # DEPENDENCYPART_ARC
(8,7),0.178039 # DEPENDENCYPART_ARC
(8,10),-1.06271 # DEPENDENCYPART_ARC
(8,11),-1.46256 # DEPENDENCYPART_ARC
(8,13),-1.27438 # DEPENDENCYPART_ARC
(8,14),-1.65426 # DEPENDENCYPART_ARC
(9,1),-1.28796 # DEPENDENCYPART_ARC
(9,5),-2.27508 # DEPENDENCYPART_ARC
(9,7),-1.60139 # DEPENDENCYPART_ARC
(9,8),-0.536686 # DEPENDENCYPART_ARC
(9,10),-1.69921 # DEPENDENCYPART_ARC
(9,11),-1.50012 # DEPENDENCYPART_ARC
(9,12),-1.31615 # DEPENDENCYPART_ARC
(9,13),-1.83058 # DEPENDENCYPART_ARC
(10,1),-0.847501 # DEPENDENCYPART_ARC
(10,2),-2.09813 # DEPENDENCYPART_ARC
(10,3),-2.0305 # DEPENDENCYPART_ARC
(10,5),-1.8522 # DEPENDENCYPART_ARC
(10,6),-1.1242 # DEPENDENCYPART_ARC
(10,7),-1.34437 # DEPENDENCYPART_ARC
(10,8),-0.853902 # DEPENDENCYPART_ARC
(10,9),1.95927 # DEPENDENCYPART_ARC
(10,11),-1.11542 # DEPENDENCYPART_ARC
(10,12),-1.05334 # DEPENDENCYPART_ARC
(11,1),-1.01676 # DEPENDENCYPART_ARC
(11,2),-0.829325 # DEPENDENCYPART_ARC
(11,3),-1.30303 # DEPENDENCYPART_ARC
(11,4),-1.2978 # DEPENDENCYPART_ARC
(11,5),-1.58123 # DEPENDENCYPART_ARC
(11,6),-0.863398 # DEPENDENCYPART_ARC
(11,7),-0.752986 # DEPENDENCYPART_ARC
(11,8),-0.910457 # DEPENDENCYPART_ARC
(11,9),0.39479 # DEPENDENCYPART_ARC
(11,10),1.17337 # DEPENDENCYPART_ARC
(11,13),-0.770819 # DEPENDENCYPART_ARC
(11,14),-1.6938 # DEPENDENCYPART_ARC
(11,15),-1.07561 # DEPENDENCYPART_ARC
(11,16),-1.81777 # DEPENDENCYPART_ARC
(12,4),-1.11473 # DEPENDENCYPART_ARC
(12,6),-1.00172 # DEPENDENCYPART_ARC
(12,7),-0.958324 # DEPENDENCYPART_ARC
(12,8),-0.775587 # DEPENDENCYPART_ARC
(12,9),0.13099 # DEPENDENCYPART_ARC
(12,10),0.370569 # DEPENDENCYPART_ARC
(12,11),1.65989 # DEPENDENCYPART_ARC
(13,1),-1.31248 # DEPENDENCYPART_ARC
(13,2),-1.64639 # DEPENDENCYPART_ARC
(13,8),-1.04081 # DEPENDENCYPART_ARC
(13,9),-0.669773 # DEPENDENCYPART_ARC
(13,10),-0.53279 # DEPENDENCYPART_ARC
(13,11),-0.823382 # DEPENDENCYPART_ARC
(13,12),1.15979 # DEPENDENCYPART_ARC
(13,14),-1.22612 # DEPENDENCYPART_ARC
(13,15),-0.781641 # DEPENDENCYPART_ARC
(13,16),-1.19689 # DEPENDENCYPART_ARC
(14,1),-0.793578 # DEPENDENCYPART_ARC
(14,2),-0.75426 # DEPENDENCYPART_ARC
(14,3),-1.29249 # DEPENDENCYPART_ARC
(14,4),-1.13867 # DEPENDENCYPART_ARC
(14,6),-0.915547 # DEPENDENCYPART_ARC
(14,7),-0.768669 # DEPENDENCYPART_ARC
(14,8),-0.862463 # DEPENDENCYPART_ARC
(14,9),-0.0422461 # DEPENDENCYPART_ARC
(14,10),-0.302097 # DEPENDENCYPART_ARC
(14,11),-1.2877 # DEPENDENCYPART_ARC
(14,12),-0.720891 # DEPENDENCYPART_ARC
(14,13),1.1357 # DEPENDENCYPART_ARC
(14,15),-0.373026 # DEPENDENCYPART_ARC
(14,16),-1.47055 # DEPENDENCYPART_ARC
(15,2),-0.959818 # DEPENDENCYPART_ARC
(15,6),-1.28218 # DEPENDENCYPART_ARC
(15,7),-1.09031 # DEPENDENCYPART_ARC
(15,9),-0.593375 # DEPENDENCYPART_ARC
(15,10),-0.376094 # DEPENDENCYPART_ARC
(15,13),0.275299 # DEPENDENCYPART_ARC
(15,14),1.37555 # DEPENDENCYPART_ARC
(16,2),-0.905872 # DEPENDENCYPART_ARC
(16,3),-0.314705 # DEPENDENCYPART_ARC
(16,4),-1.49935 # DEPENDENCYPART_ARC
(16,5),-0.114593 # DEPENDENCYPART_ARC
(16,8),-1.11409 # DEPENDENCYPART_ARC
(16,9),-0.641059 # DEPENDENCYPART_ARC
(16,10),-0.768719 # DEPENDENCYPART_ARC
(16,11),-0.868992 # DEPENDENCYPART_ARC
(16,13),-0.699432 # DEPENDENCYPART_ARC
(16,14),0.303952 # DEPENDENCYPART_ARC
(16,15),-0.047098 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.185371 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0659615 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.185371 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.22556 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0479043 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0509876 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0126125 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.185371 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.225561 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0126125 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0202763 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0174919 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.111986 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0158987 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0845121 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0905448 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0919284 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.092456 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0640774 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0919284 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0640774 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.10532 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0651151 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0113174 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00665433 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0028333 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00144968 # DEPENDENCYPART_SIBL
