# _root_ Gazetecilere uçak havada _ yanarak geldi yere _ çakıldı _ diyen tanıklar , anket heyetinin _ hazırladığı raporlara göre , _ _ farklı konuşmuşlardı .
#goldHeads=10,6,6,5,6,10,9,9,10,11,12,24,0,15,16,17,18,19,24,0,22,23,24,25,0,
#predictedHeads=6,3,4,5,6,9,6,9,10,11,12,24,0,15,16,17,18,19,24,0,22,23,24,25,0,
(0,13),1.31892 # DEPENDENCYPART_ARC
(0,20),1.24902 # DEPENDENCYPART_ARC
(0,25),3.41896 # DEPENDENCYPART_ARC
(2,1),-0.399689 # DEPENDENCYPART_ARC
(3,1),-1.47882 # DEPENDENCYPART_ARC
(3,2),0.949568 # DEPENDENCYPART_ARC
(3,4),-1.12122 # DEPENDENCYPART_ARC
(3,24),-1.91275 # DEPENDENCYPART_ARC
(4,1),-0.0309052 # DEPENDENCYPART_ARC
(4,2),-0.119783 # DEPENDENCYPART_ARC
(4,3),0.815879 # DEPENDENCYPART_ARC
(4,6),-1.56645 # DEPENDENCYPART_ARC
(4,7),-0.893846 # DEPENDENCYPART_ARC
(5,1),-0.497531 # DEPENDENCYPART_ARC
(5,2),-0.177636 # DEPENDENCYPART_ARC
(5,3),0.336262 # DEPENDENCYPART_ARC
(5,4),1.66363 # DEPENDENCYPART_ARC
(6,1),0.524735 # DEPENDENCYPART_ARC
(6,2),0.564295 # DEPENDENCYPART_ARC
(6,3),0.715279 # DEPENDENCYPART_ARC
(6,4),-0.12245 # DEPENDENCYPART_ARC
(6,5),1.79795 # DEPENDENCYPART_ARC
(6,7),0.840271 # DEPENDENCYPART_ARC
(6,8),0.113285 # DEPENDENCYPART_ARC
(6,9),-0.650426 # DEPENDENCYPART_ARC
(6,10),-1.39324 # DEPENDENCYPART_ARC
(6,12),-0.0186872 # DEPENDENCYPART_ARC
(6,14),-0.837549 # DEPENDENCYPART_ARC
(6,15),-1.62293 # DEPENDENCYPART_ARC
(6,16),-1.4819 # DEPENDENCYPART_ARC
(6,18),-0.933948 # DEPENDENCYPART_ARC
(6,19),-0.249936 # DEPENDENCYPART_ARC
(6,21),-1.66403 # DEPENDENCYPART_ARC
(7,2),-1.48757 # DEPENDENCYPART_ARC
(7,3),-1.71531 # DEPENDENCYPART_ARC
(7,4),-1.37889 # DEPENDENCYPART_ARC
(7,5),-1.2192 # DEPENDENCYPART_ARC
(7,6),-0.764721 # DEPENDENCYPART_ARC
(8,1),-2.10443 # DEPENDENCYPART_ARC
(8,2),-0.849034 # DEPENDENCYPART_ARC
(8,3),-1.43429 # DEPENDENCYPART_ARC
(8,4),-1.54471 # DEPENDENCYPART_ARC
(8,5),-0.850748 # DEPENDENCYPART_ARC
(8,6),-1.09203 # DEPENDENCYPART_ARC
(8,7),0.259594 # DEPENDENCYPART_ARC
(8,9),-0.830753 # DEPENDENCYPART_ARC
(8,10),-1.24663 # DEPENDENCYPART_ARC
(9,1),0.0314831 # DEPENDENCYPART_ARC
(9,2),0.139831 # DEPENDENCYPART_ARC
(9,3),-0.130375 # DEPENDENCYPART_ARC
(9,4),-1.74828 # DEPENDENCYPART_ARC
(9,5),-0.249474 # DEPENDENCYPART_ARC
(9,6),-0.154022 # DEPENDENCYPART_ARC
(9,7),0.59984 # DEPENDENCYPART_ARC
(9,8),1.35614 # DEPENDENCYPART_ARC
(9,10),-1.09763 # DEPENDENCYPART_ARC
(9,14),-1.33028 # DEPENDENCYPART_ARC
(9,18),-1.53677 # DEPENDENCYPART_ARC
(9,21),-2.17342 # DEPENDENCYPART_ARC
(10,3),-0.98326 # DEPENDENCYPART_ARC
(10,4),-3.06447 # DEPENDENCYPART_ARC
(10,5),-0.602614 # DEPENDENCYPART_ARC
(10,6),-0.987877 # DEPENDENCYPART_ARC
(10,7),-0.484897 # DEPENDENCYPART_ARC
(10,8),-0.48416 # DEPENDENCYPART_ARC
(10,9),1.18995 # DEPENDENCYPART_ARC
(10,19),-0.750009 # DEPENDENCYPART_ARC
(10,20),-1.21297 # DEPENDENCYPART_ARC
(10,24),-1.41565 # DEPENDENCYPART_ARC
(11,1),-0.417402 # DEPENDENCYPART_ARC
(11,2),-0.439501 # DEPENDENCYPART_ARC
(11,3),-0.287924 # DEPENDENCYPART_ARC
(11,5),-0.303307 # DEPENDENCYPART_ARC
