# _root_ Prens Rapunzel'e _ evlenme teklif_etmiş , Rapunzel de kabul_etmiş , yüzü _ hafifçe _ kızararak .
#goldHeads=5,5,4,5,6,9,9,7,16,0,14,13,14,15,9,0,
#predictedHeads=5,3,4,5,6,9,9,7,16,14,14,13,14,15,9,0,
(0,5),-1.22968 # DEPENDENCYPART_ARC
(0,6),0.603888 # DEPENDENCYPART_ARC
(0,8),-0.985735 # DEPENDENCYPART_ARC
(0,9),-1.29397 # DEPENDENCYPART_ARC
(0,10),0.569353 # DEPENDENCYPART_ARC
(0,16),2.83663 # DEPENDENCYPART_ARC
(1,2),-0.872718 # DEPENDENCYPART_ARC
(1,3),-1.32188 # DEPENDENCYPART_ARC
(1,4),-1.03254 # DEPENDENCYPART_ARC
(1,9),-1.83084 # DEPENDENCYPART_ARC
(1,14),-1.93811 # DEPENDENCYPART_ARC
(2,1),0.220426 # DEPENDENCYPART_ARC
(2,3),-1.13361 # DEPENDENCYPART_ARC
(3,1),0.0521266 # DEPENDENCYPART_ARC
(3,2),1.06216 # DEPENDENCYPART_ARC
(3,4),-0.773858 # DEPENDENCYPART_ARC
(3,5),-1.44398 # DEPENDENCYPART_ARC
(3,6),-1.44943 # DEPENDENCYPART_ARC
(3,7),-1.61176 # DEPENDENCYPART_ARC
(3,9),-1.84906 # DEPENDENCYPART_ARC
(3,11),-2.11869 # DEPENDENCYPART_ARC
(3,13),-1.40727 # DEPENDENCYPART_ARC
(3,14),-1.93339 # DEPENDENCYPART_ARC
(3,15),-1.22366 # DEPENDENCYPART_ARC
(4,1),-0.40635 # DEPENDENCYPART_ARC
(4,2),0.0657727 # DEPENDENCYPART_ARC
(4,3),2.03064 # DEPENDENCYPART_ARC
(5,1),0.735054 # DEPENDENCYPART_ARC
(5,2),0.545608 # DEPENDENCYPART_ARC
(5,3),-0.30002 # DEPENDENCYPART_ARC
(5,4),2.02017 # DEPENDENCYPART_ARC
(5,6),-1.43724 # DEPENDENCYPART_ARC
(5,7),-0.885686 # DEPENDENCYPART_ARC
(5,8),-1.34308 # DEPENDENCYPART_ARC
(5,9),-2.3997 # DEPENDENCYPART_ARC
(5,10),-2.04161 # DEPENDENCYPART_ARC
(5,11),-1.45247 # DEPENDENCYPART_ARC
(5,13),-1.48584 # DEPENDENCYPART_ARC
(5,14),-2.19121 # DEPENDENCYPART_ARC
(5,15),-0.892459 # DEPENDENCYPART_ARC
(5,16),-2.11382 # DEPENDENCYPART_ARC
(6,1),-0.756307 # DEPENDENCYPART_ARC
(6,2),-0.816448 # DEPENDENCYPART_ARC
(6,3),-1.41871 # DEPENDENCYPART_ARC
(6,4),-0.531185 # DEPENDENCYPART_ARC
(6,5),0.944174 # DEPENDENCYPART_ARC
(6,7),-0.523494 # DEPENDENCYPART_ARC
(6,9),-1.02234 # DEPENDENCYPART_ARC
(6,10),-1.11885 # DEPENDENCYPART_ARC
(6,11),-1.07783 # DEPENDENCYPART_ARC
(6,14),-1.36751 # DEPENDENCYPART_ARC
(7,3),-1.62475 # DEPENDENCYPART_ARC
(7,5),-1.66886 # DEPENDENCYPART_ARC
(7,6),-0.875969 # DEPENDENCYPART_ARC
(7,8),1.26097 # DEPENDENCYPART_ARC
(8,3),-2.11807 # DEPENDENCYPART_ARC
(8,5),-1.61047 # DEPENDENCYPART_ARC
(8,7),-0.261352 # DEPENDENCYPART_ARC
(9,1),-0.213135 # DEPENDENCYPART_ARC
(9,2),-0.491559 # DEPENDENCYPART_ARC
(9,3),-2.20232 # DEPENDENCYPART_ARC
(9,4),-0.255023 # DEPENDENCYPART_ARC
(9,5),-0.654676 # DEPENDENCYPART_ARC
(9,6),0.172969 # DEPENDENCYPART_ARC
(9,7),0.926355 # DEPENDENCYPART_ARC
(9,8),0.153962 # DEPENDENCYPART_ARC
(9,10),-1.14766 # DEPENDENCYPART_ARC
(9,11),-0.49986 # DEPENDENCYPART_ARC
(9,12),-1.40229 # DEPENDENCYPART_ARC
(9,13),-0.946301 # DEPENDENCYPART_ARC
(9,14),-1.82984 # DEPENDENCYPART_ARC
(9,15),-0.486803 # DEPENDENCYPART_ARC
(9,16),-1.86648 # DEPENDENCYPART_ARC
(10,3),-2.84893 # DEPENDENCYPART_ARC
(10,4),-1.12905 # DEPENDENCYPART_ARC
(10,5),-1.33223 # DEPENDENCYPART_ARC
(10,6),-0.777907 # DEPENDENCYPART_ARC
(10,7),-0.423295 # DEPENDENCYPART_ARC
(10,8),-1.0118 # DEPENDENCYPART_ARC
(10,9),0.963919 # DEPENDENCYPART_ARC
(10,11),-0.680046 # DEPENDENCYPART_ARC
(10,13),-0.963238 # DEPENDENCYPART_ARC
(10,14),-1.27912 # DEPENDENCYPART_ARC
(10,16),-1.32098 # DEPENDENCYPART_ARC
(11,4),-0.655872 # DEPENDENCYPART_ARC
(11,5),-1.48823 # DEPENDENCYPART_ARC
(11,6),-1.69214 # DEPENDENCYPART_ARC
(11,8),-1.37132 # DEPENDENCYPART_ARC
(11,9),-1.138 # DEPENDENCYPART_ARC
(11,10),-0.568937 # DEPENDENCYPART_ARC
(11,12),-0.92742 # DEPENDENCYPART_ARC
(11,13),-0.869375 # DEPENDENCYPART_ARC
(11,14),-1.72361 # DEPENDENCYPART_ARC
(12,6),-1.60612 # DEPENDENCYPART_ARC
(12,8),-1.71369 # DEPENDENCYPART_ARC
(12,9),-1.5835 # DEPENDENCYPART_ARC
(12,10),-0.998396 # DEPENDENCYPART_ARC
(12,11),0.0225623 # DEPENDENCYPART_ARC
(12,13),-0.33311 # DEPENDENCYPART_ARC
(13,1),-1.43059 # DEPENDENCYPART_ARC
(13,2),-1.28483 # DEPENDENCYPART_ARC
(13,4),-1.1744 # DEPENDENCYPART_ARC
(13,7),-1.18744 # DEPENDENCYPART_ARC
(13,10),-0.443375 # DEPENDENCYPART_ARC
(13,11),-0.376492 # DEPENDENCYPART_ARC
