# _root_ Fabrikayı yapacak _ olan , ekonomik faaliyetleri _ _ gerçekleştirecek _ olan , üretim _ yapacak _ olan _ firmalardır .
#goldHeads=2,3,4,5,12,7,9,9,10,11,12,13,18,15,16,17,18,19,20,21,0,
#predictedHeads=2,3,4,5,12,7,9,9,10,11,12,13,16,15,16,19,18,19,20,21,0,
(0,2),-1.12387 # DEPENDENCYPART_ARC
(0,5),0.459425 # DEPENDENCYPART_ARC
(0,13),0.687561 # DEPENDENCYPART_ARC
(0,21),2.8637 # DEPENDENCYPART_ARC
(1,2),-0.758427 # DEPENDENCYPART_ARC
(1,3),-1.25712 # DEPENDENCYPART_ARC
(2,1),1.48131 # DEPENDENCYPART_ARC
(2,3),-1.12841 # DEPENDENCYPART_ARC
(2,7),-0.567215 # DEPENDENCYPART_ARC
(2,8),-1.44963 # DEPENDENCYPART_ARC
(2,9),-1.76528 # DEPENDENCYPART_ARC
(2,11),-1.58559 # DEPENDENCYPART_ARC
(2,14),-1.42132 # DEPENDENCYPART_ARC
(2,15),-1.62686 # DEPENDENCYPART_ARC
(3,1),-0.153003 # DEPENDENCYPART_ARC
(3,2),0.975441 # DEPENDENCYPART_ARC
(3,6),-1.19301 # DEPENDENCYPART_ARC
(3,8),-1.58305 # DEPENDENCYPART_ARC
(3,9),-1.73628 # DEPENDENCYPART_ARC
(4,1),0.13955 # DEPENDENCYPART_ARC
(4,2),-0.213197 # DEPENDENCYPART_ARC
(4,3),1.47583 # DEPENDENCYPART_ARC
(5,1),-0.837822 # DEPENDENCYPART_ARC
(5,2),-0.357771 # DEPENDENCYPART_ARC
(5,3),-0.610144 # DEPENDENCYPART_ARC
(5,4),0.350458 # DEPENDENCYPART_ARC
(5,9),-1.45164 # DEPENDENCYPART_ARC
(5,17),-1.76122 # DEPENDENCYPART_ARC
(5,20),-1.70667 # DEPENDENCYPART_ARC
(6,3),-1.478 # DEPENDENCYPART_ARC
(6,4),-1.51572 # DEPENDENCYPART_ARC
(6,5),-0.349526 # DEPENDENCYPART_ARC
(6,19),-1.36344 # DEPENDENCYPART_ARC
(7,3),-1.7058 # DEPENDENCYPART_ARC
(7,4),-0.604007 # DEPENDENCYPART_ARC
(7,5),-0.706647 # DEPENDENCYPART_ARC
(7,6),1.32306 # DEPENDENCYPART_ARC
(7,8),-0.899198 # DEPENDENCYPART_ARC
(7,9),-1.3527 # DEPENDENCYPART_ARC
(7,10),-0.882438 # DEPENDENCYPART_ARC
(8,2),-1.41467 # DEPENDENCYPART_ARC
(8,3),-2.16315 # DEPENDENCYPART_ARC
(8,4),-1.42649 # DEPENDENCYPART_ARC
(8,5),-0.618729 # DEPENDENCYPART_ARC
(8,6),-0.70489 # DEPENDENCYPART_ARC
(8,7),0.349437 # DEPENDENCYPART_ARC
(8,11),-1.37812 # DEPENDENCYPART_ARC
(8,15),-1.51764 # DEPENDENCYPART_ARC
(8,17),-1.47516 # DEPENDENCYPART_ARC
(9,1),-0.396697 # DEPENDENCYPART_ARC
(9,2),-0.990851 # DEPENDENCYPART_ARC
(9,3),-2.51934 # DEPENDENCYPART_ARC
(9,4),-1.12445 # DEPENDENCYPART_ARC
(9,5),-0.277073 # DEPENDENCYPART_ARC
(9,6),-0.684511 # DEPENDENCYPART_ARC
(9,7),0.943262 # DEPENDENCYPART_ARC
(9,8),2.09501 # DEPENDENCYPART_ARC
(9,11),-1.533 # DEPENDENCYPART_ARC
(10,1),-0.321533 # DEPENDENCYPART_ARC
(10,5),-0.158486 # DEPENDENCYPART_ARC
(10,7),0.263411 # DEPENDENCYPART_ARC
(10,8),0.0266608 # DEPENDENCYPART_ARC
(10,9),1.50814 # DEPENDENCYPART_ARC
(11,1),-0.944549 # DEPENDENCYPART_ARC
(11,4),-1.45811 # DEPENDENCYPART_ARC
(11,5),-0.584111 # DEPENDENCYPART_ARC
(11,6),-1.08185 # DEPENDENCYPART_ARC
(11,7),-0.0782173 # DEPENDENCYPART_ARC
(11,8),-0.933194 # DEPENDENCYPART_ARC
(11,9),-0.471802 # DEPENDENCYPART_ARC
(11,10),0.283235 # DEPENDENCYPART_ARC
(11,13),-1.27681 # DEPENDENCYPART_ARC
(11,14),-1.75579 # DEPENDENCYPART_ARC
(11,15),-1.72598 # DEPENDENCYPART_ARC
(11,17),-1.80916 # DEPENDENCYPART_ARC
(11,21),-1.9498 # DEPENDENCYPART_ARC
(12,1),-0.65429 # DEPENDENCYPART_ARC
(12,5),-0.00881373 # DEPENDENCYPART_ARC
(12,7),-0.292509 # DEPENDENCYPART_ARC
(12,10),-0.253662 # DEPENDENCYPART_ARC
(12,11),1.35037 # DEPENDENCYPART_ARC
(13,2),-1.97547 # DEPENDENCYPART_ARC
(13,4),-1.96188 # DEPENDENCYPART_ARC
(13,6),-1.61798 # DEPENDENCYPART_ARC
(13,8),-1.97795 # DEPENDENCYPART_ARC
(13,9),-1.57024 # DEPENDENCYPART_ARC
(13,11),-0.747168 # DEPENDENCYPART_ARC
(13,12),0.163093 # DEPENDENCYPART_ARC
(13,14),-0.801519 # DEPENDENCYPART_ARC
(13,15),-1.33731 # DEPENDENCYPART_ARC
(13,17),-1.45821 # DEPENDENCYPART_ARC
(13,20),-1.38749 # DEPENDENCYPART_ARC
(14,4),-2.05552 # DEPENDENCYPART_ARC
(14,6),-2.27891 # DEPENDENCYPART_ARC
(14,10),-1.57412 # DEPENDENCYPART_ARC
(14,11),-1.48416 # DEPENDENCYPART_ARC
(14,12),-1.14423 # DEPENDENCYPART_ARC
(14,13),-0.661517 # DEPENDENCYPART_ARC
(14,15),-1.09131 # DEPENDENCYPART_ARC
