# _root_ Değişik yasalarda _ _ yapılacak _ değişiklikler ile askeri , ticari , _ _ bankacılık ve benzeri _ alanlardaki " sırların " kapsamı yeniden _ belirlenecek .
#goldHeads=2,5,4,5,7,7,8,23,21,0,21,0,14,15,16,17,19,19,21,0,23,0,26,26,26,27,0,
#predictedHeads=2,4,4,5,7,7,8,9,10,11,15,0,14,15,16,18,18,19,21,0,26,0,26,26,26,27,0,
(0,10),0.886138 # DEPENDENCYPART_ARC
(0,12),0.755471 # DEPENDENCYPART_ARC
(0,20),1.04022 # DEPENDENCYPART_ARC
(0,22),1.02012 # DEPENDENCYPART_ARC
(0,27),3.33534 # DEPENDENCYPART_ARC
(2,1),1.14734 # DEPENDENCYPART_ARC
(2,3),-0.822132 # DEPENDENCYPART_ARC
(2,5),-0.883899 # DEPENDENCYPART_ARC
(3,1),-0.707652 # DEPENDENCYPART_ARC
(3,2),0.381712 # DEPENDENCYPART_ARC
(3,6),-1.19243 # DEPENDENCYPART_ARC
(4,1),-0.743633 # DEPENDENCYPART_ARC
(4,2),0.555305 # DEPENDENCYPART_ARC
(4,3),2.07207 # DEPENDENCYPART_ARC
(4,6),-1.18514 # DEPENDENCYPART_ARC
(5,2),0.0451256 # DEPENDENCYPART_ARC
(5,3),0.0403794 # DEPENDENCYPART_ARC
(5,4),1.54436 # DEPENDENCYPART_ARC
(6,2),-0.878759 # DEPENDENCYPART_ARC
(6,3),-1.45317 # DEPENDENCYPART_ARC
(6,4),-0.583377 # DEPENDENCYPART_ARC
(6,5),-0.168392 # DEPENDENCYPART_ARC
(7,1),-0.571583 # DEPENDENCYPART_ARC
(7,2),-0.916212 # DEPENDENCYPART_ARC
(7,3),-1.45473 # DEPENDENCYPART_ARC
(7,4),-1.07998 # DEPENDENCYPART_ARC
(7,5),1.32224 # DEPENDENCYPART_ARC
(7,6),1.50872 # DEPENDENCYPART_ARC
(7,8),-0.945624 # DEPENDENCYPART_ARC
(7,9),-1.6993 # DEPENDENCYPART_ARC
(7,10),-1.84688 # DEPENDENCYPART_ARC
(7,11),-1.87642 # DEPENDENCYPART_ARC
(7,26),-2.20877 # DEPENDENCYPART_ARC
(8,2),-0.602193 # DEPENDENCYPART_ARC
(8,3),-0.913058 # DEPENDENCYPART_ARC
(8,4),-0.855294 # DEPENDENCYPART_ARC
(8,6),-0.349521 # DEPENDENCYPART_ARC
(8,7),1.42613 # DEPENDENCYPART_ARC
(9,2),-0.957759 # DEPENDENCYPART_ARC
(9,3),-1.68582 # DEPENDENCYPART_ARC
(9,4),-1.18852 # DEPENDENCYPART_ARC
(9,6),-0.962294 # DEPENDENCYPART_ARC
(9,7),-0.398113 # DEPENDENCYPART_ARC
(9,8),-0.132594 # DEPENDENCYPART_ARC
(10,1),-1.32272 # DEPENDENCYPART_ARC
(10,2),-0.782236 # DEPENDENCYPART_ARC
(10,3),-2.2999 # DEPENDENCYPART_ARC
(10,4),-1.84131 # DEPENDENCYPART_ARC
(10,6),-1.60895 # DEPENDENCYPART_ARC
(10,7),-0.760479 # DEPENDENCYPART_ARC
(10,8),-0.903484 # DEPENDENCYPART_ARC
(10,9),0.544884 # DEPENDENCYPART_ARC
(10,25),-1.88993 # DEPENDENCYPART_ARC
(10,26),-1.58328 # DEPENDENCYPART_ARC
(11,9),-1.44653 # DEPENDENCYPART_ARC
(11,10),-0.12891 # DEPENDENCYPART_ARC
(11,13),-1.14083 # DEPENDENCYPART_ARC
(11,14),-1.34705 # DEPENDENCYPART_ARC
(11,21),-1.50059 # DEPENDENCYPART_ARC
(11,23),-1.6949 # DEPENDENCYPART_ARC
(12,1),-2.05092 # DEPENDENCYPART_ARC
(12,9),-1.32582 # DEPENDENCYPART_ARC
(12,10),-1.39773 # DEPENDENCYPART_ARC
(12,11),0.0942925 # DEPENDENCYPART_ARC
(12,26),-1.71118 # DEPENDENCYPART_ARC
(13,5),-2.21756 # DEPENDENCYPART_ARC
(13,11),-1.69665 # DEPENDENCYPART_ARC
(13,12),-0.762146 # DEPENDENCYPART_ARC
(13,17),-1.2741 # DEPENDENCYPART_ARC
(14,1),-1.66059 # DEPENDENCYPART_ARC
(14,5),-0.763862 # DEPENDENCYPART_ARC
(14,6),-3.00043 # DEPENDENCYPART_ARC
(14,7),-0.79063 # DEPENDENCYPART_ARC
(14,8),-0.604097 # DEPENDENCYPART_ARC
(14,9),-1.0203 # DEPENDENCYPART_ARC
(14,10),-0.743596 # DEPENDENCYPART_ARC
(14,11),-1.04887 # DEPENDENCYPART_ARC
(14,12),-0.513208 # DEPENDENCYPART_ARC
(14,13),1.85681 # DEPENDENCYPART_ARC
(15,1),-1.57547 # DEPENDENCYPART_ARC
(15,2),-1.62511 # DEPENDENCYPART_ARC
(15,5),-0.552599 # DEPENDENCYPART_ARC
(15,6),-2.64172 # DEPENDENCYPART_ARC
(15,7),-1.24476 # DEPENDENCYPART_ARC
(15,8),-0.481342 # DEPENDENCYPART_ARC
(15,9),-0.941838 # DEPENDENCYPART_ARC
(15,10),-0.74246 # DEPENDENCYPART_ARC
(15,11),-0.884991 # DEPENDENCYPART_ARC
(15,12),-0.528245 # DEPENDENCYPART_ARC
(15,13),0.136271 # DEPENDENCYPART_ARC
(15,14),1.35055 # DEPENDENCYPART_ARC
(15,16),-1.19384 # DEPENDENCYPART_ARC
(15,17),-2.04334 # DEPENDENCYPART_ARC
(15,19),-2.24339 # DEPENDENCYPART_ARC
(15,26),-2.33777 # DEPENDENCYPART_ARC
(16,7),-0.854052 # DEPENDENCYPART_ARC
(16,8),-0.590054 # DEPENDENCYPART_ARC
(16,13),-0.829845 # DEPENDENCYPART_ARC
(16,14),-0.110022 # DEPENDENCYPART_ARC
(16,15),1.61979 # DEPENDENCYPART_ARC
(16,18),-1.13101 # DEPENDENCYPART_ARC
(17,12),-1.09 # DEPENDENCYPART_ARC
(17,13),-1.0163 # DEPENDENCYPART_ARC
(17,14),-0.567822 # DEPENDENCYPART_ARC
(17,15),-0.542581 # DEPENDENCYPART_ARC
(17,16),-0.163089 # DEPENDENCYPART_ARC
(17,18),-0.888342 # DEPENDENCYPART_ARC
(17,21),-1.36969 # DEPENDENCYPART_ARC
(17,23),-1.43301 # DEPENDENCYPART_ARC
(18,12),-0.855665 # DEPENDENCYPART_ARC
(18,13),-1.95742 # DEPENDENCYPART_ARC
(18,14),-1.6627 # DEPENDENCYPART_ARC
(18,15),-0.456103 # DEPENDENCYPART_ARC
(18,16),-0.350598 # DEPENDENCYPART_ARC
(18,17),0.675721 # DEPENDENCYPART_ARC
(18,19),-0.810918 # DEPENDENCYPART_ARC
(18,20),-0.883461 # DEPENDENCYPART_ARC
(18,26),-1.45895 # DEPENDENCYPART_ARC
