# _root_ Ancak , o bahçeye _ girmek büyük cesaret istiyormuş , çünkü orası _ güçlü bir cadıya _ aitmiş .
#goldHeads=5,0,4,5,6,9,8,9,10,18,18,18,14,16,16,17,18,19,0,
#predictedHeads=19,0,4,5,6,9,8,9,10,18,19,13,14,16,16,17,18,19,0,
(0,1),-0.342017 # DEPENDENCYPART_ARC
(0,2),1.48385 # DEPENDENCYPART_ARC
(0,9),-1.34078 # DEPENDENCYPART_ARC
(0,10),0.743267 # DEPENDENCYPART_ARC
(0,19),2.55573 # DEPENDENCYPART_ARC
(2,1),-0.43115 # DEPENDENCYPART_ARC
(2,4),-1.10029 # DEPENDENCYPART_ARC
(2,9),-1.47946 # DEPENDENCYPART_ARC
(2,18),-1.65312 # DEPENDENCYPART_ARC
(3,2),-0.723444 # DEPENDENCYPART_ARC
(4,1),-1.14684 # DEPENDENCYPART_ARC
(4,2),-0.983665 # DEPENDENCYPART_ARC
(4,3),0.916348 # DEPENDENCYPART_ARC
(4,5),-1.28586 # DEPENDENCYPART_ARC
(4,6),-1.1133 # DEPENDENCYPART_ARC
(4,7),-1.19714 # DEPENDENCYPART_ARC
(4,15),-1.24744 # DEPENDENCYPART_ARC
(5,1),-0.995739 # DEPENDENCYPART_ARC
(5,2),-0.894525 # DEPENDENCYPART_ARC
(5,3),-0.645044 # DEPENDENCYPART_ARC
(5,4),1.20508 # DEPENDENCYPART_ARC
(5,6),-0.639524 # DEPENDENCYPART_ARC
(5,7),-0.98183 # DEPENDENCYPART_ARC
(5,8),-1.31435 # DEPENDENCYPART_ARC
(5,17),-1.3374 # DEPENDENCYPART_ARC
(6,1),-0.987021 # DEPENDENCYPART_ARC
(6,2),-0.845689 # DEPENDENCYPART_ARC
(6,3),-0.370883 # DEPENDENCYPART_ARC
(6,4),-0.358415 # DEPENDENCYPART_ARC
(6,5),1.80411 # DEPENDENCYPART_ARC
(6,7),-0.811675 # DEPENDENCYPART_ARC
(7,2),-1.07837 # DEPENDENCYPART_ARC
(7,3),-1.02924 # DEPENDENCYPART_ARC
(7,4),-0.730529 # DEPENDENCYPART_ARC
(7,5),-0.583292 # DEPENDENCYPART_ARC
(7,6),0.399456 # DEPENDENCYPART_ARC
(7,16),-1.411 # DEPENDENCYPART_ARC
(8,1),-1.09595 # DEPENDENCYPART_ARC
(8,2),-1.09971 # DEPENDENCYPART_ARC
(8,3),-0.73174 # DEPENDENCYPART_ARC
(8,4),-1.12245 # DEPENDENCYPART_ARC
(8,5),-0.902163 # DEPENDENCYPART_ARC
(8,6),0.0187682 # DEPENDENCYPART_ARC
(8,7),1.25286 # DEPENDENCYPART_ARC
(8,11),-1.02143 # DEPENDENCYPART_ARC
(8,15),-1.09028 # DEPENDENCYPART_ARC
(9,1),-0.524947 # DEPENDENCYPART_ARC
(9,2),-0.644419 # DEPENDENCYPART_ARC
(9,3),-0.746469 # DEPENDENCYPART_ARC
(9,4),0.270669 # DEPENDENCYPART_ARC
(9,5),-1.6684 # DEPENDENCYPART_ARC
(9,6),0.761831 # DEPENDENCYPART_ARC
(9,7),-0.0106752 # DEPENDENCYPART_ARC
(9,8),1.97387 # DEPENDENCYPART_ARC
(9,10),-1.30918 # DEPENDENCYPART_ARC
(9,11),-0.914588 # DEPENDENCYPART_ARC
(9,12),-1.52081 # DEPENDENCYPART_ARC
(9,13),-1.94305 # DEPENDENCYPART_ARC
(9,16),-1.77388 # DEPENDENCYPART_ARC
(9,17),-1.02121 # DEPENDENCYPART_ARC
(9,19),-2.30331 # DEPENDENCYPART_ARC
(10,1),-0.515345 # DEPENDENCYPART_ARC
(10,2),-0.594241 # DEPENDENCYPART_ARC
(10,3),-1.1879 # DEPENDENCYPART_ARC
(10,4),-0.837982 # DEPENDENCYPART_ARC
(10,5),-1.90515 # DEPENDENCYPART_ARC
(10,6),-0.769698 # DEPENDENCYPART_ARC
(10,7),-0.666344 # DEPENDENCYPART_ARC
(10,8),-0.372937 # DEPENDENCYPART_ARC
(10,9),0.975368 # DEPENDENCYPART_ARC
(10,11),-0.746337 # DEPENDENCYPART_ARC
(10,12),-1.03371 # DEPENDENCYPART_ARC
(10,13),-1.19777 # DEPENDENCYPART_ARC
(10,16),-1.33201 # DEPENDENCYPART_ARC
(10,18),-1.36987 # DEPENDENCYPART_ARC
(11,5),-1.66122 # DEPENDENCYPART_ARC
(11,8),-1.43711 # DEPENDENCYPART_ARC
(11,9),-0.722087 # DEPENDENCYPART_ARC
(11,10),-0.676123 # DEPENDENCYPART_ARC
(11,12),-0.806228 # DEPENDENCYPART_ARC
(11,13),-0.965658 # DEPENDENCYPART_ARC
