# _root_ Hannes_Alfven : Big_bang bir _ söylencedir , _ _ haksızlık etmeyelim , belki de iyi bir söylence .
#goldHeads=5,0,6,5,6,7,17,9,10,11,17,0,17,13,17,17,2,0,
#predictedHeads=6,0,5,5,6,7,11,9,10,11,12,17,17,13,17,17,18,0,
(0,1),-1.12031 # DEPENDENCYPART_ARC
(0,2),1.70789 # DEPENDENCYPART_ARC
(0,7),0.472971 # DEPENDENCYPART_ARC
(0,12),0.490603 # DEPENDENCYPART_ARC
(0,14),-0.92247 # DEPENDENCYPART_ARC
(0,17),-1.25896 # DEPENDENCYPART_ARC
(0,18),2.65393 # DEPENDENCYPART_ARC
(1,2),-0.481978 # DEPENDENCYPART_ARC
(1,3),-0.794437 # DEPENDENCYPART_ARC
(1,4),-1.02185 # DEPENDENCYPART_ARC
(1,5),-1.12864 # DEPENDENCYPART_ARC
(1,6),-1.43238 # DEPENDENCYPART_ARC
(1,11),-1.51778 # DEPENDENCYPART_ARC
(1,16),-1.00559 # DEPENDENCYPART_ARC
(2,1),-0.196205 # DEPENDENCYPART_ARC
(2,3),-0.533985 # DEPENDENCYPART_ARC
(2,6),-0.957564 # DEPENDENCYPART_ARC
(2,7),-1.03104 # DEPENDENCYPART_ARC
(2,10),-1.04325 # DEPENDENCYPART_ARC
(2,11),-1.13039 # DEPENDENCYPART_ARC
(2,17),-1.1608 # DEPENDENCYPART_ARC
(3,1),-1.09302 # DEPENDENCYPART_ARC
(3,2),-0.439804 # DEPENDENCYPART_ARC
(3,4),-0.974656 # DEPENDENCYPART_ARC
(3,5),-1.34318 # DEPENDENCYPART_ARC
(3,11),-2.10533 # DEPENDENCYPART_ARC
(3,16),-1.42815 # DEPENDENCYPART_ARC
(4,3),-0.781341 # DEPENDENCYPART_ARC
(5,1),-1.24756 # DEPENDENCYPART_ARC
(5,2),-0.715855 # DEPENDENCYPART_ARC
(5,3),0.299857 # DEPENDENCYPART_ARC
(5,4),1.00641 # DEPENDENCYPART_ARC
(5,7),-0.513914 # DEPENDENCYPART_ARC
(5,8),-0.986369 # DEPENDENCYPART_ARC
(5,9),-1.20933 # DEPENDENCYPART_ARC
(5,10),-0.978869 # DEPENDENCYPART_ARC
(5,16),-0.842941 # DEPENDENCYPART_ARC
(6,1),0.107747 # DEPENDENCYPART_ARC
(6,2),-0.352909 # DEPENDENCYPART_ARC
(6,3),0.601187 # DEPENDENCYPART_ARC
(6,4),-0.0232322 # DEPENDENCYPART_ARC
(6,5),1.73337 # DEPENDENCYPART_ARC
(6,8),-1.97198 # DEPENDENCYPART_ARC
(6,10),-1.73065 # DEPENDENCYPART_ARC
(6,11),-1.93498 # DEPENDENCYPART_ARC
(6,13),-1.75503 # DEPENDENCYPART_ARC
(6,17),-2.40707 # DEPENDENCYPART_ARC
(7,2),-0.921001 # DEPENDENCYPART_ARC
(7,3),-0.655701 # DEPENDENCYPART_ARC
(7,4),-1.02751 # DEPENDENCYPART_ARC
(7,5),-1.02841 # DEPENDENCYPART_ARC
(7,6),0.996091 # DEPENDENCYPART_ARC
(7,8),-0.912122 # DEPENDENCYPART_ARC
(7,11),-1.45358 # DEPENDENCYPART_ARC
(7,12),-1.56452 # DEPENDENCYPART_ARC
(7,17),-1.56192 # DEPENDENCYPART_ARC
(8,4),-1.70346 # DEPENDENCYPART_ARC
(8,6),-1.68912 # DEPENDENCYPART_ARC
(8,7),-0.746001 # DEPENDENCYPART_ARC
(8,9),-0.899458 # DEPENDENCYPART_ARC
(8,16),-1.16085 # DEPENDENCYPART_ARC
(9,1),-0.668033 # DEPENDENCYPART_ARC
(9,4),-1.09567 # DEPENDENCYPART_ARC
(9,5),-0.47837 # DEPENDENCYPART_ARC
(9,6),-1.27995 # DEPENDENCYPART_ARC
(9,7),-0.562615 # DEPENDENCYPART_ARC
(9,8),1.86834 # DEPENDENCYPART_ARC
(9,17),-1.73164 # DEPENDENCYPART_ARC
(10,1),-0.672974 # DEPENDENCYPART_ARC
(10,2),-0.653958 # DEPENDENCYPART_ARC
(10,3),-0.738375 # DEPENDENCYPART_ARC
(10,4),-0.644274 # DEPENDENCYPART_ARC
(10,5),-1.34279 # DEPENDENCYPART_ARC
(10,6),-1.81356 # DEPENDENCYPART_ARC
(10,7),-0.53043 # DEPENDENCYPART_ARC
(10,8),0.600433 # DEPENDENCYPART_ARC
(10,9),1.4295 # DEPENDENCYPART_ARC
(10,12),-1.02432 # DEPENDENCYPART_ARC
(10,14),-1.2447 # DEPENDENCYPART_ARC
(10,16),-1.54971 # DEPENDENCYPART_ARC
(11,1),-0.359211 # DEPENDENCYPART_ARC
(11,2),-0.850974 # DEPENDENCYPART_ARC
(11,3),-0.49787 # DEPENDENCYPART_ARC
(11,4),-1.14158 # DEPENDENCYPART_ARC
(11,5),-1.91219 # DEPENDENCYPART_ARC
(11,6),-0.100638 # DEPENDENCYPART_ARC
(11,7),-0.13484 # DEPENDENCYPART_ARC
(11,8),-0.191079 # DEPENDENCYPART_ARC
(11,9),-0.370153 # DEPENDENCYPART_ARC
(11,10),1.40593 # DEPENDENCYPART_ARC
(11,12),-1.37317 # DEPENDENCYPART_ARC
(11,13),-1.03927 # DEPENDENCYPART_ARC
(11,14),-1.16549 # DEPENDENCYPART_ARC
(11,17),-1.81994 # DEPENDENCYPART_ARC
(11,18),-2.22116 # DEPENDENCYPART_ARC
(12,6),-1.36364 # DEPENDENCYPART_ARC
(12,7),-0.756237 # DEPENDENCYPART_ARC
(12,8),-1.58469 # DEPENDENCYPART_ARC
(12,9),-1.5328 # DEPENDENCYPART_ARC
(12,10),-0.516547 # DEPENDENCYPART_ARC
(12,11),0.856479 # DEPENDENCYPART_ARC
(12,13),-0.577663 # DEPENDENCYPART_ARC
(12,17),-1.18294 # DEPENDENCYPART_ARC
(12,18),-1.18235 # DEPENDENCYPART_ARC
(13,10),-1.92483 # DEPENDENCYPART_ARC
(13,12),-0.764019 # DEPENDENCYPART_ARC
(13,14),1.15191 # DEPENDENCYPART_ARC
(14,10),-2.29598 # DEPENDENCYPART_ARC
(14,11),-1.53355 # DEPENDENCYPART_ARC
(14,13),-0.63321 # DEPENDENCYPART_ARC
(15,5),-2.2082 # DEPENDENCYPART_ARC
(15,6),-1.77355 # DEPENDENCYPART_ARC
(15,8),-1.8934 # DEPENDENCYPART_ARC
(15,10),-1.70602 # DEPENDENCYPART_ARC
(15,11),-1.57903 # DEPENDENCYPART_ARC
(15,12),-1.07666 # DEPENDENCYPART_ARC
(15,13),-0.694319 # DEPENDENCYPART_ARC
(15,14),-0.393415 # DEPENDENCYPART_ARC
(15,17),-0.859528 # DEPENDENCYPART_ARC
(16,14),-1.31809 # DEPENDENCYPART_ARC
(16,15),-0.666487 # DEPENDENCYPART_ARC
(17,1),-1.29531 # DEPENDENCYPART_ARC
(17,2),-0.193318 # DEPENDENCYPART_ARC
(17,3),-0.932361 # DEPENDENCYPART_ARC
(17,4),-1.15261 # DEPENDENCYPART_ARC
(17,5),-2.73393 # DEPENDENCYPART_ARC
(17,7),-0.714789 # DEPENDENCYPART_ARC
(17,8),-2.38546 # DEPENDENCYPART_ARC
(17,9),-2.88468 # DEPENDENCYPART_ARC
(17,10),-0.944238 # DEPENDENCYPART_ARC
(17,11),-0.873733 # DEPENDENCYPART_ARC
(17,12),-0.421109 # DEPENDENCYPART_ARC
(17,13),-0.619863 # DEPENDENCYPART_ARC
(17,14),-0.722116 # DEPENDENCYPART_ARC
(17,15),0.493562 # DEPENDENCYPART_ARC
(17,16),1.18547 # DEPENDENCYPART_ARC
(17,18),-0.836097 # DEPENDENCYPART_ARC
(18,1),-0.943659 # DEPENDENCYPART_ARC
(18,2),-0.269139 # DEPENDENCYPART_ARC
(18,3),-0.778689 # DEPENDENCYPART_ARC
(18,5),-2.53187 # DEPENDENCYPART_ARC
(18,6),-0.472931 # DEPENDENCYPART_ARC
(18,7),-1.32431 # DEPENDENCYPART_ARC
(18,8),-2.10974 # DEPENDENCYPART_ARC
(18,9),-2.16422 # DEPENDENCYPART_ARC
(18,10),-1.01695 # DEPENDENCYPART_ARC
(18,11),-0.122809 # DEPENDENCYPART_ARC
(18,12),-1.01689 # DEPENDENCYPART_ARC
(18,13),-0.759993 # DEPENDENCYPART_ARC
(18,14),-0.683538 # DEPENDENCYPART_ARC
(18,15),-0.689122 # DEPENDENCYPART_ARC
(18,16),-0.701937 # DEPENDENCYPART_ARC
(18,17),-0.117507 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0279719 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.031247 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.031247 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0198233 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0663948 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0937316 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.129914 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.129914 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.00666115 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.00191076 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0320479 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0509876 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.00822809 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0627048 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0126125 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.00822809 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0627048 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0126125 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.141201 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.46889 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0937316 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0318115 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.030677 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0387806 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0337623 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0337623 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.030677 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00554582 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0354346 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0125873 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0125873 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.00554582 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0163682 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0142738 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0142738 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0169418 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0171491 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0171491 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.00725987 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0248625 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.0266251 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.0266251 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00931012 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.013477 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0469941 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00931014 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.013477 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.00931014 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0309783 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00595041 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0497505 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0309783 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0497505 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0406401 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0233469 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0231296 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0233469 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0471622 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0328783 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0471622 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0309783 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0497505 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0233469 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0654151 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0106294 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0676383 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.00699361 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0106294 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00630211 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00538245 # DEPENDENCYPART_SIBL
(3,2),(3,11),1.25682e-05 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.00630211 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0163682 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0142738 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0169418 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0171491 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.00725987 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0266251 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.014839 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0431056 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.117896 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00408365 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0642748 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.037626 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.010017 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.00971544 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00367386 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0324188 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0419015 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00112288 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00737389 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0478543 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.00495406 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.101031 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00408365 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0642748 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.037626 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.010017 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.00971544 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0798191 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0452836 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0285216 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0898383 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.00205161 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0432138 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0382093 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0346564 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0367135 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.00909331 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0212778 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0015297 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.00417956 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0295043 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.00351858 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.140476 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0932013 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0125277 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0532037 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0671221 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.00183869 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0071139 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0180629 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.00183869 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0547151 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0212388 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.188692 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0555525 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0154649 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0216161 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0626647 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0154649 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0140972 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0270186 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0671221 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.00183869 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0071139 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0180629 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.00183869 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.130342 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0443236 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00539094 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0153487 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0187566 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.00539094 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0807173 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00527488 # DEPENDENCYPART_SIBL
