# _root_ Bu , dedikodu _ _ denen haz dünyasından ırak _ yaşayan bir püriten olsun , _ gidip zaman_zaman ona içimizi_dökelim .
#goldHeads=14,0,4,5,6,8,8,9,10,11,13,13,14,15,20,17,20,20,20,21,0,
#predictedHeads=14,0,5,5,6,7,8,10,10,11,13,13,14,15,20,17,20,20,20,21,0,
(0,2),1.39779 # DEPENDENCYPART_ARC
(0,14),-0.920822 # DEPENDENCYPART_ARC
(0,15),0.980718 # DEPENDENCYPART_ARC
(0,21),2.63919 # DEPENDENCYPART_ARC
(1,3),-1.0048 # DEPENDENCYPART_ARC
(1,7),-1.02025 # DEPENDENCYPART_ARC
(2,1),-0.855311 # DEPENDENCYPART_ARC
(2,4),-1.26456 # DEPENDENCYPART_ARC
(2,10),-1.58684 # DEPENDENCYPART_ARC
(2,14),-1.57706 # DEPENDENCYPART_ARC
(2,16),-1.8015 # DEPENDENCYPART_ARC
(2,20),-1.59057 # DEPENDENCYPART_ARC
(3,1),-0.973721 # DEPENDENCYPART_ARC
(3,2),-0.747289 # DEPENDENCYPART_ARC
(3,4),-0.655621 # DEPENDENCYPART_ARC
(3,5),-1.18493 # DEPENDENCYPART_ARC
(3,12),-0.699628 # DEPENDENCYPART_ARC
(3,20),-1.82873 # DEPENDENCYPART_ARC
(4,1),-0.89474 # DEPENDENCYPART_ARC
(4,2),-0.614038 # DEPENDENCYPART_ARC
(4,3),0.453225 # DEPENDENCYPART_ARC
(4,10),-1.44124 # DEPENDENCYPART_ARC
(4,13),-1.19858 # DEPENDENCYPART_ARC
(4,14),-0.988131 # DEPENDENCYPART_ARC
(4,16),-1.53589 # DEPENDENCYPART_ARC
(4,17),-1.13333 # DEPENDENCYPART_ARC
(4,18),-1.57654 # DEPENDENCYPART_ARC
(5,1),-1.24666 # DEPENDENCYPART_ARC
(5,2),-0.570847 # DEPENDENCYPART_ARC
(5,3),0.106229 # DEPENDENCYPART_ARC
(5,4),1.91701 # DEPENDENCYPART_ARC
(5,10),-1.85967 # DEPENDENCYPART_ARC
(5,17),-1.48663 # DEPENDENCYPART_ARC
(6,2),-0.354092 # DEPENDENCYPART_ARC
(6,3),0.11332 # DEPENDENCYPART_ARC
(6,4),0.0371082 # DEPENDENCYPART_ARC
(6,5),1.62314 # DEPENDENCYPART_ARC
(7,1),-0.937527 # DEPENDENCYPART_ARC
(7,3),-0.391693 # DEPENDENCYPART_ARC
(7,4),-1.52133 # DEPENDENCYPART_ARC
(7,5),-0.841202 # DEPENDENCYPART_ARC
(7,6),1.17721 # DEPENDENCYPART_ARC
(7,8),-1.60301 # DEPENDENCYPART_ARC
(7,9),-1.2314 # DEPENDENCYPART_ARC
(7,12),-1.27577 # DEPENDENCYPART_ARC
(7,20),-2.17672 # DEPENDENCYPART_ARC
(8,1),-0.744466 # DEPENDENCYPART_ARC
(8,2),-0.976327 # DEPENDENCYPART_ARC
(8,3),0.152763 # DEPENDENCYPART_ARC
(8,4),-1.67987 # DEPENDENCYPART_ARC
(8,5),-1.16021 # DEPENDENCYPART_ARC
(8,6),0.263425 # DEPENDENCYPART_ARC
(8,7),1.82216 # DEPENDENCYPART_ARC
(8,9),-0.994772 # DEPENDENCYPART_ARC
(8,10),-1.57768 # DEPENDENCYPART_ARC
(8,12),-1.16115 # DEPENDENCYPART_ARC
(8,13),-1.36681 # DEPENDENCYPART_ARC
(8,20),-2.13214 # DEPENDENCYPART_ARC
(9,4),-1.8647 # DEPENDENCYPART_ARC
(9,5),-1.42467 # DEPENDENCYPART_ARC
(9,6),-1.18981 # DEPENDENCYPART_ARC
(9,7),-0.586579 # DEPENDENCYPART_ARC
(9,8),0.258686 # DEPENDENCYPART_ARC
(9,18),-0.972 # DEPENDENCYPART_ARC
(10,1),-1.28174 # DEPENDENCYPART_ARC
(10,3),-0.730795 # DEPENDENCYPART_ARC
(10,4),-2.73509 # DEPENDENCYPART_ARC
(10,5),-2.524 # DEPENDENCYPART_ARC
(10,6),-1.11248 # DEPENDENCYPART_ARC
(10,7),-0.339077 # DEPENDENCYPART_ARC
(10,8),0.179567 # DEPENDENCYPART_ARC
(10,9),0.517502 # DEPENDENCYPART_ARC
(10,13),-1.23138 # DEPENDENCYPART_ARC
(10,14),-1.4962 # DEPENDENCYPART_ARC
(10,15),-1.46034 # DEPENDENCYPART_ARC
