# _root_ Ilık et suyunun yanında _ _ haşlanmış geyik eti , _ kızarmış ekmek , bir de ılık çay vardı masada .
#goldHeads=3,3,4,19,6,7,9,9,10,13,12,13,14,18,18,15,18,19,21,19,0,
#predictedHeads=2,3,4,6,6,7,9,9,19,0,12,13,19,0,18,15,18,19,21,19,0,
(0,10),1.17144 # DEPENDENCYPART_ARC
(0,14),1.11154 # DEPENDENCYPART_ARC
(0,16),-1.05925 # DEPENDENCYPART_ARC
(0,21),3.27078 # DEPENDENCYPART_ARC
(1,2),-0.592877 # DEPENDENCYPART_ARC
(1,3),-0.87366 # DEPENDENCYPART_ARC
(1,18),-1.42568 # DEPENDENCYPART_ARC
(1,20),-1.37749 # DEPENDENCYPART_ARC
(2,1),1.16157 # DEPENDENCYPART_ARC
(2,3),-0.793369 # DEPENDENCYPART_ARC
(2,15),-1.00733 # DEPENDENCYPART_ARC
(3,1),0.00232521 # DEPENDENCYPART_ARC
(3,2),1.80016 # DEPENDENCYPART_ARC
(4,1),-0.696207 # DEPENDENCYPART_ARC
(4,2),0.489722 # DEPENDENCYPART_ARC
(4,3),2.18958 # DEPENDENCYPART_ARC
(4,5),-1.00903 # DEPENDENCYPART_ARC
(4,15),-0.97205 # DEPENDENCYPART_ARC
(5,2),-0.31961 # DEPENDENCYPART_ARC
(5,3),0.0542695 # DEPENDENCYPART_ARC
(5,4),0.530045 # DEPENDENCYPART_ARC
(5,12),-1.23714 # DEPENDENCYPART_ARC
(5,19),-1.28911 # DEPENDENCYPART_ARC
(6,1),-1.09888 # DEPENDENCYPART_ARC
(6,2),-0.445837 # DEPENDENCYPART_ARC
(6,3),0.0607341 # DEPENDENCYPART_ARC
(6,4),0.384629 # DEPENDENCYPART_ARC
(6,5),1.87125 # DEPENDENCYPART_ARC
(6,7),-0.733047 # DEPENDENCYPART_ARC
(6,8),-1.11955 # DEPENDENCYPART_ARC
(6,12),-1.4478 # DEPENDENCYPART_ARC
(6,19),-2.3442 # DEPENDENCYPART_ARC
(7,1),-0.784762 # DEPENDENCYPART_ARC
(7,2),-0.303263 # DEPENDENCYPART_ARC
(7,3),-0.182123 # DEPENDENCYPART_ARC
(7,4),0.0120011 # DEPENDENCYPART_ARC
(7,5),-0.128438 # DEPENDENCYPART_ARC
(7,6),1.4576 # DEPENDENCYPART_ARC
(7,8),-1.14994 # DEPENDENCYPART_ARC
(7,20),-1.83907 # DEPENDENCYPART_ARC
(8,1),-1.24602 # DEPENDENCYPART_ARC
(8,2),-0.846523 # DEPENDENCYPART_ARC
(8,3),-1.20652 # DEPENDENCYPART_ARC
(8,4),-1.3435 # DEPENDENCYPART_ARC
(8,5),-1.62696 # DEPENDENCYPART_ARC
(8,6),-1.24148 # DEPENDENCYPART_ARC
(8,7),1.02775 # DEPENDENCYPART_ARC
(8,9),-0.866206 # DEPENDENCYPART_ARC
(8,10),-1.06609 # DEPENDENCYPART_ARC
(8,15),-1.16659 # DEPENDENCYPART_ARC
(9,1),-1.24401 # DEPENDENCYPART_ARC
(9,2),0.176552 # DEPENDENCYPART_ARC
(9,3),0.40009 # DEPENDENCYPART_ARC
(9,4),-0.813341 # DEPENDENCYPART_ARC
(9,5),-1.65119 # DEPENDENCYPART_ARC
(9,6),-1.05458 # DEPENDENCYPART_ARC
(9,7),0.482959 # DEPENDENCYPART_ARC
(9,8),2.04027 # DEPENDENCYPART_ARC
(9,10),-1.03052 # DEPENDENCYPART_ARC
(9,11),-2.08751 # DEPENDENCYPART_ARC
(9,13),-1.08554 # DEPENDENCYPART_ARC
(9,19),-2.24211 # DEPENDENCYPART_ARC
(10,1),-1.81241 # DEPENDENCYPART_ARC
(10,4),-1.20059 # DEPENDENCYPART_ARC
(10,5),-1.78581 # DEPENDENCYPART_ARC
(10,6),-1.33708 # DEPENDENCYPART_ARC
(10,7),-1.09268 # DEPENDENCYPART_ARC
(10,8),-0.968508 # DEPENDENCYPART_ARC
(10,9),-0.0888383 # DEPENDENCYPART_ARC
(10,11),-1.02357 # DEPENDENCYPART_ARC
(10,12),-1.00036 # DEPENDENCYPART_ARC
(10,14),-1.33675 # DEPENDENCYPART_ARC
(10,19),-1.4885 # DEPENDENCYPART_ARC
(10,20),-1.48128 # DEPENDENCYPART_ARC
(11,2),-1.60585 # DEPENDENCYPART_ARC
(11,4),-1.4986 # DEPENDENCYPART_ARC
(11,6),-2.92862 # DEPENDENCYPART_ARC
(11,7),-2.05605 # DEPENDENCYPART_ARC
(11,8),-1.1824 # DEPENDENCYPART_ARC
(11,9),-1.12501 # DEPENDENCYPART_ARC
(11,10),-0.431567 # DEPENDENCYPART_ARC
(11,12),-0.42997 # DEPENDENCYPART_ARC
(11,13),-0.0808522 # DEPENDENCYPART_ARC
(11,14),-1.11199 # DEPENDENCYPART_ARC
(11,18),-1.53903 # DEPENDENCYPART_ARC
(11,19),-2.04142 # DEPENDENCYPART_ARC
(11,20),-1.06263 # DEPENDENCYPART_ARC
(11,21),-1.58059 # DEPENDENCYPART_ARC
(12,3),-1.04761 # DEPENDENCYPART_ARC
(12,4),-0.978654 # DEPENDENCYPART_ARC
(12,5),-1.85171 # DEPENDENCYPART_ARC
(12,6),-1.30464 # DEPENDENCYPART_ARC
(12,7),-1.17531 # DEPENDENCYPART_ARC
(12,8),-0.88205 # DEPENDENCYPART_ARC
(12,9),-0.911823 # DEPENDENCYPART_ARC
(12,10),-0.62759 # DEPENDENCYPART_ARC
(12,11),1.25178 # DEPENDENCYPART_ARC
