# _root_ Çam fidanı , _ süslü eşyalarla dolu _ olan bu salonda doğadan , topraktan _ iyice _ uzaklaşmıştı .
#goldHeads=2,18,0,5,6,7,8,9,11,11,18,13,14,18,16,18,18,19,0,
#predictedHeads=2,18,0,5,6,8,8,9,11,11,12,18,0,18,16,18,18,19,0,
(0,3),1.10256 # DEPENDENCYPART_ARC
(0,13),1.11357 # DEPENDENCYPART_ARC
(0,19),2.69968 # DEPENDENCYPART_ARC
(1,2),-0.819873 # DEPENDENCYPART_ARC
(1,5),-1.58534 # DEPENDENCYPART_ARC
(1,6),-1.90664 # DEPENDENCYPART_ARC
(1,10),-1.10515 # DEPENDENCYPART_ARC
(1,18),-2.0723 # DEPENDENCYPART_ARC
(2,1),1.60284 # DEPENDENCYPART_ARC
(2,4),-0.975148 # DEPENDENCYPART_ARC
(2,10),-1.37083 # DEPENDENCYPART_ARC
(2,18),-2.31531 # DEPENDENCYPART_ARC
(3,1),-0.906836 # DEPENDENCYPART_ARC
(3,2),0.27325 # DEPENDENCYPART_ARC
(3,18),-1.95392 # DEPENDENCYPART_ARC
(4,2),-1.17349 # DEPENDENCYPART_ARC
(4,3),-0.579856 # DEPENDENCYPART_ARC
(4,7),-1.12605 # DEPENDENCYPART_ARC
(4,10),-0.988056 # DEPENDENCYPART_ARC
(5,1),-0.694768 # DEPENDENCYPART_ARC
(5,2),-0.916647 # DEPENDENCYPART_ARC
(5,3),-0.448822 # DEPENDENCYPART_ARC
(5,4),1.64149 # DEPENDENCYPART_ARC
(6,1),-1.26109 # DEPENDENCYPART_ARC
(6,2),-1.32511 # DEPENDENCYPART_ARC
(6,3),-0.543713 # DEPENDENCYPART_ARC
(6,4),-0.259854 # DEPENDENCYPART_ARC
(6,5),1.88273 # DEPENDENCYPART_ARC
(6,7),-0.881898 # DEPENDENCYPART_ARC
(6,8),-1.45204 # DEPENDENCYPART_ARC
(6,10),-1.11244 # DEPENDENCYPART_ARC
(6,18),-1.95769 # DEPENDENCYPART_ARC
(7,3),-0.598561 # DEPENDENCYPART_ARC
(7,4),-0.500027 # DEPENDENCYPART_ARC
(7,5),-0.467259 # DEPENDENCYPART_ARC
(7,6),0.605432 # DEPENDENCYPART_ARC
(7,11),-0.879669 # DEPENDENCYPART_ARC
(7,12),-0.969847 # DEPENDENCYPART_ARC
(7,14),-1.12175 # DEPENDENCYPART_ARC
(8,1),-1.10605 # DEPENDENCYPART_ARC
(8,2),-1.22795 # DEPENDENCYPART_ARC
(8,3),-0.929096 # DEPENDENCYPART_ARC
(8,4),-1.32241 # DEPENDENCYPART_ARC
(8,5),-1.02225 # DEPENDENCYPART_ARC
(8,6),0.620126 # DEPENDENCYPART_ARC
(8,7),0.535011 # DEPENDENCYPART_ARC
(8,11),-1.09446 # DEPENDENCYPART_ARC
(8,12),-0.974879 # DEPENDENCYPART_ARC
(8,13),-1.41679 # DEPENDENCYPART_ARC
(8,14),-1.90714 # DEPENDENCYPART_ARC
