# _root_ Ana'nın _ orada_olmadığını _ söyledikten sonra ben , buna ne inanırmış , ne de inanmazmış gibi bir tavır takındım .
#goldHeads=2,3,4,5,6,19,15,0,15,11,18,0,15,13,16,18,18,19,20,0,
#predictedHeads=3,3,4,5,6,11,11,0,11,11,12,19,15,13,16,19,18,19,20,0,
(0,1),-0.935651 # DEPENDENCYPART_ARC
(0,8),0.933523 # DEPENDENCYPART_ARC
(0,11),-1.32856 # DEPENDENCYPART_ARC
(0,12),0.322358 # DEPENDENCYPART_ARC
(0,14),-0.734739 # DEPENDENCYPART_ARC
(0,15),-1.26499 # DEPENDENCYPART_ARC
(0,19),-1.19432 # DEPENDENCYPART_ARC
(0,20),2.0596 # DEPENDENCYPART_ARC
(1,2),-0.58217 # DEPENDENCYPART_ARC
(2,1),0.948648 # DEPENDENCYPART_ARC
(2,3),-0.535695 # DEPENDENCYPART_ARC
(2,4),-1.30209 # DEPENDENCYPART_ARC
(2,5),-1.28035 # DEPENDENCYPART_ARC
(2,6),-0.801264 # DEPENDENCYPART_ARC
(2,10),-1.20925 # DEPENDENCYPART_ARC
(2,11),-1.25414 # DEPENDENCYPART_ARC
(2,13),-1.11669 # DEPENDENCYPART_ARC
(2,15),-1.19536 # DEPENDENCYPART_ARC
(3,1),1.65847 # DEPENDENCYPART_ARC
(3,2),2.04189 # DEPENDENCYPART_ARC
(3,4),-1.40896 # DEPENDENCYPART_ARC
(4,1),0.116733 # DEPENDENCYPART_ARC
(4,2),-0.468131 # DEPENDENCYPART_ARC
(4,3),1.26409 # DEPENDENCYPART_ARC
(4,5),-0.727681 # DEPENDENCYPART_ARC
(4,6),-0.816661 # DEPENDENCYPART_ARC
(4,7),-0.827196 # DEPENDENCYPART_ARC
(4,8),-1.56062 # DEPENDENCYPART_ARC
(4,10),-1.37845 # DEPENDENCYPART_ARC
(4,11),-1.76412 # DEPENDENCYPART_ARC
(4,12),-1.76913 # DEPENDENCYPART_ARC
(4,13),-1.28477 # DEPENDENCYPART_ARC
(4,15),-1.77557 # DEPENDENCYPART_ARC
(4,16),-1.08598 # DEPENDENCYPART_ARC
(5,1),-0.907808 # DEPENDENCYPART_ARC
(5,3),-0.711757 # DEPENDENCYPART_ARC
(5,4),1.7346 # DEPENDENCYPART_ARC
(6,2),-1.06229 # DEPENDENCYPART_ARC
(6,4),-0.460385 # DEPENDENCYPART_ARC
(6,5),1.74284 # DEPENDENCYPART_ARC
