# _root_ Kızaklarda _ _ _ kullanılan tahta , deri ve boynuzların dışında tek_tük halatlar , sicimler de dış dünyadan geliyor bu dağlara .
#goldHeads=4,3,4,5,6,7,8,9,10,11,19,13,14,15,19,15,18,19,22,21,19,0,
#predictedHeads=4,3,4,5,6,7,8,9,10,11,19,13,19,0,19,15,18,19,22,21,19,0,
(0,7),1.30608 # DEPENDENCYPART_ARC
(0,14),1.28037 # DEPENDENCYPART_ARC
(0,16),-1.0189 # DEPENDENCYPART_ARC
(0,21),-0.96799 # DEPENDENCYPART_ARC
(0,22),3.66715 # DEPENDENCYPART_ARC
(1,2),-0.583432 # DEPENDENCYPART_ARC
(2,1),-0.719726 # DEPENDENCYPART_ARC
(2,3),-1.01289 # DEPENDENCYPART_ARC
(3,1),0.455587 # DEPENDENCYPART_ARC
(3,2),1.16821 # DEPENDENCYPART_ARC
(4,1),0.0870698 # DEPENDENCYPART_ARC
(4,2),0.0663512 # DEPENDENCYPART_ARC
(4,3),1.92981 # DEPENDENCYPART_ARC
(5,1),-0.0220913 # DEPENDENCYPART_ARC
(5,2),0.297199 # DEPENDENCYPART_ARC
(5,3),-0.0168419 # DEPENDENCYPART_ARC
(5,4),1.57306 # DEPENDENCYPART_ARC
(6,1),-1.40393 # DEPENDENCYPART_ARC
(6,2),-1.16183 # DEPENDENCYPART_ARC
(6,3),-1.41966 # DEPENDENCYPART_ARC
(6,4),-0.657617 # DEPENDENCYPART_ARC
(6,5),1.28223 # DEPENDENCYPART_ARC
(6,7),-0.834141 # DEPENDENCYPART_ARC
(6,8),-1.0694 # DEPENDENCYPART_ARC
(6,9),-1.46831 # DEPENDENCYPART_ARC
(6,19),-2.08724 # DEPENDENCYPART_ARC
(6,20),-1.2682 # DEPENDENCYPART_ARC
(7,1),-0.9891 # DEPENDENCYPART_ARC
(7,2),-1.80022 # DEPENDENCYPART_ARC
(7,3),-1.57277 # DEPENDENCYPART_ARC
(7,4),-0.886009 # DEPENDENCYPART_ARC
(7,5),-0.722336 # DEPENDENCYPART_ARC
(7,6),0.283364 # DEPENDENCYPART_ARC
(7,8),-0.699483 # DEPENDENCYPART_ARC
(7,14),-1.51899 # DEPENDENCYPART_ARC
(7,19),-1.64619 # DEPENDENCYPART_ARC
(7,21),-1.6982 # DEPENDENCYPART_ARC
(8,3),-2.453 # DEPENDENCYPART_ARC
(8,4),-1.95099 # DEPENDENCYPART_ARC
(8,5),-1.2968 # DEPENDENCYPART_ARC
(8,6),-1.13954 # DEPENDENCYPART_ARC
(8,7),-0.349243 # DEPENDENCYPART_ARC
(8,9),-0.380867 # DEPENDENCYPART_ARC
(8,10),-1.53011 # DEPENDENCYPART_ARC
(8,12),-1.5692 # DEPENDENCYPART_ARC
(8,13),-1.85327 # DEPENDENCYPART_ARC
(8,19),-2.2191 # DEPENDENCYPART_ARC
(8,20),-1.4623 # DEPENDENCYPART_ARC
(9,2),-1.46607 # DEPENDENCYPART_ARC
(9,3),-1.17024 # DEPENDENCYPART_ARC
(9,4),-1.10299 # DEPENDENCYPART_ARC
(9,6),-0.724275 # DEPENDENCYPART_ARC
(9,8),1.6776 # DEPENDENCYPART_ARC
(9,10),-1.01729 # DEPENDENCYPART_ARC
(9,11),-1.13465 # DEPENDENCYPART_ARC
(10,5),-0.922531 # DEPENDENCYPART_ARC
(10,6),-1.44327 # DEPENDENCYPART_ARC
(10,7),-0.3875 # DEPENDENCYPART_ARC
(10,8),-0.0563037 # DEPENDENCYPART_ARC
(10,9),0.570425 # DEPENDENCYPART_ARC
(10,11),-1.64067 # DEPENDENCYPART_ARC
(10,12),-1.22227 # DEPENDENCYPART_ARC
(10,19),-2.02851 # DEPENDENCYPART_ARC
(10,20),-1.36328 # DEPENDENCYPART_ARC
(11,4),-2.2225 # DEPENDENCYPART_ARC
