# _root_ Ben bir hizmet _ insanıyım , söylerim , _ söylediğimin arkasından giderim ve bana neye mal olursa_olsun ben bununla iftihar ederim .
#goldHeads=4,3,4,5,6,22,8,22,10,11,12,13,21,15,17,17,21,19,20,21,22,0,
#predictedHeads=5,3,4,5,6,7,8,21,10,11,12,13,21,17,17,17,21,21,20,21,22,0,
(0,6),0.519959 # DEPENDENCYPART_ARC
(0,8),0.115337 # DEPENDENCYPART_ARC
(0,13),-0.966693 # DEPENDENCYPART_ARC
(0,22),2.25537 # DEPENDENCYPART_ARC
(3,1),-0.497991 # DEPENDENCYPART_ARC
(3,2),0.775293 # DEPENDENCYPART_ARC
(3,4),-1.18774 # DEPENDENCYPART_ARC
(4,1),-0.433283 # DEPENDENCYPART_ARC
(4,2),-0.384897 # DEPENDENCYPART_ARC
(4,3),1.84239 # DEPENDENCYPART_ARC
(4,21),-1.61967 # DEPENDENCYPART_ARC
(5,1),0.870441 # DEPENDENCYPART_ARC
(5,2),-0.32319 # DEPENDENCYPART_ARC
(5,3),0.736293 # DEPENDENCYPART_ARC
(5,4),1.58235 # DEPENDENCYPART_ARC
(5,7),-2.03761 # DEPENDENCYPART_ARC
(5,12),-2.14716 # DEPENDENCYPART_ARC
(5,20),-2.81668 # DEPENDENCYPART_ARC
(6,2),-1.13588 # DEPENDENCYPART_ARC
(6,3),-0.761324 # DEPENDENCYPART_ARC
(6,4),-1.0289 # DEPENDENCYPART_ARC
(6,5),1.12225 # DEPENDENCYPART_ARC
(6,7),-0.73218 # DEPENDENCYPART_ARC
(6,12),-1.13779 # DEPENDENCYPART_ARC
(6,17),-1.18944 # DEPENDENCYPART_ARC
(6,21),-1.2362 # DEPENDENCYPART_ARC
(7,1),0.102348 # DEPENDENCYPART_ARC
(7,2),-1.44638 # DEPENDENCYPART_ARC
(7,3),-0.890952 # DEPENDENCYPART_ARC
(7,4),-1.24984 # DEPENDENCYPART_ARC
(7,5),-0.414175 # DEPENDENCYPART_ARC
(7,6),0.426719 # DEPENDENCYPART_ARC
(7,8),-0.945293 # DEPENDENCYPART_ARC
(7,9),-1.29543 # DEPENDENCYPART_ARC
(7,10),-1.5601 # DEPENDENCYPART_ARC
(7,11),-0.993068 # DEPENDENCYPART_ARC
(7,12),-1.38598 # DEPENDENCYPART_ARC
(7,16),-1.56522 # DEPENDENCYPART_ARC
(7,17),-1.23089 # DEPENDENCYPART_ARC
(7,20),-1.88154 # DEPENDENCYPART_ARC
(7,21),-1.41011 # DEPENDENCYPART_ARC
(8,2),-1.62633 # DEPENDENCYPART_ARC
(8,5),-0.944585 # DEPENDENCYPART_ARC
(8,6),-1.02657 # DEPENDENCYPART_ARC
(8,7),0.628903 # DEPENDENCYPART_ARC
(8,9),-0.853483 # DEPENDENCYPART_ARC
(8,12),-1.127 # DEPENDENCYPART_ARC
(8,17),-1.04297 # DEPENDENCYPART_ARC
(8,21),-1.22058 # DEPENDENCYPART_ARC
(9,1),-1.16961 # DEPENDENCYPART_ARC
(9,3),-1.27551 # DEPENDENCYPART_ARC
(9,4),-2.01723 # DEPENDENCYPART_ARC
(9,5),-1.39903 # DEPENDENCYPART_ARC
(9,6),-1.32281 # DEPENDENCYPART_ARC
(9,7),-1.02787 # DEPENDENCYPART_ARC
(9,8),0.0935245 # DEPENDENCYPART_ARC
(9,10),-0.714805 # DEPENDENCYPART_ARC
(9,11),-0.870516 # DEPENDENCYPART_ARC
(9,12),-1.50684 # DEPENDENCYPART_ARC
(9,13),-0.738443 # DEPENDENCYPART_ARC
(9,16),-1.49487 # DEPENDENCYPART_ARC
(9,17),-1.65849 # DEPENDENCYPART_ARC
(9,20),-1.64573 # DEPENDENCYPART_ARC
(9,21),-1.57262 # DEPENDENCYPART_ARC
(10,1),-0.171713 # DEPENDENCYPART_ARC
(10,3),-0.755605 # DEPENDENCYPART_ARC
(10,4),-1.82747 # DEPENDENCYPART_ARC
(10,5),-1.11427 # DEPENDENCYPART_ARC
(10,6),-0.968254 # DEPENDENCYPART_ARC
(10,8),-0.501895 # DEPENDENCYPART_ARC
(10,9),1.4174 # DEPENDENCYPART_ARC
(11,1),-1.17824 # DEPENDENCYPART_ARC
(11,2),-1.13868 # DEPENDENCYPART_ARC
(11,3),-0.333094 # DEPENDENCYPART_ARC
