# _root_ İki gözü iki çeşme , _ öksürüp _ aksırarak , derdini _ anlatamadan bir köşeye _ çekilirmiş kara _ yazgılı hayvan .
#goldHeads=2,4,4,17,0,7,8,9,17,0,12,13,17,15,17,17,22,19,20,21,17,0,
#predictedHeads=2,3,4,9,0,7,8,9,17,0,12,13,17,15,17,17,22,19,20,21,22,0,
(0,1),-0.352225 # DEPENDENCYPART_ARC
(0,3),-0.775243 # DEPENDENCYPART_ARC
(0,5),0.745535 # DEPENDENCYPART_ARC
(0,10),0.441073 # DEPENDENCYPART_ARC
(0,21),-1.45905 # DEPENDENCYPART_ARC
(0,22),2.30465 # DEPENDENCYPART_ARC
(2,1),0.855061 # DEPENDENCYPART_ARC
(2,3),-0.843181 # DEPENDENCYPART_ARC
(2,4),-0.684829 # DEPENDENCYPART_ARC
(2,6),-1.74215 # DEPENDENCYPART_ARC
(2,14),-0.981274 # DEPENDENCYPART_ARC
(3,2),-0.229031 # DEPENDENCYPART_ARC
(4,1),-0.537917 # DEPENDENCYPART_ARC
(4,2),-0.320483 # DEPENDENCYPART_ARC
(4,3),0.946166 # DEPENDENCYPART_ARC
(4,5),-0.757807 # DEPENDENCYPART_ARC
(4,6),-1.59061 # DEPENDENCYPART_ARC
(5,1),-1.11062 # DEPENDENCYPART_ARC
(5,2),-1.11934 # DEPENDENCYPART_ARC
(5,3),-0.890197 # DEPENDENCYPART_ARC
(5,4),-0.0468341 # DEPENDENCYPART_ARC
(5,6),-0.929026 # DEPENDENCYPART_ARC
(5,7),-0.893511 # DEPENDENCYPART_ARC
(5,8),-1.19076 # DEPENDENCYPART_ARC
(5,17),-1.28548 # DEPENDENCYPART_ARC
(6,1),-2.16223 # DEPENDENCYPART_ARC
(6,2),-1.59866 # DEPENDENCYPART_ARC
(6,3),-1.96958 # DEPENDENCYPART_ARC
(6,4),-1.25192 # DEPENDENCYPART_ARC
(6,5),-0.338906 # DEPENDENCYPART_ARC
(6,7),-0.400643 # DEPENDENCYPART_ARC
