# _root_ ROMA ­ " Se il ministro dell' Interno si è deciso a lanciare l' allarme , dopo pochi mesi dal suo insediamento al Viminale , vuol dire che il problema dei pentiti è serio .
#goldHeads=0,1,4,27,6,11,6,7,11,11,4,11,12,15,13,15,13,19,17,19,22,20,22,23,24,27,0,27,30,33,30,31,28,33,34,
#predictedHeads=0,1,4,33,6,11,6,7,11,11,4,11,12,15,13,15,27,19,17,13,22,20,22,23,24,27,0,27,30,33,30,31,28,33,34,
(0,1),1.3383 # DEPENDENCYPART_ARC
(0,2),-0.282647 # DEPENDENCYPART_ARC
(0,3),-0.476529 # DEPENDENCYPART_ARC
(0,4),-0.0366999 # DEPENDENCYPART_ARC
(0,5),-0.9144 # DEPENDENCYPART_ARC
(0,6),0.486595 # DEPENDENCYPART_ARC
(0,7),-0.515675 # DEPENDENCYPART_ARC
(0,8),0.137432 # DEPENDENCYPART_ARC
(0,9),-0.643267 # DEPENDENCYPART_ARC
(0,10),1.16982 # DEPENDENCYPART_ARC
(0,11),0.942862 # DEPENDENCYPART_ARC
(0,12),-1.54843 # DEPENDENCYPART_ARC
(0,13),-0.0709368 # DEPENDENCYPART_ARC
(0,14),-1.29712 # DEPENDENCYPART_ARC
(0,15),-0.207974 # DEPENDENCYPART_ARC
(0,16),-0.649517 # DEPENDENCYPART_ARC
(0,17),-1.76233 # DEPENDENCYPART_ARC
(0,18),-1.07821 # DEPENDENCYPART_ARC
(0,19),-0.575615 # DEPENDENCYPART_ARC
(0,20),-1.5769 # DEPENDENCYPART_ARC
(0,21),-0.829107 # DEPENDENCYPART_ARC
(0,22),-0.517156 # DEPENDENCYPART_ARC
(0,23),-1.76467 # DEPENDENCYPART_ARC
(0,24),-0.741161 # DEPENDENCYPART_ARC
(0,25),-1.0913 # DEPENDENCYPART_ARC
(0,26),0.413689 # DEPENDENCYPART_ARC
(0,27),1.63489 # DEPENDENCYPART_ARC
(0,28),-0.78251 # DEPENDENCYPART_ARC
(0,29),-1.7398 # DEPENDENCYPART_ARC
