# _root_ Magari , su alcuni temi , sono d' accordo e il contraddittorio si perde " .
#goldHeads=7,1,7,5,3,5,0,7,8,7,12,14,14,7,14,15,
#predictedHeads=7,1,7,5,3,5,0,7,8,7,12,14,14,7,14,15,
(0,1),-0.42185 # DEPENDENCYPART_ARC
(0,2),-0.844673 # DEPENDENCYPART_ARC
(0,3),-0.821515 # DEPENDENCYPART_ARC
(0,4),-0.949235 # DEPENDENCYPART_ARC
(0,5),-0.660848 # DEPENDENCYPART_ARC
(0,6),-0.358151 # DEPENDENCYPART_ARC
(0,7),1.79036 # DEPENDENCYPART_ARC
(0,8),-1.0651 # DEPENDENCYPART_ARC
(0,9),-0.681354 # DEPENDENCYPART_ARC
(0,10),-0.933854 # DEPENDENCYPART_ARC
(0,11),-1.43706 # DEPENDENCYPART_ARC
(0,12),-0.611845 # DEPENDENCYPART_ARC
(0,13),-1.4256 # DEPENDENCYPART_ARC
(0,14),0.477413 # DEPENDENCYPART_ARC
(0,15),-1.36595 # DEPENDENCYPART_ARC
(0,16),-1.16621 # DEPENDENCYPART_ARC
(1,2),2.23931 # DEPENDENCYPART_ARC
(1,3),-0.292062 # DEPENDENCYPART_ARC
(1,4),-0.272693 # DEPENDENCYPART_ARC
(1,5),-0.570597 # DEPENDENCYPART_ARC
(1,6),0.153869 # DEPENDENCYPART_ARC
(1,7),-0.790526 # DEPENDENCYPART_ARC
(1,8),-1.18302 # DEPENDENCYPART_ARC
(1,9),-1.22237 # DEPENDENCYPART_ARC
(1,10),-0.51037 # DEPENDENCYPART_ARC
(1,11),-0.659088 # DEPENDENCYPART_ARC
(1,12),-1.55547 # DEPENDENCYPART_ARC
(1,13),-1.26875 # DEPENDENCYPART_ARC
(1,14),-1.07924 # DEPENDENCYPART_ARC
(1,15),-1.48749 # DEPENDENCYPART_ARC
(1,16),-1.54578 # DEPENDENCYPART_ARC
(2,1),-0.374431 # DEPENDENCYPART_ARC
(2,3),-1.19558 # DEPENDENCYPART_ARC
(2,4),-1.42661 # DEPENDENCYPART_ARC
(2,5),-1.79854 # DEPENDENCYPART_ARC
(2,6),-0.75938 # DEPENDENCYPART_ARC
(2,7),-1.85532 # DEPENDENCYPART_ARC
(2,8),-2.46335 # DEPENDENCYPART_ARC
(2,9),-2.40104 # DEPENDENCYPART_ARC
(2,10),-2.20528 # DEPENDENCYPART_ARC
(2,11),-2.3884 # DEPENDENCYPART_ARC
(2,12),-2.4703 # DEPENDENCYPART_ARC
(2,13),-2.54092 # DEPENDENCYPART_ARC
(2,14),-2.37743 # DEPENDENCYPART_ARC
(2,15),-2.19427 # DEPENDENCYPART_ARC
(2,16),-1.52766 # DEPENDENCYPART_ARC
(3,1),-0.18826 # DEPENDENCYPART_ARC
(3,2),0.09496 # DEPENDENCYPART_ARC
(3,4),1.55228 # DEPENDENCYPART_ARC
(3,5),3.11855 # DEPENDENCYPART_ARC
(3,6),0.11367 # DEPENDENCYPART_ARC
(3,7),-0.0358207 # DEPENDENCYPART_ARC
(3,8),-0.681111 # DEPENDENCYPART_ARC
(3,9),-0.476958 # DEPENDENCYPART_ARC
(3,10),0.00811491 # DEPENDENCYPART_ARC
(3,11),-0.964783 # DEPENDENCYPART_ARC
(3,12),-1.86928 # DEPENDENCYPART_ARC
(3,13),-0.806976 # DEPENDENCYPART_ARC
(3,14),-1.26438 # DEPENDENCYPART_ARC
(3,15),-1.72282 # DEPENDENCYPART_ARC
(3,16),-1.42999 # DEPENDENCYPART_ARC
(4,1),-1.18429 # DEPENDENCYPART_ARC
(4,2),-1.02257 # DEPENDENCYPART_ARC
(4,3),-0.0936463 # DEPENDENCYPART_ARC
(4,5),0.886676 # DEPENDENCYPART_ARC
(4,6),-0.0846357 # DEPENDENCYPART_ARC
(4,7),-0.0888117 # DEPENDENCYPART_ARC
(4,8),-0.306014 # DEPENDENCYPART_ARC
(4,9),-0.830887 # DEPENDENCYPART_ARC
(4,10),-0.561469 # DEPENDENCYPART_ARC
(4,11),-1.15691 # DEPENDENCYPART_ARC
(4,12),-1.03659 # DEPENDENCYPART_ARC
(4,13),-1.16634 # DEPENDENCYPART_ARC
(4,14),-1.03303 # DEPENDENCYPART_ARC
(4,15),-0.825558 # DEPENDENCYPART_ARC
(4,16),-0.871147 # DEPENDENCYPART_ARC
(5,1),0.317937 # DEPENDENCYPART_ARC
(5,2),-1.19751 # DEPENDENCYPART_ARC
