# _root_ I due hanno la stessa passione di tanti ragazzi della loro età : la discoteca , la musica a tutto volume , le serate di divertimento che proseguono fino_all' alba .
#goldHeads=2,3,0,6,6,3,6,9,7,9,12,10,12,15,6,15,18,15,18,21,19,15,24,15,24,25,28,24,28,29,30,
#predictedHeads=2,3,0,6,6,3,6,9,7,9,12,10,12,15,10,15,18,15,18,21,19,21,24,19,24,25,28,24,28,29,30,
(0,1),-0.507653 # DEPENDENCYPART_ARC
(0,2),-0.784129 # DEPENDENCYPART_ARC
(0,3),1.37253 # DEPENDENCYPART_ARC
(0,4),-1.3679 # DEPENDENCYPART_ARC
(0,5),-0.605902 # DEPENDENCYPART_ARC
(0,6),-0.383242 # DEPENDENCYPART_ARC
(0,7),-1.68367 # DEPENDENCYPART_ARC
(0,8),-1.0905 # DEPENDENCYPART_ARC
(0,9),-0.39599 # DEPENDENCYPART_ARC
(0,10),-1.64391 # DEPENDENCYPART_ARC
(0,11),-0.971603 # DEPENDENCYPART_ARC
(0,12),-0.466787 # DEPENDENCYPART_ARC
(0,13),-0.952477 # DEPENDENCYPART_ARC
(0,14),-1.57292 # DEPENDENCYPART_ARC
(0,15),-0.584255 # DEPENDENCYPART_ARC
(0,16),-0.878417 # DEPENDENCYPART_ARC
(0,17),-1.70665 # DEPENDENCYPART_ARC
(0,18),-0.720268 # DEPENDENCYPART_ARC
(0,19),-2.37208 # DEPENDENCYPART_ARC
(0,20),-1.26216 # DEPENDENCYPART_ARC
(0,21),-1.04017 # DEPENDENCYPART_ARC
(0,22),-1.24277 # DEPENDENCYPART_ARC
(0,23),-1.72017 # DEPENDENCYPART_ARC
(0,24),-1.17137 # DEPENDENCYPART_ARC
(0,25),-2.6343 # DEPENDENCYPART_ARC
(0,26),-0.800117 # DEPENDENCYPART_ARC
(0,27),-1.94966 # DEPENDENCYPART_ARC
(0,28),0.326998 # DEPENDENCYPART_ARC
(0,29),-2.76741 # DEPENDENCYPART_ARC
(0,30),-2.28338 # DEPENDENCYPART_ARC
(0,31),-2.14235 # DEPENDENCYPART_ARC
(1,2),0.385946 # DEPENDENCYPART_ARC
(1,3),-0.106322 # DEPENDENCYPART_ARC
(1,4),-1.26054 # DEPENDENCYPART_ARC
(1,5),-2.04011 # DEPENDENCYPART_ARC
(1,6),-1.25104 # DEPENDENCYPART_ARC
(1,7),-0.628958 # DEPENDENCYPART_ARC
(1,8),-0.907163 # DEPENDENCYPART_ARC
(1,9),-0.939513 # DEPENDENCYPART_ARC
(1,10),-0.841569 # DEPENDENCYPART_ARC
(1,11),-1.54093 # DEPENDENCYPART_ARC
(1,12),-1.17139 # DEPENDENCYPART_ARC
(1,13),-0.924986 # DEPENDENCYPART_ARC
(1,14),-1.74291 # DEPENDENCYPART_ARC
(1,15),-1.59256 # DEPENDENCYPART_ARC
(1,16),-1.11579 # DEPENDENCYPART_ARC
(1,17),-1.74089 # DEPENDENCYPART_ARC
(1,18),-1.72019 # DEPENDENCYPART_ARC
(1,19),-1.23119 # DEPENDENCYPART_ARC
(1,20),-1.64527 # DEPENDENCYPART_ARC
(1,21),-1.67511 # DEPENDENCYPART_ARC
(1,22),-1.51696 # DEPENDENCYPART_ARC
(1,23),-1.61641 # DEPENDENCYPART_ARC
(1,24),-1.54514 # DEPENDENCYPART_ARC
(1,25),-1.42204 # DEPENDENCYPART_ARC
(1,26),-1.90782 # DEPENDENCYPART_ARC
(1,27),-1.91415 # DEPENDENCYPART_ARC
(1,28),-1.68376 # DEPENDENCYPART_ARC
(1,29),-1.82629 # DEPENDENCYPART_ARC
(1,30),-2.14051 # DEPENDENCYPART_ARC
(1,31),-1.84095 # DEPENDENCYPART_ARC
(2,1),2.46735 # DEPENDENCYPART_ARC
(2,3),0.87029 # DEPENDENCYPART_ARC
(2,4),-0.297817 # DEPENDENCYPART_ARC
(2,5),-0.293427 # DEPENDENCYPART_ARC
(2,6),-0.44118 # DEPENDENCYPART_ARC
(2,7),-0.456038 # DEPENDENCYPART_ARC
(2,8),-0.557655 # DEPENDENCYPART_ARC
(2,9),-0.514824 # DEPENDENCYPART_ARC
(2,10),-0.838458 # DEPENDENCYPART_ARC
(2,11),-0.866518 # DEPENDENCYPART_ARC
(2,12),-0.63856 # DEPENDENCYPART_ARC
(2,13),-0.583936 # DEPENDENCYPART_ARC
(2,14),-0.919507 # DEPENDENCYPART_ARC
(2,15),-0.696322 # DEPENDENCYPART_ARC
(2,16),-0.746076 # DEPENDENCYPART_ARC
(2,17),-1.0252 # DEPENDENCYPART_ARC
(2,18),-0.716512 # DEPENDENCYPART_ARC
(2,19),-1.55043 # DEPENDENCYPART_ARC
(2,20),-0.861262 # DEPENDENCYPART_ARC
(2,21),-0.860144 # DEPENDENCYPART_ARC
(2,22),-1.21949 # DEPENDENCYPART_ARC
(2,23),-1.20379 # DEPENDENCYPART_ARC
(2,24),-0.932561 # DEPENDENCYPART_ARC
(2,25),-1.72402 # DEPENDENCYPART_ARC
(2,26),-1.10626 # DEPENDENCYPART_ARC
(2,27),-1.46483 # DEPENDENCYPART_ARC
(2,28),-2.56492 # DEPENDENCYPART_ARC
(2,29),-2.12666 # DEPENDENCYPART_ARC
(2,30),-1.15257 # DEPENDENCYPART_ARC
(2,31),-2.14567 # DEPENDENCYPART_ARC
(3,1),0.238037 # DEPENDENCYPART_ARC
(3,2),0.982805 # DEPENDENCYPART_ARC
(3,4),-0.493108 # DEPENDENCYPART_ARC
(3,5),0.712113 # DEPENDENCYPART_ARC
(3,6),1.84301 # DEPENDENCYPART_ARC
(3,7),0.671177 # DEPENDENCYPART_ARC
(3,8),0.549402 # DEPENDENCYPART_ARC
(3,9),1.34745 # DEPENDENCYPART_ARC
(3,10),-0.461906 # DEPENDENCYPART_ARC
(3,11),-0.952243 # DEPENDENCYPART_ARC
(3,12),0.67808 # DEPENDENCYPART_ARC
(3,13),-0.755426 # DEPENDENCYPART_ARC
(3,14),-1.92562 # DEPENDENCYPART_ARC
(3,15),0.213566 # DEPENDENCYPART_ARC
(3,16),0.218317 # DEPENDENCYPART_ARC
(3,17),-1.95443 # DEPENDENCYPART_ARC
(3,18),-0.141776 # DEPENDENCYPART_ARC
(3,19),0.135372 # DEPENDENCYPART_ARC
(3,20),-0.534453 # DEPENDENCYPART_ARC
(3,21),-0.817678 # DEPENDENCYPART_ARC
(3,22),-0.417563 # DEPENDENCYPART_ARC
(3,23),-1.34617 # DEPENDENCYPART_ARC
(3,24),-0.35279 # DEPENDENCYPART_ARC
