# _root_ Un mestiere duro , dice , che non ha senso se non si è motivati .
#goldHeads=2,5,2,3,0,5,9,9,2,9,9,15,15,15,11,15,
#predictedHeads=2,5,2,3,0,5,9,9,0,9,9,15,15,15,11,15,
(0,2),-0.340263 # DEPENDENCYPART_ARC
(0,3),-0.416506 # DEPENDENCYPART_ARC
(0,4),-0.374292 # DEPENDENCYPART_ARC
(0,5),1.63304 # DEPENDENCYPART_ARC
(0,6),-0.263572 # DEPENDENCYPART_ARC
(0,8),-1.44098 # DEPENDENCYPART_ARC
(0,9),1.29681 # DEPENDENCYPART_ARC
(0,10),-0.339934 # DEPENDENCYPART_ARC
(0,11),-0.375771 # DEPENDENCYPART_ARC
(0,12),-1.26821 # DEPENDENCYPART_ARC
(0,13),-1.61559 # DEPENDENCYPART_ARC
(0,14),-0.0941667 # DEPENDENCYPART_ARC
(0,15),-0.309553 # DEPENDENCYPART_ARC
(0,16),-0.981536 # DEPENDENCYPART_ARC
(1,4),0.0820732 # DEPENDENCYPART_ARC
(1,6),-0.439006 # DEPENDENCYPART_ARC
(1,16),-0.864163 # DEPENDENCYPART_ARC
(2,1),3.7879 # DEPENDENCYPART_ARC
(2,3),3.09827 # DEPENDENCYPART_ARC
(2,4),0.456438 # DEPENDENCYPART_ARC
(2,5),0.211413 # DEPENDENCYPART_ARC
(2,6),0.131525 # DEPENDENCYPART_ARC
(2,7),-1.52837 # DEPENDENCYPART_ARC
(2,8),-0.82581 # DEPENDENCYPART_ARC
(2,9),-0.405959 # DEPENDENCYPART_ARC
(2,10),-0.341031 # DEPENDENCYPART_ARC
(2,11),-0.5363 # DEPENDENCYPART_ARC
(2,12),-1.1337 # DEPENDENCYPART_ARC
(2,13),-2.27451 # DEPENDENCYPART_ARC
(2,14),-0.534582 # DEPENDENCYPART_ARC
(2,15),-1.25534 # DEPENDENCYPART_ARC
(2,16),-1.56268 # DEPENDENCYPART_ARC
(3,1),0.489375 # DEPENDENCYPART_ARC
