# _root_ Cento alabardieri , sottufficiali , sono dal 1982 agli ordini del col. Roland Buchs Binz .
#goldHeads=2,6,2,2,4,0,6,7,6,9,10,11,14,12,14,15,
#predictedHeads=2,0,2,2,4,0,6,7,6,9,10,11,11,13,14,15,
(0,1),-0.105557 # DEPENDENCYPART_ARC
(0,2),-0.415251 # DEPENDENCYPART_ARC
(0,3),-0.290325 # DEPENDENCYPART_ARC
(0,4),0.301504 # DEPENDENCYPART_ARC
(0,5),-0.618174 # DEPENDENCYPART_ARC
(0,6),1.71399 # DEPENDENCYPART_ARC
(0,7),-1.03042 # DEPENDENCYPART_ARC
(0,8),-1.11784 # DEPENDENCYPART_ARC
(0,9),-1.47214 # DEPENDENCYPART_ARC
(0,10),-0.0704014 # DEPENDENCYPART_ARC
(0,11),-1.4163 # DEPENDENCYPART_ARC
(0,12),-0.79817 # DEPENDENCYPART_ARC
(0,13),0.106531 # DEPENDENCYPART_ARC
(0,14),-0.106194 # DEPENDENCYPART_ARC
(0,15),-0.0428384 # DEPENDENCYPART_ARC
(0,16),-1.07687 # DEPENDENCYPART_ARC
(1,2),0.66287 # DEPENDENCYPART_ARC
(1,3),0.138938 # DEPENDENCYPART_ARC
(1,4),-0.473701 # DEPENDENCYPART_ARC
(1,5),-0.332249 # DEPENDENCYPART_ARC
(1,6),-0.96356 # DEPENDENCYPART_ARC
(1,7),-1.14809 # DEPENDENCYPART_ARC
(1,8),-0.999712 # DEPENDENCYPART_ARC
(1,9),-1.20303 # DEPENDENCYPART_ARC
(1,10),-1.144 # DEPENDENCYPART_ARC
(1,11),-1.25794 # DEPENDENCYPART_ARC
(1,12),-1.12599 # DEPENDENCYPART_ARC
(1,16),-1.55018 # DEPENDENCYPART_ARC
(2,1),2.31701 # DEPENDENCYPART_ARC
(2,3),2.38693 # DEPENDENCYPART_ARC
(2,4),1.96731 # DEPENDENCYPART_ARC
(2,5),1.48437 # DEPENDENCYPART_ARC
(2,6),-0.0277368 # DEPENDENCYPART_ARC
(2,7),-0.399644 # DEPENDENCYPART_ARC
(2,8),-0.206659 # DEPENDENCYPART_ARC
(2,9),-0.264133 # DEPENDENCYPART_ARC
(2,10),0.0887088 # DEPENDENCYPART_ARC
(2,11),-0.44699 # DEPENDENCYPART_ARC
(2,12),0.22918 # DEPENDENCYPART_ARC
(2,13),-0.854151 # DEPENDENCYPART_ARC
(2,14),-0.667703 # DEPENDENCYPART_ARC
(2,15),-0.574195 # DEPENDENCYPART_ARC
(2,16),-1.62653 # DEPENDENCYPART_ARC
(3,5),-0.557427 # DEPENDENCYPART_ARC
(3,16),-1.80561 # DEPENDENCYPART_ARC
(4,1),-0.135437 # DEPENDENCYPART_ARC
(4,2),0.0709702 # DEPENDENCYPART_ARC
(4,3),0.6319 # DEPENDENCYPART_ARC
(4,5),2.47934 # DEPENDENCYPART_ARC
(4,6),-0.29143 # DEPENDENCYPART_ARC
(4,7),-0.281779 # DEPENDENCYPART_ARC
(4,8),-0.544962 # DEPENDENCYPART_ARC
(4,9),-0.292541 # DEPENDENCYPART_ARC
(4,10),-0.392648 # DEPENDENCYPART_ARC
(4,11),-0.373209 # DEPENDENCYPART_ARC
(4,12),-0.331485 # DEPENDENCYPART_ARC
(4,13),-1.18765 # DEPENDENCYPART_ARC
(4,14),-0.910501 # DEPENDENCYPART_ARC
(4,15),-1.24168 # DEPENDENCYPART_ARC
(4,16),-1.61531 # DEPENDENCYPART_ARC
(5,3),-0.924403 # DEPENDENCYPART_ARC
(5,16),-2.01845 # DEPENDENCYPART_ARC
(6,1),-0.529141 # DEPENDENCYPART_ARC
(6,2),-1.36378 # DEPENDENCYPART_ARC
(6,3),-1.3253 # DEPENDENCYPART_ARC
(6,4),-0.820637 # DEPENDENCYPART_ARC
(6,5),0.0364207 # DEPENDENCYPART_ARC
(6,7),2.35736 # DEPENDENCYPART_ARC
(6,8),0.844009 # DEPENDENCYPART_ARC
(6,9),1.24334 # DEPENDENCYPART_ARC
(6,10),0.300953 # DEPENDENCYPART_ARC
(6,11),-0.301427 # DEPENDENCYPART_ARC
(6,12),0.85283 # DEPENDENCYPART_ARC
(6,13),-0.083944 # DEPENDENCYPART_ARC
(6,14),-0.167337 # DEPENDENCYPART_ARC
(6,15),-0.166433 # DEPENDENCYPART_ARC
(6,16),-0.613719 # DEPENDENCYPART_ARC
(7,1),-1.66917 # DEPENDENCYPART_ARC
(7,2),-2.00983 # DEPENDENCYPART_ARC
(7,3),-1.32855 # DEPENDENCYPART_ARC
(7,4),-1.53762 # DEPENDENCYPART_ARC
(7,5),-0.610782 # DEPENDENCYPART_ARC
(7,6),-0.520615 # DEPENDENCYPART_ARC
(7,8),2.31499 # DEPENDENCYPART_ARC
(7,9),0.651281 # DEPENDENCYPART_ARC
(7,10),1.37731 # DEPENDENCYPART_ARC
(7,11),0.539082 # DEPENDENCYPART_ARC
(7,12),0.697868 # DEPENDENCYPART_ARC
(7,13),-0.498278 # DEPENDENCYPART_ARC
(7,14),-1.39349 # DEPENDENCYPART_ARC
(7,15),-2.02273 # DEPENDENCYPART_ARC
(7,16),-0.27645 # DEPENDENCYPART_ARC
(8,1),-1.66669 # DEPENDENCYPART_ARC
(8,2),-2.10674 # DEPENDENCYPART_ARC
(8,3),-1.53002 # DEPENDENCYPART_ARC
(8,4),-1.75903 # DEPENDENCYPART_ARC
(8,5),-1.06282 # DEPENDENCYPART_ARC
(8,6),-0.932549 # DEPENDENCYPART_ARC
(8,7),0.422732 # DEPENDENCYPART_ARC
(8,9),1.17474 # DEPENDENCYPART_ARC
(8,10),0.637826 # DEPENDENCYPART_ARC
(8,11),0.00716992 # DEPENDENCYPART_ARC
(8,12),-0.112401 # DEPENDENCYPART_ARC
(8,16),-0.322673 # DEPENDENCYPART_ARC
(9,1),-1.81818 # DEPENDENCYPART_ARC
(9,2),-1.83645 # DEPENDENCYPART_ARC
(9,3),-1.64696 # DEPENDENCYPART_ARC
(9,4),-1.66618 # DEPENDENCYPART_ARC
(9,5),-1.39268 # DEPENDENCYPART_ARC
(9,6),-2.52563 # DEPENDENCYPART_ARC
(9,7),-0.513753 # DEPENDENCYPART_ARC
(9,8),0.086732 # DEPENDENCYPART_ARC
(9,10),3.82342 # DEPENDENCYPART_ARC
(9,11),0.107057 # DEPENDENCYPART_ARC
(9,12),0.60491 # DEPENDENCYPART_ARC
(9,13),-0.613785 # DEPENDENCYPART_ARC
(9,14),-1.44838 # DEPENDENCYPART_ARC
(9,15),-2.02084 # DEPENDENCYPART_ARC
(9,16),-0.643811 # DEPENDENCYPART_ARC
