# _root_ La Sidoti non sembra aver paura : " Mi auguro che la gara sia subito veloce , seguirò il treno giusto , anche_se ho un po' paura del gioco di squadra delle cinesi .
#goldHeads=2,4,4,0,4,5,6,9,10,0,10,13,14,11,16,14,16,10,20,18,20,21,18,23,27,27,24,27,28,29,30,29,32,33,
#predictedHeads=2,4,4,0,4,5,6,9,10,4,10,13,14,11,16,14,16,11,20,18,20,21,18,23,27,27,24,27,28,29,30,31,32,33,
(0,1),-0.57012 # DEPENDENCYPART_ARC
(0,2),-0.378619 # DEPENDENCYPART_ARC
(0,3),-0.857499 # DEPENDENCYPART_ARC
(0,4),1.34737 # DEPENDENCYPART_ARC
(0,5),0.714836 # DEPENDENCYPART_ARC
(0,6),0.124573 # DEPENDENCYPART_ARC
(0,7),-0.782077 # DEPENDENCYPART_ARC
(0,8),-0.946109 # DEPENDENCYPART_ARC
(0,9),-1.25878 # DEPENDENCYPART_ARC
(0,10),0.778304 # DEPENDENCYPART_ARC
(0,11),-0.413038 # DEPENDENCYPART_ARC
(0,12),-1.69485 # DEPENDENCYPART_ARC
(0,13),-1.10273 # DEPENDENCYPART_ARC
(0,14),-0.0706663 # DEPENDENCYPART_ARC
(0,15),-1.24758 # DEPENDENCYPART_ARC
(0,16),-0.928467 # DEPENDENCYPART_ARC
(0,17),-0.985841 # DEPENDENCYPART_ARC
(0,18),0.83727 # DEPENDENCYPART_ARC
(0,19),-1.88148 # DEPENDENCYPART_ARC
(0,20),-0.97083 # DEPENDENCYPART_ARC
(0,21),-1.13342 # DEPENDENCYPART_ARC
(0,22),-1.48613 # DEPENDENCYPART_ARC
(0,23),-1.18877 # DEPENDENCYPART_ARC
(0,24),-1.27229 # DEPENDENCYPART_ARC
(0,25),-1.91845 # DEPENDENCYPART_ARC
(0,26),-1.61077 # DEPENDENCYPART_ARC
(0,27),-0.436634 # DEPENDENCYPART_ARC
(0,28),-2.52009 # DEPENDENCYPART_ARC
(0,29),-1.44446 # DEPENDENCYPART_ARC
(0,30),-3.06605 # DEPENDENCYPART_ARC
(0,31),-2.32893 # DEPENDENCYPART_ARC
(0,32),-3.4173 # DEPENDENCYPART_ARC
(0,33),-1.64329 # DEPENDENCYPART_ARC
(0,34),-2.33368 # DEPENDENCYPART_ARC
(1,2),1.00339 # DEPENDENCYPART_ARC
(1,3),-0.539558 # DEPENDENCYPART_ARC
(1,4),-0.240027 # DEPENDENCYPART_ARC
(1,5),-0.824735 # DEPENDENCYPART_ARC
(1,6),-0.742389 # DEPENDENCYPART_ARC
(1,7),-0.826427 # DEPENDENCYPART_ARC
(1,8),-0.874889 # DEPENDENCYPART_ARC
(1,9),-2.149 # DEPENDENCYPART_ARC
(1,10),-0.855546 # DEPENDENCYPART_ARC
(1,11),-1.00636 # DEPENDENCYPART_ARC
(1,12),-1.76364 # DEPENDENCYPART_ARC
(1,13),-1.13549 # DEPENDENCYPART_ARC
(1,14),-1.25416 # DEPENDENCYPART_ARC
(1,15),-1.5573 # DEPENDENCYPART_ARC
(1,16),-2.38932 # DEPENDENCYPART_ARC
(1,17),-1.11837 # DEPENDENCYPART_ARC
(1,18),-1.27188 # DEPENDENCYPART_ARC
(1,19),-2.29383 # DEPENDENCYPART_ARC
(1,20),-1.58905 # DEPENDENCYPART_ARC
(1,21),-2.94079 # DEPENDENCYPART_ARC
(1,22),-1.61254 # DEPENDENCYPART_ARC
(1,23),-1.57789 # DEPENDENCYPART_ARC
(1,24),-1.19345 # DEPENDENCYPART_ARC
(1,25),-2.56291 # DEPENDENCYPART_ARC
(1,26),-2.01194 # DEPENDENCYPART_ARC
(1,27),-1.23946 # DEPENDENCYPART_ARC
(1,28),-2.23266 # DEPENDENCYPART_ARC
(1,29),-1.69544 # DEPENDENCYPART_ARC
(1,30),-2.03022 # DEPENDENCYPART_ARC
(1,31),-1.30539 # DEPENDENCYPART_ARC
(1,32),-1.76904 # DEPENDENCYPART_ARC
(1,33),-2.04903 # DEPENDENCYPART_ARC
(1,34),-2.27255 # DEPENDENCYPART_ARC
(2,1),3.57292 # DEPENDENCYPART_ARC
(2,3),0.656914 # DEPENDENCYPART_ARC
(2,4),0.782731 # DEPENDENCYPART_ARC
(2,5),0.283061 # DEPENDENCYPART_ARC
(2,6),0.329165 # DEPENDENCYPART_ARC
(2,7),-0.467271 # DEPENDENCYPART_ARC
(2,8),-1.17306 # DEPENDENCYPART_ARC
(2,9),0.14904 # DEPENDENCYPART_ARC
(2,10),-0.682676 # DEPENDENCYPART_ARC
(2,11),-0.510285 # DEPENDENCYPART_ARC
(2,12),-0.139077 # DEPENDENCYPART_ARC
(2,13),-0.0626042 # DEPENDENCYPART_ARC
(2,14),-2.2757 # DEPENDENCYPART_ARC
(2,15),-1.01104 # DEPENDENCYPART_ARC
(2,16),-0.286527 # DEPENDENCYPART_ARC
(2,17),-0.757219 # DEPENDENCYPART_ARC
(2,18),-2.51346 # DEPENDENCYPART_ARC
(2,19),-0.957269 # DEPENDENCYPART_ARC
(2,20),-0.773243 # DEPENDENCYPART_ARC
(2,21),-1.32612 # DEPENDENCYPART_ARC
(2,22),-0.717218 # DEPENDENCYPART_ARC
(2,23),-1.92181 # DEPENDENCYPART_ARC
(2,24),-3.12498 # DEPENDENCYPART_ARC
(2,25),-0.953385 # DEPENDENCYPART_ARC
(2,26),-1.27117 # DEPENDENCYPART_ARC
(2,27),-1.35016 # DEPENDENCYPART_ARC
(2,28),-2.10941 # DEPENDENCYPART_ARC
(2,29),-1.15503 # DEPENDENCYPART_ARC
(2,30),-2.09591 # DEPENDENCYPART_ARC
(2,31),-1.25102 # DEPENDENCYPART_ARC
(2,32),-2.90247 # DEPENDENCYPART_ARC
(2,33),-1.58686 # DEPENDENCYPART_ARC
(2,34),-5.16325 # DEPENDENCYPART_ARC
(3,1),0.0859493 # DEPENDENCYPART_ARC
(3,2),-0.41634 # DEPENDENCYPART_ARC
(3,4),0.33173 # DEPENDENCYPART_ARC
(3,5),-0.361268 # DEPENDENCYPART_ARC
(3,6),-1.08838 # DEPENDENCYPART_ARC
(3,7),-0.997079 # DEPENDENCYPART_ARC
(3,8),-1.6095 # DEPENDENCYPART_ARC
(3,9),-1.73274 # DEPENDENCYPART_ARC
(3,10),-1.45628 # DEPENDENCYPART_ARC
(3,11),-1.03394 # DEPENDENCYPART_ARC
(3,12),-1.38096 # DEPENDENCYPART_ARC
(3,13),-2.21672 # DEPENDENCYPART_ARC
(3,14),-1.75244 # DEPENDENCYPART_ARC
(3,15),-1.62229 # DEPENDENCYPART_ARC
(3,16),-1.96619 # DEPENDENCYPART_ARC
(3,17),-1.61697 # DEPENDENCYPART_ARC
(3,18),-1.91089 # DEPENDENCYPART_ARC
(3,19),-1.25118 # DEPENDENCYPART_ARC
(3,20),-2.79316 # DEPENDENCYPART_ARC
(3,21),-2.08768 # DEPENDENCYPART_ARC
(3,22),-2.27801 # DEPENDENCYPART_ARC
(3,23),-1.5997 # DEPENDENCYPART_ARC
(3,24),-2.05805 # DEPENDENCYPART_ARC
(3,25),-1.71605 # DEPENDENCYPART_ARC
(3,26),-1.90162 # DEPENDENCYPART_ARC
(3,27),-3.32455 # DEPENDENCYPART_ARC
(3,28),-2.43042 # DEPENDENCYPART_ARC
(3,29),-3.18242 # DEPENDENCYPART_ARC
(3,30),-2.49554 # DEPENDENCYPART_ARC
(3,31),-3.28965 # DEPENDENCYPART_ARC
(3,32),-2.46689 # DEPENDENCYPART_ARC
(3,33),-3.17806 # DEPENDENCYPART_ARC
(3,34),-3.94793 # DEPENDENCYPART_ARC
(4,1),-0.118798 # DEPENDENCYPART_ARC
(4,2),1.5371 # DEPENDENCYPART_ARC
(4,3),2.20414 # DEPENDENCYPART_ARC
(4,5),2.41361 # DEPENDENCYPART_ARC
(4,6),1.88968 # DEPENDENCYPART_ARC
(4,7),0.404411 # DEPENDENCYPART_ARC
(4,8),-0.308377 # DEPENDENCYPART_ARC
(4,9),-1.04831 # DEPENDENCYPART_ARC
(4,10),1.39852 # DEPENDENCYPART_ARC
(4,11),-0.0698219 # DEPENDENCYPART_ARC
(4,12),-2.21984 # DEPENDENCYPART_ARC
(4,13),-0.900177 # DEPENDENCYPART_ARC
(4,14),0.262531 # DEPENDENCYPART_ARC
(4,15),-0.895519 # DEPENDENCYPART_ARC
(4,16),-0.872911 # DEPENDENCYPART_ARC
(4,17),0.557359 # DEPENDENCYPART_ARC
(4,18),0.799802 # DEPENDENCYPART_ARC
(4,19),-2.28727 # DEPENDENCYPART_ARC
(4,20),-1.53132 # DEPENDENCYPART_ARC
(4,21),-1.49203 # DEPENDENCYPART_ARC
(4,22),0.595025 # DEPENDENCYPART_ARC
(4,23),-0.15936 # DEPENDENCYPART_ARC
(4,24),0.615704 # DEPENDENCYPART_ARC
(4,25),-2.6925 # DEPENDENCYPART_ARC
(4,26),-1.30164 # DEPENDENCYPART_ARC
(4,27),-2.95313 # DEPENDENCYPART_ARC
(4,28),-4.91784 # DEPENDENCYPART_ARC
(4,29),-3.619 # DEPENDENCYPART_ARC
(4,30),-3.52306 # DEPENDENCYPART_ARC
(4,31),-3.76836 # DEPENDENCYPART_ARC
(4,32),-5.18519 # DEPENDENCYPART_ARC
(4,33),-4.06721 # DEPENDENCYPART_ARC
(4,34),-3.41725 # DEPENDENCYPART_ARC
(5,1),-0.899905 # DEPENDENCYPART_ARC
(5,2),1.1124 # DEPENDENCYPART_ARC
(5,3),1.44588 # DEPENDENCYPART_ARC
(5,4),2.05349 # DEPENDENCYPART_ARC
(5,6),3.14667 # DEPENDENCYPART_ARC
(5,7),0.0770811 # DEPENDENCYPART_ARC
(5,8),-0.339896 # DEPENDENCYPART_ARC
(5,9),-0.240427 # DEPENDENCYPART_ARC
(5,10),0.570789 # DEPENDENCYPART_ARC
(5,11),0.199905 # DEPENDENCYPART_ARC
(5,12),-1.16969 # DEPENDENCYPART_ARC
(5,13),-1.17703 # DEPENDENCYPART_ARC
(5,14),-0.281946 # DEPENDENCYPART_ARC
(5,15),-1.18515 # DEPENDENCYPART_ARC
(5,16),-1.02953 # DEPENDENCYPART_ARC
(5,17),0.297597 # DEPENDENCYPART_ARC
(5,18),-0.147027 # DEPENDENCYPART_ARC
(5,19),-1.44666 # DEPENDENCYPART_ARC
(5,20),-1.77653 # DEPENDENCYPART_ARC
(5,21),-1.73548 # DEPENDENCYPART_ARC
(5,22),0.342838 # DEPENDENCYPART_ARC
(5,23),0.388276 # DEPENDENCYPART_ARC
(5,24),-0.355973 # DEPENDENCYPART_ARC
(5,25),-1.66076 # DEPENDENCYPART_ARC
(5,26),-1.48229 # DEPENDENCYPART_ARC
(5,27),-3.15453 # DEPENDENCYPART_ARC
(5,28),-3.69397 # DEPENDENCYPART_ARC
(5,29),-3.77279 # DEPENDENCYPART_ARC
(5,30),-2.78158 # DEPENDENCYPART_ARC
(5,31),-3.82107 # DEPENDENCYPART_ARC
(5,32),-3.81029 # DEPENDENCYPART_ARC
(5,33),-4.09691 # DEPENDENCYPART_ARC
(5,34),-3.70494 # DEPENDENCYPART_ARC
(6,1),0.198603 # DEPENDENCYPART_ARC
(6,2),-1.34952 # DEPENDENCYPART_ARC
(6,3),-0.121107 # DEPENDENCYPART_ARC
(6,4),-0.15523 # DEPENDENCYPART_ARC
(6,5),0.0157131 # DEPENDENCYPART_ARC
(6,7),2.44418 # DEPENDENCYPART_ARC
(6,8),-0.179758 # DEPENDENCYPART_ARC
(6,9),-0.0178153 # DEPENDENCYPART_ARC
(6,10),0.0830133 # DEPENDENCYPART_ARC
(6,11),-0.531622 # DEPENDENCYPART_ARC
(6,12),-0.289151 # DEPENDENCYPART_ARC
(6,13),-0.445631 # DEPENDENCYPART_ARC
(6,14),-1.85045 # DEPENDENCYPART_ARC
(6,15),-0.920323 # DEPENDENCYPART_ARC
(6,16),-0.419048 # DEPENDENCYPART_ARC
(6,17),-0.161506 # DEPENDENCYPART_ARC
(6,18),-2.4265 # DEPENDENCYPART_ARC
(6,19),-1.44906 # DEPENDENCYPART_ARC
(6,20),-1.24181 # DEPENDENCYPART_ARC
(6,21),-1.85333 # DEPENDENCYPART_ARC
(6,22),-0.272944 # DEPENDENCYPART_ARC
(6,23),-1.4084 # DEPENDENCYPART_ARC
(6,24),-2.77267 # DEPENDENCYPART_ARC
(6,25),-1.45722 # DEPENDENCYPART_ARC
(6,26),-1.05942 # DEPENDENCYPART_ARC
(6,27),-1.71987 # DEPENDENCYPART_ARC
(6,28),-1.91337 # DEPENDENCYPART_ARC
(6,29),-1.66398 # DEPENDENCYPART_ARC
(6,30),-2.63836 # DEPENDENCYPART_ARC
(6,31),-1.79526 # DEPENDENCYPART_ARC
(6,32),-2.77938 # DEPENDENCYPART_ARC
(6,33),-2.23257 # DEPENDENCYPART_ARC
(6,34),-3.95075 # DEPENDENCYPART_ARC
(7,1),-1.80267 # DEPENDENCYPART_ARC
(7,2),-2.17283 # DEPENDENCYPART_ARC
(7,3),-1.74044 # DEPENDENCYPART_ARC
(7,4),-2.10317 # DEPENDENCYPART_ARC
(7,5),-1.43551 # DEPENDENCYPART_ARC
(7,6),-0.62401 # DEPENDENCYPART_ARC
(7,8),0.0470646 # DEPENDENCYPART_ARC
(7,9),-1.34042 # DEPENDENCYPART_ARC
(7,10),-1.28753 # DEPENDENCYPART_ARC
(7,11),-1.80936 # DEPENDENCYPART_ARC
(7,12),-1.96265 # DEPENDENCYPART_ARC
(7,13),-2.08793 # DEPENDENCYPART_ARC
(7,14),-1.86539 # DEPENDENCYPART_ARC
(7,15),-2.33404 # DEPENDENCYPART_ARC
(7,16),-2.44552 # DEPENDENCYPART_ARC
(7,17),-0.989394 # DEPENDENCYPART_ARC
(7,18),-2.1902 # DEPENDENCYPART_ARC
(7,19),-2.32511 # DEPENDENCYPART_ARC
(7,20),-2.47093 # DEPENDENCYPART_ARC
(7,21),-2.57969 # DEPENDENCYPART_ARC
(7,22),-1.91193 # DEPENDENCYPART_ARC
(7,23),-2.1817 # DEPENDENCYPART_ARC
(7,24),-2.35322 # DEPENDENCYPART_ARC
(7,25),-2.35983 # DEPENDENCYPART_ARC
(7,26),-2.66704 # DEPENDENCYPART_ARC
(7,27),-2.57091 # DEPENDENCYPART_ARC
(7,28),-2.75001 # DEPENDENCYPART_ARC
