# _root_ È necessario , certo , ma per conto mio questa è l' ultima volta che sto insieme_ai musulmani .
#goldHeads=0,1,2,1,4,2,11,7,8,11,2,14,14,11,14,15,16,17,18,
#predictedHeads=0,1,2,1,4,1,11,7,8,11,1,14,14,11,11,15,16,17,18,
(0,1),0.776745 # DEPENDENCYPART_ARC
(0,2),-1.35658 # DEPENDENCYPART_ARC
(0,3),-1.16147 # DEPENDENCYPART_ARC
(0,4),-1.6854 # DEPENDENCYPART_ARC
(0,5),-1.46691 # DEPENDENCYPART_ARC
(0,6),-1.24484 # DEPENDENCYPART_ARC
(0,7),-1.36394 # DEPENDENCYPART_ARC
(0,8),-1.1111 # DEPENDENCYPART_ARC
(0,10),-1.92371 # DEPENDENCYPART_ARC
(0,11),0.151902 # DEPENDENCYPART_ARC
(0,13),-1.96339 # DEPENDENCYPART_ARC
(0,14),-1.7254 # DEPENDENCYPART_ARC
(0,15),-2.07083 # DEPENDENCYPART_ARC
(0,16),-0.769041 # DEPENDENCYPART_ARC
(0,17),-2.8444 # DEPENDENCYPART_ARC
(0,18),-1.8059 # DEPENDENCYPART_ARC
(0,19),-1.97235 # DEPENDENCYPART_ARC
(1,2),2.06208 # DEPENDENCYPART_ARC
(1,3),0.772882 # DEPENDENCYPART_ARC
(1,4),0.496833 # DEPENDENCYPART_ARC
(1,5),0.548726 # DEPENDENCYPART_ARC
(1,6),0.774753 # DEPENDENCYPART_ARC
(1,7),0.124582 # DEPENDENCYPART_ARC
(1,8),-1.25351 # DEPENDENCYPART_ARC
(1,9),-0.623275 # DEPENDENCYPART_ARC
(1,10),-0.853271 # DEPENDENCYPART_ARC
(1,11),0.811592 # DEPENDENCYPART_ARC
(1,12),-1.86528 # DEPENDENCYPART_ARC
(1,13),-1.17313 # DEPENDENCYPART_ARC
(1,14),-1.4881 # DEPENDENCYPART_ARC
(1,15),0.378905 # DEPENDENCYPART_ARC
(1,16),0.717991 # DEPENDENCYPART_ARC
(1,17),-1.66173 # DEPENDENCYPART_ARC
(1,18),-2.94373 # DEPENDENCYPART_ARC
(1,19),-1.72513 # DEPENDENCYPART_ARC
(2,1),1.14337 # DEPENDENCYPART_ARC
(2,3),2.15403 # DEPENDENCYPART_ARC
(2,4),-0.0424658 # DEPENDENCYPART_ARC
(2,5),0.610353 # DEPENDENCYPART_ARC
(2,6),0.469611 # DEPENDENCYPART_ARC
(2,7),0.0217073 # DEPENDENCYPART_ARC
(2,8),-0.295548 # DEPENDENCYPART_ARC
(2,9),0.238191 # DEPENDENCYPART_ARC
(2,10),-1.0774 # DEPENDENCYPART_ARC
(2,11),-1.26099 # DEPENDENCYPART_ARC
(2,12),-1.16924 # DEPENDENCYPART_ARC
(2,13),-0.471439 # DEPENDENCYPART_ARC
(2,14),-1.0561 # DEPENDENCYPART_ARC
(2,15),-0.538215 # DEPENDENCYPART_ARC
(2,16),-1.75914 # DEPENDENCYPART_ARC
(2,17),-0.993635 # DEPENDENCYPART_ARC
(2,18),-1.27106 # DEPENDENCYPART_ARC
(2,19),-1.48274 # DEPENDENCYPART_ARC
(3,5),-0.176757 # DEPENDENCYPART_ARC
(3,12),-1.31881 # DEPENDENCYPART_ARC
(3,19),-1.36173 # DEPENDENCYPART_ARC
(4,1),-1.62807 # DEPENDENCYPART_ARC
(4,2),-0.607923 # DEPENDENCYPART_ARC
(4,3),0.781699 # DEPENDENCYPART_ARC
(4,5),1.94153 # DEPENDENCYPART_ARC
(4,6),0.0931975 # DEPENDENCYPART_ARC
(4,7),-0.327589 # DEPENDENCYPART_ARC
(4,8),-0.444831 # DEPENDENCYPART_ARC
(4,11),-0.552101 # DEPENDENCYPART_ARC
(4,12),-0.80585 # DEPENDENCYPART_ARC
(4,13),-1.03271 # DEPENDENCYPART_ARC
(4,14),-1.17824 # DEPENDENCYPART_ARC
(4,15),-0.228737 # DEPENDENCYPART_ARC
(4,16),-0.833188 # DEPENDENCYPART_ARC
(4,17),-1.1041 # DEPENDENCYPART_ARC
(4,18),-1.44396 # DEPENDENCYPART_ARC
(4,19),-1.18617 # DEPENDENCYPART_ARC
(5,3),-0.62403 # DEPENDENCYPART_ARC
(5,12),-1.51056 # DEPENDENCYPART_ARC
(5,19),-1.50357 # DEPENDENCYPART_ARC
(6,1),-2.58202 # DEPENDENCYPART_ARC
(6,2),-1.96372 # DEPENDENCYPART_ARC
(6,3),-1.0673 # DEPENDENCYPART_ARC
(6,4),-0.880698 # DEPENDENCYPART_ARC
(6,5),0.288744 # DEPENDENCYPART_ARC
(6,7),-0.643958 # DEPENDENCYPART_ARC
(6,8),-0.40461 # DEPENDENCYPART_ARC
(6,10),-1.1398 # DEPENDENCYPART_ARC
(6,11),0.534304 # DEPENDENCYPART_ARC
(6,13),-1.33814 # DEPENDENCYPART_ARC
(6,14),-1.52517 # DEPENDENCYPART_ARC
(6,15),-0.481675 # DEPENDENCYPART_ARC
(6,16),-1.15865 # DEPENDENCYPART_ARC
(6,17),-1.75236 # DEPENDENCYPART_ARC
(6,18),-1.58238 # DEPENDENCYPART_ARC
(6,19),-1.22539 # DEPENDENCYPART_ARC
(7,1),-2.78517 # DEPENDENCYPART_ARC
(7,2),-2.37977 # DEPENDENCYPART_ARC
(7,3),-2.01127 # DEPENDENCYPART_ARC
(7,4),-0.725195 # DEPENDENCYPART_ARC
(7,5),-1.22219 # DEPENDENCYPART_ARC
(7,6),0.086416 # DEPENDENCYPART_ARC
(7,8),3.41669 # DEPENDENCYPART_ARC
(7,9),0.675403 # DEPENDENCYPART_ARC
(7,10),0.187027 # DEPENDENCYPART_ARC
(7,11),-0.57312 # DEPENDENCYPART_ARC
(7,12),-1.17503 # DEPENDENCYPART_ARC
(7,13),-0.866045 # DEPENDENCYPART_ARC
(7,14),-1.88599 # DEPENDENCYPART_ARC
(7,15),-0.994033 # DEPENDENCYPART_ARC
(7,16),-1.08147 # DEPENDENCYPART_ARC
(7,17),-0.859748 # DEPENDENCYPART_ARC
(7,18),-2.74265 # DEPENDENCYPART_ARC
(7,19),-1.2546 # DEPENDENCYPART_ARC
(8,1),-3.15322 # DEPENDENCYPART_ARC
(8,2),-1.66188 # DEPENDENCYPART_ARC
