# _root_ Corpo perfetto , linea sinuosa , salute di ferro ?
#goldHeads=0,1,1,1,4,1,1,7,8,9,
#predictedHeads=0,1,2,1,4,5,4,7,8,9,
(0,1),0.481916 # DEPENDENCYPART_ARC
(0,2),-0.515333 # DEPENDENCYPART_ARC
(0,3),-0.533426 # DEPENDENCYPART_ARC
(0,4),0.397578 # DEPENDENCYPART_ARC
(0,5),-0.821466 # DEPENDENCYPART_ARC
(0,6),-0.473817 # DEPENDENCYPART_ARC
(0,7),0.81545 # DEPENDENCYPART_ARC
(0,8),-1.45707 # DEPENDENCYPART_ARC
(0,9),0.0545099 # DEPENDENCYPART_ARC
(0,10),-0.761137 # DEPENDENCYPART_ARC
(1,2),3.35875 # DEPENDENCYPART_ARC
(1,3),1.29848 # DEPENDENCYPART_ARC
(1,4),1.34957 # DEPENDENCYPART_ARC
(1,5),1.25033 # DEPENDENCYPART_ARC
(1,6),0.943562 # DEPENDENCYPART_ARC
(1,7),0.702352 # DEPENDENCYPART_ARC
(1,8),0.747355 # DEPENDENCYPART_ARC
(1,9),0.646778 # DEPENDENCYPART_ARC
(1,10),-0.595899 # DEPENDENCYPART_ARC
(2,1),0.436488 # DEPENDENCYPART_ARC
(2,3),1.87639 # DEPENDENCYPART_ARC
(2,4),0.213739 # DEPENDENCYPART_ARC
(2,5),0.484208 # DEPENDENCYPART_ARC
(2,6),0.664509 # DEPENDENCYPART_ARC
(2,7),-0.66722 # DEPENDENCYPART_ARC
(2,8),-0.462376 # DEPENDENCYPART_ARC
(2,9),-0.295606 # DEPENDENCYPART_ARC
(2,10),-0.412298 # DEPENDENCYPART_ARC
(3,1),-1.55981 # DEPENDENCYPART_ARC
(3,2),-0.580421 # DEPENDENCYPART_ARC
(3,4),-0.637397 # DEPENDENCYPART_ARC
(3,5),-1.48325 # DEPENDENCYPART_ARC
(3,6),-0.622798 # DEPENDENCYPART_ARC
(3,7),-2.03377 # DEPENDENCYPART_ARC
(3,8),-2.13333 # DEPENDENCYPART_ARC
(3,9),-2.18506 # DEPENDENCYPART_ARC
(3,10),-0.939409 # DEPENDENCYPART_ARC
(4,1),-1.94674 # DEPENDENCYPART_ARC
(4,2),0.534621 # DEPENDENCYPART_ARC
(4,3),0.486293 # DEPENDENCYPART_ARC
(4,5),3.07334 # DEPENDENCYPART_ARC
(4,6),0.849988 # DEPENDENCYPART_ARC
(4,7),0.924182 # DEPENDENCYPART_ARC
(4,8),0.909663 # DEPENDENCYPART_ARC
(4,9),0.208253 # DEPENDENCYPART_ARC
(4,10),-0.406528 # DEPENDENCYPART_ARC
(5,1),-0.978181 # DEPENDENCYPART_ARC
(5,2),-0.804156 # DEPENDENCYPART_ARC
(5,3),-0.146162 # DEPENDENCYPART_ARC
(5,4),0.714662 # DEPENDENCYPART_ARC
(5,6),2.13646 # DEPENDENCYPART_ARC
(5,7),0.168585 # DEPENDENCYPART_ARC
(5,8),0.260393 # DEPENDENCYPART_ARC
(5,9),-0.106912 # DEPENDENCYPART_ARC
(5,10),0.0944605 # DEPENDENCYPART_ARC
(6,1),-2.20718 # DEPENDENCYPART_ARC
(6,2),-2.18889 # DEPENDENCYPART_ARC
(6,3),-1.50603 # DEPENDENCYPART_ARC
(6,4),-1.58761 # DEPENDENCYPART_ARC
(6,5),-0.602847 # DEPENDENCYPART_ARC
(6,7),-0.629222 # DEPENDENCYPART_ARC
(6,8),-1.80172 # DEPENDENCYPART_ARC
(6,9),-1.78161 # DEPENDENCYPART_ARC
(6,10),-0.836165 # DEPENDENCYPART_ARC
(7,1),-2.85878 # DEPENDENCYPART_ARC
(7,2),-0.612348 # DEPENDENCYPART_ARC
(7,3),-1.70689 # DEPENDENCYPART_ARC
(7,4),-1.70149 # DEPENDENCYPART_ARC
(7,5),1.26252 # DEPENDENCYPART_ARC
(7,6),0.340238 # DEPENDENCYPART_ARC
(7,8),3.15348 # DEPENDENCYPART_ARC
(7,9),1.11384 # DEPENDENCYPART_ARC
(7,10),0.55426 # DEPENDENCYPART_ARC
(8,1),-1.79161 # DEPENDENCYPART_ARC
(8,2),-1.94413 # DEPENDENCYPART_ARC
(8,3),-1.76342 # DEPENDENCYPART_ARC
(8,4),-1.54201 # DEPENDENCYPART_ARC
(8,5),-1.35603 # DEPENDENCYPART_ARC
(8,6),-0.921529 # DEPENDENCYPART_ARC
(8,7),-0.242118 # DEPENDENCYPART_ARC
(8,9),4.40779 # DEPENDENCYPART_ARC
(8,10),-0.238097 # DEPENDENCYPART_ARC
(9,1),-3.09537 # DEPENDENCYPART_ARC
(9,2),-1.1631 # DEPENDENCYPART_ARC
(9,3),-2.92606 # DEPENDENCYPART_ARC
(9,4),-3.1943 # DEPENDENCYPART_ARC
(9,5),-1.01374 # DEPENDENCYPART_ARC
(9,6),-2.07472 # DEPENDENCYPART_ARC
(9,7),-2.0367 # DEPENDENCYPART_ARC
(9,8),0.558675 # DEPENDENCYPART_ARC
(9,10),1.89075 # DEPENDENCYPART_ARC
(10,1),-2.50551 # DEPENDENCYPART_ARC
(10,2),-2.45981 # DEPENDENCYPART_ARC
(10,3),-2.07645 # DEPENDENCYPART_ARC
(10,4),-2.38757 # DEPENDENCYPART_ARC
(10,5),-2.22951 # DEPENDENCYPART_ARC
(10,6),-1.85526 # DEPENDENCYPART_ARC
(10,7),-1.80426 # DEPENDENCYPART_ARC
(10,8),-1.05996 # DEPENDENCYPART_ARC
(10,9),-0.778847 # DEPENDENCYPART_ARC
