# _root_ Arrivare con le nostre truppe a Roma e conquistar- vi , ah , ah ah " .
#goldHeads=0,1,5,5,2,1,6,1,1,9,10,9,12,9,9,15,16,
#predictedHeads=0,1,5,5,2,5,6,1,1,9,10,9,12,9,9,15,16,
(0,1),-0.236345 # DEPENDENCYPART_ARC
(0,2),-2.43789 # DEPENDENCYPART_ARC
(0,5),-0.430562 # DEPENDENCYPART_ARC
(0,6),-1.58031 # DEPENDENCYPART_ARC
(0,7),-0.285072 # DEPENDENCYPART_ARC
(0,8),-1.71194 # DEPENDENCYPART_ARC
(0,9),-0.79615 # DEPENDENCYPART_ARC
(0,10),-1.70074 # DEPENDENCYPART_ARC
(0,11),-0.861181 # DEPENDENCYPART_ARC
(0,12),-0.925101 # DEPENDENCYPART_ARC
(0,13),-0.919274 # DEPENDENCYPART_ARC
(0,14),-0.923358 # DEPENDENCYPART_ARC
(0,15),-1.04082 # DEPENDENCYPART_ARC
(0,16),-1.2495 # DEPENDENCYPART_ARC
(0,17),-1.2123 # DEPENDENCYPART_ARC
(1,2),2.65513 # DEPENDENCYPART_ARC
(1,3),0.165629 # DEPENDENCYPART_ARC
(1,4),0.215522 # DEPENDENCYPART_ARC
(1,5),1.2354 # DEPENDENCYPART_ARC
(1,6),1.15972 # DEPENDENCYPART_ARC
(1,7),-0.246384 # DEPENDENCYPART_ARC
(1,8),1.35901 # DEPENDENCYPART_ARC
(1,9),1.29296 # DEPENDENCYPART_ARC
(1,10),-0.240912 # DEPENDENCYPART_ARC
(1,11),0.650041 # DEPENDENCYPART_ARC
(1,12),-0.288712 # DEPENDENCYPART_ARC
(1,13),0.554761 # DEPENDENCYPART_ARC
(1,14),-0.371391 # DEPENDENCYPART_ARC
(1,15),-0.322355 # DEPENDENCYPART_ARC
(1,16),-1.66939 # DEPENDENCYPART_ARC
(1,17),-1.04015 # DEPENDENCYPART_ARC
(2,1),-0.465234 # DEPENDENCYPART_ARC
(2,3),0.85068 # DEPENDENCYPART_ARC
(2,4),1.34847 # DEPENDENCYPART_ARC
(2,5),2.62123 # DEPENDENCYPART_ARC
(2,6),0.162579 # DEPENDENCYPART_ARC
(2,7),1.44645 # DEPENDENCYPART_ARC
(2,8),0.630787 # DEPENDENCYPART_ARC
(2,9),0.366302 # DEPENDENCYPART_ARC
(2,10),-0.0424731 # DEPENDENCYPART_ARC
(2,11),0.0905299 # DEPENDENCYPART_ARC
(2,13),0.0395039 # DEPENDENCYPART_ARC
(2,16),-0.730843 # DEPENDENCYPART_ARC
(2,17),-0.591593 # DEPENDENCYPART_ARC
(3,1),-1.71013 # DEPENDENCYPART_ARC
(3,2),-0.2456 # DEPENDENCYPART_ARC
(3,5),0.553043 # DEPENDENCYPART_ARC
(3,6),-0.0199319 # DEPENDENCYPART_ARC
(3,9),-0.382495 # DEPENDENCYPART_ARC
(3,11),-0.399929 # DEPENDENCYPART_ARC
(3,13),-0.430784 # DEPENDENCYPART_ARC
(3,16),-0.741907 # DEPENDENCYPART_ARC
(3,17),-0.644413 # DEPENDENCYPART_ARC
(4,1),-1.68989 # DEPENDENCYPART_ARC
(4,3),1.09251 # DEPENDENCYPART_ARC
(4,8),-0.0502769 # DEPENDENCYPART_ARC
(4,9),-0.880321 # DEPENDENCYPART_ARC
(4,11),-0.823454 # DEPENDENCYPART_ARC
(4,13),-0.824163 # DEPENDENCYPART_ARC
(4,16),-1.44324 # DEPENDENCYPART_ARC
(4,17),-1.43085 # DEPENDENCYPART_ARC
(5,1),-1.37107 # DEPENDENCYPART_ARC
(5,2),0.539401 # DEPENDENCYPART_ARC
(5,3),3.07446 # DEPENDENCYPART_ARC
(5,4),4.13945 # DEPENDENCYPART_ARC
(5,6),1.77298 # DEPENDENCYPART_ARC
(5,7),0.617724 # DEPENDENCYPART_ARC
(5,8),0.40702 # DEPENDENCYPART_ARC
(5,9),0.169656 # DEPENDENCYPART_ARC
(5,10),-0.664757 # DEPENDENCYPART_ARC
(5,11),0.184049 # DEPENDENCYPART_ARC
(5,12),-0.727134 # DEPENDENCYPART_ARC
(5,13),0.00758989 # DEPENDENCYPART_ARC
(5,14),-0.860371 # DEPENDENCYPART_ARC
(5,15),-0.833965 # DEPENDENCYPART_ARC
(5,16),-1.44194 # DEPENDENCYPART_ARC
(5,17),-1.44056 # DEPENDENCYPART_ARC
(6,1),-2.36807 # DEPENDENCYPART_ARC
(6,2),-1.09754 # DEPENDENCYPART_ARC
(6,3),-1.00511 # DEPENDENCYPART_ARC
(6,4),-1.21783 # DEPENDENCYPART_ARC
(6,5),-0.462794 # DEPENDENCYPART_ARC
(6,7),4.16235 # DEPENDENCYPART_ARC
(6,8),0.73131 # DEPENDENCYPART_ARC
(6,9),0.470977 # DEPENDENCYPART_ARC
(6,10),-0.683439 # DEPENDENCYPART_ARC
(6,11),-0.528278 # DEPENDENCYPART_ARC
(6,13),-0.353455 # DEPENDENCYPART_ARC
(6,16),-1.10864 # DEPENDENCYPART_ARC
(6,17),-1.20743 # DEPENDENCYPART_ARC
(7,1),-2.77413 # DEPENDENCYPART_ARC
(7,2),-1.26787 # DEPENDENCYPART_ARC
(7,3),-0.0893959 # DEPENDENCYPART_ARC
(7,4),-0.714755 # DEPENDENCYPART_ARC
(7,5),-1.80381 # DEPENDENCYPART_ARC
(7,6),0.361026 # DEPENDENCYPART_ARC
(7,8),-0.257373 # DEPENDENCYPART_ARC
(7,9),-0.502135 # DEPENDENCYPART_ARC
(7,10),-1.0452 # DEPENDENCYPART_ARC
