# _root_ Qui tutto è dedicato a loro : viali , auditori , piscina .
#goldHeads=4,4,4,0,4,5,6,2,8,8,8,8,12,
#predictedHeads=4,4,4,0,4,5,6,6,8,8,8,8,12,
(0,1),-0.569086 # DEPENDENCYPART_ARC
(0,2),-0.733749 # DEPENDENCYPART_ARC
(0,3),0.712227 # DEPENDENCYPART_ARC
(0,4),0.757931 # DEPENDENCYPART_ARC
(0,5),-1.61729 # DEPENDENCYPART_ARC
(0,6),-1.45977 # DEPENDENCYPART_ARC
(0,7),-0.82708 # DEPENDENCYPART_ARC
(0,8),-0.0957463 # DEPENDENCYPART_ARC
(0,9),-0.821555 # DEPENDENCYPART_ARC
(0,10),-0.0649144 # DEPENDENCYPART_ARC
(0,11),-0.834712 # DEPENDENCYPART_ARC
(0,12),0.859463 # DEPENDENCYPART_ARC
(0,13),-1.19893 # DEPENDENCYPART_ARC
(1,2),0.466129 # DEPENDENCYPART_ARC
(1,3),0.343385 # DEPENDENCYPART_ARC
(1,4),0.0615377 # DEPENDENCYPART_ARC
(1,5),-0.624853 # DEPENDENCYPART_ARC
(1,6),-0.968938 # DEPENDENCYPART_ARC
(1,7),-0.530809 # DEPENDENCYPART_ARC
(1,8),-1.27082 # DEPENDENCYPART_ARC
(1,9),-0.492586 # DEPENDENCYPART_ARC
(1,10),-1.49148 # DEPENDENCYPART_ARC
(1,11),-0.647809 # DEPENDENCYPART_ARC
(1,12),-1.67351 # DEPENDENCYPART_ARC
(1,13),-1.35592 # DEPENDENCYPART_ARC
(2,1),0.342618 # DEPENDENCYPART_ARC
(2,3),1.24229 # DEPENDENCYPART_ARC
(2,4),0.254279 # DEPENDENCYPART_ARC
(2,5),-1.2472 # DEPENDENCYPART_ARC
(2,6),-2.11436 # DEPENDENCYPART_ARC
(2,7),-1.24421 # DEPENDENCYPART_ARC
(2,8),-1.50013 # DEPENDENCYPART_ARC
(2,9),-1.31668 # DEPENDENCYPART_ARC
(2,10),-1.5025 # DEPENDENCYPART_ARC
(2,11),-1.34804 # DEPENDENCYPART_ARC
(2,12),-1.19236 # DEPENDENCYPART_ARC
(2,13),-1.72035 # DEPENDENCYPART_ARC
(3,1),0.652616 # DEPENDENCYPART_ARC
(3,2),1.54676 # DEPENDENCYPART_ARC
(3,4),1.2295 # DEPENDENCYPART_ARC
(3,5),0.864657 # DEPENDENCYPART_ARC
(3,6),0.175827 # DEPENDENCYPART_ARC
(3,7),-0.767409 # DEPENDENCYPART_ARC
(3,8),-0.529028 # DEPENDENCYPART_ARC
(3,9),0.0154045 # DEPENDENCYPART_ARC
(3,10),-1.39383 # DEPENDENCYPART_ARC
(3,11),-0.384453 # DEPENDENCYPART_ARC
(3,12),-1.82591 # DEPENDENCYPART_ARC
(3,13),-1.57503 # DEPENDENCYPART_ARC
(4,1),1.89254 # DEPENDENCYPART_ARC
(4,2),2.26333 # DEPENDENCYPART_ARC
(4,3),4.46009 # DEPENDENCYPART_ARC
(4,5),2.47717 # DEPENDENCYPART_ARC
(4,6),0.727003 # DEPENDENCYPART_ARC
(4,7),-0.000769758 # DEPENDENCYPART_ARC
(4,8),0.673492 # DEPENDENCYPART_ARC
(4,9),0.21847 # DEPENDENCYPART_ARC
(4,10),-0.167613 # DEPENDENCYPART_ARC
(4,11),0.175969 # DEPENDENCYPART_ARC
(4,12),-0.642321 # DEPENDENCYPART_ARC
(4,13),-0.861122 # DEPENDENCYPART_ARC
(5,1),-0.9833 # DEPENDENCYPART_ARC
(5,2),-0.981608 # DEPENDENCYPART_ARC
(5,3),-1.15221 # DEPENDENCYPART_ARC
(5,4),-0.229524 # DEPENDENCYPART_ARC
(5,6),3.09473 # DEPENDENCYPART_ARC
(5,7),-0.22051 # DEPENDENCYPART_ARC
(5,8),0.873743 # DEPENDENCYPART_ARC
(5,9),-0.000909728 # DEPENDENCYPART_ARC
(5,10),-0.646479 # DEPENDENCYPART_ARC
(5,11),-0.0528906 # DEPENDENCYPART_ARC
(5,12),-2.2154 # DEPENDENCYPART_ARC
(5,13),-0.962135 # DEPENDENCYPART_ARC
(6,1),-1.33011 # DEPENDENCYPART_ARC
(6,2),-2.33163 # DEPENDENCYPART_ARC
(6,3),-3.23211 # DEPENDENCYPART_ARC
(6,4),-2.40348 # DEPENDENCYPART_ARC
(6,5),0.197059 # DEPENDENCYPART_ARC
(6,7),1.43201 # DEPENDENCYPART_ARC
(6,8),1.38627 # DEPENDENCYPART_ARC
(6,9),0.160568 # DEPENDENCYPART_ARC
(6,10),1.01976 # DEPENDENCYPART_ARC
(6,11),-0.0466765 # DEPENDENCYPART_ARC
(6,12),-0.32551 # DEPENDENCYPART_ARC
(6,13),-0.378737 # DEPENDENCYPART_ARC
(7,1),-1.91196 # DEPENDENCYPART_ARC
(7,2),-1.78291 # DEPENDENCYPART_ARC
(7,3),-2.33587 # DEPENDENCYPART_ARC
(7,4),-1.93683 # DEPENDENCYPART_ARC
(7,5),-0.814038 # DEPENDENCYPART_ARC
(7,6),-0.097095 # DEPENDENCYPART_ARC
(7,8),-0.562802 # DEPENDENCYPART_ARC
(7,9),-0.561319 # DEPENDENCYPART_ARC
(7,10),-1.76262 # DEPENDENCYPART_ARC
(7,11),-0.915292 # DEPENDENCYPART_ARC
(7,12),-2.02538 # DEPENDENCYPART_ARC
(7,13),-0.895526 # DEPENDENCYPART_ARC
(8,1),-1.72333 # DEPENDENCYPART_ARC
(8,2),-2.12442 # DEPENDENCYPART_ARC
(8,3),-3.38977 # DEPENDENCYPART_ARC
(8,4),-2.49754 # DEPENDENCYPART_ARC
(8,5),-0.717702 # DEPENDENCYPART_ARC
(8,6),-0.304605 # DEPENDENCYPART_ARC
(8,7),0.0406602 # DEPENDENCYPART_ARC
(8,9),2.21395 # DEPENDENCYPART_ARC
(8,10),2.15667 # DEPENDENCYPART_ARC
(8,11),1.91756 # DEPENDENCYPART_ARC
(8,12),1.17783 # DEPENDENCYPART_ARC
(8,13),0.681376 # DEPENDENCYPART_ARC
(9,1),-2.43316 # DEPENDENCYPART_ARC
(9,2),-2.26625 # DEPENDENCYPART_ARC
(9,3),-2.90593 # DEPENDENCYPART_ARC
(9,4),-2.77221 # DEPENDENCYPART_ARC
(9,5),-1.69113 # DEPENDENCYPART_ARC
(9,6),-1.65101 # DEPENDENCYPART_ARC
(9,7),-1.29677 # DEPENDENCYPART_ARC
(9,8),-0.922866 # DEPENDENCYPART_ARC
(9,10),-0.998552 # DEPENDENCYPART_ARC
(9,11),-0.878407 # DEPENDENCYPART_ARC
(9,12),-2.19357 # DEPENDENCYPART_ARC
(9,13),-1.16199 # DEPENDENCYPART_ARC
(10,1),-1.27892 # DEPENDENCYPART_ARC
(10,2),-1.56921 # DEPENDENCYPART_ARC
(10,3),-2.97081 # DEPENDENCYPART_ARC
(10,4),-2.17825 # DEPENDENCYPART_ARC
(10,5),-0.661823 # DEPENDENCYPART_ARC
(10,6),-0.497597 # DEPENDENCYPART_ARC
(10,7),-0.98434 # DEPENDENCYPART_ARC
(10,8),0.0459602 # DEPENDENCYPART_ARC
(10,9),0.681074 # DEPENDENCYPART_ARC
(10,11),1.63792 # DEPENDENCYPART_ARC
(10,12),0.993138 # DEPENDENCYPART_ARC
(10,13),0.799475 # DEPENDENCYPART_ARC
(11,1),-2.48325 # DEPENDENCYPART_ARC
(11,2),-2.37466 # DEPENDENCYPART_ARC
(11,3),-3.02132 # DEPENDENCYPART_ARC
(11,4),-2.86437 # DEPENDENCYPART_ARC
(11,5),-1.93898 # DEPENDENCYPART_ARC
(11,6),-2.10449 # DEPENDENCYPART_ARC
(11,7),-2.01091 # DEPENDENCYPART_ARC
(11,8),-2.00227 # DEPENDENCYPART_ARC
(11,9),-1.26657 # DEPENDENCYPART_ARC
(11,10),-0.922866 # DEPENDENCYPART_ARC
(11,12),-0.998552 # DEPENDENCYPART_ARC
(11,13),-0.817812 # DEPENDENCYPART_ARC
(12,1),-1.68652 # DEPENDENCYPART_ARC
(12,2),-1.35766 # DEPENDENCYPART_ARC
(12,3),-1.95619 # DEPENDENCYPART_ARC
(12,4),-2.12786 # DEPENDENCYPART_ARC
(12,5),-1.30985 # DEPENDENCYPART_ARC
(12,6),-0.425404 # DEPENDENCYPART_ARC
(12,7),-1.67808 # DEPENDENCYPART_ARC
(12,8),-2.6809 # DEPENDENCYPART_ARC
(12,9),-1.26537 # DEPENDENCYPART_ARC
(12,10),-1.62207 # DEPENDENCYPART_ARC
(12,11),0.546956 # DEPENDENCYPART_ARC
(12,13),2.83984 # DEPENDENCYPART_ARC
(13,1),-2.45291 # DEPENDENCYPART_ARC
(13,2),-2.43185 # DEPENDENCYPART_ARC
(13,3),-2.9696 # DEPENDENCYPART_ARC
(13,4),-2.87539 # DEPENDENCYPART_ARC
(13,5),-1.96177 # DEPENDENCYPART_ARC
(13,6),-2.1285 # DEPENDENCYPART_ARC
(13,7),-2.09557 # DEPENDENCYPART_ARC
(13,8),-2.35816 # DEPENDENCYPART_ARC
(13,9),-1.86239 # DEPENDENCYPART_ARC
(13,10),-1.90364 # DEPENDENCYPART_ARC
(13,11),-1.14825 # DEPENDENCYPART_ARC
(13,12),-0.826642 # DEPENDENCYPART_ARC
