# _root_ Il vero nome della " Payita " è , come si sa , Miriam Contreras .
#goldHeads=3,3,8,3,6,4,6,0,8,8,12,10,12,15,8,15,
#predictedHeads=3,3,8,3,6,4,8,0,8,8,12,10,12,15,12,15,
(0,2),-0.748182 # DEPENDENCYPART_ARC
(0,3),-0.343531 # DEPENDENCYPART_ARC
(0,4),-1.43328 # DEPENDENCYPART_ARC
(0,5),-0.873281 # DEPENDENCYPART_ARC
(0,6),0.276009 # DEPENDENCYPART_ARC
(0,7),-0.617547 # DEPENDENCYPART_ARC
(0,8),1.69159 # DEPENDENCYPART_ARC
(0,9),-0.707517 # DEPENDENCYPART_ARC
(0,10),-1.01093 # DEPENDENCYPART_ARC
(0,11),-1.56762 # DEPENDENCYPART_ARC
(0,12),0.375785 # DEPENDENCYPART_ARC
(0,13),-0.738909 # DEPENDENCYPART_ARC
(0,14),-0.172261 # DEPENDENCYPART_ARC
(0,15),0.445262 # DEPENDENCYPART_ARC
(0,16),-1.09581 # DEPENDENCYPART_ARC
(1,3),0.070179 # DEPENDENCYPART_ARC
(1,4),-0.269259 # DEPENDENCYPART_ARC
(1,5),-0.718241 # DEPENDENCYPART_ARC
(1,7),-0.739299 # DEPENDENCYPART_ARC
(1,8),-1.04805 # DEPENDENCYPART_ARC
(1,9),-0.904143 # DEPENDENCYPART_ARC
(1,12),-1.38602 # DEPENDENCYPART_ARC
(1,13),-1.12048 # DEPENDENCYPART_ARC
(1,16),-1.38821 # DEPENDENCYPART_ARC
(2,1),0.949467 # DEPENDENCYPART_ARC
(2,3),0.706238 # DEPENDENCYPART_ARC
(2,4),0.0780684 # DEPENDENCYPART_ARC
(2,5),-0.48269 # DEPENDENCYPART_ARC
(2,6),-0.356638 # DEPENDENCYPART_ARC
(2,7),-1.04167 # DEPENDENCYPART_ARC
(2,8),-1.69163 # DEPENDENCYPART_ARC
(2,9),-1.04524 # DEPENDENCYPART_ARC
(2,10),-0.943922 # DEPENDENCYPART_ARC
(2,11),-2.91995 # DEPENDENCYPART_ARC
