# _root_ I rappresentanti della minoranza , pur preoccupati , ridimensionano le notizie sui rastrellamenti .
#goldHeads=2,9,2,3,4,7,2,7,0,11,9,11,12,13,
#predictedHeads=2,9,2,3,4,7,2,7,0,11,9,11,12,13,
(0,2),-0.538222 # DEPENDENCYPART_ARC
(0,3),-1.01316 # DEPENDENCYPART_ARC
(0,4),-0.244559 # DEPENDENCYPART_ARC
(0,5),-0.554493 # DEPENDENCYPART_ARC
(0,6),-0.801536 # DEPENDENCYPART_ARC
(0,7),-0.359077 # DEPENDENCYPART_ARC
(0,8),-0.460071 # DEPENDENCYPART_ARC
(0,9),1.46093 # DEPENDENCYPART_ARC
(0,11),-0.752536 # DEPENDENCYPART_ARC
(0,12),-1.80909 # DEPENDENCYPART_ARC
(0,13),-0.543572 # DEPENDENCYPART_ARC
(0,14),-0.914261 # DEPENDENCYPART_ARC
(1,2),1.2767 # DEPENDENCYPART_ARC
(1,3),-0.320483 # DEPENDENCYPART_ARC
(1,4),-0.995934 # DEPENDENCYPART_ARC
(1,5),-0.770702 # DEPENDENCYPART_ARC
(1,7),-0.696998 # DEPENDENCYPART_ARC
(1,8),-0.987354 # DEPENDENCYPART_ARC
(1,9),-1.26042 # DEPENDENCYPART_ARC
(1,11),-1.55903 # DEPENDENCYPART_ARC
(1,12),-1.40098 # DEPENDENCYPART_ARC
(1,13),-1.52763 # DEPENDENCYPART_ARC
(1,14),-1.43238 # DEPENDENCYPART_ARC
(2,1),3.84958 # DEPENDENCYPART_ARC
(2,3),2.84994 # DEPENDENCYPART_ARC
(2,4),1.31061 # DEPENDENCYPART_ARC
(2,5),0.97931 # DEPENDENCYPART_ARC
(2,6),-0.182151 # DEPENDENCYPART_ARC
(2,7),1.66591 # DEPENDENCYPART_ARC
(2,8),0.100089 # DEPENDENCYPART_ARC
(2,9),-1.33505 # DEPENDENCYPART_ARC
(2,10),0.142737 # DEPENDENCYPART_ARC
(2,11),0.305329 # DEPENDENCYPART_ARC
(2,12),-0.644605 # DEPENDENCYPART_ARC
(2,13),-0.177721 # DEPENDENCYPART_ARC
(2,14),-1.82174 # DEPENDENCYPART_ARC
(3,1),-0.937161 # DEPENDENCYPART_ARC
(3,2),-1.30542 # DEPENDENCYPART_ARC
(3,4),4.69387 # DEPENDENCYPART_ARC
(3,5),0.447507 # DEPENDENCYPART_ARC
(3,6),-0.418812 # DEPENDENCYPART_ARC
(3,7),-1.37939 # DEPENDENCYPART_ARC
(3,8),-0.296696 # DEPENDENCYPART_ARC
(3,9),-2.42261 # DEPENDENCYPART_ARC
(3,10),-1.97535 # DEPENDENCYPART_ARC
(3,11),-2.3455 # DEPENDENCYPART_ARC
(3,12),-1.0969 # DEPENDENCYPART_ARC
(3,13),-2.78927 # DEPENDENCYPART_ARC
(3,14),-1.14929 # DEPENDENCYPART_ARC
(4,1),-0.401544 # DEPENDENCYPART_ARC
(4,2),-1.47735 # DEPENDENCYPART_ARC
(4,3),0.441837 # DEPENDENCYPART_ARC
(4,5),1.6036 # DEPENDENCYPART_ARC
(4,6),-0.269034 # DEPENDENCYPART_ARC
(4,7),-0.690648 # DEPENDENCYPART_ARC
(4,8),-0.281672 # DEPENDENCYPART_ARC
(4,9),-2.4388 # DEPENDENCYPART_ARC
(4,10),-1.10542 # DEPENDENCYPART_ARC
(4,11),-1.42394 # DEPENDENCYPART_ARC
(4,12),-0.962662 # DEPENDENCYPART_ARC
(4,13),-0.955492 # DEPENDENCYPART_ARC
(4,14),-1.03201 # DEPENDENCYPART_ARC
(5,1),-1.0304 # DEPENDENCYPART_ARC
(5,8),-0.845389 # DEPENDENCYPART_ARC
(5,10),-1.66244 # DEPENDENCYPART_ARC
(5,14),-1.46179 # DEPENDENCYPART_ARC
(6,2),-2.19817 # DEPENDENCYPART_ARC
(6,3),-1.31806 # DEPENDENCYPART_ARC
(6,4),-1.59932 # DEPENDENCYPART_ARC
(6,5),-0.107639 # DEPENDENCYPART_ARC
(6,7),1.34778 # DEPENDENCYPART_ARC
(6,8),0.135153 # DEPENDENCYPART_ARC
(6,9),0.0651992 # DEPENDENCYPART_ARC
(6,11),-1.21035 # DEPENDENCYPART_ARC
(6,12),-1.3942 # DEPENDENCYPART_ARC
(6,13),-1.40359 # DEPENDENCYPART_ARC
(6,14),-0.765255 # DEPENDENCYPART_ARC
(7,1),-0.354361 # DEPENDENCYPART_ARC
(7,2),-0.51893 # DEPENDENCYPART_ARC
(7,3),-1.13419 # DEPENDENCYPART_ARC
(7,4),-2.26094 # DEPENDENCYPART_ARC
(7,5),-1.06334 # DEPENDENCYPART_ARC
(7,6),1.24613 # DEPENDENCYPART_ARC
(7,8),1.66282 # DEPENDENCYPART_ARC
(7,9),0.5948 # DEPENDENCYPART_ARC
(7,10),-1.42584 # DEPENDENCYPART_ARC
(7,11),0.0998893 # DEPENDENCYPART_ARC
(7,12),0.549572 # DEPENDENCYPART_ARC
(7,13),-0.996545 # DEPENDENCYPART_ARC
(7,14),-0.734095 # DEPENDENCYPART_ARC
(8,1),-1.74416 # DEPENDENCYPART_ARC
(8,5),-1.37209 # DEPENDENCYPART_ARC
(8,10),-1.04575 # DEPENDENCYPART_ARC
(8,14),-1.02043 # DEPENDENCYPART_ARC
(9,1),-0.506853 # DEPENDENCYPART_ARC
(9,2),1.09396 # DEPENDENCYPART_ARC
(9,3),-0.964467 # DEPENDENCYPART_ARC
(9,4),-0.314818 # DEPENDENCYPART_ARC
(9,5),-1.70172 # DEPENDENCYPART_ARC
(9,6),1.17603 # DEPENDENCYPART_ARC
(9,7),1.23208 # DEPENDENCYPART_ARC
(9,8),0.551115 # DEPENDENCYPART_ARC
(9,10),0.429486 # DEPENDENCYPART_ARC
(9,11),3.16815 # DEPENDENCYPART_ARC
(9,12),1.70354 # DEPENDENCYPART_ARC
(9,13),1.08963 # DEPENDENCYPART_ARC
(9,14),-0.248272 # DEPENDENCYPART_ARC
(10,2),-2.7101 # DEPENDENCYPART_ARC
(10,3),-2.53754 # DEPENDENCYPART_ARC
(10,4),-2.93045 # DEPENDENCYPART_ARC
(10,5),-1.91298 # DEPENDENCYPART_ARC
(10,7),-2.31223 # DEPENDENCYPART_ARC
(10,8),-0.996372 # DEPENDENCYPART_ARC
(10,9),-1.37967 # DEPENDENCYPART_ARC
(10,11),1.1009 # DEPENDENCYPART_ARC
(10,12),0.0513673 # DEPENDENCYPART_ARC
(10,13),-0.483104 # DEPENDENCYPART_ARC
