# _root_ Paolo Borroni , agente di cambio alla Borsa valori di Milano , ritratto nel suo studio davanti_alla stampante .
#goldHeads=2,0,2,2,4,5,4,7,8,8,10,11,2,13,16,14,13,17,18,
#predictedHeads=2,0,2,2,4,5,6,7,8,9,10,11,1,13,16,14,16,17,18,
(0,1),0.59296 # DEPENDENCYPART_ARC
(0,2),0.0560684 # DEPENDENCYPART_ARC
(0,3),-0.290925 # DEPENDENCYPART_ARC
(0,4),0.789438 # DEPENDENCYPART_ARC
(0,5),-1.61955 # DEPENDENCYPART_ARC
(0,6),1.00968 # DEPENDENCYPART_ARC
(0,7),-1.41441 # DEPENDENCYPART_ARC
(0,8),0.199603 # DEPENDENCYPART_ARC
(0,9),0.64615 # DEPENDENCYPART_ARC
(0,10),-1.9932 # DEPENDENCYPART_ARC
(0,11),1.33663 # DEPENDENCYPART_ARC
(0,12),-0.500422 # DEPENDENCYPART_ARC
(0,13),0.439899 # DEPENDENCYPART_ARC
(0,14),-1.72086 # DEPENDENCYPART_ARC
(0,16),0.303438 # DEPENDENCYPART_ARC
(0,17),-2.18545 # DEPENDENCYPART_ARC
(0,18),-0.350431 # DEPENDENCYPART_ARC
(0,19),-1.36543 # DEPENDENCYPART_ARC
(1,2),1.85218 # DEPENDENCYPART_ARC
(1,3),0.817167 # DEPENDENCYPART_ARC
(1,4),1.25319 # DEPENDENCYPART_ARC
(1,5),0.918633 # DEPENDENCYPART_ARC
(1,6),0.375791 # DEPENDENCYPART_ARC
(1,7),-0.0747073 # DEPENDENCYPART_ARC
(1,8),-0.0207029 # DEPENDENCYPART_ARC
(1,9),-0.0923773 # DEPENDENCYPART_ARC
(1,10),-0.0718274 # DEPENDENCYPART_ARC
(1,11),0.226105 # DEPENDENCYPART_ARC
(1,12),-0.303234 # DEPENDENCYPART_ARC
(1,13),1.32013 # DEPENDENCYPART_ARC
(1,14),-0.62942 # DEPENDENCYPART_ARC
(1,15),-1.71364 # DEPENDENCYPART_ARC
(1,16),-1.09569 # DEPENDENCYPART_ARC
(1,17),-0.942244 # DEPENDENCYPART_ARC
(1,18),-1.04159 # DEPENDENCYPART_ARC
(1,19),-4.04568 # DEPENDENCYPART_ARC
(2,1),3.83959 # DEPENDENCYPART_ARC
(2,3),2.39188 # DEPENDENCYPART_ARC
