# _root_ A Capri i dipinti dell' originale artista austriaco , naturista e teosofo , che scelse l' isola come suo rifugio .
#goldHeads=4,1,4,0,4,7,5,7,8,8,8,8,12,15,7,17,15,15,20,18,20,
#predictedHeads=4,1,4,0,4,7,5,7,8,8,10,10,12,15,0,17,15,17,20,18,20,
(0,1),-0.52084 # DEPENDENCYPART_ARC
(0,2),-0.153377 # DEPENDENCYPART_ARC
(0,3),-0.973371 # DEPENDENCYPART_ARC
(0,4),0.351907 # DEPENDENCYPART_ARC
(0,5),-1.44759 # DEPENDENCYPART_ARC
(0,6),0.0333005 # DEPENDENCYPART_ARC
(0,7),0.105371 # DEPENDENCYPART_ARC
(0,8),-0.442541 # DEPENDENCYPART_ARC
(0,9),-0.580219 # DEPENDENCYPART_ARC
(0,10),-0.655274 # DEPENDENCYPART_ARC
(0,11),-1.37204 # DEPENDENCYPART_ARC
(0,12),-0.521509 # DEPENDENCYPART_ARC
(0,13),-0.602274 # DEPENDENCYPART_ARC
(0,14),-1.15903 # DEPENDENCYPART_ARC
(0,15),0.983443 # DEPENDENCYPART_ARC
(0,16),-1.51662 # DEPENDENCYPART_ARC
(0,17),-0.201761 # DEPENDENCYPART_ARC
(0,18),-2.41748 # DEPENDENCYPART_ARC
(0,19),-1.00071 # DEPENDENCYPART_ARC
(0,20),-0.523515 # DEPENDENCYPART_ARC
(0,21),-1.52173 # DEPENDENCYPART_ARC
(1,2),4.35236 # DEPENDENCYPART_ARC
(1,3),0.0787639 # DEPENDENCYPART_ARC
(1,4),-0.238445 # DEPENDENCYPART_ARC
(1,5),-0.410064 # DEPENDENCYPART_ARC
(1,6),0.374964 # DEPENDENCYPART_ARC
(1,7),-1.52013 # DEPENDENCYPART_ARC
(1,8),-0.02681 # DEPENDENCYPART_ARC
(1,9),-0.382522 # DEPENDENCYPART_ARC
(1,10),-0.201839 # DEPENDENCYPART_ARC
(1,11),0.151801 # DEPENDENCYPART_ARC
(1,12),-0.229672 # DEPENDENCYPART_ARC
(1,13),-0.929452 # DEPENDENCYPART_ARC
(1,14),-1.72313 # DEPENDENCYPART_ARC
(1,15),-1.96991 # DEPENDENCYPART_ARC
(1,16),-1.23128 # DEPENDENCYPART_ARC
(1,17),-5.58341 # DEPENDENCYPART_ARC
(1,18),-2.36733 # DEPENDENCYPART_ARC
(1,19),-0.761453 # DEPENDENCYPART_ARC
(1,20),-6.22372 # DEPENDENCYPART_ARC
(1,21),-2.0026 # DEPENDENCYPART_ARC
(2,1),0.454817 # DEPENDENCYPART_ARC
(2,3),0.385542 # DEPENDENCYPART_ARC
(2,4),-0.120827 # DEPENDENCYPART_ARC
(2,5),0.394114 # DEPENDENCYPART_ARC
(2,6),-0.0105494 # DEPENDENCYPART_ARC
(2,7),0.0788545 # DEPENDENCYPART_ARC
(2,8),-0.0811591 # DEPENDENCYPART_ARC
(2,9),-0.152167 # DEPENDENCYPART_ARC
(2,10),-0.259309 # DEPENDENCYPART_ARC
(2,11),0.104645 # DEPENDENCYPART_ARC
(2,12),-0.843051 # DEPENDENCYPART_ARC
(2,13),-0.517654 # DEPENDENCYPART_ARC
(2,14),-1.98795 # DEPENDENCYPART_ARC
(2,15),-0.356515 # DEPENDENCYPART_ARC
(2,16),-0.755247 # DEPENDENCYPART_ARC
(2,17),-2.08738 # DEPENDENCYPART_ARC
(2,18),-0.789604 # DEPENDENCYPART_ARC
(2,19),-2.39503 # DEPENDENCYPART_ARC
(2,20),-1.60781 # DEPENDENCYPART_ARC
(2,21),-3.13298 # DEPENDENCYPART_ARC
(3,1),-0.658728 # DEPENDENCYPART_ARC
(3,2),-0.649172 # DEPENDENCYPART_ARC
(3,4),0.950234 # DEPENDENCYPART_ARC
(3,5),-0.348793 # DEPENDENCYPART_ARC
(3,6),-1.62562 # DEPENDENCYPART_ARC
(3,7),-0.938203 # DEPENDENCYPART_ARC
(3,8),-1.82031 # DEPENDENCYPART_ARC
(3,9),-0.529728 # DEPENDENCYPART_ARC
(3,10),-2.12923 # DEPENDENCYPART_ARC
(3,11),-0.578667 # DEPENDENCYPART_ARC
(3,12),-2.14081 # DEPENDENCYPART_ARC
