# _root_ Il parco nazionale dei laghi di Plitvice , uno dei " monumenti " mondiali protetti dall' Unesco , è tornato in mani croate .
#goldHeads=2,20,2,2,4,5,6,7,2,9,12,10,12,12,12,15,16,17,20,0,20,21,22,23,
#predictedHeads=2,20,2,2,4,5,6,7,2,9,12,10,12,12,12,15,16,17,20,0,20,21,22,23,
(0,1),-0.594265 # DEPENDENCYPART_ARC
(0,2),-0.4259 # DEPENDENCYPART_ARC
(0,3),-0.317487 # DEPENDENCYPART_ARC
(0,4),-1.08005 # DEPENDENCYPART_ARC
(0,5),-0.166786 # DEPENDENCYPART_ARC
(0,6),-1.46583 # DEPENDENCYPART_ARC
(0,7),-0.00637001 # DEPENDENCYPART_ARC
(0,8),-0.377537 # DEPENDENCYPART_ARC
(0,9),-0.735517 # DEPENDENCYPART_ARC
(0,10),-1.11356 # DEPENDENCYPART_ARC
(0,11),-0.825905 # DEPENDENCYPART_ARC
(0,12),0.580319 # DEPENDENCYPART_ARC
(0,13),-0.983868 # DEPENDENCYPART_ARC
(0,14),-1.15474 # DEPENDENCYPART_ARC
(0,15),0.482113 # DEPENDENCYPART_ARC
(0,16),-1.67654 # DEPENDENCYPART_ARC
(0,17),-0.245789 # DEPENDENCYPART_ARC
(0,18),-0.935139 # DEPENDENCYPART_ARC
(0,19),1.73724 # DEPENDENCYPART_ARC
(0,20),1.32276 # DEPENDENCYPART_ARC
(0,21),-2.87307 # DEPENDENCYPART_ARC
(0,22),-0.723561 # DEPENDENCYPART_ARC
(0,23),-1.78057 # DEPENDENCYPART_ARC
(0,24),-1.85214 # DEPENDENCYPART_ARC
(1,2),0.830246 # DEPENDENCYPART_ARC
(1,3),-0.964624 # DEPENDENCYPART_ARC
(1,4),-0.310307 # DEPENDENCYPART_ARC
(1,5),-0.647882 # DEPENDENCYPART_ARC
(1,6),-0.196332 # DEPENDENCYPART_ARC
(1,7),-0.328229 # DEPENDENCYPART_ARC
(1,8),-0.64861 # DEPENDENCYPART_ARC
(1,9),-1.45431 # DEPENDENCYPART_ARC
(1,10),-0.86001 # DEPENDENCYPART_ARC
(1,11),-0.873277 # DEPENDENCYPART_ARC
(1,12),-1.07351 # DEPENDENCYPART_ARC
(1,13),-1.10848 # DEPENDENCYPART_ARC
(1,14),-2.4153 # DEPENDENCYPART_ARC
(1,15),-1.5868 # DEPENDENCYPART_ARC
(1,16),-1.54399 # DEPENDENCYPART_ARC
(1,17),-0.842409 # DEPENDENCYPART_ARC
(1,18),-1.23603 # DEPENDENCYPART_ARC
(1,19),-1.45314 # DEPENDENCYPART_ARC
(1,20),-1.75587 # DEPENDENCYPART_ARC
(1,21),-1.72151 # DEPENDENCYPART_ARC
(1,22),-1.79684 # DEPENDENCYPART_ARC
(1,23),-3.15841 # DEPENDENCYPART_ARC
(1,24),-1.7332 # DEPENDENCYPART_ARC
(2,1),3.63836 # DEPENDENCYPART_ARC
(2,3),3.58728 # DEPENDENCYPART_ARC
(2,4),2.19585 # DEPENDENCYPART_ARC
(2,5),1.23138 # DEPENDENCYPART_ARC
(2,6),1.138 # DEPENDENCYPART_ARC
(2,7),1.19718 # DEPENDENCYPART_ARC
(2,8),0.534363 # DEPENDENCYPART_ARC
(2,9),0.811641 # DEPENDENCYPART_ARC
(2,10),-0.14145 # DEPENDENCYPART_ARC
(2,11),-1.32395 # DEPENDENCYPART_ARC
(2,12),0.518994 # DEPENDENCYPART_ARC
(2,13),-1.85932 # DEPENDENCYPART_ARC
(2,14),0.172307 # DEPENDENCYPART_ARC
(2,15),1.65593 # DEPENDENCYPART_ARC
(2,16),-1.16709 # DEPENDENCYPART_ARC
(2,17),-0.203436 # DEPENDENCYPART_ARC
(2,18),-0.501224 # DEPENDENCYPART_ARC
(2,19),0.516281 # DEPENDENCYPART_ARC
(2,20),0.253735 # DEPENDENCYPART_ARC
(2,21),-1.48589 # DEPENDENCYPART_ARC
(2,22),-0.961262 # DEPENDENCYPART_ARC
(2,23),-1.81495 # DEPENDENCYPART_ARC
(2,24),-4.4879 # DEPENDENCYPART_ARC
(3,1),0.137881 # DEPENDENCYPART_ARC
(3,2),0.255593 # DEPENDENCYPART_ARC
(3,4),0.795348 # DEPENDENCYPART_ARC
(3,5),0.544101 # DEPENDENCYPART_ARC
(3,6),0.286687 # DEPENDENCYPART_ARC
(3,7),0.266885 # DEPENDENCYPART_ARC
(3,8),0.0648276 # DEPENDENCYPART_ARC
(3,9),-0.565305 # DEPENDENCYPART_ARC
(3,10),-0.551405 # DEPENDENCYPART_ARC
(3,11),-0.423997 # DEPENDENCYPART_ARC
(3,12),-0.334147 # DEPENDENCYPART_ARC
(3,13),-0.541258 # DEPENDENCYPART_ARC
(3,14),-1.10545 # DEPENDENCYPART_ARC
(3,15),-1.14307 # DEPENDENCYPART_ARC
(3,16),-1.17834 # DEPENDENCYPART_ARC
(3,17),-0.458832 # DEPENDENCYPART_ARC
(3,18),-0.459243 # DEPENDENCYPART_ARC
(3,19),-1.60557 # DEPENDENCYPART_ARC
(3,20),-1.32334 # DEPENDENCYPART_ARC
(3,21),-1.32295 # DEPENDENCYPART_ARC
(3,22),-1.3797 # DEPENDENCYPART_ARC
(3,23),-2.29225 # DEPENDENCYPART_ARC
(3,24),-1.88356 # DEPENDENCYPART_ARC
(4,1),-0.641335 # DEPENDENCYPART_ARC
(4,2),-1.33069 # DEPENDENCYPART_ARC
(4,3),-0.418842 # DEPENDENCYPART_ARC
(4,5),4.46701 # DEPENDENCYPART_ARC
(4,6),0.0924694 # DEPENDENCYPART_ARC
(4,7),0.857879 # DEPENDENCYPART_ARC
(4,8),0.246457 # DEPENDENCYPART_ARC
(4,9),-0.700866 # DEPENDENCYPART_ARC
(4,10),0.155457 # DEPENDENCYPART_ARC
(4,11),-0.62562 # DEPENDENCYPART_ARC
(4,12),-0.933823 # DEPENDENCYPART_ARC
(4,13),-0.645291 # DEPENDENCYPART_ARC
(4,14),-0.474511 # DEPENDENCYPART_ARC
(4,15),-1.04456 # DEPENDENCYPART_ARC
(4,16),-0.84915 # DEPENDENCYPART_ARC
(4,17),-3.44151 # DEPENDENCYPART_ARC
(4,18),-0.0705456 # DEPENDENCYPART_ARC
(4,19),-3.25726 # DEPENDENCYPART_ARC
(4,20),-2.96343 # DEPENDENCYPART_ARC
