# _root_ " Una disgrazia in Africa , vi devo dare brutte notizie " aveva detto verso le 18 al telefono Domenico Colombo , il presidente di Mondo Giusto .
#goldHeads=2,3,11,3,4,5,9,9,14,11,9,11,14,0,14,17,15,14,18,21,14,21,24,21,24,25,26,27,
#predictedHeads=2,3,9,3,4,5,9,9,14,11,9,11,14,0,14,17,15,17,18,21,19,21,24,21,24,25,26,27,
(0,1),-0.603749 # DEPENDENCYPART_ARC
(0,2),-1.45317 # DEPENDENCYPART_ARC
(0,3),-0.106775 # DEPENDENCYPART_ARC
(0,4),-1.80514 # DEPENDENCYPART_ARC
(0,5),-0.276179 # DEPENDENCYPART_ARC
(0,6),-0.452021 # DEPENDENCYPART_ARC
(0,7),-1.20042 # DEPENDENCYPART_ARC
(0,8),0.568382 # DEPENDENCYPART_ARC
(0,9),0.32047 # DEPENDENCYPART_ARC
(0,10),-1.50719 # DEPENDENCYPART_ARC
(0,11),-0.730168 # DEPENDENCYPART_ARC
(0,12),-1.43746 # DEPENDENCYPART_ARC
(0,13),0.360695 # DEPENDENCYPART_ARC
(0,14),0.708182 # DEPENDENCYPART_ARC
(0,15),-2.46972 # DEPENDENCYPART_ARC
(0,16),-1.81956 # DEPENDENCYPART_ARC
(0,17),-1.88068 # DEPENDENCYPART_ARC
(0,18),-1.87158 # DEPENDENCYPART_ARC
(0,19),-0.854316 # DEPENDENCYPART_ARC
(0,20),-0.62834 # DEPENDENCYPART_ARC
(0,21),-1.06238 # DEPENDENCYPART_ARC
(0,22),-1.60713 # DEPENDENCYPART_ARC
(0,23),-2.04059 # DEPENDENCYPART_ARC
(0,24),-0.672583 # DEPENDENCYPART_ARC
(0,25),-3.15058 # DEPENDENCYPART_ARC
(0,26),-0.792206 # DEPENDENCYPART_ARC
(0,27),-1.42779 # DEPENDENCYPART_ARC
(0,28),-2.16304 # DEPENDENCYPART_ARC
(1,2),-0.419487 # DEPENDENCYPART_ARC
(1,3),-0.958895 # DEPENDENCYPART_ARC
(1,4),-1.54779 # DEPENDENCYPART_ARC
(1,5),-1.52918 # DEPENDENCYPART_ARC
(1,6),-0.00109629 # DEPENDENCYPART_ARC
(1,7),-1.70878 # DEPENDENCYPART_ARC
(1,8),-1.52356 # DEPENDENCYPART_ARC
(1,9),-1.74629 # DEPENDENCYPART_ARC
(1,10),-2.26448 # DEPENDENCYPART_ARC
(1,11),-2.10624 # DEPENDENCYPART_ARC
(1,12),-1.3379 # DEPENDENCYPART_ARC
(1,13),-2.05877 # DEPENDENCYPART_ARC
(1,14),-2.13883 # DEPENDENCYPART_ARC
(1,15),-2.28901 # DEPENDENCYPART_ARC
(1,16),-2.1801 # DEPENDENCYPART_ARC
(1,17),-1.99441 # DEPENDENCYPART_ARC
(1,18),-2.41793 # DEPENDENCYPART_ARC
(1,19),-2.30909 # DEPENDENCYPART_ARC
(1,20),-2.43554 # DEPENDENCYPART_ARC
(1,21),-2.39867 # DEPENDENCYPART_ARC
(1,22),-1.49077 # DEPENDENCYPART_ARC
(1,23),-2.38434 # DEPENDENCYPART_ARC
(1,24),-2.46835 # DEPENDENCYPART_ARC
(1,25),-2.79398 # DEPENDENCYPART_ARC
(1,26),-2.56944 # DEPENDENCYPART_ARC
(1,27),-2.69699 # DEPENDENCYPART_ARC
(1,28),-1.96071 # DEPENDENCYPART_ARC
(2,1),2.20075 # DEPENDENCYPART_ARC
(2,3),1.49162 # DEPENDENCYPART_ARC
(2,4),0.507819 # DEPENDENCYPART_ARC
(2,5),0.376703 # DEPENDENCYPART_ARC
(2,6),0.134519 # DEPENDENCYPART_ARC
(2,7),-1.08642 # DEPENDENCYPART_ARC
(2,8),-0.223837 # DEPENDENCYPART_ARC
(2,9),-0.660974 # DEPENDENCYPART_ARC
(2,10),-1.18653 # DEPENDENCYPART_ARC
(2,11),-0.467777 # DEPENDENCYPART_ARC
(2,12),-0.591672 # DEPENDENCYPART_ARC
(2,13),-0.861344 # DEPENDENCYPART_ARC
(2,14),-1.40468 # DEPENDENCYPART_ARC
(2,15),-0.720405 # DEPENDENCYPART_ARC
(2,16),-1.06572 # DEPENDENCYPART_ARC
(2,17),-0.712153 # DEPENDENCYPART_ARC
(2,18),-1.00073 # DEPENDENCYPART_ARC
(2,19),-0.903687 # DEPENDENCYPART_ARC
(2,20),-0.410821 # DEPENDENCYPART_ARC
(2,21),-0.441275 # DEPENDENCYPART_ARC
(2,22),-0.593879 # DEPENDENCYPART_ARC
(2,23),-1.77404 # DEPENDENCYPART_ARC
(2,24),-0.904014 # DEPENDENCYPART_ARC
(2,25),-0.91562 # DEPENDENCYPART_ARC
(2,26),-1.071 # DEPENDENCYPART_ARC
(2,27),-1.93016 # DEPENDENCYPART_ARC
(2,28),-1.1681 # DEPENDENCYPART_ARC
(3,1),0.407681 # DEPENDENCYPART_ARC
(3,2),3.87121 # DEPENDENCYPART_ARC
(3,4),2.32375 # DEPENDENCYPART_ARC
(3,5),1.28258 # DEPENDENCYPART_ARC
(3,6),0.498488 # DEPENDENCYPART_ARC
(3,7),-0.335278 # DEPENDENCYPART_ARC
(3,8),0.760153 # DEPENDENCYPART_ARC
(3,9),-0.195263 # DEPENDENCYPART_ARC
(3,10),-0.577374 # DEPENDENCYPART_ARC
(3,11),-0.839697 # DEPENDENCYPART_ARC
(3,12),-1.67751 # DEPENDENCYPART_ARC
(3,13),-0.912387 # DEPENDENCYPART_ARC
(3,14),-1.21383 # DEPENDENCYPART_ARC
(3,15),-0.678547 # DEPENDENCYPART_ARC
(3,16),-0.829954 # DEPENDENCYPART_ARC
(3,17),-0.983233 # DEPENDENCYPART_ARC
(3,18),-1.0608 # DEPENDENCYPART_ARC
(3,19),-1.40772 # DEPENDENCYPART_ARC
(3,20),-1.23493 # DEPENDENCYPART_ARC
(3,21),-1.04509 # DEPENDENCYPART_ARC
(3,22),-0.590518 # DEPENDENCYPART_ARC
(3,23),-1.34413 # DEPENDENCYPART_ARC
(3,24),-1.0629 # DEPENDENCYPART_ARC
(3,25),-1.6621 # DEPENDENCYPART_ARC
(3,26),-1.56226 # DEPENDENCYPART_ARC
(3,27),-2.39633 # DEPENDENCYPART_ARC
(3,28),-4.8645 # DEPENDENCYPART_ARC
(4,1),-1.20046 # DEPENDENCYPART_ARC
(4,2),-0.58614 # DEPENDENCYPART_ARC
(4,3),-0.479231 # DEPENDENCYPART_ARC
(4,5),4.49838 # DEPENDENCYPART_ARC
(4,6),0.159713 # DEPENDENCYPART_ARC
(4,7),0.0614183 # DEPENDENCYPART_ARC
(4,8),-0.75159 # DEPENDENCYPART_ARC
(4,9),-0.966929 # DEPENDENCYPART_ARC
(4,10),-0.962337 # DEPENDENCYPART_ARC
(4,11),-1.12864 # DEPENDENCYPART_ARC
(4,12),-1.29961 # DEPENDENCYPART_ARC
(4,13),-2.13291 # DEPENDENCYPART_ARC
(4,14),-2.36947 # DEPENDENCYPART_ARC
(4,15),-2.02953 # DEPENDENCYPART_ARC
(4,16),-1.81734 # DEPENDENCYPART_ARC
(4,17),-1.33316 # DEPENDENCYPART_ARC
(4,18),-1.79592 # DEPENDENCYPART_ARC
(4,19),-3.56767 # DEPENDENCYPART_ARC
(4,20),-4.82195 # DEPENDENCYPART_ARC
(4,21),-5.37326 # DEPENDENCYPART_ARC
(4,22),-1.29203 # DEPENDENCYPART_ARC
(4,23),-1.85995 # DEPENDENCYPART_ARC
(4,24),-7.71843 # DEPENDENCYPART_ARC
(4,25),-3.2912 # DEPENDENCYPART_ARC
(4,26),-7.56972 # DEPENDENCYPART_ARC
(4,27),-1.822 # DEPENDENCYPART_ARC
(4,28),-2.74804 # DEPENDENCYPART_ARC
(5,1),-1.51627 # DEPENDENCYPART_ARC
(5,2),0.411501 # DEPENDENCYPART_ARC
(5,3),-2.02768 # DEPENDENCYPART_ARC
(5,4),0.803591 # DEPENDENCYPART_ARC
(5,6),2.41531 # DEPENDENCYPART_ARC
(5,7),-0.15548 # DEPENDENCYPART_ARC
(5,8),0.331559 # DEPENDENCYPART_ARC
(5,9),-0.279846 # DEPENDENCYPART_ARC
(5,10),-0.848126 # DEPENDENCYPART_ARC
(5,11),-0.566504 # DEPENDENCYPART_ARC
(5,12),-0.56324 # DEPENDENCYPART_ARC
(5,13),-2.17707 # DEPENDENCYPART_ARC
(5,14),-1.05694 # DEPENDENCYPART_ARC
(5,15),-1.07007 # DEPENDENCYPART_ARC
(5,16),-0.939678 # DEPENDENCYPART_ARC
(5,17),-1.24699 # DEPENDENCYPART_ARC
(5,18),-1.8454 # DEPENDENCYPART_ARC
(5,19),-1.49795 # DEPENDENCYPART_ARC
(5,20),-1.64439 # DEPENDENCYPART_ARC
(5,21),-0.979793 # DEPENDENCYPART_ARC
(5,22),0.732915 # DEPENDENCYPART_ARC
(5,23),-1.33845 # DEPENDENCYPART_ARC
(5,24),-1.33629 # DEPENDENCYPART_ARC
(5,25),-1.783 # DEPENDENCYPART_ARC
(5,26),-1.10371 # DEPENDENCYPART_ARC
(5,27),-1.9838 # DEPENDENCYPART_ARC
(5,28),-3.70173 # DEPENDENCYPART_ARC
(6,1),-1.89653 # DEPENDENCYPART_ARC
(6,2),-1.37445 # DEPENDENCYPART_ARC
(6,3),-1.63782 # DEPENDENCYPART_ARC
(6,4),-0.874236 # DEPENDENCYPART_ARC
(6,5),-0.593588 # DEPENDENCYPART_ARC
(6,7),-0.987928 # DEPENDENCYPART_ARC
(6,8),-1.4603 # DEPENDENCYPART_ARC
(6,9),-1.81972 # DEPENDENCYPART_ARC
(6,10),-2.35953 # DEPENDENCYPART_ARC
(6,11),-2.41658 # DEPENDENCYPART_ARC
(6,12),-1.89943 # DEPENDENCYPART_ARC
(6,13),-2.32469 # DEPENDENCYPART_ARC
(6,14),-2.41343 # DEPENDENCYPART_ARC
(6,15),-2.68053 # DEPENDENCYPART_ARC
(6,16),-2.51991 # DEPENDENCYPART_ARC
(6,17),-2.47035 # DEPENDENCYPART_ARC
(6,18),-2.79698 # DEPENDENCYPART_ARC
(6,19),-2.76762 # DEPENDENCYPART_ARC
(6,20),-2.71924 # DEPENDENCYPART_ARC
