# _root_ Un rumore infernale , simile al passaggio di un treno , risuona nei corridoi sotterranei che solcano Rochester .
#goldHeads=2,12,2,3,2,5,6,7,10,8,10,0,12,13,14,17,14,17,18,
#predictedHeads=2,12,2,3,2,5,6,7,10,8,10,0,12,13,14,17,14,17,18,
(0,2),-0.340263 # DEPENDENCYPART_ARC
(0,3),-0.462193 # DEPENDENCYPART_ARC
(0,4),-0.382243 # DEPENDENCYPART_ARC
(0,5),-0.772884 # DEPENDENCYPART_ARC
(0,6),-0.847187 # DEPENDENCYPART_ARC
(0,7),-0.193139 # DEPENDENCYPART_ARC
(0,8),-1.79762 # DEPENDENCYPART_ARC
(0,10),-0.207356 # DEPENDENCYPART_ARC
(0,11),-0.304456 # DEPENDENCYPART_ARC
(0,12),1.79322 # DEPENDENCYPART_ARC
(0,13),-1.8163 # DEPENDENCYPART_ARC
(0,14),-0.142986 # DEPENDENCYPART_ARC
(0,15),-1.33378 # DEPENDENCYPART_ARC
(0,17),1.06701 # DEPENDENCYPART_ARC
(0,18),-0.447419 # DEPENDENCYPART_ARC
(0,19),-1.20486 # DEPENDENCYPART_ARC
(1,4),0.0398781 # DEPENDENCYPART_ARC
(1,6),-0.687789 # DEPENDENCYPART_ARC
(1,8),-0.355825 # DEPENDENCYPART_ARC
(1,11),-0.281519 # DEPENDENCYPART_ARC
(1,13),-1.09316 # DEPENDENCYPART_ARC
(1,19),-0.983571 # DEPENDENCYPART_ARC
(2,1),3.78388 # DEPENDENCYPART_ARC
(2,3),3.25919 # DEPENDENCYPART_ARC
(2,4),0.738422 # DEPENDENCYPART_ARC
(2,5),1.58521 # DEPENDENCYPART_ARC
(2,6),0.966986 # DEPENDENCYPART_ARC
(2,7),0.634388 # DEPENDENCYPART_ARC
(2,8),0.591001 # DEPENDENCYPART_ARC
(2,9),-0.26692 # DEPENDENCYPART_ARC
(2,10),0.210047 # DEPENDENCYPART_ARC
(2,11),0.418274 # DEPENDENCYPART_ARC
(2,12),0.243435 # DEPENDENCYPART_ARC
(2,13),-0.704586 # DEPENDENCYPART_ARC
(2,14),-0.777278 # DEPENDENCYPART_ARC
(2,15),-0.880252 # DEPENDENCYPART_ARC
(2,16),-2.15161 # DEPENDENCYPART_ARC
(2,17),-1.05011 # DEPENDENCYPART_ARC
(2,18),-0.971822 # DEPENDENCYPART_ARC
(2,19),-2.46872 # DEPENDENCYPART_ARC
(3,1),0.370266 # DEPENDENCYPART_ARC
(3,2),0.211817 # DEPENDENCYPART_ARC
(3,4),1.95445 # DEPENDENCYPART_ARC
(3,5),0.70011 # DEPENDENCYPART_ARC
(3,6),0.0877962 # DEPENDENCYPART_ARC
(3,7),-0.23455 # DEPENDENCYPART_ARC
(3,8),-0.107437 # DEPENDENCYPART_ARC
(3,9),-1.08759 # DEPENDENCYPART_ARC
(3,10),-0.45712 # DEPENDENCYPART_ARC
(3,11),0.0682098 # DEPENDENCYPART_ARC
(3,12),-1.2025 # DEPENDENCYPART_ARC
(3,13),-1.01868 # DEPENDENCYPART_ARC
(3,14),-0.91165 # DEPENDENCYPART_ARC
(3,15),-1.97138 # DEPENDENCYPART_ARC
(3,16),-2.54749 # DEPENDENCYPART_ARC
(3,17),-2.00408 # DEPENDENCYPART_ARC
(3,18),-1.17906 # DEPENDENCYPART_ARC
(3,19),-1.60014 # DEPENDENCYPART_ARC
(4,1),-0.73804 # DEPENDENCYPART_ARC
(4,9),-1.17725 # DEPENDENCYPART_ARC
(4,11),-0.824512 # DEPENDENCYPART_ARC
(4,19),-1.72345 # DEPENDENCYPART_ARC
(5,1),-1.11549 # DEPENDENCYPART_ARC
(5,2),-1.5257 # DEPENDENCYPART_ARC
(5,3),-0.523821 # DEPENDENCYPART_ARC
(5,4),0.339419 # DEPENDENCYPART_ARC
(5,6),1.98331 # DEPENDENCYPART_ARC
(5,7),0.437151 # DEPENDENCYPART_ARC
(5,8),0.52422 # DEPENDENCYPART_ARC
(5,9),-0.876937 # DEPENDENCYPART_ARC
(5,10),-0.218451 # DEPENDENCYPART_ARC
(5,11),-0.122889 # DEPENDENCYPART_ARC
(5,12),-0.952864 # DEPENDENCYPART_ARC
(5,13),-0.649174 # DEPENDENCYPART_ARC
(5,14),-0.888502 # DEPENDENCYPART_ARC
(5,15),-1.91049 # DEPENDENCYPART_ARC
(5,16),-2.37983 # DEPENDENCYPART_ARC
(5,17),-1.88544 # DEPENDENCYPART_ARC
(5,18),-1.01357 # DEPENDENCYPART_ARC
(5,19),-1.49068 # DEPENDENCYPART_ARC
(6,1),-0.712515 # DEPENDENCYPART_ARC
(6,2),-1.68116 # DEPENDENCYPART_ARC
(6,3),-1.29601 # DEPENDENCYPART_ARC
(6,4),-0.41443 # DEPENDENCYPART_ARC
(6,5),-0.192448 # DEPENDENCYPART_ARC
(6,7),3.40556 # DEPENDENCYPART_ARC
(6,8),-0.258537 # DEPENDENCYPART_ARC
(6,9),-1.39859 # DEPENDENCYPART_ARC
(6,10),-0.630552 # DEPENDENCYPART_ARC
(6,11),-0.0826144 # DEPENDENCYPART_ARC
(6,12),-1.64612 # DEPENDENCYPART_ARC
(6,13),-0.381765 # DEPENDENCYPART_ARC
(6,14),-2.77679 # DEPENDENCYPART_ARC
