# _root_ La volpe di Zagabria , così , potrà sopravvivere più a lungo del lupo solitario di Belgrado .
#goldHeads=2,9,2,3,4,2,6,9,0,11,9,11,12,13,14,14,16,17,
#predictedHeads=2,9,2,3,4,9,6,9,0,9,9,11,12,13,14,14,16,17,
(0,1),-0.57012 # DEPENDENCYPART_ARC
(0,2),-0.489472 # DEPENDENCYPART_ARC
(0,3),-1.09755 # DEPENDENCYPART_ARC
(0,4),-0.0673384 # DEPENDENCYPART_ARC
(0,5),-0.692377 # DEPENDENCYPART_ARC
(0,6),-0.427067 # DEPENDENCYPART_ARC
(0,7),-0.348032 # DEPENDENCYPART_ARC
(0,8),1.29123 # DEPENDENCYPART_ARC
(0,9),0.6859 # DEPENDENCYPART_ARC
(0,10),-1.28499 # DEPENDENCYPART_ARC
(0,11),-1.48499 # DEPENDENCYPART_ARC
(0,12),-0.887253 # DEPENDENCYPART_ARC
(0,13),-1.39686 # DEPENDENCYPART_ARC
(0,14),-0.239305 # DEPENDENCYPART_ARC
(0,15),-1.00517 # DEPENDENCYPART_ARC
(0,16),-1.96209 # DEPENDENCYPART_ARC
(0,17),-0.356955 # DEPENDENCYPART_ARC
(0,18),-1.27871 # DEPENDENCYPART_ARC
(1,2),0.998855 # DEPENDENCYPART_ARC
(1,3),-0.000787294 # DEPENDENCYPART_ARC
(1,4),-0.105841 # DEPENDENCYPART_ARC
(1,5),-0.427651 # DEPENDENCYPART_ARC
(1,6),-0.959099 # DEPENDENCYPART_ARC
(1,7),-0.377767 # DEPENDENCYPART_ARC
(1,8),-0.624793 # DEPENDENCYPART_ARC
(1,9),-0.871809 # DEPENDENCYPART_ARC
(1,10),-1.42937 # DEPENDENCYPART_ARC
(1,11),-1.15602 # DEPENDENCYPART_ARC
(1,12),-2.5225 # DEPENDENCYPART_ARC
(1,13),-1.5005 # DEPENDENCYPART_ARC
(1,14),-1.43016 # DEPENDENCYPART_ARC
(1,15),-2.54261 # DEPENDENCYPART_ARC
(1,16),-1.39037 # DEPENDENCYPART_ARC
(1,17),-0.922577 # DEPENDENCYPART_ARC
(1,18),-1.20357 # DEPENDENCYPART_ARC
(2,1),3.64408 # DEPENDENCYPART_ARC
(2,3),2.96238 # DEPENDENCYPART_ARC
(2,4),1.47495 # DEPENDENCYPART_ARC
(2,5),0.850524 # DEPENDENCYPART_ARC
(2,6),-0.0514218 # DEPENDENCYPART_ARC
(2,7),0.365856 # DEPENDENCYPART_ARC
(2,8),-0.0164116 # DEPENDENCYPART_ARC
(2,9),-0.526951 # DEPENDENCYPART_ARC
(2,10),-0.643806 # DEPENDENCYPART_ARC
(2,11),-0.407707 # DEPENDENCYPART_ARC
(2,12),-1.207 # DEPENDENCYPART_ARC
(2,13),-0.101726 # DEPENDENCYPART_ARC
(2,14),-0.741636 # DEPENDENCYPART_ARC
