# _root_ E come no , come no , caro Ante .
#goldHeads=9,9,2,2,2,5,6,9,0,9,
#predictedHeads=3,3,0,3,2,5,6,9,5,9,
(0,1),-1.18834 # DEPENDENCYPART_ARC
(0,2),-0.986976 # DEPENDENCYPART_ARC
(0,3),-0.619086 # DEPENDENCYPART_ARC
(0,4),-0.320562 # DEPENDENCYPART_ARC
(0,5),-1.56111 # DEPENDENCYPART_ARC
(0,6),-0.724334 # DEPENDENCYPART_ARC
(0,7),-0.0900632 # DEPENDENCYPART_ARC
(0,8),-0.846277 # DEPENDENCYPART_ARC
(0,9),-0.586355 # DEPENDENCYPART_ARC
(0,10),-0.372281 # DEPENDENCYPART_ARC
(1,2),-1.05647 # DEPENDENCYPART_ARC
(1,3),-1.60916 # DEPENDENCYPART_ARC
(1,4),-0.35336 # DEPENDENCYPART_ARC
(1,5),-1.93618 # DEPENDENCYPART_ARC
(1,6),-1.99649 # DEPENDENCYPART_ARC
(1,7),-0.661213 # DEPENDENCYPART_ARC
(1,8),-1.61517 # DEPENDENCYPART_ARC
(1,9),-1.71859 # DEPENDENCYPART_ARC
(1,10),-1.40813 # DEPENDENCYPART_ARC
(2,1),-0.66865 # DEPENDENCYPART_ARC
(2,3),1.02521 # DEPENDENCYPART_ARC
(2,4),1.33921 # DEPENDENCYPART_ARC
(2,5),0.486635 # DEPENDENCYPART_ARC
(2,6),-0.00654241 # DEPENDENCYPART_ARC
(2,7),0.696931 # DEPENDENCYPART_ARC
(2,8),-0.176289 # DEPENDENCYPART_ARC
(2,9),-0.0321569 # DEPENDENCYPART_ARC
(2,10),-0.133536 # DEPENDENCYPART_ARC
(3,1),-0.110061 # DEPENDENCYPART_ARC
(3,2),1.15726 # DEPENDENCYPART_ARC
(3,4),1.77353 # DEPENDENCYPART_ARC
(3,5),-0.315491 # DEPENDENCYPART_ARC
(3,6),-0.613835 # DEPENDENCYPART_ARC
(3,7),0.260415 # DEPENDENCYPART_ARC
(3,8),-0.873405 # DEPENDENCYPART_ARC
(3,9),-1.24119 # DEPENDENCYPART_ARC
(3,10),-0.738227 # DEPENDENCYPART_ARC
(4,7),-0.161731 # DEPENDENCYPART_ARC
(4,10),-0.410751 # DEPENDENCYPART_ARC
(5,1),-1.48426 # DEPENDENCYPART_ARC
(5,2),-0.880638 # DEPENDENCYPART_ARC
(5,3),-0.751159 # DEPENDENCYPART_ARC
(5,4),0.33274 # DEPENDENCYPART_ARC
(5,6),1.4367 # DEPENDENCYPART_ARC
(5,7),1.37185 # DEPENDENCYPART_ARC
(5,8),0.474755 # DEPENDENCYPART_ARC
(5,9),0.412035 # DEPENDENCYPART_ARC
(5,10),0.205043 # DEPENDENCYPART_ARC
(6,1),-0.905581 # DEPENDENCYPART_ARC
(6,2),-0.456691 # DEPENDENCYPART_ARC
(6,3),-0.375228 # DEPENDENCYPART_ARC
(6,4),-0.201408 # DEPENDENCYPART_ARC
(6,5),0.722677 # DEPENDENCYPART_ARC
(6,7),1.64653 # DEPENDENCYPART_ARC
(6,8),-0.257485 # DEPENDENCYPART_ARC
(6,9),-0.56302 # DEPENDENCYPART_ARC
(6,10),-0.364243 # DEPENDENCYPART_ARC
(7,4),-1.17146 # DEPENDENCYPART_ARC
(7,10),-0.479005 # DEPENDENCYPART_ARC
(8,1),-2.31951 # DEPENDENCYPART_ARC
(8,2),-1.68824 # DEPENDENCYPART_ARC
(8,3),-1.40058 # DEPENDENCYPART_ARC
(8,4),-1.854 # DEPENDENCYPART_ARC
(8,5),-0.906212 # DEPENDENCYPART_ARC
(8,6),-0.545409 # DEPENDENCYPART_ARC
(8,7),0.279008 # DEPENDENCYPART_ARC
(8,9),0.993875 # DEPENDENCYPART_ARC
(8,10),-0.336285 # DEPENDENCYPART_ARC
(9,1),-1.17615 # DEPENDENCYPART_ARC
(9,2),-0.927247 # DEPENDENCYPART_ARC
(9,3),-0.566278 # DEPENDENCYPART_ARC
(9,4),-1.84188 # DEPENDENCYPART_ARC
(9,5),-0.170839 # DEPENDENCYPART_ARC
(9,6),0.352505 # DEPENDENCYPART_ARC
(9,7),-0.690246 # DEPENDENCYPART_ARC
(9,8),1.79753 # DEPENDENCYPART_ARC
(9,10),2.56992 # DEPENDENCYPART_ARC
(10,4),-1.22008 # DEPENDENCYPART_ARC
(10,7),-0.65396 # DEPENDENCYPART_ARC
