# _root_ Così , in nome della subiettività della conoscenza storica , il ricorso venne accolto .
#goldHeads=14,1,14,3,4,5,6,7,8,9,12,14,14,0,14,
#predictedHeads=14,1,14,3,4,5,6,7,8,9,12,14,14,0,14,
(0,1),-0.451636 # DEPENDENCYPART_ARC
(0,2),-0.94788 # DEPENDENCYPART_ARC
(0,3),-1.21382 # DEPENDENCYPART_ARC
(0,4),-0.220126 # DEPENDENCYPART_ARC
(0,5),-1.0856 # DEPENDENCYPART_ARC
(0,6),-0.0324565 # DEPENDENCYPART_ARC
(0,7),-1.1323 # DEPENDENCYPART_ARC
(0,8),-0.264553 # DEPENDENCYPART_ARC
(0,9),-0.800413 # DEPENDENCYPART_ARC
(0,10),-0.689096 # DEPENDENCYPART_ARC
(0,11),-1.31449 # DEPENDENCYPART_ARC
(0,12),-0.357727 # DEPENDENCYPART_ARC
(0,13),0.871017 # DEPENDENCYPART_ARC
(0,14),0.629784 # DEPENDENCYPART_ARC
(0,15),-1.38891 # DEPENDENCYPART_ARC
(1,2),2.22957 # DEPENDENCYPART_ARC
(1,3),-0.297429 # DEPENDENCYPART_ARC
(1,4),-0.290764 # DEPENDENCYPART_ARC
(1,5),-0.602652 # DEPENDENCYPART_ARC
(1,6),-0.536142 # DEPENDENCYPART_ARC
(1,7),-0.900432 # DEPENDENCYPART_ARC
(1,8),-0.833608 # DEPENDENCYPART_ARC
(1,9),-1.00253 # DEPENDENCYPART_ARC
(1,10),-0.384842 # DEPENDENCYPART_ARC
(1,11),-0.698672 # DEPENDENCYPART_ARC
(1,12),-1.19715 # DEPENDENCYPART_ARC
(1,13),-1.08393 # DEPENDENCYPART_ARC
(1,14),-1.34707 # DEPENDENCYPART_ARC
(1,15),-1.43816 # DEPENDENCYPART_ARC
(2,1),-0.498577 # DEPENDENCYPART_ARC
(2,3),-1.04712 # DEPENDENCYPART_ARC
(2,4),-1.13406 # DEPENDENCYPART_ARC
(2,5),-1.73838 # DEPENDENCYPART_ARC
(2,6),-1.72004 # DEPENDENCYPART_ARC
(2,7),-2.00114 # DEPENDENCYPART_ARC
(2,8),-1.92494 # DEPENDENCYPART_ARC
(2,9),-2.1496 # DEPENDENCYPART_ARC
(2,10),-0.777677 # DEPENDENCYPART_ARC
(2,11),-1.9402 # DEPENDENCYPART_ARC
(2,12),-2.04215 # DEPENDENCYPART_ARC
(2,13),-1.89695 # DEPENDENCYPART_ARC
(2,14),-2.13292 # DEPENDENCYPART_ARC
(2,15),-1.48588 # DEPENDENCYPART_ARC
(3,1),-0.042959 # DEPENDENCYPART_ARC
(3,2),0.263155 # DEPENDENCYPART_ARC
(3,4),3.71601 # DEPENDENCYPART_ARC
(3,5),-0.2755 # DEPENDENCYPART_ARC
(3,6),0.463493 # DEPENDENCYPART_ARC
(3,7),-0.403797 # DEPENDENCYPART_ARC
(3,8),-0.827067 # DEPENDENCYPART_ARC
(3,9),-0.616564 # DEPENDENCYPART_ARC
(3,10),-0.337245 # DEPENDENCYPART_ARC
(3,11),-1.33006 # DEPENDENCYPART_ARC
(3,12),-3.19236 # DEPENDENCYPART_ARC
(3,13),-1.89678 # DEPENDENCYPART_ARC
(3,14),-2.08314 # DEPENDENCYPART_ARC
(3,15),-1.65441 # DEPENDENCYPART_ARC
(4,1),-0.83625 # DEPENDENCYPART_ARC
(4,2),-1.65959 # DEPENDENCYPART_ARC
(4,3),0.765429 # DEPENDENCYPART_ARC
(4,5),2.51001 # DEPENDENCYPART_ARC
(4,6),0.722046 # DEPENDENCYPART_ARC
(4,7),1.32515 # DEPENDENCYPART_ARC
(4,8),0.111265 # DEPENDENCYPART_ARC
(4,9),0.331153 # DEPENDENCYPART_ARC
(4,10),0.214486 # DEPENDENCYPART_ARC
(4,11),-0.754787 # DEPENDENCYPART_ARC
(4,12),-0.371464 # DEPENDENCYPART_ARC
(4,13),-0.325144 # DEPENDENCYPART_ARC
(4,14),-0.207797 # DEPENDENCYPART_ARC
(4,15),-2.0252 # DEPENDENCYPART_ARC
(5,1),-0.899838 # DEPENDENCYPART_ARC
(5,2),-1.18075 # DEPENDENCYPART_ARC
(5,3),-0.435514 # DEPENDENCYPART_ARC
(5,4),-0.765164 # DEPENDENCYPART_ARC
(5,6),4.37847 # DEPENDENCYPART_ARC
(5,7),0.738511 # DEPENDENCYPART_ARC
(5,8),1.00541 # DEPENDENCYPART_ARC
(5,9),-0.778275 # DEPENDENCYPART_ARC
(5,10),-0.183715 # DEPENDENCYPART_ARC
(5,11),-1.64067 # DEPENDENCYPART_ARC
(5,12),-2.22935 # DEPENDENCYPART_ARC
(5,13),-2.43712 # DEPENDENCYPART_ARC
(5,14),-2.21319 # DEPENDENCYPART_ARC
(5,15),-1.02244 # DEPENDENCYPART_ARC
(6,1),-1.31892 # DEPENDENCYPART_ARC
(6,2),-2.6034 # DEPENDENCYPART_ARC
(6,3),-0.392411 # DEPENDENCYPART_ARC
(6,4),-2.20879 # DEPENDENCYPART_ARC
(6,5),1.04161 # DEPENDENCYPART_ARC
(6,7),2.36585 # DEPENDENCYPART_ARC
(6,8),0.894346 # DEPENDENCYPART_ARC
(6,9),1.36642 # DEPENDENCYPART_ARC
(6,10),0.247796 # DEPENDENCYPART_ARC
(6,11),-0.685342 # DEPENDENCYPART_ARC
(6,12),-0.404915 # DEPENDENCYPART_ARC
(6,13),-0.0590515 # DEPENDENCYPART_ARC
(6,14),-0.723517 # DEPENDENCYPART_ARC
(6,15),-1.37391 # DEPENDENCYPART_ARC
(7,1),-1.22556 # DEPENDENCYPART_ARC
(7,2),-1.65826 # DEPENDENCYPART_ARC
(7,3),-0.9871 # DEPENDENCYPART_ARC
(7,4),-1.87313 # DEPENDENCYPART_ARC
(7,5),-0.720586 # DEPENDENCYPART_ARC
(7,6),-0.803669 # DEPENDENCYPART_ARC
(7,8),4.31062 # DEPENDENCYPART_ARC
(7,9),0.196021 # DEPENDENCYPART_ARC
(7,10),0.213096 # DEPENDENCYPART_ARC
(7,11),-1.35592 # DEPENDENCYPART_ARC
(7,12),-0.755237 # DEPENDENCYPART_ARC
(7,13),-2.0572 # DEPENDENCYPART_ARC
(7,14),-1.83191 # DEPENDENCYPART_ARC
(7,15),-0.763661 # DEPENDENCYPART_ARC
(8,1),-2.07563 # DEPENDENCYPART_ARC
(8,2),-3.07362 # DEPENDENCYPART_ARC
(8,3),-1.19717 # DEPENDENCYPART_ARC
(8,4),-2.72709 # DEPENDENCYPART_ARC
(8,5),-0.677601 # DEPENDENCYPART_ARC
(8,6),-1.15983 # DEPENDENCYPART_ARC
(8,7),0.701277 # DEPENDENCYPART_ARC
(8,9),3.44774 # DEPENDENCYPART_ARC
(8,10),0.465447 # DEPENDENCYPART_ARC
(8,11),-0.504077 # DEPENDENCYPART_ARC
(8,12),0.159576 # DEPENDENCYPART_ARC
(8,13),0.00972925 # DEPENDENCYPART_ARC
(8,14),-0.582478 # DEPENDENCYPART_ARC
(8,15),-0.846278 # DEPENDENCYPART_ARC
(9,1),-1.03219 # DEPENDENCYPART_ARC
(9,2),-1.1634 # DEPENDENCYPART_ARC
(9,3),-0.296124 # DEPENDENCYPART_ARC
(9,4),-1.11245 # DEPENDENCYPART_ARC
(9,5),-0.550183 # DEPENDENCYPART_ARC
(9,6),-0.718308 # DEPENDENCYPART_ARC
(9,7),0.109149 # DEPENDENCYPART_ARC
(9,8),0.751871 # DEPENDENCYPART_ARC
(9,10),1.72174 # DEPENDENCYPART_ARC
(9,11),-0.59725 # DEPENDENCYPART_ARC
(9,12),-0.302406 # DEPENDENCYPART_ARC
(9,13),-0.830848 # DEPENDENCYPART_ARC
(9,14),-0.859111 # DEPENDENCYPART_ARC
(9,15),-0.419839 # DEPENDENCYPART_ARC
(10,1),-2.21607 # DEPENDENCYPART_ARC
(10,2),-2.11049 # DEPENDENCYPART_ARC
(10,3),-1.72909 # DEPENDENCYPART_ARC
(10,4),-2.26809 # DEPENDENCYPART_ARC
(10,5),-1.57723 # DEPENDENCYPART_ARC
(10,6),-2.0251 # DEPENDENCYPART_ARC
(10,7),-1.12375 # DEPENDENCYPART_ARC
(10,8),-1.51539 # DEPENDENCYPART_ARC
(10,9),-0.49818 # DEPENDENCYPART_ARC
(10,11),-0.683611 # DEPENDENCYPART_ARC
(10,12),-1.20524 # DEPENDENCYPART_ARC
(10,13),-1.36464 # DEPENDENCYPART_ARC
(10,14),-1.73104 # DEPENDENCYPART_ARC
(10,15),-1.15466 # DEPENDENCYPART_ARC
(11,1),-2.19726 # DEPENDENCYPART_ARC
(11,2),-1.76633 # DEPENDENCYPART_ARC
(11,3),-2.24065 # DEPENDENCYPART_ARC
(11,4),-2.39599 # DEPENDENCYPART_ARC
(11,5),-2.36602 # DEPENDENCYPART_ARC
(11,6),-2.71279 # DEPENDENCYPART_ARC
(11,7),-2.0073 # DEPENDENCYPART_ARC
(11,8),-2.16481 # DEPENDENCYPART_ARC
(11,9),-1.33214 # DEPENDENCYPART_ARC
(11,10),0.384434 # DEPENDENCYPART_ARC
(11,12),0.874671 # DEPENDENCYPART_ARC
(11,13),-0.448217 # DEPENDENCYPART_ARC
(11,14),-0.868914 # DEPENDENCYPART_ARC
(11,15),-1.00238 # DEPENDENCYPART_ARC
(12,1),-1.36949 # DEPENDENCYPART_ARC
(12,2),-2.59548 # DEPENDENCYPART_ARC
(12,3),-0.640996 # DEPENDENCYPART_ARC
(12,4),-1.9881 # DEPENDENCYPART_ARC
(12,5),-0.337171 # DEPENDENCYPART_ARC
(12,6),-1.98113 # DEPENDENCYPART_ARC
(12,7),0.11705 # DEPENDENCYPART_ARC
(12,8),-1.76936 # DEPENDENCYPART_ARC
(12,9),0.16481 # DEPENDENCYPART_ARC
(12,10),-0.877785 # DEPENDENCYPART_ARC
(12,11),3.52889 # DEPENDENCYPART_ARC
(12,13),1.0246 # DEPENDENCYPART_ARC
(12,14),0.15317 # DEPENDENCYPART_ARC
(12,15),-0.220421 # DEPENDENCYPART_ARC
(13,1),-0.833644 # DEPENDENCYPART_ARC
(13,2),-2.4462 # DEPENDENCYPART_ARC
(13,3),-0.503432 # DEPENDENCYPART_ARC
(13,4),-0.357789 # DEPENDENCYPART_ARC
(13,5),-1.01994 # DEPENDENCYPART_ARC
(13,6),-0.395598 # DEPENDENCYPART_ARC
(13,7),-0.781842 # DEPENDENCYPART_ARC
(13,8),-0.434024 # DEPENDENCYPART_ARC
(13,9),-0.744466 # DEPENDENCYPART_ARC
(13,10),-1.36254 # DEPENDENCYPART_ARC
(13,11),0.136507 # DEPENDENCYPART_ARC
(13,12),1.21183 # DEPENDENCYPART_ARC
(13,14),1.52809 # DEPENDENCYPART_ARC
(13,15),0.088226 # DEPENDENCYPART_ARC
(14,1),0.172205 # DEPENDENCYPART_ARC
(14,2),-1.75063 # DEPENDENCYPART_ARC
(14,3),-0.183589 # DEPENDENCYPART_ARC
(14,4),0.541878 # DEPENDENCYPART_ARC
(14,5),-0.640736 # DEPENDENCYPART_ARC
(14,6),0.419188 # DEPENDENCYPART_ARC
(14,7),-0.422853 # DEPENDENCYPART_ARC
(14,8),-0.0773552 # DEPENDENCYPART_ARC
(14,9),-0.215734 # DEPENDENCYPART_ARC
(14,10),-1.10654 # DEPENDENCYPART_ARC
(14,11),0.531353 # DEPENDENCYPART_ARC
(14,12),2.13373 # DEPENDENCYPART_ARC
(14,13),4.1471 # DEPENDENCYPART_ARC
(14,15),2.73005 # DEPENDENCYPART_ARC
(15,1),-2.69893 # DEPENDENCYPART_ARC
(15,2),-2.4022 # DEPENDENCYPART_ARC
(15,3),-2.22967 # DEPENDENCYPART_ARC
(15,4),-2.78835 # DEPENDENCYPART_ARC
(15,5),-2.15924 # DEPENDENCYPART_ARC
(15,6),-2.64324 # DEPENDENCYPART_ARC
(15,7),-2.10915 # DEPENDENCYPART_ARC
(15,8),-2.53482 # DEPENDENCYPART_ARC
(15,9),-2.51038 # DEPENDENCYPART_ARC
(15,10),-2.15692 # DEPENDENCYPART_ARC
(15,11),-1.71343 # DEPENDENCYPART_ARC
(15,12),-1.94492 # DEPENDENCYPART_ARC
(15,13),-1.75579 # DEPENDENCYPART_ARC
(15,14),-0.890646 # DEPENDENCYPART_ARC
