# _root_ Ma poi , visto che per l' uomo non c' era più nulla da fare , è stato dato il contrordine .
#goldHeads=19,1,2,19,4,11,8,6,11,11,5,11,11,13,14,15,19,19,0,21,19,21,
#predictedHeads=4,4,2,0,4,11,8,6,11,11,5,11,11,11,14,15,18,19,11,21,19,21,
(0,1),-0.860427 # DEPENDENCYPART_ARC
(0,2),-0.86234 # DEPENDENCYPART_ARC
(0,3),-0.517095 # DEPENDENCYPART_ARC
(0,4),0.443789 # DEPENDENCYPART_ARC
(0,5),-1.33247 # DEPENDENCYPART_ARC
(0,6),-1.44455 # DEPENDENCYPART_ARC
(0,7),-1.50668 # DEPENDENCYPART_ARC
(0,8),-0.971242 # DEPENDENCYPART_ARC
(0,9),-1.36546 # DEPENDENCYPART_ARC
(0,10),-1.16469 # DEPENDENCYPART_ARC
(0,11),-0.418396 # DEPENDENCYPART_ARC
(0,12),-1.30392 # DEPENDENCYPART_ARC
(0,13),-1.42496 # DEPENDENCYPART_ARC
(0,14),-2.28809 # DEPENDENCYPART_ARC
(0,15),-1.05792 # DEPENDENCYPART_ARC
(0,16),-1.10281 # DEPENDENCYPART_ARC
(0,17),0.237185 # DEPENDENCYPART_ARC
(0,18),-1.40464 # DEPENDENCYPART_ARC
(0,19),-0.722997 # DEPENDENCYPART_ARC
(0,20),-1.97057 # DEPENDENCYPART_ARC
(0,21),-1.71356 # DEPENDENCYPART_ARC
(0,22),-1.8029 # DEPENDENCYPART_ARC
(1,2),-0.587219 # DEPENDENCYPART_ARC
(1,3),-0.0330968 # DEPENDENCYPART_ARC
(1,4),-0.256824 # DEPENDENCYPART_ARC
(1,5),-0.58963 # DEPENDENCYPART_ARC
(1,6),-1.49495 # DEPENDENCYPART_ARC
(1,7),-1.47652 # DEPENDENCYPART_ARC
(1,8),-1.43494 # DEPENDENCYPART_ARC
(1,9),-1.72779 # DEPENDENCYPART_ARC
(1,10),-1.63754 # DEPENDENCYPART_ARC
(1,11),-0.332381 # DEPENDENCYPART_ARC
(1,12),-1.4611 # DEPENDENCYPART_ARC
(1,13),-1.96096 # DEPENDENCYPART_ARC
(1,14),-1.67422 # DEPENDENCYPART_ARC
(1,15),-2.79355 # DEPENDENCYPART_ARC
(1,16),-1.34267 # DEPENDENCYPART_ARC
(1,17),-3.68332 # DEPENDENCYPART_ARC
(1,18),-3.13367 # DEPENDENCYPART_ARC
(1,19),-3.43221 # DEPENDENCYPART_ARC
(1,20),-2.04744 # DEPENDENCYPART_ARC
(1,21),-1.76054 # DEPENDENCYPART_ARC
(1,22),-2.11839 # DEPENDENCYPART_ARC
(2,1),0.548289 # DEPENDENCYPART_ARC
(2,3),2.02761 # DEPENDENCYPART_ARC
(2,4),0.1862 # DEPENDENCYPART_ARC
(2,5),0.0506956 # DEPENDENCYPART_ARC
(2,6),-0.891651 # DEPENDENCYPART_ARC
(2,7),-0.548871 # DEPENDENCYPART_ARC
(2,8),-1.19225 # DEPENDENCYPART_ARC
(2,9),-1.02041 # DEPENDENCYPART_ARC
(2,10),-1.08068 # DEPENDENCYPART_ARC
(2,11),-0.584386 # DEPENDENCYPART_ARC
(2,12),-0.960356 # DEPENDENCYPART_ARC
(2,13),-1.23158 # DEPENDENCYPART_ARC
(2,14),-1.27336 # DEPENDENCYPART_ARC
(2,15),-0.853897 # DEPENDENCYPART_ARC
(2,16),-0.90434 # DEPENDENCYPART_ARC
(2,17),-1.19734 # DEPENDENCYPART_ARC
(2,18),-0.85568 # DEPENDENCYPART_ARC
(2,19),-1.0044 # DEPENDENCYPART_ARC
(2,20),-0.717921 # DEPENDENCYPART_ARC
(2,21),-2.18582 # DEPENDENCYPART_ARC
(2,22),-1.96565 # DEPENDENCYPART_ARC
(3,1),-1.34493 # DEPENDENCYPART_ARC
(3,2),-0.564375 # DEPENDENCYPART_ARC
(3,4),-0.663483 # DEPENDENCYPART_ARC
(3,5),-1.91205 # DEPENDENCYPART_ARC
(3,6),-2.04303 # DEPENDENCYPART_ARC
(3,7),-2.12042 # DEPENDENCYPART_ARC
(3,8),-2.23901 # DEPENDENCYPART_ARC
(3,9),-2.46848 # DEPENDENCYPART_ARC
(3,10),-2.51763 # DEPENDENCYPART_ARC
(3,11),-2.18887 # DEPENDENCYPART_ARC
(3,12),-2.6932 # DEPENDENCYPART_ARC
(3,13),-2.52181 # DEPENDENCYPART_ARC
(3,14),-2.64041 # DEPENDENCYPART_ARC
(3,15),-2.48433 # DEPENDENCYPART_ARC
(3,16),-1.55245 # DEPENDENCYPART_ARC
(3,17),-2.59658 # DEPENDENCYPART_ARC
(3,18),-2.59851 # DEPENDENCYPART_ARC
(3,19),-2.64376 # DEPENDENCYPART_ARC
(3,20),-2.66211 # DEPENDENCYPART_ARC
(3,21),-2.82805 # DEPENDENCYPART_ARC
(3,22),-2.02501 # DEPENDENCYPART_ARC
(4,1),1.2793 # DEPENDENCYPART_ARC
(4,2),1.26493 # DEPENDENCYPART_ARC
(4,3),0.289945 # DEPENDENCYPART_ARC
(4,5),2.55849 # DEPENDENCYPART_ARC
(4,6),1.56608 # DEPENDENCYPART_ARC
(4,7),-1.07452 # DEPENDENCYPART_ARC
(4,8),0.42925 # DEPENDENCYPART_ARC
(4,9),-0.0819702 # DEPENDENCYPART_ARC
(4,10),-0.121874 # DEPENDENCYPART_ARC
(4,11),-0.321827 # DEPENDENCYPART_ARC
(4,12),-1.01093 # DEPENDENCYPART_ARC
(4,13),-0.734433 # DEPENDENCYPART_ARC
(4,14),0.278628 # DEPENDENCYPART_ARC
(4,15),0.0473842 # DEPENDENCYPART_ARC
(4,16),0.815923 # DEPENDENCYPART_ARC
(4,17),0.133232 # DEPENDENCYPART_ARC
(4,18),0.241858 # DEPENDENCYPART_ARC
(4,19),-0.0642066 # DEPENDENCYPART_ARC
(4,20),-2.427 # DEPENDENCYPART_ARC
(4,21),-1.95016 # DEPENDENCYPART_ARC
(4,22),-1.42902 # DEPENDENCYPART_ARC
(5,1),-1.56466 # DEPENDENCYPART_ARC
(5,2),-1.17495 # DEPENDENCYPART_ARC
(5,3),-1.11293 # DEPENDENCYPART_ARC
(5,4),-0.775953 # DEPENDENCYPART_ARC
(5,6),0.630537 # DEPENDENCYPART_ARC
(5,7),0.107955 # DEPENDENCYPART_ARC
(5,8),0.253053 # DEPENDENCYPART_ARC
(5,9),-0.333547 # DEPENDENCYPART_ARC
(5,10),-0.334599 # DEPENDENCYPART_ARC
(5,11),2.62628 # DEPENDENCYPART_ARC
(5,12),-0.613357 # DEPENDENCYPART_ARC
(5,13),-0.701164 # DEPENDENCYPART_ARC
(5,14),-0.586289 # DEPENDENCYPART_ARC
(5,15),0.819022 # DEPENDENCYPART_ARC
(5,16),0.817153 # DEPENDENCYPART_ARC
(5,17),-0.101654 # DEPENDENCYPART_ARC
(5,18),0.100961 # DEPENDENCYPART_ARC
(5,19),0.0843071 # DEPENDENCYPART_ARC
(5,20),-0.890219 # DEPENDENCYPART_ARC
(5,21),-0.711245 # DEPENDENCYPART_ARC
(5,22),-0.417623 # DEPENDENCYPART_ARC
(6,1),-2.33154 # DEPENDENCYPART_ARC
(6,2),-1.61896 # DEPENDENCYPART_ARC
(6,3),-2.2859 # DEPENDENCYPART_ARC
(6,4),-1.96656 # DEPENDENCYPART_ARC
(6,5),-0.35034 # DEPENDENCYPART_ARC
(6,7),1.03104 # DEPENDENCYPART_ARC
(6,8),3.24638 # DEPENDENCYPART_ARC
(6,9),-0.333297 # DEPENDENCYPART_ARC
(6,10),-0.118103 # DEPENDENCYPART_ARC
(6,11),0.59671 # DEPENDENCYPART_ARC
(6,12),-0.639015 # DEPENDENCYPART_ARC
(6,13),-0.0642658 # DEPENDENCYPART_ARC
(6,14),-0.151139 # DEPENDENCYPART_ARC
(6,15),0.60763 # DEPENDENCYPART_ARC
(6,16),-0.105173 # DEPENDENCYPART_ARC
(6,17),-0.936877 # DEPENDENCYPART_ARC
(6,18),-0.707456 # DEPENDENCYPART_ARC
(6,19),-0.91522 # DEPENDENCYPART_ARC
(6,20),-0.900383 # DEPENDENCYPART_ARC
(6,21),-2.64928 # DEPENDENCYPART_ARC
(6,22),-1.16927 # DEPENDENCYPART_ARC
(7,1),-2.84231 # DEPENDENCYPART_ARC
(7,2),-2.69925 # DEPENDENCYPART_ARC
(7,3),-2.38205 # DEPENDENCYPART_ARC
(7,4),-3.83507 # DEPENDENCYPART_ARC
(7,5),-2.08071 # DEPENDENCYPART_ARC
(7,6),-0.851501 # DEPENDENCYPART_ARC
(7,8),0.912014 # DEPENDENCYPART_ARC
(7,9),-0.596937 # DEPENDENCYPART_ARC
(7,10),-0.82495 # DEPENDENCYPART_ARC
(7,11),-0.987528 # DEPENDENCYPART_ARC
(7,12),-1.30454 # DEPENDENCYPART_ARC
(7,13),-1.9123 # DEPENDENCYPART_ARC
(7,14),-1.02294 # DEPENDENCYPART_ARC
(7,15),-1.30492 # DEPENDENCYPART_ARC
(7,16),-0.921715 # DEPENDENCYPART_ARC
(7,17),-1.33113 # DEPENDENCYPART_ARC
(7,18),-1.80757 # DEPENDENCYPART_ARC
(7,19),-1.79353 # DEPENDENCYPART_ARC
(7,20),-2.18322 # DEPENDENCYPART_ARC
(7,21),-1.08319 # DEPENDENCYPART_ARC
(7,22),-1.39148 # DEPENDENCYPART_ARC
(8,1),-1.53632 # DEPENDENCYPART_ARC
(8,2),-0.768739 # DEPENDENCYPART_ARC
(8,3),-2.14074 # DEPENDENCYPART_ARC
(8,4),-0.362699 # DEPENDENCYPART_ARC
(8,5),-0.156443 # DEPENDENCYPART_ARC
(8,6),0.583262 # DEPENDENCYPART_ARC
(8,7),3.30415 # DEPENDENCYPART_ARC
(8,9),0.723094 # DEPENDENCYPART_ARC
(8,10),0.531265 # DEPENDENCYPART_ARC
(8,11),0.892376 # DEPENDENCYPART_ARC
(8,12),-0.208848 # DEPENDENCYPART_ARC
(8,13),-0.464257 # DEPENDENCYPART_ARC
(8,14),-0.255987 # DEPENDENCYPART_ARC
(8,15),0.423991 # DEPENDENCYPART_ARC
(8,16),0.0971528 # DEPENDENCYPART_ARC
(8,17),-0.562425 # DEPENDENCYPART_ARC
(8,18),-0.589467 # DEPENDENCYPART_ARC
(8,19),-0.809949 # DEPENDENCYPART_ARC
(8,20),-0.894131 # DEPENDENCYPART_ARC
(8,21),-1.23443 # DEPENDENCYPART_ARC
(8,22),-0.87949 # DEPENDENCYPART_ARC
(9,1),-1.39779 # DEPENDENCYPART_ARC
(9,2),-1.79017 # DEPENDENCYPART_ARC
(9,3),-2.03811 # DEPENDENCYPART_ARC
(9,4),-2.45868 # DEPENDENCYPART_ARC
(9,5),-1.22867 # DEPENDENCYPART_ARC
(9,6),-0.70201 # DEPENDENCYPART_ARC
(9,7),-0.258283 # DEPENDENCYPART_ARC
(9,8),-0.864117 # DEPENDENCYPART_ARC
(9,10),0.156824 # DEPENDENCYPART_ARC
(9,11),-0.304481 # DEPENDENCYPART_ARC
(9,12),-0.873553 # DEPENDENCYPART_ARC
(9,13),-1.12107 # DEPENDENCYPART_ARC
(9,14),-1.19069 # DEPENDENCYPART_ARC
(9,15),-0.829422 # DEPENDENCYPART_ARC
(9,16),-1.00946 # DEPENDENCYPART_ARC
(9,17),-1.29608 # DEPENDENCYPART_ARC
(9,18),-1.16659 # DEPENDENCYPART_ARC
(9,19),-1.0787 # DEPENDENCYPART_ARC
(9,20),-1.23275 # DEPENDENCYPART_ARC
(9,21),-2.13839 # DEPENDENCYPART_ARC
(9,22),-2.15887 # DEPENDENCYPART_ARC
(10,1),-1.14647 # DEPENDENCYPART_ARC
(10,2),-1.24389 # DEPENDENCYPART_ARC
(10,3),-1.58498 # DEPENDENCYPART_ARC
(10,4),-2.18095 # DEPENDENCYPART_ARC
(10,5),-1.02199 # DEPENDENCYPART_ARC
(10,6),-0.709418 # DEPENDENCYPART_ARC
(10,7),-0.347787 # DEPENDENCYPART_ARC
(10,8),-1.18213 # DEPENDENCYPART_ARC
(10,9),1.0532 # DEPENDENCYPART_ARC
(10,11),0.418732 # DEPENDENCYPART_ARC
(10,12),-0.395629 # DEPENDENCYPART_ARC
(10,13),-0.997611 # DEPENDENCYPART_ARC
(10,14),-0.880616 # DEPENDENCYPART_ARC
(10,15),-0.594495 # DEPENDENCYPART_ARC
(10,16),-0.634085 # DEPENDENCYPART_ARC
(10,17),-1.19576 # DEPENDENCYPART_ARC
(10,18),-1.10294 # DEPENDENCYPART_ARC
(10,19),-1.06934 # DEPENDENCYPART_ARC
(10,20),-0.996128 # DEPENDENCYPART_ARC
(10,21),-1.85104 # DEPENDENCYPART_ARC
(10,22),-1.78976 # DEPENDENCYPART_ARC
(11,1),-0.916225 # DEPENDENCYPART_ARC
(11,2),0.593308 # DEPENDENCYPART_ARC
(11,3),-1.91023 # DEPENDENCYPART_ARC
(11,4),-0.654808 # DEPENDENCYPART_ARC
(11,5),-0.246019 # DEPENDENCYPART_ARC
(11,6),1.60895 # DEPENDENCYPART_ARC
(11,7),-0.205395 # DEPENDENCYPART_ARC
(11,8),2.25051 # DEPENDENCYPART_ARC
(11,9),2.13895 # DEPENDENCYPART_ARC
(11,10),2.61685 # DEPENDENCYPART_ARC
(11,12),1.71272 # DEPENDENCYPART_ARC
(11,13),2.57386 # DEPENDENCYPART_ARC
(11,14),1.51241 # DEPENDENCYPART_ARC
(11,15),1.17475 # DEPENDENCYPART_ARC
(11,16),1.25976 # DEPENDENCYPART_ARC
(11,17),1.00117 # DEPENDENCYPART_ARC
(11,18),0.4135 # DEPENDENCYPART_ARC
(11,19),0.154811 # DEPENDENCYPART_ARC
(11,20),-1.57097 # DEPENDENCYPART_ARC
(11,21),0.188743 # DEPENDENCYPART_ARC
(11,22),-0.427486 # DEPENDENCYPART_ARC
(12,1),-0.707148 # DEPENDENCYPART_ARC
(12,2),-0.929842 # DEPENDENCYPART_ARC
(12,3),-1.30248 # DEPENDENCYPART_ARC
(12,4),-2.01714 # DEPENDENCYPART_ARC
(12,5),-0.732494 # DEPENDENCYPART_ARC
(12,6),-0.731862 # DEPENDENCYPART_ARC
(12,7),-0.518515 # DEPENDENCYPART_ARC
(12,8),-1.39122 # DEPENDENCYPART_ARC
(12,9),0.0497564 # DEPENDENCYPART_ARC
(12,10),0.0187074 # DEPENDENCYPART_ARC
(12,11),0.132789 # DEPENDENCYPART_ARC
(12,13),1.10309 # DEPENDENCYPART_ARC
(12,14),0.644901 # DEPENDENCYPART_ARC
(12,15),0.678387 # DEPENDENCYPART_ARC
(12,16),0.491013 # DEPENDENCYPART_ARC
(12,17),0.134187 # DEPENDENCYPART_ARC
(12,18),-0.104344 # DEPENDENCYPART_ARC
(12,19),-0.25217 # DEPENDENCYPART_ARC
(12,20),-0.164967 # DEPENDENCYPART_ARC
(12,21),-1.02091 # DEPENDENCYPART_ARC
(12,22),-0.559508 # DEPENDENCYPART_ARC
(13,1),-0.98025 # DEPENDENCYPART_ARC
(13,2),-0.77403 # DEPENDENCYPART_ARC
(13,3),-1.05239 # DEPENDENCYPART_ARC
(13,4),-2.58575 # DEPENDENCYPART_ARC
(13,5),-0.590026 # DEPENDENCYPART_ARC
(13,6),-0.49928 # DEPENDENCYPART_ARC
(13,7),0.380656 # DEPENDENCYPART_ARC
(13,8),-0.929144 # DEPENDENCYPART_ARC
(13,9),-0.387795 # DEPENDENCYPART_ARC
(13,10),0.195373 # DEPENDENCYPART_ARC
(13,11),-0.971875 # DEPENDENCYPART_ARC
(13,12),1.43424 # DEPENDENCYPART_ARC
(13,14),0.992254 # DEPENDENCYPART_ARC
(13,15),0.417806 # DEPENDENCYPART_ARC
(13,16),-0.619327 # DEPENDENCYPART_ARC
(13,17),-0.250074 # DEPENDENCYPART_ARC
(13,18),-0.592568 # DEPENDENCYPART_ARC
(13,19),-0.835472 # DEPENDENCYPART_ARC
(13,20),-1.48436 # DEPENDENCYPART_ARC
(13,21),-1.03245 # DEPENDENCYPART_ARC
(13,22),-1.28437 # DEPENDENCYPART_ARC
(14,1),-1.76735 # DEPENDENCYPART_ARC
(14,2),-1.7493 # DEPENDENCYPART_ARC
(14,3),-2.17286 # DEPENDENCYPART_ARC
(14,4),-2.51383 # DEPENDENCYPART_ARC
(14,5),-1.49187 # DEPENDENCYPART_ARC
(14,6),-1.57627 # DEPENDENCYPART_ARC
(14,7),-1.74365 # DEPENDENCYPART_ARC
(14,8),-1.98296 # DEPENDENCYPART_ARC
(14,9),-1.05642 # DEPENDENCYPART_ARC
(14,10),-1.11624 # DEPENDENCYPART_ARC
(14,11),-1.72136 # DEPENDENCYPART_ARC
(14,12),-0.560784 # DEPENDENCYPART_ARC
(14,13),0.130494 # DEPENDENCYPART_ARC
(14,15),3.40547 # DEPENDENCYPART_ARC
(14,16),0.365263 # DEPENDENCYPART_ARC
(14,17),0.648736 # DEPENDENCYPART_ARC
(14,18),0.32073 # DEPENDENCYPART_ARC
(14,19),-0.0602223 # DEPENDENCYPART_ARC
(14,20),-0.776685 # DEPENDENCYPART_ARC
(14,21),-1.10411 # DEPENDENCYPART_ARC
(14,22),-0.613578 # DEPENDENCYPART_ARC
(15,1),-1.22696 # DEPENDENCYPART_ARC
(15,2),-1.28561 # DEPENDENCYPART_ARC
(15,3),-3.15193 # DEPENDENCYPART_ARC
(15,4),-2.9911 # DEPENDENCYPART_ARC
(15,5),-0.860457 # DEPENDENCYPART_ARC
(15,6),-1.55339 # DEPENDENCYPART_ARC
(15,7),-1.14339 # DEPENDENCYPART_ARC
(15,8),-0.572365 # DEPENDENCYPART_ARC
(15,9),0.106085 # DEPENDENCYPART_ARC
(15,10),-0.306397 # DEPENDENCYPART_ARC
(15,11),-0.965206 # DEPENDENCYPART_ARC
(15,12),-0.0539567 # DEPENDENCYPART_ARC
(15,13),0.581004 # DEPENDENCYPART_ARC
(15,14),0.959781 # DEPENDENCYPART_ARC
(15,16),1.84189 # DEPENDENCYPART_ARC
(15,17),1.06463 # DEPENDENCYPART_ARC
(15,18),0.221647 # DEPENDENCYPART_ARC
(15,19),-0.0709364 # DEPENDENCYPART_ARC
(15,20),-1.06977 # DEPENDENCYPART_ARC
(15,21),0.24986 # DEPENDENCYPART_ARC
(15,22),-0.52731 # DEPENDENCYPART_ARC
(16,1),-3.15048 # DEPENDENCYPART_ARC
(16,2),-3.47999 # DEPENDENCYPART_ARC
(16,3),-3.2005 # DEPENDENCYPART_ARC
(16,4),-3.75997 # DEPENDENCYPART_ARC
(16,5),-3.03388 # DEPENDENCYPART_ARC
(16,6),-2.86202 # DEPENDENCYPART_ARC
(16,7),-2.93534 # DEPENDENCYPART_ARC
(16,8),-3.34909 # DEPENDENCYPART_ARC
(16,9),-3.02235 # DEPENDENCYPART_ARC
(16,10),-3.01205 # DEPENDENCYPART_ARC
(16,11),-3.55403 # DEPENDENCYPART_ARC
(16,12),-2.74103 # DEPENDENCYPART_ARC
(16,13),-2.39861 # DEPENDENCYPART_ARC
(16,14),-1.96567 # DEPENDENCYPART_ARC
(16,15),-1.56256 # DEPENDENCYPART_ARC
(16,17),-1.37937 # DEPENDENCYPART_ARC
(16,18),-2.29857 # DEPENDENCYPART_ARC
(16,19),-2.58043 # DEPENDENCYPART_ARC
(16,20),-3.00234 # DEPENDENCYPART_ARC
(16,21),-3.11761 # DEPENDENCYPART_ARC
(16,22),-2.02616 # DEPENDENCYPART_ARC
(17,1),-0.890532 # DEPENDENCYPART_ARC
(17,2),-2.08834 # DEPENDENCYPART_ARC
(17,3),-3.32302 # DEPENDENCYPART_ARC
(17,4),-2.00623 # DEPENDENCYPART_ARC
(17,5),-0.477646 # DEPENDENCYPART_ARC
(17,6),-1.17395 # DEPENDENCYPART_ARC
(17,7),-2.11322 # DEPENDENCYPART_ARC
(17,8),-0.211061 # DEPENDENCYPART_ARC
(17,9),-0.486967 # DEPENDENCYPART_ARC
(17,10),-1.43171 # DEPENDENCYPART_ARC
(17,11),-1.84794 # DEPENDENCYPART_ARC
(17,12),-1.26719 # DEPENDENCYPART_ARC
(17,13),-0.823999 # DEPENDENCYPART_ARC
(17,14),-0.0897821 # DEPENDENCYPART_ARC
(17,15),0.597521 # DEPENDENCYPART_ARC
(17,16),0.0329952 # DEPENDENCYPART_ARC
(17,18),0.926045 # DEPENDENCYPART_ARC
(17,19),-0.157391 # DEPENDENCYPART_ARC
(17,20),-2.23282 # DEPENDENCYPART_ARC
(17,21),0.098406 # DEPENDENCYPART_ARC
(17,22),-1.09642 # DEPENDENCYPART_ARC
(18,1),-0.804621 # DEPENDENCYPART_ARC
(18,2),-0.980893 # DEPENDENCYPART_ARC
(18,3),-2.60009 # DEPENDENCYPART_ARC
(18,4),-1.4671 # DEPENDENCYPART_ARC
(18,5),-0.934236 # DEPENDENCYPART_ARC
(18,6),-0.601351 # DEPENDENCYPART_ARC
(18,7),-1.19071 # DEPENDENCYPART_ARC
(18,8),-0.0899069 # DEPENDENCYPART_ARC
(18,9),0.263993 # DEPENDENCYPART_ARC
(18,10),-0.557504 # DEPENDENCYPART_ARC
(18,11),0.100333 # DEPENDENCYPART_ARC
(18,12),-0.489516 # DEPENDENCYPART_ARC
(18,13),0.168297 # DEPENDENCYPART_ARC
(18,14),0.31072 # DEPENDENCYPART_ARC
(18,15),0.993629 # DEPENDENCYPART_ARC
(18,16),-0.569068 # DEPENDENCYPART_ARC
(18,17),4.29521 # DEPENDENCYPART_ARC
(18,19),1.8277 # DEPENDENCYPART_ARC
(18,20),-1.72364 # DEPENDENCYPART_ARC
(18,21),0.514547 # DEPENDENCYPART_ARC
(18,22),-0.398905 # DEPENDENCYPART_ARC
(19,1),-0.828836 # DEPENDENCYPART_ARC
(19,2),-0.383845 # DEPENDENCYPART_ARC
(19,3),-2.53824 # DEPENDENCYPART_ARC
(19,4),-1.01171 # DEPENDENCYPART_ARC
(19,5),-0.64195 # DEPENDENCYPART_ARC
(19,6),0.136975 # DEPENDENCYPART_ARC
(19,7),-0.726529 # DEPENDENCYPART_ARC
(19,8),1.02773 # DEPENDENCYPART_ARC
(19,9),1.04904 # DEPENDENCYPART_ARC
(19,10),0.305538 # DEPENDENCYPART_ARC
(19,11),0.291031 # DEPENDENCYPART_ARC
(19,12),-0.0743388 # DEPENDENCYPART_ARC
(19,13),0.811254 # DEPENDENCYPART_ARC
(19,14),0.591848 # DEPENDENCYPART_ARC
(19,15),0.978216 # DEPENDENCYPART_ARC
(19,16),-0.974915 # DEPENDENCYPART_ARC
(19,17),3.01678 # DEPENDENCYPART_ARC
(19,18),3.44497 # DEPENDENCYPART_ARC
(19,20),-0.532621 # DEPENDENCYPART_ARC
(19,21),2.20856 # DEPENDENCYPART_ARC
(19,22),0.108471 # DEPENDENCYPART_ARC
(20,1),-2.3995 # DEPENDENCYPART_ARC
(20,2),-2.47367 # DEPENDENCYPART_ARC
(20,3),-2.26571 # DEPENDENCYPART_ARC
(20,4),-3.57935 # DEPENDENCYPART_ARC
(20,5),-2.39425 # DEPENDENCYPART_ARC
(20,6),-2.43407 # DEPENDENCYPART_ARC
(20,7),-1.89067 # DEPENDENCYPART_ARC
(20,8),-2.6915 # DEPENDENCYPART_ARC
(20,9),-2.40834 # DEPENDENCYPART_ARC
(20,10),-2.27976 # DEPENDENCYPART_ARC
(20,11),-3.23226 # DEPENDENCYPART_ARC
(20,12),-2.29437 # DEPENDENCYPART_ARC
(20,13),-2.12906 # DEPENDENCYPART_ARC
(20,14),-2.00112 # DEPENDENCYPART_ARC
(20,15),-2.75435 # DEPENDENCYPART_ARC
(20,16),-1.81219 # DEPENDENCYPART_ARC
