# _root_ Inoltre , c' erano altre proprietà , come le ville a Livorno e Ponte a Moriano .
#goldHeads=4,1,4,0,6,4,6,6,10,8,10,11,12,12,14,15,16,
#predictedHeads=4,1,4,0,6,4,6,6,10,8,10,11,12,12,14,15,16,
(0,1),-0.428726 # DEPENDENCYPART_ARC
(0,2),-0.87446 # DEPENDENCYPART_ARC
(0,3),-0.934222 # DEPENDENCYPART_ARC
(0,4),0.558912 # DEPENDENCYPART_ARC
(0,5),-1.22729 # DEPENDENCYPART_ARC
(0,6),-0.645948 # DEPENDENCYPART_ARC
(0,7),-0.71714 # DEPENDENCYPART_ARC
(0,8),-1.45217 # DEPENDENCYPART_ARC
(0,9),-1.47309 # DEPENDENCYPART_ARC
(0,10),-0.304545 # DEPENDENCYPART_ARC
(0,11),-1.20657 # DEPENDENCYPART_ARC
(0,12),-0.630955 # DEPENDENCYPART_ARC
(0,13),-1.25397 # DEPENDENCYPART_ARC
(0,14),-0.468039 # DEPENDENCYPART_ARC
(0,15),-0.360494 # DEPENDENCYPART_ARC
(0,16),-0.467626 # DEPENDENCYPART_ARC
(0,17),-1.27406 # DEPENDENCYPART_ARC
(1,2),2.07023 # DEPENDENCYPART_ARC
(1,3),-0.116622 # DEPENDENCYPART_ARC
(1,4),0.00787652 # DEPENDENCYPART_ARC
(1,5),-0.638441 # DEPENDENCYPART_ARC
(1,6),-0.992844 # DEPENDENCYPART_ARC
(1,7),-0.0180276 # DEPENDENCYPART_ARC
(1,8),-1.05239 # DEPENDENCYPART_ARC
(1,9),-0.81785 # DEPENDENCYPART_ARC
(1,10),-1.53461 # DEPENDENCYPART_ARC
(1,11),-1.22455 # DEPENDENCYPART_ARC
(1,12),-1.42353 # DEPENDENCYPART_ARC
(1,13),-0.603609 # DEPENDENCYPART_ARC
(1,14),-1.5885 # DEPENDENCYPART_ARC
(1,15),-1.62775 # DEPENDENCYPART_ARC
(1,16),-1.8428 # DEPENDENCYPART_ARC
