# _root_ Senza mai l' ausilio di fotografie , attraverso un contatto diretto con la realtà , Podrecea si è prefisso di sfatare i luoghi comuni sul Biedermeier .
#goldHeads=19,1,4,1,4,5,6,19,10,8,10,10,14,12,14,19,19,19,0,19,20,23,21,23,23,25,26,
#predictedHeads=4,1,4,0,4,5,6,4,10,8,10,10,14,12,14,19,19,19,10,19,20,23,21,23,23,25,26,
(0,1),-1.04044 # DEPENDENCYPART_ARC
(0,2),-1.12388 # DEPENDENCYPART_ARC
(0,3),-1.13743 # DEPENDENCYPART_ARC
(0,4),0.140835 # DEPENDENCYPART_ARC
(0,5),-1.55939 # DEPENDENCYPART_ARC
(0,6),-0.0530502 # DEPENDENCYPART_ARC
(0,7),-0.51933 # DEPENDENCYPART_ARC
(0,8),-1.82473 # DEPENDENCYPART_ARC
(0,9),-1.27936 # DEPENDENCYPART_ARC
(0,10),0.0522575 # DEPENDENCYPART_ARC
(0,11),-0.552996 # DEPENDENCYPART_ARC
(0,12),-2.73973 # DEPENDENCYPART_ARC
(0,13),-1.53158 # DEPENDENCYPART_ARC
(0,14),-0.101332 # DEPENDENCYPART_ARC
(0,15),-0.748471 # DEPENDENCYPART_ARC
(0,16),0.50984 # DEPENDENCYPART_ARC
(0,17),-1.34671 # DEPENDENCYPART_ARC
(0,18),0.884913 # DEPENDENCYPART_ARC
(0,19),0.372663 # DEPENDENCYPART_ARC
(0,20),-2.90984 # DEPENDENCYPART_ARC
(0,21),-0.405086 # DEPENDENCYPART_ARC
(0,22),-1.97191 # DEPENDENCYPART_ARC
(0,23),-0.515392 # DEPENDENCYPART_ARC
(0,24),-1.6518 # DEPENDENCYPART_ARC
(0,25),-3.00115 # DEPENDENCYPART_ARC
(0,26),-1.61467 # DEPENDENCYPART_ARC
(0,27),-1.95139 # DEPENDENCYPART_ARC
(1,2),2.47159 # DEPENDENCYPART_ARC
(1,3),0.576919 # DEPENDENCYPART_ARC
(1,4),0.987157 # DEPENDENCYPART_ARC
(1,5),0.532146 # DEPENDENCYPART_ARC
(1,6),0.638788 # DEPENDENCYPART_ARC
(1,7),1.36803 # DEPENDENCYPART_ARC
(1,8),0.524599 # DEPENDENCYPART_ARC
(1,9),-0.400432 # DEPENDENCYPART_ARC
(1,10),-1.592 # DEPENDENCYPART_ARC
(1,11),0.337692 # DEPENDENCYPART_ARC
(1,12),0.092717 # DEPENDENCYPART_ARC
(1,13),-0.451397 # DEPENDENCYPART_ARC
(1,14),-3.01699 # DEPENDENCYPART_ARC
(1,15),0.770154 # DEPENDENCYPART_ARC
(1,16),-3.77367 # DEPENDENCYPART_ARC
(1,17),-0.568952 # DEPENDENCYPART_ARC
(1,18),-1.46759 # DEPENDENCYPART_ARC
(1,19),-0.998682 # DEPENDENCYPART_ARC
(1,20),-0.770014 # DEPENDENCYPART_ARC
(1,21),-1.64346 # DEPENDENCYPART_ARC
(1,22),-1.12195 # DEPENDENCYPART_ARC
(1,23),-7.13669 # DEPENDENCYPART_ARC
(1,24),-0.731553 # DEPENDENCYPART_ARC
(1,25),-1.81264 # DEPENDENCYPART_ARC
(1,26),-7.7019 # DEPENDENCYPART_ARC
(1,27),-1.49019 # DEPENDENCYPART_ARC
(2,1),0.345905 # DEPENDENCYPART_ARC
(2,3),0.423832 # DEPENDENCYPART_ARC
(2,4),-0.0160438 # DEPENDENCYPART_ARC
(2,5),-0.273558 # DEPENDENCYPART_ARC
(2,6),-0.500636 # DEPENDENCYPART_ARC
(2,7),-0.0600233 # DEPENDENCYPART_ARC
(2,8),-0.913071 # DEPENDENCYPART_ARC
(2,9),-0.857624 # DEPENDENCYPART_ARC
(2,10),-1.19775 # DEPENDENCYPART_ARC
(2,11),-1.17374 # DEPENDENCYPART_ARC
(2,12),-1.19427 # DEPENDENCYPART_ARC
(2,13),-0.984941 # DEPENDENCYPART_ARC
(2,14),-1.28625 # DEPENDENCYPART_ARC
(2,15),-0.95646 # DEPENDENCYPART_ARC
(2,16),-1.38206 # DEPENDENCYPART_ARC
(2,17),-1.34219 # DEPENDENCYPART_ARC
(2,18),-1.47848 # DEPENDENCYPART_ARC
(2,19),-1.5916 # DEPENDENCYPART_ARC
(2,20),-1.59917 # DEPENDENCYPART_ARC
(2,21),-1.92733 # DEPENDENCYPART_ARC
(2,22),-1.45833 # DEPENDENCYPART_ARC
(2,23),-2.35933 # DEPENDENCYPART_ARC
(2,24),-1.99877 # DEPENDENCYPART_ARC
(2,25),-1.77409 # DEPENDENCYPART_ARC
(2,26),-2.32345 # DEPENDENCYPART_ARC
(2,27),-2.65257 # DEPENDENCYPART_ARC
(3,1),-0.419029 # DEPENDENCYPART_ARC
(3,2),0.161144 # DEPENDENCYPART_ARC
(3,4),1.19653 # DEPENDENCYPART_ARC
(3,5),0.260951 # DEPENDENCYPART_ARC
(3,6),-0.322544 # DEPENDENCYPART_ARC
(3,7),-0.28756 # DEPENDENCYPART_ARC
(3,8),-0.320951 # DEPENDENCYPART_ARC
(3,9),-1.19832 # DEPENDENCYPART_ARC
(3,10),-0.551555 # DEPENDENCYPART_ARC
(3,11),-1.49854 # DEPENDENCYPART_ARC
(3,12),-0.501963 # DEPENDENCYPART_ARC
(3,13),-1.16889 # DEPENDENCYPART_ARC
(3,14),-0.326822 # DEPENDENCYPART_ARC
(3,15),-0.542046 # DEPENDENCYPART_ARC
(3,16),-0.605407 # DEPENDENCYPART_ARC
(3,17),-1.711 # DEPENDENCYPART_ARC
(3,18),-1.07176 # DEPENDENCYPART_ARC
(3,19),-1.47602 # DEPENDENCYPART_ARC
(3,20),-0.957611 # DEPENDENCYPART_ARC
(3,21),-1.45563 # DEPENDENCYPART_ARC
(3,22),-2.03048 # DEPENDENCYPART_ARC
(3,23),-1.3524 # DEPENDENCYPART_ARC
(3,24),-2.44166 # DEPENDENCYPART_ARC
(3,25),-1.97247 # DEPENDENCYPART_ARC
(3,26),-0.979913 # DEPENDENCYPART_ARC
(3,27),-1.61116 # DEPENDENCYPART_ARC
(4,1),0.989289 # DEPENDENCYPART_ARC
(4,2),1.12845 # DEPENDENCYPART_ARC
(4,3),3.5284 # DEPENDENCYPART_ARC
(4,5),2.99003 # DEPENDENCYPART_ARC
(4,6),1.08055 # DEPENDENCYPART_ARC
(4,7),0.739017 # DEPENDENCYPART_ARC
(4,8),0.575916 # DEPENDENCYPART_ARC
(4,9),-0.0571448 # DEPENDENCYPART_ARC
(4,10),0.737438 # DEPENDENCYPART_ARC
