# _root_ Max Sciandri , nato a Derby 28 anni or sono da genitori toscani che gestivano un ristorante , ha sempre mantenuto il doppio passaporto .
#goldHeads=2,21,2,2,4,5,8,4,10,8,4,11,12,15,12,17,15,17,21,21,0,24,24,21,24,
#predictedHeads=2,10,2,1,4,5,8,10,10,0,10,11,12,15,12,17,15,17,21,21,17,24,24,21,24,
(0,1),0.688633 # DEPENDENCYPART_ARC
(0,2),0.151742 # DEPENDENCYPART_ARC
(0,3),-0.237665 # DEPENDENCYPART_ARC
(0,4),0.476245 # DEPENDENCYPART_ARC
(0,5),-1.33626 # DEPENDENCYPART_ARC
(0,6),0.159407 # DEPENDENCYPART_ARC
(0,7),-1.25938 # DEPENDENCYPART_ARC
(0,8),-0.537499 # DEPENDENCYPART_ARC
(0,9),-1.12129 # DEPENDENCYPART_ARC
(0,10),1.18637 # DEPENDENCYPART_ARC
(0,11),-1.85716 # DEPENDENCYPART_ARC
(0,12),0.00566084 # DEPENDENCYPART_ARC
(0,13),-1.18991 # DEPENDENCYPART_ARC
(0,15),-0.00821199 # DEPENDENCYPART_ARC
(0,17),-0.211294 # DEPENDENCYPART_ARC
(0,18),-0.961797 # DEPENDENCYPART_ARC
(0,19),0.868968 # DEPENDENCYPART_ARC
(0,20),-1.67391 # DEPENDENCYPART_ARC
(0,21),-0.431018 # DEPENDENCYPART_ARC
(0,23),-1.27149 # DEPENDENCYPART_ARC
(0,24),-0.788974 # DEPENDENCYPART_ARC
(0,25),-1.70466 # DEPENDENCYPART_ARC
(1,2),2.08598 # DEPENDENCYPART_ARC
(1,3),0.599637 # DEPENDENCYPART_ARC
(1,4),1.64007 # DEPENDENCYPART_ARC
(1,5),0.121561 # DEPENDENCYPART_ARC
(1,6),-0.192517 # DEPENDENCYPART_ARC
(1,7),-0.666807 # DEPENDENCYPART_ARC
(1,8),-0.492871 # DEPENDENCYPART_ARC
(1,9),-1.06545 # DEPENDENCYPART_ARC
(1,10),-1.17936 # DEPENDENCYPART_ARC
(1,11),-0.14603 # DEPENDENCYPART_ARC
(1,12),-0.912238 # DEPENDENCYPART_ARC
(1,13),-1.00564 # DEPENDENCYPART_ARC
(1,15),-1.57349 # DEPENDENCYPART_ARC
(1,16),-1.08975 # DEPENDENCYPART_ARC
(1,17),-1.62633 # DEPENDENCYPART_ARC
(1,18),-0.930492 # DEPENDENCYPART_ARC
(1,19),-2.13112 # DEPENDENCYPART_ARC
(1,20),-1.83564 # DEPENDENCYPART_ARC
(1,21),-1.34002 # DEPENDENCYPART_ARC
(1,22),-1.48348 # DEPENDENCYPART_ARC
(1,23),-2.47915 # DEPENDENCYPART_ARC
(1,24),-1.95871 # DEPENDENCYPART_ARC
(1,25),-4.121 # DEPENDENCYPART_ARC
(2,1),3.5956 # DEPENDENCYPART_ARC
(2,3),2.34929 # DEPENDENCYPART_ARC
(2,4),1.34351 # DEPENDENCYPART_ARC
