# _root_ Sarà lui che , alla fine degli esami , commenterà e analizzerà per un' ora i risultati e formulerà la diagnosi .
#goldHeads=0,1,10,3,10,5,6,7,8,2,10,10,12,15,13,17,12,10,10,21,19,21,
#predictedHeads=0,1,1,3,1,5,6,7,8,1,10,10,12,15,13,17,12,12,12,21,19,21,
(0,1),0.93595 # DEPENDENCYPART_ARC
(0,2),-1.66247 # DEPENDENCYPART_ARC
(0,3),-1.51086 # DEPENDENCYPART_ARC
(0,4),-1.20921 # DEPENDENCYPART_ARC
(0,5),-1.5536 # DEPENDENCYPART_ARC
(0,6),-0.333002 # DEPENDENCYPART_ARC
(0,7),-1.73729 # DEPENDENCYPART_ARC
(0,8),-0.477244 # DEPENDENCYPART_ARC
(0,9),-1.07074 # DEPENDENCYPART_ARC
(0,10),0.925827 # DEPENDENCYPART_ARC
(0,11),-0.678616 # DEPENDENCYPART_ARC
(0,12),-0.190675 # DEPENDENCYPART_ARC
(0,13),-2.25765 # DEPENDENCYPART_ARC
(0,14),-1.94132 # DEPENDENCYPART_ARC
(0,15),-1.03494 # DEPENDENCYPART_ARC
(0,16),-2.03249 # DEPENDENCYPART_ARC
(0,17),0.0430322 # DEPENDENCYPART_ARC
(0,18),-1.34127 # DEPENDENCYPART_ARC
(0,19),-0.716062 # DEPENDENCYPART_ARC
(0,20),-2.42107 # DEPENDENCYPART_ARC
(0,21),-1.55898 # DEPENDENCYPART_ARC
(0,22),-1.99855 # DEPENDENCYPART_ARC
(1,2),3.13462 # DEPENDENCYPART_ARC
(1,3),1.92639 # DEPENDENCYPART_ARC
(1,4),0.780862 # DEPENDENCYPART_ARC
(1,5),1.57264 # DEPENDENCYPART_ARC
(1,6),0.797866 # DEPENDENCYPART_ARC
(1,7),0.335478 # DEPENDENCYPART_ARC
(1,8),0.0598061 # DEPENDENCYPART_ARC
(1,9),1.14128 # DEPENDENCYPART_ARC
(1,10),1.45124 # DEPENDENCYPART_ARC
(1,11),1.06416 # DEPENDENCYPART_ARC
(1,12),1.41718 # DEPENDENCYPART_ARC
(1,13),0.436605 # DEPENDENCYPART_ARC
(1,14),-1.5613 # DEPENDENCYPART_ARC
(1,15),-0.586487 # DEPENDENCYPART_ARC
(1,16),-1.28876 # DEPENDENCYPART_ARC
(1,17),-0.983674 # DEPENDENCYPART_ARC
(1,18),1.0658 # DEPENDENCYPART_ARC
(1,19),1.38259 # DEPENDENCYPART_ARC
(1,20),-1.88337 # DEPENDENCYPART_ARC
(1,21),-1.71186 # DEPENDENCYPART_ARC
(1,22),-1.93791 # DEPENDENCYPART_ARC
(2,1),0.273461 # DEPENDENCYPART_ARC
(2,3),0.768305 # DEPENDENCYPART_ARC
(2,4),1.34073 # DEPENDENCYPART_ARC
(2,5),0.0717992 # DEPENDENCYPART_ARC
(2,6),0.568404 # DEPENDENCYPART_ARC
(2,7),0.672584 # DEPENDENCYPART_ARC
(2,8),0.605018 # DEPENDENCYPART_ARC
(2,9),0.745835 # DEPENDENCYPART_ARC
(2,10),0.119787 # DEPENDENCYPART_ARC
(2,11),0.412651 # DEPENDENCYPART_ARC
(2,12),-0.374359 # DEPENDENCYPART_ARC
