# _root_ È l' euforia della presa di Knin , spiegherà dopo Ante , a far- lo parlare così .
#goldHeads=9,3,1,3,4,5,6,7,0,9,10,11,1,13,14,14,16,17,
#predictedHeads=0,3,1,3,4,5,6,7,1,9,10,11,9,13,14,14,16,17,
(0,1),0.761376 # DEPENDENCYPART_ARC
(0,3),-0.212142 # DEPENDENCYPART_ARC
(0,4),-2.05387 # DEPENDENCYPART_ARC
(0,5),-0.703009 # DEPENDENCYPART_ARC
(0,6),-2.27258 # DEPENDENCYPART_ARC
(0,7),-0.775661 # DEPENDENCYPART_ARC
(0,8),-1.15912 # DEPENDENCYPART_ARC
(0,9),0.556999 # DEPENDENCYPART_ARC
(0,10),-2.47739 # DEPENDENCYPART_ARC
(0,11),-0.880599 # DEPENDENCYPART_ARC
(0,12),-1.38174 # DEPENDENCYPART_ARC
(0,13),-2.50512 # DEPENDENCYPART_ARC
(0,14),-0.722509 # DEPENDENCYPART_ARC
(0,15),-2.34185 # DEPENDENCYPART_ARC
(0,16),-0.719813 # DEPENDENCYPART_ARC
(0,17),-1.95716 # DEPENDENCYPART_ARC
(0,18),-1.82056 # DEPENDENCYPART_ARC
(1,2),0.0655858 # DEPENDENCYPART_ARC
(1,3),2.47694 # DEPENDENCYPART_ARC
(1,4),0.543325 # DEPENDENCYPART_ARC
(1,5),0.64738 # DEPENDENCYPART_ARC
(1,6),-0.157688 # DEPENDENCYPART_ARC
(1,7),-0.197778 # DEPENDENCYPART_ARC
(1,8),0.591184 # DEPENDENCYPART_ARC
(1,9),0.598989 # DEPENDENCYPART_ARC
(1,10),-0.144394 # DEPENDENCYPART_ARC
(1,11),-1.33188 # DEPENDENCYPART_ARC
(1,12),-0.146339 # DEPENDENCYPART_ARC
(1,13),-0.389807 # DEPENDENCYPART_ARC
(1,14),-0.431214 # DEPENDENCYPART_ARC
(1,15),-1.22868 # DEPENDENCYPART_ARC
(1,16),-0.548249 # DEPENDENCYPART_ARC
(1,17),-0.886083 # DEPENDENCYPART_ARC
(1,18),-2.22799 # DEPENDENCYPART_ARC
(2,1),-0.913071 # DEPENDENCYPART_ARC
(2,3),0.969678 # DEPENDENCYPART_ARC
(2,4),-0.17393 # DEPENDENCYPART_ARC
(2,5),-0.423408 # DEPENDENCYPART_ARC
(2,6),-0.243391 # DEPENDENCYPART_ARC
(2,8),-0.484819 # DEPENDENCYPART_ARC
(2,9),-1.09805 # DEPENDENCYPART_ARC
(2,10),-0.966119 # DEPENDENCYPART_ARC
(2,12),-0.897796 # DEPENDENCYPART_ARC
(2,13),-1.22307 # DEPENDENCYPART_ARC
(2,14),-1.47676 # DEPENDENCYPART_ARC
(2,16),-1.46288 # DEPENDENCYPART_ARC
(2,18),-1.26967 # DEPENDENCYPART_ARC
(3,1),0.0993521 # DEPENDENCYPART_ARC
(3,2),3.34957 # DEPENDENCYPART_ARC
(3,4),2.92654 # DEPENDENCYPART_ARC
